header,contents,date
[여행] 서울시 송파구 서울책보고,"송파구 저 구석에 위치하고 있는 서울책보고 입니다. 10년 동안 비어있던 한 생활용품기업의 물류창고를 인수하여 거대한 헌책방을 만들었습니다. 주차 : 책보고 서쪽 공영주차장 이용(5분 150원) 이용시간 : 11시 ~ 20시(주말 10시 ~ 20시) 월요일 및 신정, 설 및 추석연휴 휴무 입구가 상당히...",2021. 3. 20.
서울시문화재 서울가볼만한곳 서울송파구여행 사적 제 243호 석촌동고분군,서울시문화재 서울가볼만한곳 서울송파구여행 사적 제 243호 석촌동고분군 서울시의 송파구 석촌동에 위치하고 있는 석촌동의 백제고분군은 한성백제 시기의 적석총(돌무지 무덤)입니다 국가지정문화재로 사적 제 243호에 지정되었습니다 일제강점기였던 1911년에 일제가 유적의 현황...,2021. 3. 30.
[서울여행 2일차] 강남 코엑스/ 별마당도서관/ 에그슬럿/ 송파구 삼성교/ 석촌호수,"송리단길 카페가리, 삼전도비석 보기로 했는데 ㅋㅋㅋㅋㅋ 생각도 못했음 계획짤때 의욕은 넘쳤는데 뚜벅이 여행이라 다리 아파 까먹음 ㅋㅋㅋ 집으로 돌아오는 길 버스에서 송파구에서 마포구 갈때 보이는 한강 서울시내버스에 있는 티비에서 나오는 광희의 네고왕 버스타고 보는 밤한강",2020. 11. 2.
서울여행 2주살기 / 송파구 잠실 가볼만한곳 호텔 카페 맛집 대표관광지 LIST,사진 / 롯데타워 #서울여행 #서울가볼만한곳 #잠실맛집 #석촌호수카페 #롯데월드 #송파구가볼만한곳 #서울살기 #잠실에어비엔비 안녕하세요 : D 부산에 살고 있는 신혼부부인데 갑작스러운 남편의 서울 출장으로 생각지도 못한 서울생활을 하고 왔어요. 처음에는 2주나 어떻게 떨어져있어!! 했는데...,2021. 7. 22.
서울 송파구 Seoul - 500m 위에서... 롯데월드타워 서울 스카이 야경여행 <2...,"ㅋㅋㅋ 앞으로 더 이상 안타까운 소식을 뉴스에서 듣지 않기를 바라면서, 이번 서울 스카이 여행을 마무리해 봅니다. 이제 저는 친구와 함께 고기나 구워 먹으러 가야겠습니다. 이 전망대는 엘리베이터를 타고 올라와야 하는데, 역시나 너무 높고 사람이 많다 보니 꽤 기다려야 하더군요. 요즘은...",2020. 3. 22.
"[서울여행] #올림픽공원에서 6월의 여신 #장미축제를 즐겨보자.(21.6, 서울 송파구...","그래도 즐겁게 하루 잘보냈어요!!!! 아빠님들 꼭~ 장미꽃보러 다녀오세용♡ #아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #서울가볼만한곳, #서울송파구가볼만한곳, #송파구볼거리, #주말나들이, #아빠어디가, #올림픽공원, #장미축제, #서울데이트, #서울여행, #서울가볼만한공원",2021. 6. 10.
[서울 송파구] 제주은희네해장국 잠실직영점,"▲출입구 왼쪽에는 제주도 관련 여행 안내 및 상품이 소개되어 있으며, 정면에는 체온측정기가 있습니다. ▲들어서면 출입명부 작성 또는... ■주소: 서울 송파구 송파대로49길 10(네이버 기준 석촌역 8번 출구에서 431미터) ■시간: 오전 7시 30분~오후 9시 20분(화~토), 오전 7시 30분~오후 9시...",2021. 8. 25.
"19.12.28 서울 송파구 나들이 , 여행에 미치다 송년회 구경 (feat. 살크업)","미안해 내 위장, 십이지장들아 28일 오전 차 타구 서울 옴 송파구 서울리즘이라는 카페에서 여행에 미치다 송년회가 열린다고 해서 평소 여행에 관심이 있던 터라 구경왔다. 송파쪽은 첨와봐서 둑근득근 입구에서 나눠 주시던 굿즈?! 뱃지랑 스티커랑 기타 등등 무료로 가져갔지렁 아마도?...",2020. 1. 6.
서울 브런치 카페 : 송파구에서 만나는 꼬앙드파리,#송파구카페 #브런치카페 #서울브런치카페 #꼬앙드파리 #서울여행 로나코로 인해 요즘 여행을 떠난지 넘 오래되었는데 송파구 방이동에서 파리 여행을 떠난 듯한 기분을 느낄 수 있는 브런치카페가 있다고 해서 다녀왔다 :D 서울 송파구에 있는 브런치카페인 '꼬앙드파리' 올림픽공원 근처...,2021. 1. 2.
자전거 여행 E.02 춘천~서울 송파구,"오늘은 자전거 여행 2번째 이야기입니다 ㅎㅎㅎ 당초 E. 01편 인천~대구에 이어서 대구~부산을 계획했지만, 서울에서 포카리 스웨트에서 주최하는... 하나 둘 셋 넷 둘 둘 셋 넷 송파구에 학군단 동기가 경찰로 있어 전화를 했는데 자전거 행사 때 교통 통제를 마침 한다고 해서 가락시장 근처서 잠시...",2020. 5. 31.
서울 송파구 한성백제박물관 나들이,"롯데월드도 신나고 재밌지만 근처에 위치한 한성백제박물관도 아이들과 함께 가보기 좋을거예요:) 물론 #박물관데이트 역시나 좋을거구요♡ #서울무료전시 박물관 찾는다면, 송파구 한성백제박물관 나들이 어떨까요~?! 이상 소울로그 여행자, 판다였습니다.",2020. 1. 21.
[서울/송파구/서울 여행] 삼전도비 / 대청황제공덕비,"비액 대청황제공덕비 한국민족문화대백과에 따르면몽고문, 만주문, 한문의 3종 문자를 쓴 흔하지 않은 비석이라니... 서울삼전도비 칠지도 도장 찍는 곳 송파구 문화유적에서 칠지도의 5조각을 찾아라! 이런 것도 하넹. 도장을 찍을 곳이 없어서 안 찍었지만 나름 애들은 좋아할지도 모르겠다.",2020. 3. 14.
[여행(피조물 관상)] 벚꽃(서울 송파구 석촌호수) 2,"그리하여 ‘자비의 시간에 드리는 기도’를 마치고 걸어서 서울 송파구의 벚꽃 명소인 석촌호수에 다녀왔다. 코로나19 영향으로 내일부터 11일까지 폐쇄하기 때문에 산책 겸 올해 마지막으로 만개한 벚꽃을 보기 위해서였다. 맑은 공기와 하늘, 햇빛, 호수, 벚꽃이 환상의 하모니를 이루어...",2021. 3. 31.
"문화누리카드로 떠나는 우리동네 가맹점 여행 4탄! 강동구, 송파구 편","안녕하세요 서울문화누리입니다 문화누리카드로 떠나는 우리동네 가맹점 여행 제 4탄!✈️ 동남권역인 강동구, 송파구에는 어떤 가맹점들이 있을까요? 아이들과 가을 나들이하기 딱 좋은 동남권역의 문화누리 가맹점들을 만나보세요! 브이센터 더 라이브 뮤지엄...",2021. 9. 23.
[서울 송파구 맛집!!] 잠실 쌀국수 맛집!! 미분당 맛집추천!!강추!!,ㅎㅎ 즐겁고 행복한 하루 보내세요~^^ 감사합니다 주차는 건물 뒤편 모텔 주차장에 주차하시면 됩니다~~^^ #주말#맛집#송파구맛집#쌀국수맛집#드라이브#서울가볼만한곳#경기가볼만한곳#쌀국수#송파#데이트#데이트할만한곳#여행#여행추천#추천#강추,2021. 8. 13.
"웨딩홀 투어 3. 서울웨딩타워, 송파구 웨딩홀","서울웨딩타워 서울 송파구 양재대로 932 가락몰 SAFF타워 (업무동) 2F 가락시장역 도보 5분 거리에 위치 전체적으로 컨디션이 매우 좋았던 웨딩홀 서비스 티를 주문하고 기다리는 중 웬만한 카페보다 맛났던 애플유자티 상담 시작부터 매우 좋았음 예식날, 보증 인원 말씀드리고 상담받고 홀 둘러봄...",2020. 8. 2.
[서울/송파구] 돼지갈비가 유명한 송파구 맛집 :: 봉피양 방이점 ::,육수가 그렇게 맛있다고 하던데....ㅎ_ㅎ #서울여행 #서울투어 #봉피양 #봉피양방이점 #봉피양마포점 #봉피양분당점 #방이역4번출구 #돼지갈비맛집 #봉피양맛집 #평양냉면맛집 #냉면맛집 #서울맛집 #송파구맛집 #서울송파구맛집 #서울가볼만한곳 #송파구가볼만한곳,2021. 9. 21.
"서울 나들이 송파구 산책하기 좋은 석촌호수 동호, 서호와 서울 스카이 전망대 구경","보니 송파구, 성남 IC, 한강으로 흘러들어 오는 탄천 하천까지 선명하게 보였습니다. 석촌호수 동호, 남한산성이 보이는 방향, 올림픽공원과 멀리 강동구 하남방향까지 보이는 거 같습니다. 롯데월드타워 스카이 브리지 여행 서울 스카이 전망대 가장 최상층에 있는 스카이 브리지까지 다녀온 거...",2021. 10. 7.
서울 송파구 Seoul - 500m 위에서... 롯데월드타워 서울 스카이 야경여행 <1> (feat. 인천...,"ㅋㅋ 이 친구와 인천 여행을 즐기다가 서울 강남으로 넘어왔습니다. 그리고, 강남에서 뭘 할까 하다가, 강남의 밤거리를 걷는 것만으로는 뭔가 부족할 것 같아서 이곳을 찾았어요. 바로 이제는 한국을 대표하는 초고층 빌딩으로 자리를 잡고 있는 '롯데 월드 타워'입니다. 이 롯데 월드 타워에 서울...",2020. 3. 21.
서울 송파구 잠실새내 마카롱 맛집 ‘리블리롱’,만나 여행중에 갔던 리블리롱 이였습니다 그럼 포스팅 시작하겠습니다 서울 송파구 잠실동 185-7 1층 ⏱ 매일 12:00 - 22:00 연중무휴 050713163898 주차 공간 따로 X 외부 사진은 안찍었어서 네이버 업체사진을 사용했습니다 잠실새내에서 숙소를 잡았어서 아침과 저녁을 잠실새내쪽에서 먹었어요...,2021. 8. 1.
[서울/송파] 송파구 어메이징카에서 뉴쏘렌토 리스받고 여름 여행 떠나요~,[서울/송파] 송파구 어메이징카에서 뉴쏘렌토 리스받고 여름 여행 떠나요~ 안녕하세요~ 올 한해는 유난히 바빠지네요~ 제가 애지중지 하면서 타전 차량이 노후가 되다보니 신차를 알아보게되었어요~ 음.. 아무래도 제가 여기저기 돌아다니면서 출장도 잦다보니 차량이 빨리 상한거 같아요 ㅠㅠ...,2020. 8. 20.
[여행] 서울시 송파구 서울석촌동고분군,서울석촌동고분군은 백제 초기에 조성된 고분군이다. 이곳 고분 형태는 백제의 지배층이 고구려에서 온 이주민들 이라는 것을 보여주는 증거이다.... 서울 석촌동고분군에 대한 조금 더 자세한 이야기는 아래 포스트에 써 놓았다. : 참고 링크 및 정보원 문화재청 '서울 석촌동 고분군',2021. 3. 6.
