header,contents,date
서울 양천구 신정유치원 교사연수 특별한 테라리움 DIY테라리엄,"더위를 잊게할 특별한 테라리움 신정유치원 교사연수 줌강의 식물디자인공방 MIMI그라스 서울 양천구에 위치한 신정유치원 교사연수가 온라인... 한 시간의 힐링 교사연수였지만 모두의 꿈같은, 시원하고 개운한~ 여행이 되었음 합니다. 서울 신정유치원 교사연수 내내 적극적 참여와 회이팅...",2021. 6. 21.
서울 양천구 - 오목교 안양천 생태공원 나들이 그리고 민물 참게,"멀리 여행을 와 있는 느낌이 들기도 한다. 코로나19로 외출을 하지 않다가 오래간만에 나왔는데, 생태공원에는 생각보다 사람들이 많이 나와 운동을 하고 있었다. 서울 양천구 오목교 인근의 안양천 생태공원은 조성한지 어느정도 시간이 지나 주변 식물들이 어느정도 자리를 잡았고, 나들이 전날...",2020. 7. 2.
2021 서울시향 우리동네 음악회 실내악 공연 (양천구 서울가든아파트),"지난 5월 9일(일) 13시에는 양천구에 있는 <서울가든아파트>에서 시민공연 찾아가는 음악회가 열린다고 하여 찾아갔습니다. 300인치 전관판이 설치된... 이어 차이콥스키의 '현악을 위한 세레나데 다장조 작품 48 중 2악장 왈츠' 는 베를린, 파리, 로마 여행을 마친 뒤 집으로 돌아와 탄생시킨 명작들 중...",2021. 5. 12.
서울 양천구 독립서점 새벽감성1집 2021년 4월 신규입고 독립출판 도서들,"서울 양천구, 화곡역 부근의 독립서점 새벽감성1집입니다. 새벽감성1집은 독립서점 중에서도 독립출판 독립서적을 취급하는 곳이라... 여행을 가고 싶지만 가지 못하는 분들께 추천합니다. https://smartstore.naver.com/dawnsense1zip/products/5480334859 대신 써 드립니다 (동네서점 에디션)...",2021. 5. 16.
"[제주도 차없이 한달살이]뚜벅이 여행 시작~ 준비물, 양천구 코로나 검사","[제주도 차없이 한달살이]뚜벅이 여행 시작~ 준비물, 양천구 코로나 검사 드디어 제주도로 떠나요. 혼자는 아니고 저와 동갑내기로 같은 직장에서... 평일 오후 늦게 서울서 출발하고 제주도에서 아침 일찍 뜨는 비행기는 25,000원 까지도 있더라고요. 실제로 방값 나눠 내고 비행기 왕복 비용 까지...",2021. 4. 26.
"[스누피의 한국여행 81.6] 7년전 서울 양천구 안양천,오목교,목동을 지나가면서..","양천구의 지명유래 양천구는 고구려시대에는 제차파의현(잿, 성의 의미의 제차와 파의는 바위를 의미)으로 불리다가 통일신라시대에는 공암현으로 변경하여 지금의 부천에 소속되었고 고려시대에는 양원, 양평, 파릉, 제양 등으로 불리우다가 고려 충선왕(1310) 때 양천으로 명명되었다. 조선 고종...",2020. 4. 21.
[ 서울 _ 양천 ] 브루니뷰티 | 양천구 왁싱 잘하는 곳,주소 : 서울 양천구 남부순환로 83길 47 1F 15호 영업시간 : 평일 10:30 - 20:00 토요일 10:30 - 18:00 일요일/공휴일 휴무 안녕하세요 람이에요... 책 #책블로그 #책리뷰 #카페 #예쁜카페 #분위기좋은카페 #케이크맛집 #맛집 #맛집블로그 #여행 #전시 #서이추 #서이추해요 #서이추환영 #이웃 #이웃해요 #이웃환영,2020. 8. 23.
"[서울 양천구 신정동 ""주방 싱크대 수전"" 설치 전문 지니설비]",물방울들이 불꽃처럼 서상이다 엉겨붙거나 고꾸라지기도 하면서 지구 여행을 반복하는 것도 그 출렁임의 발자국 때문이다. 오늘만큼은 이 해안이 피안! 수많은 입자들 방파제 위로 하얗게 튀어오른다. - <언뜻> 중에서 - 방문 및 확인작업 오늘은 양천구 신정동에서 연락을 주셨습니다. 연락을 하신...,2021. 7. 5.
[2년 전 오늘] 서울 양천구 문화 여행 명소 안내,"2년 전 오늘 서울 양천구 문화 여행 명소 안내 서울 양천구 문화 여행 명소 안내 안녕하세요^-^ 어제가 초복날이었는데, 삼계탕은 드셨나요~~^^ 저는 친목회가 있어서 서울대공원에서 시원하게 하루를 보내고 왔어요^^~~ 오늘에 포스팅을 시작 해 볼께요~~ 서울 양천구 문화 여행 명소 안내를...",2021. 7. 13.
제주도여행 포기하고 가족끼리 다녀왔던 고래아방 양천구맛집,"8월 초에 제주도 여행을 가려고 계획 중이었는데 코로나가 하루 1000명이 넘어가면서 이건 안되겠구나 싶어서 예매한 항공권도 취소했었다. 요즘은... #양천구맛집 #서울목동맛집 #41타워맛집 강된장 안에도 야채, 고기(?), 보말 등등 재료가 풍성하게 들어있어서 밥에 비벼 먹으니 맛있었다. 짜지...",2021. 8. 26.
