header,contents,date
[서울/영등포구] 중국 음식여행을 한국에서도 가능한 대림 전가복,좀 남기긴 했다만 사진 찍고 들고간 부분^.- 기회가 되면 다시 가고 싶은데 대림동이 전 쪼끔 무섭네요.. 중국어 하시는 분과 가고 싶어요..! 근처에 회식하실꺼면 여기 추천드립니다! 서비스도 좋고 일단 룸으로 되어있어서 더 좋았어요! 위치 : 서울 영등포구 도림로 160 (대림2동 709-3 타워 오피스),2020. 1. 23.
선유도 산책. 서울 영등포구 양화동. 20210530.,양화한강공원 장미 포스팅은 이미 했고- https://blog.naver.com/bluesoso/222387048749 & #선유도공원 02-2631-9368 서울 영등포구 선유로 343(양화동 95) 매일 06... 선유도를 정말 오랜만에 가봤다 싶더니 2013년에 다녀왔네ㅋㅋ https://blog.naver.com/bluesoso/60197769443 #선유도 #선유도공원 #...,2021. 9. 25.
"[서울여행] 영등포구 당산동 가볼만한 곳, 선유도공원","선유봉이 선유도가 되기까지 1968년 서울시에서 발간한 지도를 보면, 지금과는 좀 다른 한강의 하상을 볼 수 있다. 지금과는 다르게 다듬어지지... 선유수원지의 탄생 1978년 서울시는 부족한 상수도 자원을 보강하기 위해 하중도로 바뀐 선유도에 정수장을 지었다. 물론 영등포에는 이미 1971년...",2020. 9. 27.
서울 영등포구 영등 포동 모텔 임대 3억,"모텔임대 호텔, 생생 이슈 서울 영등포구 영등포동(번지는 건물주 사정상 미기재) 모텔 임대 대지 314 제곱 미터 (95평) 건평 923제곱미터 (280평) 5층... 8월 만기 개인사정으로 무권리 진행 주통로 서쪽 방향 모텔임대 호텔, 생생 이슈 투자하기 좋은 호텔의 시설 “진정한 여행이란 새로운 풍경을 보는...",2021. 10. 5.
[스누피의 한국여행 83.1] 서울 영등포구 새로운 차이나타운 대림중앙시장 방문기,"대림중앙시장은 영등포구 대림2동 대림역 12번 출구에서 나오면 보인다. 1970년대 후반 자생적으로 형성된 재래시장이다. 2000년대 초반, 우리나라의 급속한 경제성장과 함께 노동력의 부족과 인건비 등의 상승으로 중국, 동남아시아 등지에서 많은 노동인구가 유입되면서 시장의 상권은 국내...",2020. 5. 19.
[강아지 동반 식당] 서울 영등포구 맛집 '아리수만찬' (+대기 방법),"아리수만찬 서울특별시 영등포구 양화동 32-1 양화선착장 오전 11시- 다음 날 오전 12시 30분 (월~목,일 : 밤 12시 30분 / 금,토 : 새벽 2시) 너무 만족했고 힐링할 수 있었던 아리수만찬 이번 서울여행 때 방문했던 곳들은 전부 다 만족하는데 그중 가장 특별했던 곳을 꼽으라고 한다면 무조건...",2021. 7. 21.
서울 영등포구 문래동 롯데캐슬 친환경 입주청소,서울 영등포구 문래동 롯데캐슬 친환경 입주청소 딱꼬딱끼 오랫만에 토요일의 여유를 즐기고 있는 따기네 인사드려요 텐션을 업해서 안녕하세요... 미국여행에서 오는길에 한보따리 사와서 즐겁게 아껴먹고 다먹어서 서운해 하고있었는데.... 오늘의 특별한 인연이 되어주신 고객님께서 제맘까지...,2020. 4. 25.
"영등포구 수준, 군산오징어, 일본어 할... 차이나타운 서울 인천 차이, 인천 여행...","영등포구청 바로 앞인데 저런 지자체의 게시문 따위는 아무 효과도 없다. 미개한 한국인, 수준 낮은 영등포구 이런건 인천에서 많이 보던 광경인데... 모처럼 서울에 왔으니까.(우오누마. 처음 본다) 나중에 나혼자 살면 많이 해 먹어야지. 감자샐러드 가지 굽는 저 판이 신기하다. 야키소바...",2021. 9. 4.
서울 영등포구의 저렴한 게스트하우스 아폴로 게스트하우스 2주 숙박후기,이전 숙소 대비 아침밥이 안나오는것이 살짝 아쉽긴 했는데 그거야 어쩔 수 없는것 같다. 서울에서 1~2주정도 저렴한 단기 거주를 찾는다면 적합한 숙소로 꽤 만족스러운 숙소였다. #서울 #게스트하우스 #단기임대 #숙소 #영등포구 #영등포 #영등포구청 #당산 #아폴로게스트하우스 #저렴 #5호선 #2호선,2020. 6. 12.
세상에서 가장 아름다운 여행 서울특별시 영등포구 디모데 지역아동센터 12월20일...,"세상에서 가장 아름다운 여행 서울특별시 영등포구 디모데 지역아동센터 12월20일 959회 방송정보 촬영장소 위치 전국 지역아동센터 아이들의 꿈과 여정을 응원하기 위해 <세상에서 가장 아름다운 여행>에서 준비한 희망 나눔 프로젝트, ‘Dream High’! 촬영장소 위치 서울특별시 영등포구의...",2020. 12. 19.
서울 영등포구 여의도공원,12년 전에 봤던 그 모습 그대로라 옛날에 처음봤던 때가 생각나게 되었고 그 때만 해도 블로그에 여행글을 처음으로 남기고 있는 때이기도 하였는데 지금은 서울을 비롯하여 전국 각지를 여행하는 입장에서 들리니 감회가 새로웠지요. 싱그러운 초록빛으로 물들어진 공원 산책길의 모습을 보면서...,2021. 7. 6.
