header,contents,date
서울여행 용산구술집/해방촌맛집 '해방촌아지트' 주차는 해방촌공영주차장,해방촌맛집/해방촌술집 해방촌아지트 주소 : 서울 용산구 용산동2가 16-1 1층 전화번호 : 02-6104-8686 영업시간 : 매주 월요일 휴무 주차 : 해방촌공영주차장에 주차하시는걸 추천해드려요 이번에 서울여행 가면서 진짜 가보고싶었던 해방촌에 드디어 가보게 되었어요 인스타에서 보던 그 해방촌에서...,2021. 5. 25.
용산역 - 서울 용산구여행,"용산역(龍山驛) 용산역(龍山驛)은 서울특별시 용산구 한강로3가에 있는 경부선과 경원선의 철도역이다. 호남선, 전라선, 장항선 일반 열차와 KTX의 기점이다. 공식적으로는 경부선 상의 역이지만 경부선 계열 열차들은 전부 이 역을 통과하며 이 역에 정차하는 열차들은 전부 호남선...",2021. 5. 18.
서울여행 마포구 용산구 걸어볼까?,버스 안에서 찍어서 좀 흔들리고 화질이 조금 아쉽지만 너무나 만족했던 날이었어요. 특별한 곳을 가야만 trip이 아니잖아요. 일상적인 그리고 평범하지만 처음 가보는 것도 그것도 trip이죠! 그렇게 매일을 여행하는 마음으로 살아가는 미스롱키였습니다 :) #서울여행 #마포구 #용산구 #효창공원,2021. 6. 5.
[맛여행] 서울 용산구 갑오징어짬뽕 맛집 <태양 용산점>,01 태양 용산점 알아보기 ☎ 02-792-5538 ☞ 서울특별시 용산구 백범로 99길 54 (서울특별시 용산구 한강로 1가 253) ☞ 매일 10:30~22:00 (라스트 오더 21:20 / 브레이크 타임 없음) 퇴근 후 저녁 시간에 방문했다. 살짝 해가 넘어가는 시간이라 간판에 조명이 들어와있었다. 붓으로 휘갈겨 쓴 느낌의 간판이...,2021. 5. 14.
"[서울 용산구 임장] 용산역 주변, 원효로1가 역세권시프트 재개발","[서울 용산구 임장] 용산역 주변, 원효로1가 역세권시프트 재개발 산책이라 쓰고 임장이라 읽는다. 투자 추천 아닙니다. 그럴 능력 1도 없는... 반면 3박4일 서울여행 하며 느낀 점이 있다면 서울은 어디서든 스타벅스를 쉽게 찾을 수 있어 대부분이 스세권으로 부를 수 있다. 과장이 아니라 블럭마다...",2021. 10. 10.
[지역N문화 테마여행] 서울 용산구 여행코스 :: 이태원이 품은 공존의 깊이,서울 용산구 여행코스 이태원이 품은 공존의 깊이 이태원이 품은 공존의 깊이 서울 용산구 다양한 문화가 함께 숨쉬는 이태원. 미군들이 사용하던 가구들을 파는 앤틱가구거리부터 우리에게는 낯선 이슬람의 문화까지 이색적인 서울여행을 떠나봅니다. ✓ 전체코스 : 이태원거리...,2020. 10. 19.
서울 용산구 여행 가볼 만한 곳 <남산서울타워> 도심속 로맨틱 아일랜드,"오늘의 국내 추천 여행지 오늘은 한 번쯤 가볼 만한 우리나라 여행지로 서울시 용산구의 '남산서울타워'에 대해 소개합니다. 남산서울타워 위치, 네이버 지도 남산서울타워 항공사진, 네이버 지도 남산서울타워 (출처: 한국관광공사, 서울특별시, N서울타워) 남산서울타워는 한국...",2021. 6. 23.
[서울 용산구 한남동] 라멘 81번옥,[서울 용산구 한남동] 라멘 81번옥 식당 외부 모습 7년 전 올린 포스팅에 나와 있는 간판과 차이가 확~!! 나게 색이 바랜 간판. 가까이 갔는데도... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고...,2020. 2. 5.
서울 용산구 방문미술 즐겁게 그리는 아트모마,"째주 용산구 방문미술 주제는 <눈감고 여행1> 이었는데 눈을 감고 동물원을 상상하고 그림으로 그려보는 상상화 그리기 시간이었어요. 마침 한달 전쯤 동물들 보러 다녀왔었는데 선생님이 ""가본적 있어?""물으니 기다렸다는 듯이 ""당연하죠~~"" 답하며 어떤 동물들을 보았는지 말하더라고요. 과천 서울...",2020. 10. 15.
"서울서 보는 베트남, 용산구 퀴논거리","서울 용산구와 베트남 퀴논시가 1997년 자매결연을 한 지 20주년 기념사업으로 세운 길입니다. 또한 비슷한 시기에 퀴논시 안푸팅 신도시... ©김윤경 현재는 코로나19로 여행이 어렵지만, 우리나라에서 잠시 베트남을 느낄 수 있는 곳이 있어 다행인 것 같아요. 코로나19가 종식되면 퀴논에...",2021. 4. 23.
