header,contents,date
[서울 은평구 여행 가볼만한곳] 진관사 산책&전통찻집 연지원 대추차/단팥죽,"역시 집에서 멀기 때문에 자주 올 수는 없는 곳이지만, 이렇게 사찰만 구경하고 나가기 아쉬운 마음을 달래기에 연지원은 참 좋은 쉼터다. #진관사 #연지원 #보현다실 #전통찻집 #석가탄신일 #은평구여행 #은평구진관사 #서울가볼만한곳 #서울여행 #서울산책 #대추차맛집 #단팥죽맛집 #무료주차 #자운티",2021. 5. 7.
[서울-은평구] 진관사/은평한옥마을-서울로 떠나는 고즈넉한 여행,그러던 중 은평구 편을 보게 되었는데요. 보면서도 '여기 서울 맞아??!!' 하고 몇 번을 되묻게 되더라고요. 검색해보니 집에서 버스 한번 갈아타면... #일상을여행으로 #테마가있는걷기여행 #은평구 #진관사 #은평한옥마을 #진관계곡 #진관사템플스테이 #한옥게스트하우스 #여기서살고싶어용,2021. 8. 20.
은평한옥마을 - 서울 은평구여행,"은평 한옥마을 은평 한옥마을은 서울특별시 은평구 진관동에 위치한 현대식 한옥마을이다. 2010년 서울 주택도시공사가 서울특별시 은평구 진관동 일대에 한옥마을 조성을 계획하면서 2012년부터 개발 착수, 2017년 대부분의 한옥이 완공되었다. 2016년에 방영된 옥수동 수제자 촬영지로 유명하다....",2021. 3. 30.
서울 은평구여행 가볼만한곳 볼거리추천 한옥마을 진관사 사비나미술관,서울 은평구여행 가볼만한곳 볼거리추천 한옥마을 진관사 사비나미술관 제가 은평구여행을 했던 동선입니다. 사비나미술관 -> 북한산제빵소 -> 은평한옥마을 -> 진관사 엽전같은 동전으로 만든 멋진 산양 ? 자유롭게 사진촬영이 가능한 미술관입니다. 열심히 기록을 남깁니다. 저는 요즘 놀고있는지라...,2020. 6. 17.
은평구호텔 1박2일 서울호캉스는 브릭스호텔에서,"해외 여행 계획도 물 건너 가고, 올해 국내라도 돌아볼까 했지만 거리두기 격상으로 결국 실패 ㅠㅠ 결국 아무데도 못 가고 말았는데요. 이렇게는 너무 서운할 것 같아 서울호캉스라도 즐겨보기로 했어요. 브릭스호텔 *위치* 서울 은평구 은평로8길 1 *예약 및 문의* 02-382-9995 *체크인/체크아웃* Check...",2021. 9. 4.
세연재_서울 은평구 한옥마을 여행,"#서울근교 #서울근교여행 #은평구한옥마을 #한옥마을 #북한산 #맛집 #카페 #세연재 #한옥숙소 #숙소추천 올해 여름 휴가엔 코로나로 인해 멀리 가기에도 부담스럽고, 처음으로 혼자 어느 곳이든 다녀와야겠다고 결심했다. 그래서 최종으로 결정한 곳은 서울 은평구 한옥마을! 2년 전인가 회사...",2021. 8. 16.
은평구호텔 서울호캉스 브릭스 호텔 자매 여행 다녀온 후기,결혼하면서부터는 외박하는게 눈치보이는데 이번에는 자매 여행이라는 이름하에 미리 외박하겠다는 동의까지 구하며 다녀온 동생과의 자매 여행 #은평구호텔 #서울호캉스 서울 은평구 응암역 근처에 위치한 브릭스호텔 여기가 바로 브릭스 호텔인데요! 처음 드는 생각은 주거 단지 가운데 왜...,2021. 4. 8.
당일치기 서울여행 응암동 백년약속치과 봉은사 방문 강남구 은평구,당일치기 여행으로 서울 응암동 백년약속치과와 강남 봉은사에 간만에 다녀왔다. 특히 봉은사는 2020년 9월 우울증이 매우 심각한 수준에 이르렀을... 108배 수행까진 하지 못했으며 간단하게 3배를 올린 후 다시 서울 은평구 응암동 백년약속치과 김 모 원장님과 같이 산책에 나섰다. 그린서브마리너...,2021. 9. 25.
서울나들이 - 은평구 셀프회수산시장 - 경기도나들이 - 서울근교여행- 맛집...,"취했냐ㅡ.ㅡ 가자고 ㅠㅠ 결국 6개 고르고, 셋이 찰칵 내 반쪽이랑 찰칵♡ 소화 시킬 겸 다시 걸어서~~~나가기 들어올때는 그리 멀더니 배가 불러서 인지 풍경 덕분인지 금방 큰길가 ^^ #서울은평구맛집 #북한산로 #경기도나들이 #북한산 #북한산근처맛집 #북한산쌈밥 #고양시맛집 #덕양구 #지축동...",2020. 5. 1.
여름 서울 가볼만한곳 추천 : 은평구 북한산 진관사 계곡 물놀이,안나가도 서울 안에서 계곡 물놀이 즐길수있는 여름 가볼만한곳 이니 지난 밤에 너무 더워 미칠뻔했다.. 이런분 계시면 일어나자마자 물놀이 용품 챙겨서 은평구 진관사 계곡으로 바로 출동하시면 됩니다 북한산 진관사 계곡 여행날짜 : 2021년 7월 21일 오전 방문소요시간 : 50분 은평구 진관사 계곡...,2021. 7. 24.
