header,contents,date
"부동산 임장과 함께 하는 걷기 여행 10탄(서울 종로구 경희궁자이, 광화문업무지구)",직주근접의 의미를 제대로 느끼고 온 서울 종로구 광화문 걷기여행이었습니다. 서울은 좀 더 자주 와야겠다는 생각이 듭니다. 부동산의 본질적인 가치에 대한 생각을 많이 하게 되더군요. 그럼 다음 부동산 임장 걷기 여행지에서 또 만나 뵙겠습니다. 보람되고 행복한 하루 보내시길 바랍니다...,2021. 10. 10.
"[서울여행] 종로구 천도교 중앙대교당, 운현궁, 교동초등학교, 정독도서관, 삼청동...","하긴 여기서는 이방인이 아니라서^^ #지석영 지난 토요일 오후, 서울 한복판 정치 1번지 종로구 명소 구경에 나섰다. 가장 먼저 지석영 선생의 집터 표지석이 눈에 띄었다. 지석영 선생(1855-1935)은 천연두를 치료하는 종두법을 처음으로 보급하였다. 관립 교동소학교는 1894년에 문을 연 우리나라...",2020. 6. 30.
"서울 여행 낙산공원, 낙산전시관, 낙산정... 순희네빈대떡, 서울 가볼만한곳, 종로구...","#공원, #낙산공원, #낙산전시관, #낙산정, #종로구가볼만한곳낙산공원, #종로구여행낙산공원, #서울종로구가볼만한곳낙산공원 이제 중앙광장에서 낙산공원 정상 쪽으로 올라간다. 중앙광장에서 낙산공원 정상으로 올라가는 산책로가 잘 조성되어 있어서 걷기에 아주 편리하다. 낙산공원 정상에...",2021. 10. 4.
[책방여행] 서울 종로구ㅣ#3 부쿠서점 / 서울 안국역 책방 / 인사동 복합문화공간 / 안녕...,재밌어 보이는 가게는 전부 구경하다 설빙가서 빙수 먹고 익선동가서 필름을 난사했다지 아마. 뒷 일은 기억이 나지 않아. 전시 르네 마그리트 특별전. #pureum_read #부쿠서점 #서울책방여행 #안국역책방 #종로구책방 #인사동카페 #블라인드북 #큐레이션서점 #독립책방,2021. 9. 30.
서울시걷기여행 서울종로구여행 서울가볼만한곳 청와대앞길 신무문 청와대사랑채,서울시걷기여행 서울종로구여행 서울가볼만한곳 청와대앞길 신무문 청와대사랑채 경복궁 관람후 북문인 신무문으로 나와서 청와대앞길과 청와대사랑채을 둘러봅니다 이곳은 1968년에 북한의 무장공비 청와대 침투 실패사건이 일어난 이후에 민간인의 통제를 하였던 서울시의 종로구 효자동에...,2021. 3. 14.
<서울 종로구> 국립민속박물관으로 시간 여행을 떠나요!,시간 여행을 떠나요. 옛날 사람들은 어떤 모습으로 어떻게 살았을지 보러 간다면 꼭 가야하는 곳이 민속박물관이 아닐까요? 아이들에게 정말 좋은 체험이 되는 곳이니 꼭 들려보세요. 기본 정보 민속박물관은 본관과 파주관으로 두 군데에서 관람이 가능해요. 1) 주소 본 관 : 서울시 종로구 삼청로...,2021. 8. 11.
"[지역N문화 테마여행 ] 서울 종로구 여행코스 :: 조선왕조, 그들의 신화","서울 종로구 여행코스 조선왕조, 그들의 신화 조선왕조, 그들의 신화 서울 종로구 *출처 경복궁 홈페이지 서울 종로에는 500년 전의 조선의 이야기가 그대로 남아져 있어요. 조선 왕이 유교적 이념아래 태어나 죽을 때까지의 의무와 책임을 박물관부터 종묘까지 따라가볼까요? ✓ 전체코스...",2020. 10. 8.
[여행] 서울 종로구 창신동 네팔음식거리,"서울 종로구 창신동 네팔음식거리 서울지하철 1호선 동대문역과 동묘앞역 사이를 잘 보면 '창신동 네팔음식거리'가 있습니다. 2000년대 초반... 집어넣으면 입을 씻어내는데 좋다고 합니다. 매일 일이 바빠서 좋은 것을 먹지 못하고 있었는데, 간만에 온몸에 향신료를 가득 담아서 좋은 여행이었습니다.",2020. 4. 11.
"[서울여행] 종로구 신문로2가 가볼만한 곳, 서울역사박물관","서울역사박물관은 어떻게 생겼나? 대한민국 수도 서울에 시립박물관 하나 없어서야 되겠냐au, 박물관 건설 논의가 시작된 건 올림픽과 아시안게임을 앞둔 1980년대 초반이었다. 경희궁터에 자리를 잡았던 일본인을 위한 경성중학교는 해방 이후 서울고등학교가 됐다. 1980년 정부시책에 따라...",2021. 9. 22.
[서울여행]강북나들이 종로구 부암동 & 서촌한옥마을,1396년(태조 5) 서울 성곽을 쌓을 때 세운 사소문(四小門)의 하나로 창건되어 창의문이란 문명(門名)을 얻었다. 참 지루할 틈 없는 재미있는 동네에요. 두 시간 살짝 넘겨서 드디어 입장했습니다 ㅋㅋ 1인 빙수가 있고 2인 빙수가 있는데 기다린 시간이 아까워 1인 1빙 했습니다. ㅎㅎ 딸기빙수...,2021. 6. 21.
〔서울여행〕 서울 도보관광코스 청계천... ㅡ 서울의 한 복판인 종로구와 중구와의...,"누가 서울 한복판이라 하겠는가? 걸으면서도 기분이 너무도 좋았다~~~ㅎ 나래교 전태일다리 & 버들다리 전태일 다리위에는 전태일의 동상이 있고 수표교 인근 종로구 청계천로 105에는 전태일기념관이 있다한다 삼삼오오 짝을 지어 나온 시민들,,, 어디에든 먼저 앉으면 그 자리가 내자리이다~~~ㅎ...",2020. 9. 25.
서울여행 추천! 종로구 북촌 8경,"[ 여행 ] 서울여행 추천! 종로구 북촌 8경 한 곳에서 너무 오래 살았습니다. 그래서 이사를 꿈꾸고 있습니다. 지방에서 살까 고민을 진지하게 하지만 동시에 서울의 이 좋은 인프라를 다 포기해야 해서 고민만 하고 있네요. 특히 제가 서울을 떠나면 가장 아쉬운 것은 여의도, 강남, 홍대 같은 뛰어난...",2021. 10. 4.
아이폰 XS max로 찍은 서울 종로구 트래킹 여행_종묘_청계천_광화문광장_경복궁_청와대...,"#서울종로트래킹여행 브이로그 (※영상에 경복궁을 경북궁으로 오타가 있어요. 수정하려고 했는데 편집 파일을 삭제하는 바람에 ㅜㅜ) 사실 저는 부산, 김해 사람이라 서울 잘 몰라요 ^^ 부산 촌놈이죠. ㅋㅋㅋ 예전에는 어릴 때는 서울에 대한 동경이 있었는데 나이가 먹으니 서울보다 그냥 제가...",2021. 3. 22.
[서울여행] 서울 종로구 통인시장 원조 기름 떡볶이집 ❣️ 최초 기름 떡볶이집입니다...,첼로쟁이에요 ❤️ 지난번에 서울에 다녀올 일이 있어 갔다가 종로구에 위치한 통인시장을 방문해보았답니다 ! 서울에서 시장은 처음 ! 통인시장은 더 처음 ㅋㅋ 통인시장은 엽전으로 도시락 만들어서 먹기로 유명하다고 알고 있어요 :) 그래서 방문했는데 코로나라 그런지 문닫은 가게도 많고...,2021. 3. 24.
