header,contents,date
서울 중구 여행 데이트코스 5월가볼만한곳 덕수궁 야간개장 예약없이 바로,날씨 좋아 어디로든 나가야할것만 같은 5월의 주말 ( 2021.5.22 토요일 ) 요즘 한옥이 주는 고즈넉한 분위기가 마음에 들어 서울 중구 여행 데이트코스로 좋았던 5월 가볼만한곳 덕수궁 야간개장을 다녀왔다. 궁궐 야간개장은 예약이 필수인줄만 알고 있었는데 경복궁과 달리 덕수궁은 예약없이 바로...,2021. 5. 23.
서울 중구 여행 : 남산과 신당동 떡볶이,합쳐서 하나의 큰 가게로 바꾼 기업형 가게이기는 한데 치즈떡이 좋아서.... 이제는 길이 일방통행으로 바뀌어서 입구쪽으로 진입하려고 하면 파란색 조끼를 입은 할매네에서 제지합니다. 앞에 세우시고 무료 발렛파킹을 부르면 됩니다. 일방통행 5월 비오는 주말! 서울 중구 여행을 마무리 해봅니다.,2020. 6. 10.
서울중구여행 서울가볼만한곳 서울역 신청사 문화역서울284 서울로7017...,서울중구여행 서울가볼만한곳 서울역 신청사 문화역서울284 서울로7017 서울역옥상정원 천주교중림동약현성당 서울시 중구 걷기여행은 서울역 신청사부터 시작하여 사적 제284호인 문화역서울284를 지나서 서울로7017로 진입합니다 연중 전시가 열리는 공간이지만 코로나 시국이라 현재...,2021. 2. 21.
[지역N문화 테마여행] 서울시 중구 여행코스 :: 대한제국 위에 새겨진 서울,"서울시 중구 여행코스 대한제국 위에 새겨진 서울 대한제국 위에 새겨진 서울 서울시 중구 *출처 : 중구 문화관광 지역N문화 테마여행. 대한민국의 오랜 수도이자 대한민국의 중심인 서울 여행을 떠나봅니다. 서울의 상징, 서울시청! 그 주변의 근대 건축과 현대 건축이 결합하여 시간의...",2020. 11. 9.
대구중구여행 반지길 투어 여성들의 길,대구 중구 여행 반지길 투어 여성들의 길 안녕하세요 다양한 것을 리뷰하는 대구 블로거 첼바입니다. 요즘 코시국이라서 많은 곳을 돌아다니기가... 정말 이쁘게 지어진 계산성당 서울에 있는 명동성당을 지으신분이 함꼐 지었다는 곳인데 정말 이쁜 건물인거 같아요. 얼마전에 영화로도 봤던 김수환...,2021. 10. 8.
청년 문화 크리에이터 탐방 - 과거와 현재가 한 곳에! 서울시 중구 여행｜Gogo! Seoul,"서울시 중구 여행 Gogo! Seoul https://youtu.be/G3C1bGDbib0 서울의 과거와 현재가 공존하는 곳! 바로 서울시 중구에 있는 ‘서울로 7017’, 그리고 ‘문화역서울 284’에 다녀왔어요. 서울로 7017에서는 각종 공연과 마켓이 진행되고 있고, 문화역 서울 284에서는...",2020. 6. 11.
"울산 중구 여행의 시작 ""울산큰애기를 아세요?""","독특하고 재미있는 이야기가 있는 중구여행을 알리기 위한 제2기 울산큰애기 SNS서포터즈 조명옥입니다, 울산 중구 여행 스토리를 시작하기 전... 표정은 도도하며, 모나리자와 같이 어떤 표정인지 알 수 없음] 내 이름은 경상도 울산큰애기 상냥하고 복스러운 울산큰애기 서울 간 삼돌이가 편지를...",2020. 2. 20.
울산 중구 여행 - 울산 '동헌 및 내아'/고복수길,#울산시 #중구 #울산중구여행 #역사유적지 #울산뚜벅이여행 #울산동헌및내아 #고복수길 네하! 20년 08월 21일 오랜만에 뚜벅이 여행 테마는 울산 역사... 서울이든 부산이든 어디든.... 자신이 오랫도록 살았던 도시도 가끔은 여행자의 눈으로 모험을 떠나보면 어떨까?!?!?!? 다들 다가오는 1-2주는...,2020. 8. 23.
혼자서도 재미있는 울산중구여행지를 찾아서~~,17세에 서울의 경기중고등학교로 진학할떄까지 여기에서 살았다.1910년 선생은 주시경(周時經):1876~1914)이 운영하는 조선어강습소에 다니며... #울산중구 #병영성 #외솔기념관 #울산중구여행 #경상좌도병영성 #울산큰애기sns서포터즈 #최현배생가 #황방산숲길 #혁신도시,2020. 10. 10.
부산중구여행 @ 용두산공원/국제시장/깡통시장/자갈치시장,"부산국제시장, 서울에 있는 시장은 비교도 안되던데? 부산의 절경을 한눈에 내려다 볼 수 있는 부산타워가 위치한 용두산공원. 그 아래 국내 최대규모의 전통시장인 국제시장과 깡통시장. 부산의 명물 자갈치시장에서 먹은 꼼장어구이까지 부산을 짧고 굵게 경험했다. 1/5 어제는 부슬부슬 비가...",2021. 8. 24.
