header,contents,date
서울 지하철 여행 중랑구 중랑천 장미터널 중랑 장미공원 다녀왔지요,활짝 피면 다시 한번 가 볼까 합니다. 중랑천의 유채는 아직 어리던데 서울 장미축제할 때 중랑천의 유채꽃도 한몫 단단히 하거든요. 장미도 실컷 보고 유채꽃도 실컷 볼 수 있는 서울 지하철 여행으로 좋은 중랑구 중랑천 장미터널 장미공원 이랍니다. 장미꽃 보고 힐링도 하고요~~,2021. 5. 6.
"중랑구 점집, 면목동 점집, 서울 점집, 꿈해몽, 초현당",말에 안장이 없는 꿈 ( 사업 자금이나 기반을 얻게 되거나 여행할 일이 생긴다는 의미 ) . 말에 짐을 싣거나 마차를 매는 꿈 ( 집 안 식구 중 누군가가... #중랑구끔해몽잘하는곳초현당 #서울점집 #중랑구점집 #면목동점집 #서울점집 #사가정점집 #신점잘보는곳초현당 #사주잘보는곳초현당 #연애상담...,2021. 9. 14.
서울 가볼만한곳 중랑구 면목시장 재난지원금 추석연휴 장보기와 선물구입,"활동 중인 편가여 단장(편안한가족여행/단장) 소개하는 서울시 중랑구 이번 이야기는 중랑구에서 지역화폐, 제로페이, 재난지원금으로 신선한 과일, 야채, 고기, 선물 등을 구입할 수 있는 면목시장 전통시장을 소개하려고 합니다. 지하철 7호서 사가정역 인근에 위치한 면목시장 전통시장은...",2021. 9. 12.
‘코로나’ 검사 받고 제주여행 온 ‘서울 중랑구 확진자’ 가족도 확진,"같은 시간, 서울 중랑구 확진자와 함께 제주 여행에 나섰던 다른 가족 5명도 즉시 접촉자로 분류돼, 코로나19 진단 검사를 받고 도내 격리시설에서 결과를 기다리고 있었습니다. 제주도는 “검사를 받은 5명 중 1명(제주 540번)만 최종 양성으로 확인됐고, 나머지 4명은 모두 음성 판정을 받았다”고...",2021. 2. 10.
중랑구 나들이 서울장미공원 서울 장미축제와 유채꽃 명소,중랑구 나들이 서울장미공원 서울장미축제와 유채꽃 명소 중랑구 서울장미공원에 장미가 활짝 피었다는 소식을 듣고 평일 오후에 다녀왔어요. 여유롭게 인생샷 담을 수 있겠지 기대했는데요 사람이 너무 많아서 평일인지 주말인데 구분이 안 갈 만큼 사람이 많았습니다. 2021 서울 장미축제 가시는...,2021. 5. 19.
"[서울시 중랑구 나들이] 서울장미공원(장미꽃과 유채꽃 명소) 개화시기, 5월여행 강력추천",#서울 #중랑구 #서울장미공원 #장미꽃 #명소 #꽃구경 #꽃축제 #꽃구경여행 #꽃 #개화시기 #꽃피는시기 #수국개화상태 #개화현황 #6월여행추천 #5월여행추천 #여름여행 #여행추천 #여자친구와여행 #남자친구와여행 #가족여행추천 #아이들과함께 #가볼만한곳 #명소 #힐링여행 #데이트장소...,2021. 7. 6.
"(양양 여행), 우리동네반찬가게(서울 중랑구 일품 반찬), 빅데이터랭킹맛집...","3GO - 양양 3GO 여행 편 ▶<충청도깜둥이네횟집> 주소 : 강원 양양군 강현면 낙산사로 54-20 번호 : 0507-1380-7889 도치 죽도정, 하조대 3. 우리 동네 반찬 가게 - 맛도 가격도 모두 최고! 18년 손맛의 일품 반찬 편 ▶<수라찬가> 주소 : 서울특별시 중랑구 망우로 203 번호 : ***-****-****...",2020. 12. 12.
"[서울여행] 김씨 3대가 ^^ 호젓이 산책 다녀왔네요. (21.9, 서울 중랑구 #봉화산)",#봉화산 산책로 입구는 중랑구청 뒷편이라 찾기 좋고 유료주차장도 조그맣게 있어요. 원래 지역전체가 배나무가 많던 곳이었는데 지역이... 오~ 정상에서 바라본 서울시내~ 미세먼지 하나없이 Clean & Green이네요. 정상 봉수대에 사람들이 제법 있어서 신속히 내려갔어요. 내려가는 길에는 운동시설도...,2021. 9. 21.
서울 중랑구 묵동 먹골역 맛집ㅡ쪽갈비대통령,"서울 중랑구 묵동 맛집ㅡ #쪽갈비대통령 지난주 다녀온 쪽갈비 대통령 우리가족 최애맛집입니다ㅎㅎ 언니랑 동생네가 간다기에 여행갔다가 쪽갈비 먹으려고 4시간반동안 휴게소도 안들리고 묵동에 갔어요ㅋ 남편등짝때리고,커피먹이고,껌,사탕 먹여서 운전잘했구요 피곤함은 쪽갈비로 날리기...",2020. 6. 23.
"[서울 독립 서점 탐방] 코로나19, 집콕하며 뭐할래? 중랑구 여행 독립서점 '바람길...",#코로나19 #집콕 #집콕템 #중랑구 #중랑구서점 #집콕놀이 #책 #독서 #여행 #랜선여행 #대리여행 #집콕놀이추천 #집콕템추천 #사회적거리두기 #중랑구카페 #중랑카페 #상봉 #상봉카페 #바람길 #코로나 #사회적거리두기 #랑랑서포터즈 #집콕취미 #집콕취미추천 #독립서점 #독립서점탐방 #서울독립서점,2020. 4. 23.
서울 중랑구 아이들과 갈만한 곳 : 중랑장미공원 서울장미축제 & 공릉닭한마리 본점,안녕하세요 가족 여행 코디 러플입니다! 이번에 소개해 드릴 서울 아이들과 갈만한 곳 은 바로 요즘이 가장 절정인 서울 중랑장미공원 의... 서울 중랑구 아이들과 갈만한 곳 서울장미축제 올림픽공원 장미광장 의 장미축제와 더불어 서울에서 손꼽히는 장미축제 입니다 중랑천을 끼고...,2021. 5. 22.
