header,contents,date
세종시호텔 베스트웨스턴플러스호텔세종 친구랑 여행온듯 세종시 호캉스,몇 년 만에 동창 만나 세종시 호텔 베스트웨스턴 플러스 호텔 세종에서 숙박하며 폭풍 수다를 떨며 하얗게 밤새우고 호텔 조식 먹으며 여자끼리 해피타임을 가졌어요 베스트웨스턴 플러스호텔 세종 전경 세종시 몇 번 가보긴 했지만 깔끔하고 넓고 멋진 건물이 많아서 세종시 여행도 할만했는데요...,2021. 6. 18.
(국내여행) 세종시 세종호수공원 - 가볍게 산책하기 좋은 세종호수공원은 세종시민의...,여행일시 : 2021.06.08. 세종호수공원은 세종시 중심에 위치한 호수로서 세종시 및 인근 주민들에게 다양한 문화행사와 자연친화적인 환경을 제공함으로써 휴식 및 문화의 공간을 제공한다. 호수를 중심으로 5개 주요 테마섬으로 이루어져 있고 산책로 8.8km와 자전거도로 4.7km제공함으로써 주민의...,2021. 6. 21.
"세종 여행 가볼만한 곳, 세종호수공원! 산책하기 딱 좋은 세종시 명소 추천!",#세종가볼만한곳 #세종시가볼만한곳 #세종명소추천 글/사진 불펌 및 도용 금지입니다. Copyright ⓒ 소내 All Right reserved 여행블로거 소내입니다! 더 많은 여행정보가 궁금하시면 소내의 인플루언서홈으로 찾아주세요! '팬하기'도 눌러주시면 포스팅하는데 큰 힘이 됩니다! 감사해요❤ [소내의...,2021. 4. 6.
국립세종수목원 힐링타임 (feat. 세종시 여행),국립세종수목원 힐링타임 (feat. 세종시 여행) 비가 오고난 후 하늘은 맑음. 온도와 습도 모두 적당한 봄날은 가만히 있던 마음도 들뜨게 한다! 연인과 혹은 가족과 함께 힐링의 시간을 가질 수 있는 국립세종수목원에 다녀왔다. 국립세종수목원 세종시 가볼만한 곳 청주에 본가가 있어서 가끔...,2021. 5. 3.
세종여행:: 세종시 맛집 킨지 세종점 (2021.05.14 금요일),com/kinji_sejong/ 세종시 맛집 킨지 세종점은 새롬동 영광프라자 스타벅스 건물 초록마을 2층에 위치해있다 상가 건물 주차장을 이용해 주차를 할 수 있다 모든 음식은 주문후에 조리가 시작되며 음식이 늦게 나올수도 있다고한다 점심시간을 지난 늦은 오후에 방문해서인지 많이 늦지 않고...,2021. 8. 19.
[공주여행] 세종시 키즈카페. 세종 펀펀키즈월드 고운점,"그만 가자~~ㅎㅎ 더위를 피해 2시간 넘게 잘 놀았어요 넓고, 놀거리가 다양해서 좋았어요 놀거리 많아도 결국, 놀던것만 놀긴 하죠 ㅎㅎ 손님이 없지만 직원분들이 계속 청소를 하고 있던것도 굿입니다 #세종시키즈카페 #세종키즈카페 #공주여행 #충남여행 #세종여행 #아이와갈만한곳 #충남갈만한곳",2021. 8. 23.
[세종 여행] 세종호수공원_세종시 가볼만한 곳!!,"2021년 3월 지난주 휴일 #세종시여행 #세종호수공원 에 다녀왔다. 세종호수공원은 5년 전 16년 6월에 다녀온 후 처음인데 그때 방문했을 때도 충격이었고, 이번에도 충격이다. 세종호수공원은 별다른 게 없는데 세종시가 많이 변했다. 5년 전에도 정부청사를 기준으로 주변에 아파트가 있었는데 지금은...",2021. 3. 23.
"세종합강캠핑장 캐러밴에서 낭만적인 1박2일(세종시 캠핑, 세종여행)",바로 옆에 집을 두고 왠 캠핑이냐하겠지만 요즘처럼 장거리 여행이 어려울때는 이렇게 지역 이동 없이 캐러밴에서 1박2일만으로 기분전환도 되고 또다른 일상을 살아갈 수 있는 힘을 얻을 수 있답니다. 글/사진 : 세종특별자치시 블로그기자단 [제8기] [김보현] 전자메일 : *******@*****.***,2020. 7. 3.
세종 배달음식 족발과 낙곱새(세종시 배달음식),세종 배달음식 족발야시장 세종보람점에 정착 했답니다. 위치는 요기 국민낙곱새 세종직영점 다들 낙곱새아시죠? 저는 10년 전 쯤 인가 부산여행갔... #세종배달음식 #세종시배달음식 #세종배달맛집 #세종시배달맛집 #세종족발 #세종시족발 #세종족발맛집 #세종시족발맛집 #세종낙곱새 #세종시낙곱새...,2021. 9. 19.
국내 호캉스 추천 세종시 호텔 조식 뷔페 베스트웨스턴플러스세종,국내 호캉스 추천 세종시 호텔 조식 뷔페 베스트웨스턴플러스세종 며칠 전 충남권 여행할 기회가 생겨 1박 2일 다녀오면서 하루 묵었던 곳 베스트웨스턴 플러스 세종호텔 소개해 봅니다. 행정중심복합 도시 건설로 우뚝 서 있는 곳이자 행정부 기관들이 대부분 세종시로 이전하면서 활기찬 모습을...,2021. 10. 11.
