header,contents,date
[2020 울산 남구 블로그 공모전] 언택트 하면서 온택트한 울산 남구 여행,"울산 남구 여행 언(Un) 택트 하면서 온(On) 택트 하게 안녕하세요, 여행하는 핑초입니다 오늘은 특별한 여행을 소개하려고 합니다 코로나 때문에 여행이 고민되실 텐데 언택트 하면서 온 택트 할 수 있는 울산 남구 여행 명소를 알려드릴게요 울산 남구 명소 - 태화강역 시티투어버스, 이휴정, 고래...",2020. 12. 16.
[블로그 기자] 울산 남구 여행 울산대공원 생태 여행관,#울산남구여행 #울산대공원 #생태여행관 #울산 #울산여행 #나비원 #곤충관 #우파루파도롱뇽 울산대공원 생태여행관으로 오시는 길은 네비 창에 울산대공원 남문주차장을 입력하시면 되는데요. 대중교통으로 오시는 분들은 울산시외버스터미널에서 134번을 승차하셔서 울산대공원 남문에서...,2021. 4. 20.
울산 남구 여행 태화강 전망대에서,"한적한 공간이고 울산의 뷰를 한번에 볼 수 있어서 울산 남구 여행 태화강 전망대를 오신다면 여길 꼭 한번 들려보시는게 좋을 듯 해요! 엘리베이터를 타고 4층에 올라가면 전망대를 만날 수 있답니다. 맞은편 십리대숲의 청량한 풍경과 철새관찰, 그리고 강변을 따라 걷다가 잠시 쉴수 있는...",2020. 6. 29.
울산남구맛집 친구 샤브샤브 본토의맛,"중국전통주가 가득하던데 이런 감성도 너무 맘에 듭니다, 요즘 해외여행은 엄두도 못 내고 있는데 이런곳에서 이런 감성에 젖어 드니 해외여행을 온듯한 느낌이 많이 들어서 너무 힐링이 됐네요. 울산남구맛집 친구 샤브샤브는 중국 현지인 맛집답게 소스부터 남다릅니다. 고기마다 소스 제조법이...",2021. 9. 15.
[여행일기] 울산 남구 와우쥬 실내 동물원 탐방기!,마지막으로 방울이 (사슴) 친구와 함께 찍은 사진으로 마무리 하겠습니다 ㅎㅎ 이번주도 좋은 한 주가 되길 바래요 ❤️ #울산 #남구 #울산남구 #무거동 #와우쥬 #실내동물원 #알파카 #동물원 #체험 #체험학습 #여름휴가 #대학로 #여행 #가족여행 #동물 #8월,2021. 9. 1.
경상도 여행 ● 울산 남구를 돌아보며 ●,경상도 여행 ● 울산 남구를 돌아보며 ● 한국에서 가장 대표적인 공업도시인 울산은 1군 4구 6읍 6면 44개 동으로 이루어졌다. 특히 항구도시인 울산 주변 동해안과 내륙에는 천혜의 자연경관이 있어 자연 속에 둘러싸인 관광 도시로도 유명하다. 혹시 울산에서 가장 비싼 동네 중에 한 곳이 남구...,2021. 8. 15.
울산 남구 피부관리 앰플-캐비어 관리 와이오스킨앤왁싱 후기,"얼마 전, 제주도 여행 다녀왔더니 피부가 다시 푸석푸석해진 느낌이라 울산 남구 피부관리 알아보고 와이오스킨앤왁싱 다녀왔어요. 울산 남구 세이브존 바로 옆에 위치해있어서 찾아가기도 어렵지 않고 원장님도 친절하셔서 기분 좋게 관리받고 왔답니다. 후기 남겨볼게요! 평일 오후로 미리...",2021. 5. 22.
울산 남구 매암동 장생포항 고래박물관 여행하다,일자 : 2021년 09월 22일 요일 : 水曜日(Wednesday) 날씨 : 맑음 기온 : 20˚/28˚ 일출 : 오전 60: 10 일몰 : 오후 6 : 20 습도 : 79% 미세먼지 : 좋음(21ug/㎥) 선선하게 느껴지는 하루 체온 유지에 노력 동구를 떠나 남구 장생포로 나들이 울산대교 지나는 대교거리 한산하고 울산대교 지나서 장생포항으로...,2021. 9. 22.
(울산여행/남구)남산근린공원 - 태화강과 태화강 국가정원이 보이는 낮은 산!!,< 주소 > 울산 남구 신정동 등산 소요시간 - 30분 옥동 주민들은 이쪽 입구를 많이 이용한다 남산은 옥동과 신정동의 경계에 위치하고 있다 옥동을 반으로 가르는 문수로를 기준으로 남쪽에 있는 주민들은 울산대공원을 북쪽에 있는 주민들은 남산을 운동장소로 많이 이용한다 등산을 시작한지...,2020. 2. 21.
울산 남구 달동 카페 : 시그너스 커피바,시그너스커피바 주소 : 울산 남구 번영로 119 1층 영업시간 : 12:00~22:00(매주 월요일 휴무) 전화번호 : 070-4228-9292 주차장 : 없음 지난 울산 여행때 마지막으로 들렀던 시그너스커피바 :) 이날 먹었던 커피 중 가장 맛있었던 곳 달동 주공아파트쪽에 위치해있었고 생각보다 매우 협소했던 공간에 엄청...,2021. 8. 30.
[울산 남구 여행] 푸르른 나무 사이로 운동하기 좋은 선암호수공원,"안녕하세요~울산 남구 여행 중 무더운 여름날씨에 가기 좋은 선암 호수 공원에 대해 소개 하고자 합니다 ^^ 선암호수공원 안내도 선암저수지의 유래- 일제 강점기에 농업용으로 축조한 선암제라는 못이었으나, 공업단지에 공업용수를 공급하기 위해 1964년 12월에 새로이 축조 하였다고 합니다....",2021. 7. 27.
울산 남구 삼산동 맛집-현하식당; 추억의 인테리어로 시간여행,"현하식당 - 주소 울산 남구 삼신로 30 - 연락처 052-260-3210 - 영업시간 매일 11:30 - 22:00 휴식 오후3시 ~ 6시 월요일 휴무 첫째, 셋째주 월요일 휴무 - 주차 x - 아기의자 O 건물이 굉장히 독특하죠? 건물 자체가 독특해서 찾는데 어렵지 않았어요. 일본가옥 느낌이 물씬 나는 현하식당 주차는 따로 공간이...",2021. 9. 5.
[1/2]처음가는 울산여행+울산 남구 삼산동 루프탑카페 “하이어뮤지엄”/대왕암...,다음날은 무라카데칼국수를 가야하므로 일찍 잤던거 같음ㅎㅎㅎ Previous image Next image 같이 데려간 쿠키몬스터 사진도 찰칵 출렁다리도 보고 관람차를 보며 맥주한잔 했더니 잠이 쏟아지는구나.. 오늘 사진이 너무많네ㅎㅎ 몇년뒤에 보면 추억이 될듯하다 #울산 #출렁다리 #대왕암 #여행,2021. 9. 21.
[블로그 기자] 울산 남구 여행 함께 걸어보아요!-장생포 둘레길,#울산남구여행 #장생옛길 부터 #고래문화마을 까지 걸을 수 있는 #장생포둘레길 요즘 둘레길이 대세이지요. 가까운 울산 남구에도 걷기 좋은 둘레길이 있답니다. 장생포에서 울산장으로 가던 산길이 이제는 현대인의 건강 걷기 코스이며 장생 옛길은 장생포의 옛 모습을 더듬어 볼 수 있는...,2020. 2. 20.
"[울산 여행, 울산 축제] 울산 남구 주민이에요!",울산 남구 주민이에요~~~ 약 30년간 지내온 고향을 떠나 새로운 정착지인 울산으로 오게 되었습니다!! 울산시에서도 우편이 왔어요 ㅎㅎ 편지를... 정말 울산 주민이 된 것 같습니다~~~ 울산 지역을 잘 몰랐는데 울산 지도를 받았어요 Previous image Next image 1. 울산 여행 울산 여행 추천 코스도...,2021. 10. 1.
매력있던 울산 남구 맛집,가족 여행으로 들려보기로 결정~ 또다른 울산 남구 맛집 메뉴는 메밀전병입니당 전병은 진짜 주변에서 흔하게 볼 수 없는 음식인 것 같은데 솔직히 이 맛의 진가를 잘 몰랐거든요? 하지만 황정숙 막국수를 만난 후에 진정한 전병의 맛을 알 수 있었어요 얼핏 보면 만두랑 비슷할 수 있다고 생각할 수...,2021. 8. 3.
울산 남구 여행 BEST 5,"오늘은 여행 추천 코스로 소개드리는 <울산 남구 주민이 쓰는 울산여행 BEST 5>입니다. 울산이 서울보다도 넓다는 사실, 알고 계셨나요? 울산은 남구, 동구, 북구, 중구, 울주군으로 총 5개의 행정구역으로 이루어져 있습니다. 광역시 중에서도 면적이 제일 넓다고 해요. 저는 동구와 북구를 거쳐...",2020. 12. 16.
"울산 남구 카페 팬케이크, 크로플 전문점 소셜스낵",제가 사는 동네인 울산 남구에 이런 카페가 있을 거라곤 상상도 못했는데 말이죠. 해외여행 갔을 때 있었던 분위기 좋은 한 번 꼭 들어가 보고 싶었던 그런 분위기를 갖고 있었답니다. 펭귄 로고가 너무나 귀여운 거 있죠 손에 케이크를 들고 있어요. 이곳이 어떤 곳인지를 로고만 보아도 단번에...,2020. 11. 3.
[울산 아기랑 가볼만한 곳] 장생포 고래문화마을 모노레일(남구주민 50퍼 할인!),서연이가 태어나고 난 뒤로는 #아기랑가볼만한곳 #울산아기랑 #아기랑여행 #아기랑나들이 저의 관심사가 완전히 바뀌었어요:-) 이번 주말에... 소개할게요 장생포 모노레일 주소: 울산 남구 장생포고래로 246 (울산 남구 매암동 139-29) 전화번호: 052-266-2621 *고래박물관 주차장 이용가능 (모노레일...,2021. 6. 28.
<2020 울산 남구 블로그 공모전 > 우리 울산 남구로 산책가자!,2020 울산 남구 블로그 공모전 울산남구여행 산책하기 좋은곳 BEST3 타지를 잘 못가는 요즘 울산근처를 구경하다보니 울산 남구 에도 너무너무 이쁘고 그동안 몰랐던 매력있는 곳이 너무 많더라구요! 그래서 준비했습니다 울산가볼만한곳! 특히 울산남구에서 산책하기 좋은곳 Best3 를 말이죠~~~ 1. 각...,2020. 12. 7.
