header,contents,date
베트남여행온듯 이색적인 울산 동구 일산지 카페 코지,외국 여행을 온듯한 색다름을 울산에서 누릴 수 있어 너무나 즐거웠어요 떠나요 베트남 여행 ~ 울산동구카페 코지에서 말이지요. 1층 2층 일산지 바다 조망 되는 루프탑 오른쪽에 주차장이 보입니다. 3층 야외 •카페코지 (울산점 ) -주소:울산광역시 동구 일산동 953-8 4층 -울산 동구 일산진4길 10...,2021. 5. 28.
2021. 04. 29 울산 동구 여행,번째 울산투어 가기 전에 늦게나마 기록해본다 주전몽돌해변 - 대왕암공원 - 슬도 - 일산해수욕장 순으로 다녀왔다 ! 고등학교가 동구였어서... 놀랐다 아직 두 번째 울산 투어가 남아있으니 다음을 기약하며 그만해야지 #울산여행 #주전몽돌해변 #대왕암공원 #슬도 #일산지 #울산가볼만한곳,2021. 5. 5.
울산동구현대예술관 전시 <이탈리아미술관여행전>,이탈리아미술관여행전 #울산가볼만한곳 #울산동구전시 #울산전시 #울산현대예술관 #현대예술관 #소통 #동구핫플 #울산가족나들이 #울산전시추천 #울산핫플 #이탈리아미술관여행전 #울산여행전시 #여행전시 #이탈리아여행 #대구MBC #울산아이들동반가능전시 #예스키즈존전시...,2021. 9. 27.
5월의 슬도에서 대왕암가는 산책길풍경 울산동구여행추천,다리도 조금 아프고 힘들지만 맑은 공기 마시며 눈이 확 트이는 바다 풍경을 보면서 걷는 산책길.... 힘들지만 피곤한 줄 모른다는 표현이 이해가 가실지 모르겠네요. 딱 그런 기분이었습니다. 울산 동구 여행을 생각 중이시면 슬도에서 대왕암 가는 산책길 추천드립니다.,2021. 5. 17.
울산여행│울산 가볼만한 곳│울산대교 전망대│입장료 무료│동구가 한 눈에~,울산 여행오시면 울산대교 전망대도 꼭 들려보세요. 친구는 출렁다리에서 손흔들고 다른 친구는 울산대교 전망대에서 망원경으로 그 장면을 보면 참 재밌겠단 생각이 드네요. #울산여행 #울산가볼만한곳 #울산대교전망대 #울산전망대 #동구여행 #울산동구를한눈에,2021. 9. 27.
울산동구카페/일산지카페 : 카페코지 :) 베트남여행온듯!,"울산동구카페/일산지카페 카페코지 베트남분위기의 이색카페 울산 동구 일산진4길 10 , 4층 주차장있음 아기의자있음 매일 오전11시-밤10시 집근처가... 뱌이뱌이 코코넛커피 드시고싶으시면 가도 좋구, 카페 분위기도 넘 괜찮아서 추천드려용*.* 베트남 너낌받으러~~ 여행도 못가는데 여행느낌내러...",2021. 3. 31.
울산 동구여행 - 대왕암공원,"울산은 크게 시 중심과 동구 두 곳으로 나뉜다. 울산 여행 마지막 날, 어제 산도 보았으니 이제 바다로 향한다. 바다가 있는 곳은 울산의 산업단지 동구! 동구로 가는 길인 ‘아산로’를 따라서 산업단지들이 눈에 들어온다. 다만 예전 산업견학 때와는 달리 이번에는 목적지가 자연 유산이다....",2020. 10. 3.
대왕암공원 해안산책로 울산여행 동구 방어진 탐방 (출렁다리),이렇게 멋진 울산여행지 동구 방어진 기억해 보시기 바랍니다. 일단 일산해수욕장 찾으시면 바로 옆에 있습니다. 식사는 일산지에서 하시고. 여행은 공원으로.. 고고~~ 위에서 대왕암 출렁다리는 오래 기다렸는데 생각보다 별로였다~ 는 늬앙스를 제가 풍겼습니다. 뭐든 사람이 느끼는 바는 사람마다...,2021. 9. 1.
"울산여행 | 바다따라, 일몰까지 뚜벅이 울산 동구 여행코스","울산 동구 여행 코스 | 반나절 알짜배기 여행코스! 안녕하세요 은딧입니다! 지난 2019년에 저는 울산여행 홍보단으로 7개월동안 활동을 했었는데요, 4월 부터 매달 울산에 취재를 하러 다녀왔었답니다! 그러면서 매번 울산여행을 했었는데 마지막 달에 다녀왔던 울산여행 코스가 참 마음에 들고...",2020. 2. 17.
"울산 동구 여행 가볼 만한 곳, 울기등대","울산 동구 여행, 울기등대 울산 울기등대를 가려고 대왕암 공원에 주차를 해야 했는데요. 명절이라서 그런지 사람들이 엄청 붐비더라고요. 대왕암 주차타워의 주차를 하려고 했는데 평상시라면 그냥 주차를 하고 대왕암 공원에 입장을 했을 테지만 자동차 줄이 엄청 길어서 이번에는 주차하기도...",2021. 9. 25.
