header,contents,date
당사해앙낚시공원과 용바위 - 울산북구여행,"용바위 당사 해양낚시 공원에 오시면 배를 타지 않고도 바다낚시를 즐길 수 있는데, 울산시 북구 당사 마을 용바위에서 넘섬까지 길이 220m의 구름다리로 연결하여 마치 바다 위를 걷는듯한 느낌을 가질 수 있습니다 당사라는 지명의 유래는 서낭당이 있던 마을에서 유래된 것으로 여겨지고 있으며...",2020. 10. 19.
✔️울산 북구_ 여행가다,참고해주세요 - #울산 #울산카페 #울산카페추천 #울산북구 #울산북구카페 #울산북구카페추천 #정자 #정자동 #주전 #울산주전카페 #울산주전 #카페 #카페추천 #울산카페추천 #울산오션뷰카페 #울산당사동 #울산북구당사동 #울산북구당사동카페추천 #울산예쁜카페 #울산예쁜카페추천 #울산여행가다...,2020. 5. 14.
울산북구여행 :: 달천편백산림욕장,거기다 자연 곳곳에 아이들이 좋아할만한 조형물을 설치해나서 취향저격~! 아이들과 함께 사진 찍기도 정말 좋아요! 백설공주는 일곱난쟁이~ 이정표! #편백산림욕장 #천마산 #만석골저수지 #천만사 #관문성 #울산북구여행 #울산여행 #울산힐링 #울산편백산림욕장 #달천편백산림욕장,2021. 1. 28.
울산여행 북구 치킨 맛집 오복소복 옛날통닭,"052-282-9935 울산 북구 중산4길 18 (호계 오복통닭이 오복소복으로 이전) 울산 북구 줌파크 앞 (15,000원 이상 배달가능 합니다.) 일요일 휴무 매일 14:00 - 23:30 배달포장마감시간 23:00 오복소복 by 네이버 지난주에 급 다녀온 울산여행! 스아실~ 여행이라기보다는 아이들이 보고싶어하는 친척집에...",2020. 10. 24.
울산 북구 정자 여행 강동누리길 해안길 산책로,울산 북구 여행 해볼만한곳들로 바다는 꼭 빠질 수 없어요. 정자해변 몽돌해변 모두다 너무나 이쁜 곳. 울산 북구 여행 강동누리길 해안길 따라 걸으며 저도 재미있게 길을 걸어봅니다! 울산 여행 가면 정자해변도 많이 가게 되는데 꼭 강동누리길도 걸어보시길 바라요 여기 너무나 좋아요~ 날...,2020. 2. 11.
2021 신나는예술여행 첫번째 이야기 울산북구종합사회복지관 빛 그림 '행복을 찾아서',"2021 신나는 예술여행 첫번째 이야기 2021년 6월 12일 울산북구종합사회복지관을 시작으로 10번의 신나는 예술여행이 시작되었습니다. 신나는 예술여행 빛그림 '행복을 찾아서'는 전시, 공연, 체험으로 이루어집니다. 전시 '빛 그림 바라보기' 유리 등 빛에 투과되는 오브제, 빛 그림을 바라보며...",2021. 6. 28.
"울산 북구 평생학습관 개관 기념, 파리로 랜선 여행 다녀왔어요.","울산 북구 평생 학습관이 생겼습니다! 개관을 기념하여 파리 랜선 여행이 준비되었다 하여 저는 냉큼 가입 후 신청하였습니다. 프랑스 공인가이드 진병관님이 현지에서 Live로 파리 명소를 다니면서 안내해주신다고 하여, 시작 전부터 설렜습니다.^^ 신청 후 드디어 확정되었다는 안내 문자를...",2021. 5. 28.
울산광역시 > 북구 > 산과 바다가 어우러진 울산 북구 여행 | 테마기행 길 |,Home > 대한민국 (South Korea) > 울산 (Ulsan) 산과 바다가 어우러진 울산 북구 여행 | 테마기행 길 | 05월 01일 대전MBC 52:06지금 재생 중,2021. 3. 6.
[울산오션뷰카페] 북구 당사동 여행가다 커피&디저트(coffee & dessert) 솔직후기,#울산오션뷰카페 #울산북구여행가다 #울산카페추천 #울산브런치카페 머큐어앰버서더 울산호텔에서 호캉스 하고 주말 브런치 먹으로 여행가다에! 2021.2.20. #내돈내산 #내돈내먹 여행가다 입구. 카페 이름으론 특이하다. 카페는 넓은데 사람들이 흩어져 있어서 자리 잡기가 쉽지 않았당. 뷰는 이쪽도...,2021. 3. 6.
울산 북구 맛집 우성돈까스 우리동네 식도락 여행,양이라서 더 만족스러웠습니다 배부른데도 꾸역꾸역 먹지 않아도 되더라고요 ㅋㅋㅋ 우리동네 식도락 여행! 저에겐 맛집도 항상 여행이랍니다. 코로나만 아니면 맛집여행 어디든 떠나고픈데 요즘 여행하기 너무 힘드네요 ㅠㅠ 다들 힘내시고 좋은 날이 오길 빌어봅니다. 울산 북구 맛집 우성돈까스,2021. 4. 25.
