header,contents,date
친구네 아이와 함께한 울산 울주군 여행! 가지산 돌짜장 돈스파이크 갈비찜&돌짜장?!...,원기네와 함께 울산 울주군 여행을 다녀왔습니다~ 목적지는 조카 윤우를 위해서 울산 포니랜드 라는 곳으로! 울산 포니랜드 인근 맛집을 검색하니 가장 추천이 많았던 가지산 돌짜장?이라는 곳을 찾아갔습니다~ 울산 울주군 상북면에 위치한 곳으로 아주 조용한 시골마을인데 이 집만...,2021. 9. 10.
<울산/울주군/여행정보>내 차 없이 힘든 울주 여행이 이제는 가능해졌다.,#울주군여행 #울주여행 #울주군관광택시 #울주관광택시 #관광택시 #트래블택시 사실 그렇다. 울주 여행을 하려면 자가용을 운전을 해야 여행이 가능하다. 차 없이 이 넓은 울주군 여행을 한다는 것은 불가능 매우 어렵고 힘든 일이다. 운전을 하기 싫어하는(게다가 길치인) 나로서는 그래서...,2021. 6. 10.
다이나믹한 즐거움이 가득~ 울산 울주군 여행코스 추천!,즐거움이 가득한 울산 울주군 여행코스~! 안녕하세요. 울산 여행입니다 :) 오늘은 낭만적인 울산 동구에 이어 다이나믹한 즐거움이 있는 울주군 여행코스를 소개해드리겠습니다~! 각 도시마다 색다른 매력이 있어 취향에 따라 고르는 재미가 쏠쏠한 울산으로 함께 떠나볼까요? 자수정 동굴나라...,2020. 10. 21.
(울산여행/울주군)무학산 - 등산로 보다는 사연호 전망대가 더 아름다운 곳!!,< 주소 > 울산 울주군 범서읍 망성리 < 코스 정보 > 대방교 -> 삼거리 -> 무덤(?) -> 무학산 정상 -> 사연호 전망대 -> 삼거리 -> 원점회귀 총 길이 : 약 3.8km 소요시간 : 2시간 20분 사연호 전망대 때문에 이곳을 찾게 되었는데 별로 유명하지 않은 곳인지 워낙 정보가 없어서 구간 정보를 얻는데 상당한...,2020. 4. 16.
울산 울주군 언양읍 <진미불고기> 식객허영만의 백반기행 언양불고기 맛집,넘나 오랜간만에 해보는 포스팅은 지난 9월 추석연휴에 다녀온 울산여행 먹방이야기 그 첫번째 ! 울주군 언양읍 진미불고기 후기 울산여행 일주일 전쯤에 우연히 본방사수로 보게된 식객 허영만의 백반기행 ! 오 마침 울산편이 나오더라고욧 이것이 정말 신의 한수였어요 ㅎㅎ 백반기행에 울산의...,2021. 10. 6.
"울산 울주군 여행(간절곶,헤이메르펜션,울산애견동반펜션,바다독차지)",17년지기 짝꿍 친구와 각자 댕댕이들과 울산 여행다녀온 포스터를 이제 올려봅니다^^7 대구-울산 울주군은 꽤 멀었어요ㅠ^ㅠ 2시간 반정도를 달리고 달렸더랬죠ㅎ_ㅎ 저희집 댕댕이 제 동생 김뀨야(남자/6세/요크셔테리어)를 소개할게요~~>_< 차타면 타서부터 내릴 때까지 찡찡대고 제 팔을 밟고...,2020. 1. 31.
"울산 울주군 캠핑장, 부부동반 캠핑, 캠린이 부부","울산 울주군 캠핑장 부부동반 캠핑, 캠린이 부부 글 · 사진 기린아 기분좋은 5월의 시작- 민지네랑 2박3일 부부동반 캠핑을 계획했다. 급 계획한 것 치고는 괜찮은 캠핑장을 예약했고 멕시코 여행 이후로 오랜만에 얼굴봐서 넘 좋았다. 예전부터 계획했었던 부부동반 겨울 삿포로 여행이나, 올해...",2020. 5. 7.
또 가고싶은 울산 울주군 신상카페 다비드북 카페였어요,"주소 : 울산 울주군 언양읍 동문길 21 7층 매일 10:30 - 22:00 050-71352-0447 함초소금크림커피 6,000원 흑임자 라떼 6,000원 콜드브루돌체라떼 6,000원 나들이나 여행의 자유로움은 일정을 마음대로 바꿔도 혹은,중지해도 되는 자유로움 이어요. 어른들이 놀고 있을때(?)를 한자어로 표기하면'취미'라고 하지요....",2021. 3. 19.
"울산&울주군여행 #2..(함월루,석천마을)-2021.7.11","(석계서원,학성이씨근재공고택) 울산 울주군 웅촌면 석천리 고택과 마을을 한바퀴 고즈넉히 걸어보는 마을 석천리 석천마을 학성이씨... 언택트여행지도 많이 찾아보게 되고 그러면서 국내의 좋은 곳들도 많이 찾아볼 수 있는 기회가 되었다 우리나라, 대한민국 구석구석 어찌나 이쁜지.. 오늘도...",2021. 8. 28.
"1박 2일 여행, 울산 울주군 [간절곶 펜션] 애견동반&독채 펜션","평일 휴무를 맞이해 떠난 1박 2일 여행 인적이 많이 없는 곳을 찾다 울산 울주군에 위치한 선펜션을 방문하게 되었어요. 울산 울주군에 위치한 선펜션! 시선310 카페와 함께 운영중인 곳입니다. 독채펜션으로 A,B,C,D동 4곳으로 되어 있습니다:-) (A동만 테라스 오션뷰입니다. B,C,D는 전혀 보이지 않아욤)...",2021. 6. 4.
"울산 울주군 여행, 감테김밥이 너무 맛있는 언양카페 | 소소숲",세 조합이 매우 좋았음. 샹들리에가 린넨 커튼이 너무 고급스러우다. 분위기 좋은만큼 나도 많이 신났다. 좋은 사람과 좋은 곳에서 맛있는거 먹으니 그저 힐링. 재방문의사 100% 멀어도 찾아갈꼬예요 소소숲 울산 울주군 삼남읍 장제1길 13-3 http://naver.me/GKoaGGeV,2021. 8. 11.
울산 울주군 카페 온실리움,에 들어와있는 느낌이들었어요 너무 가깝지 않게 마련되어있던 테이블과 의자들 이런 이색적인 카페라면 요즘같이 여행도 가지 못할때 여행 기분 내기에도 좋을거같아요 로얄캐모마일 / 트로피컬 에이드 / 얼그레이리저브 요즘 같은 날씨엔 무조건 아이스 시키게 되네용 ㅠㅋㅋㅋㅋㅋ 울산 울주군...,2020. 8. 6.
울산 울주군 상북면 매매 :: 가지산 풍경의 궁전같이 아름다운 단독주택,"가지산 등산로 입구 근처에 위치한 '울산 울주군 상북면' 마을은 노후대비를 든든히 준비하신 분들께서 호화롭게 모여살기로 소문난 동네답게... 일반 주택에서는 쉽게 볼 수 없는 펜션 같은 마운틴 뷰 보통 여행갈 때 가장 중요한 것이 숙소의 창문 밖 풍경을 고르는 일인데, 이런 뷰를 매일...",2021. 9. 6.
