header,contents,date
울산 중구 여행 - 울산 숲놀이터 치유의 숲 함월 유아숲 체험원,체험할수있고 바로 옆 정자에는 책도 있어서 시원한 그늘아래 독서시간을 가질수도 있어요 치유의 숲 한바퀴 산책후 그네벤치에 앉아서 흔들 흔들~ 다음번에는 유아숲교육까지 신청해서 더 알차게 놀고 와야겠어요! #울산아이와가볼만한곳 #숲놀이터 #울산숲놀이터 #함월유아숲체험원 #울산중구여행,2020. 5. 25.
울산 중구 여행시 꼭 가야할 추천여행지 - 십리대숲,한바퀴 둘러 보는것 만으로 힐링되는 그 곳! 더위를 잊을 수 있는 최고의 여행지 십리대숲으로~ 놀러오세요~~~~~~~~~~~~~~~~~!! ^^ #십리대숲 #태화강국가정원 #울산중구 #울산큰애기sns서포터즈 #울산여행 #울산중구여행 #추천여행지 #울산갈만한곳 #울산중구갈만한곳 #아이와나들이 #국내여행,2020. 7. 13.
울산을 느끼고 싶다면 울산 중구로 가세요! 울산 중구 여행 코스 추천!,"문화의 거리에서 맛있는 것도 먹고 알찬 시간을 보내보시는 건 어떠세요? 태화강 국가정원부터 시작해서 문화의 거리까지 울산을 물씬 느낄 수 있는 울산 중구 여행 코스, 어떠셨나요? 울산에 중심에 위치한 만큼 울산을 온몸으로 느낄 수 있답니다! 울산 중구에서 울산 여행 제대로 즐겨보세요~!",2020. 11. 26.
울산십리대숲 - 울산 중구여행,태화강 십리대숲 울산광역시 중구 태화동에 위치한 대나무숲. 현재 한국에 있는 강변의 대나무 숲 중에서 조선시대부터 내려오는 숲에서는... 울산의 중심부를 관통하는 태화강의 중류인 태화교와 삼호교 사이 강변에 형성되었다. 폭이 약 20~30 m이고 길이가 4.3 km에 달하여 십리대밭이라 부르는데...,2020. 10. 18.
"울산 중구 여행 /성안 물놀이공원, 함월구민운동장 , 함월놀이숲",흙먼지를 털 수 있는 곳까지 마련되어있으니 너무 좋네요:) 어서 코로나가 종식되어 아이들이 마스크없이 맘껏 뛰어놀 수 있는 곳이 되면 좋겠어요! #울산중구여행 #울산풋살장 #울산축구장 #울산함월구민운동장 #울산함월놀이숲 #울산성안물놀이공원 #성안놀이숲,2020. 12. 15.
울산 중구 여행 - 울산 '동헌 및 내아'/고복수길,"#울산시 #중구 #울산중구여행 #역사유적지 #울산뚜벅이여행 #울산동헌및내아 #고복수길 네하! 20년 08월 21일 오랜만에 뚜벅이 여행 테마는 울산 역사 여행이었고 충의사 - 구강서원 - 울산동헌 및 내아 -고복수길 - 외솔기념관 - 울산병영성를 뚜벅이 코스로 잡아보았다. 오늘은 세번째, 네번째 여행...",2020. 8. 23.
울산 아동문학가를 기리는 서덕출공원 중구 여행지로 소개합니다,울산 중구 여행지 서덕출공원에는 6.25 참전국가 유공자 선양비가 세워져 있었고 그 옆으로는 장미터널과 쉼터가 보였습니다. 전쟁영웅이신 6.25참전 국가유공자들의 숭고한 호국정신을 찬양하여 후세에 귀감이 되도록 세워진 선양비입니다. 아이들과 함께 공원을 둘러보며 아픈 역사에 대해 잠시...,2020. 5. 13.
"울산 중구 여행, 4월 추천프로그램 도시구경도 하고 인생샷도 찍자!","울산 중구 여행, 4월 추천프로그램 도시구경도 하고 인생샷도 찍자! 2021년 4월 한달간만 진행하는 프로그램 ""원도심, 과거와 지금을 잇다!"" 좋은 여행프로그램 있길래 공유해요^^ 이행사는 울산광역시 중구청이 주최하고 (주)성공팩토리가 주관하더라구요^^ 함께 보시쥬 -> 원도심...",2021. 3. 26.
혼자서도 재미있는 울산중구여행지를 찾아서~~,"경상좌도 병영성 축성 600주년 기념행사 574돌 한글날, 울산서 전국 최대 규모의 기념 행사 #혼자서도 산책하기 좋아요. #울산중구 #병영성 #외솔기념관 #울산중구여행 #경상좌도병영성 #울산큰애기sns서포터즈 #최현배생가 #황방산숲길 #혁신도시",2020. 10. 10.
[울산][중구] 한글의 성지 병영한글거리와 연계하여 가 볼 만한 중구여행,"최현배 선생 기념관과 외솔 한옥도서관, 외솔 생가터를 방문할 수 있다 외솔기념관 외솔생가터 경상좌도병영성 경상좌도 병영성을 갈 수도 있어요 병영성을 걷다보면 시가지의 모습도 조망하며 산책하기 아주 좋아요. 구석구석 볼거리, 흥겨운 거리가 많은 울산중구여행 어때요, 울산중구로 놀러오세요",2021. 5. 26.
울산 중구 여행코스 / 태화강국가정원+태화루+열린갤러리,"태화강국가정원-태화루 - 태화루 열린갤러리 태화강국가정원 울산 중구 태화강국가정원길 154 울산에 있는 제 2호 국가정원인 태화강국가정원이에요. 국가정원이 지정된 이후로 많은 분들이 방문하는 곳이죠, 울산에 여행오신다면 태화강국가정원은 꼭 들리셔야 하는 곳이라고 생각해요...",2020. 10. 15.
울산 중구 여행 - 혼자서 산책하기 좋은 병영성,한번씩 조용히 혼자 산책하고 싶을때가 있는데 어디가 좋을까 고민하다 사람도 적고 경치도 좋아 혼자 여행하기 좋은 울산 중구 병영성으로 갔어요~ #울산중구여행 #울산병영성 #병영성 #울산혼자여행 #울산산책 병영성 입구에는 공영주차장이 있는데 평일 저녁에는 거주차 주차장으로...,2020. 10. 29.
울산중구여행 :: 외솔최현배선생기념관,외솔최현배선생기념관에 다녀온 울산여행자 알티입니다. 오늘은 외솔최현배선생기념관에 다녀왔는데요. 알티는 28년동안 울산에 살면서 울산에 정말 무지했다는 사실을 깨달았어요. 지난번에 울산박물관도 다녀왔지만 울산에 좋은 곳 내비두고 괜히 타지역 여행을 다녀온 제가 부끄럽네요. 울산...,2021. 1. 23.
#울산중구여행 #레트로 #뉴트로 #데이트명소 #사진찍기좋은곳 #맨발의청춘길 #성남동...,#울산중구여행 #레트로 #뉴트로 #데이트명소 #사진찍기좋은곳 #맨발의청춘길 #성남동 #청춘문방구 https://hidori.kr/1492,2021. 6. 23.
울산 중구 관광홍보 이벤트 재미있는 중구 여행,"울산 중구 관광홍보 이벤트 페이지로 들어가시면 재미있는 울산 중구 여행을 만나 보실 수 있습니다. 추천코스로 1박 2일 코스 당일여행 코스 4시간 코스 야간 4시간 여행 코스 등 친구들과 가족들과 연인들과 주말여행, 봄, 여름, 가을, 겨울 계절별로 여행하기 편안하게 상세히 설면해 두었습니다....",2020. 12. 19.
