header,contents,date
[인천 강화군 여행] 애견 동반 가능한 건강식 레스토랑 '농가의 식탁',자연의 식재료를 담아 건강한 식사를 제공하는 레스토랑이 바로 #인천강화 에 있답니다! 과연 그 곳은 어디일까요? SNS에서 핫한 레스토랑으로 예약없이 방문한다면 기본 1시간은 대기해야 한다는 #농가의식탁 (두.둥) 농가의 식탁은 팜 투 테이블(Farm-to-table) 형식으로 강화에서 자란 농산물로...,2021. 5. 28.
"[인천/강화군] 서울 근교 당일치기 여행, 강화도 전등사","국내 현존하는 최고(最古)의 사찰 강화도 전등사 주 소 : 인천 강화군 길상면 전등사로 37-41 전화번호 : 0507-1403-0125 운영시간 : 하절기 08:00~18:30... 학창 시절, 소풍이나 수학여행을 산이나 절로 가면 관광지 초입에서 기념품 샀던 기억이 새록새록 떠올라 마음이 몽글몽글 해졌어요. 흐뭇하게 상점을...",2021. 6. 2.
인천 강화군여행 강화문화재 강화도가볼만한곳 사적 제130호 삼랑성과 강화도 전등사,인천 강화군여행 강화문화재 강화도가볼만한곳 사적 제130호 삼랑성과 강화도 전등사 인천광역시 강화군의 길상면 온수리에 위치한 강화 전등사는 사적 제130호로 지정된 강화 삼랑성 안족에 자리한 사찰입니다 강화도를 대표하는 관광지이기도 합니다 강화 전등사는 현재 대한불교조계종의...,2021. 2. 10.
"인천 강화군 1박2일 가족 여행 1️⃣ 강화 애견동반펜션, 장구너머펜션, 매음리선착장...",#서로이웃 #서로이웃환영 #서이추 #서이추환영 #이웃 #이웃환영 #댓글 #공감 #하트 #여행 #인천여행 #강화도여행 #인천강화군여행 #가족여행 #1박2일여행 #1박2일가족여행 #매음리선착장 #장구너머펜션 #박정아펜션 #가격싼펜션 #저렴한펜션 #애견동반펜션 #인천애견동반펜션 #강아지펜션...,2020. 8. 7.
인천강화군보문사 탐방기,"모자이크 처리가 안되내! 여신 누나와 팔장도 끼고 너무 좋았습니다. 잊지 못할 여행이 된것 같고, 여러분도 힐링 하고 싶거나, 기도 드리고 싶은분 들에게 추천하는 여행코스 인것같아요 모두 건강하고 오래오래 웃으면서 잘살아 보자꾸나~ ♡ 인천강화군보문사 추천드립니다. 건강하세요.^^",2021. 9. 5.
"[인천 강화군 석모도] 1박2일 인천 겨울여행 ""헬로 카라반"" 페라리 이용후기",장소는 인천 강화군 석모도! 서울근교 캠핑장 많이 둘러봤는데요. 다 산으로 둘러싸여있어서... 물을 좋아하는 저에겐 석모도가 좋겠더라구요... 바닥은 여행온 기분에 맞게 자갈길로 깔려있구 카라반 수 만큼 주차자리가 마련되어있어요 중앙에 포토존이랄지 되게 예쁘게 꾸며놓으셔서 놀러온기분...,2020. 2. 1.
인천 강화군 :: 강화도맛집 <한나네>,안녕하세요 호냥입니다 강화도 즉흥여행 2일차! 아침이 되자마자 저희는 강화도에서 가장 유명한 맛집인 한나네를 방문하였습니다 차에서 한나네... 한나네 인천 강화군 길상면 해안남로 628 휴무일 잘 보고가세요! #강화도맛집 #강화도한나네 #한나네 #간장게장맛집 #꽃게탕맛집 #간장게장 #꽃게탕...,2021. 9. 27.
인천 강화군의 버스 터미널 - 인천 강화버스터미널,"90번 버스를 타고, 인천 강화터미널에 도착했습니다. 이번여행은 한번쯤 개인적으로 꼭 여행하고 싶었던 , 강화도여행을 계획을 하고. 터미널을... 큽니다 강화군 군내버스 시간표 90번 버스 승차장 강화터미널내에서 발차하는 90번 버스 강화터미널 승차장 90번 버스 1번홈 방면측 9번홈 8번홈...",2021. 6. 10.
일상 인천강화군 2월 여행 후기 인천 가볼만한곳..?,#인천강화군 #하늘바다글램핑 #김포글린공원카페 #차돌박이떡볶이 #sideshow #인천가볼만한곳 #마산역에서김해공항왕복시간표... 여수 여행 보다 더 만족스럽지 못한 여행이었습니다 ㅠㅠ 저는 전공이 여러 개가 있는데 그중 하나가 호텔관광학이거든요? 근데 왜 이리 여행 계획을...,2021. 3. 22.
"북스테이여행 '충북 괴산군 숲속작은책방,인천 강화군 이루라책방,전북 완주군...",최병일 여행레저전문기자 ******@********.*** #북스테이여행 #충북괴산군숲속작은책방 #충북괴산숲속작은책방 #숲속작은책방 #괴산숲속작은책방 #인천강화군이루라책방 #인천강화이루라책방 #강화이루라책방 #이루라책방 #전북완주군삼례책마을 #전북완주삼례책마을 #완주삼례책마을 #삼례책마을,2021. 8. 27.
