header,contents,date
인천여행_ 인천 계양구 계양꽃마루 코스모스 꽃밭에 가다,"조용히 걷다가 호각소리가 나면 깜짝깜짝 놀라지만, 조용히 산책을 즐기려면 포토존이 아니라면 꽃밭에 들어가지 않으면 된다. 꽃밭 가장자리에 고인 물에 비친 풍경을 촬영해 보았다. #인천여행 #계양구 #인천가볼만한곳 #가을_인천가볼만한곳 #율목쓰다 #율목여행 #여행후기",2021. 9. 25.
인천 계양구 로컬푸드 직매장에서 신선한 가을 제철 과일 만나요!,인천 계양구 로컬푸드 직매장에서 신선한 가을 제철 과일 만나요! 요즘 부쩍 건강에 관심이 높아지고 있지요. 코로나 바이러스가 우리 생활을... <인천 계양 농협로컬푸드직매장> ※ 코로나19 확산세가 안정될 때까지 우리 모두 잠시만 S.T.O.P! ※코로나19가 잠잠해질 때까지 당분간 여행ㆍ관광은...,2021. 9. 13.
인천 카페 비읍미음 (ㅂㅁ) :: 계양구 임학동 카페추천,ㅋㅋ 무튼 홀로 인천여행을 가게 되었고 첫 발걸을 한 곳은 인천 계양구 쪽에 위치한 카페비읍미음 이름이 독특하기도 하지만 카페가 너무 이쁘기도 해서 꼭. 와보고 싶었던. 카페 입구에서 부터 ㅂ ㅁ 주택을 개조해서 만든 카페로 인테리어며 분위기가 장난아니라고 소문이 폴~폴~ 카페비읍미음...,2021. 10. 8.
인천 계양구 박촌동 안경 안경상회에서 누진다초점 엄마 안경 맞추고 왔어요,인천 계양구 박촌동 안경 안경상회에서 누진다초점 엄마 안경 맞추고 왔어요 안경상회 인천박촌점 날씨가 좋은 오늘 엄마가 안경을 바꾼지 벌써... 봤다 여행 가고싶어 ㅠㅠ 안경만 저렴한 게 아니에요 콘택트렌즈도 저렴! 종류도 많으니까 필요한 제품 저렴하게 구매하자고요~! + 안경상회에서는...,2021. 10. 3.
"인천 계양구 서운체육공원, 계양경기장... 야외데이트, 당일치기여행, 애견산책 핫플","인천 계양구의 당일치기여행, 야외데이트라도 한다면 자연과 함께 계양산 등산과 계양꽃마루 꽃밭 산책을 강추 추천. 이때만 해도 아직은 그린그린한 분홍 코스모스 꽃밭의 모습. 놀랍게도 바로 이 글을 보느 지금은 완전 핑크핑크한 코스모스 꽃밭을 만날 수 있다. 이제 분홍 코스모스도 외롭지...",2021. 10. 3.
인천 계양구 숲 속 테라스가 멋진 카페 열두달,인천 계양구 숲 속 테라스가 멋진 카페 열두달 인천 계양구 근처에 갔다가 주차하기도 편하고 조용하게 쉬었다 갈 수 있는 카페가 있다는 이야기를... 시원한 카페에서 쉬어가면 정말 좋겠죠! 느긋하게 숲 속 여행 온 기분 느끼면서 쉬어가고 싶은 분들에게 계양구에 있는 카페 열구달 추천 드립니다.,2021. 9. 1.
인천 계양구 정원카페 로즈스텔라정원은 수국수국해,#인천로즈스텔라 #인천정원카페 #아라뱃길카페 #인천계양구카페 #계양카페 #인천카페 #인천플라워카페 #플라워카페 #로즈스텔라정원 #인천수국카페 #여행 #경기도여행 #인천가볼만한곳 #대한민국구석구석 #사진여행 #여행에미치다 #인천로즈스텔라정원 #인천플라워정원카페 #7월가볼만한곳...,2021. 7. 4.
인천 계양구 가볼 만한 곳 - 계양꽃마루 코스모스,인천 계양구 가볼 만한 곳 계양꽃마루 현재 모습입니다. 낭만적인 느낌이 들지 않나요? 가을 느낌이 완연합니다. 모두들 안전하게 여행하시길 바랍니다. 감사합니다^^ * 사진 보정은 제가 직접 만든 프리셋으로 했습니다^^ + 더 읽어 볼 포스트 코스모스가 멋진 인천 가볼만한 곳 영종도 하늘정원은...,2021. 9. 22.
인천 계양구 계양꽃마루,따스해진 봄을 맞아 인천 계양구에 있는 장소로 알려져있는 계양꽃마루를 직접 들려보게 되었네요. 인천 계양구에 있는 계양꽃마루의 모습.... 사실 이 곳을 잘 몰라서 갈 계획이 없었는데 마침 사진 및 여행 관련 블로그들을 통해서 이 곳의 존재를 알아냈고 매년 봄마다 유채꽃을 만날 수 있다는...,2020. 5. 30.
인천 계양구 나무서리집 잔치국수 파전 맛있었던집,"안녕하세요, 사진찍으며 여행하는 일상입니다. 인천 토박이 친구를 만나 점심을 먹은 이야기 입니다. 유채꽃 이후에 첫 만남이라 만나기까지... (참고로 현재 폭포 운영중) 주차장 및 찾아오시는 길 (주소 : 인천 계양구 목상길 68-9) 나무서리집 전화번호 032-547-5503 영업시간 : 오전 10시부터 저녁 8시...",2020. 7. 2.
