header,contents,date
만족스러웠던 인천 남동구 맛집 리스트,"부드럽소 인천구월점 한우특수모듬 36,000원 / 갈비살 15,000원 주소 : 인천 남동구 구월남로 269 번호 : 032-471-9998 영업시간 : 매일 11:00 ~ 23:00 #인천남동구맛집 #부드럽소 이날 방문한 부드럽소는 모래내시장역에서 도보 3분거리에 위치했는데요. 큼지막한 입간판이 멀리에서도 눈길을 끌어서...",2021. 5. 25.
[인천] 남동구맛집 묵은지 닭볶음탕 집밥같은 구월동 우리두리식당,"보글보글 다 아는맛..동네맛집인정 남동구맛집 동네주민 맛집 우리두리식당 인천 남동구 구월동 1370 - 18 1층 / 21568 매일 10:00 - 02:00 ※단체석,포장,예약,무선인터넷 ※전국 여행 다님길 선정 구월동맛집 ※sns 이벤트중! 음료1병이 공짜 ☎032 - 442 - 1477 방역수칙! 열체크랑 큐알코드는 기본! 출입문 양...",2021. 8. 10.
소래역사관 소래포구 새우타워 해오름광장 인천 여행 남동구,"인천광역시 남동구 최초의 공립박물관!! 소래,! 그 역사로의 시간여행을 떠나봅니다~ㅎ homepage 링크 http://museum.namdongcmc.co.kr/ 소래포구를 급 출발해서 소래역사관도 방문하고 왔네요^^ 소래역사관 열차 시간표 확인하시고^^ 소래역으로 떠나봐요~ 소래역사관 안내 소래의 보물같은 전시관!...",2021. 2. 22.
인천 남동구 소래포구 카페 그리니쉬,인천 여행할 때 소래포구도 많이들 들르는데 소래포구에서 식사 후 예쁜 카페 그리니쉬에 들러서 차 한잔 하는 코스도 괜찮겠다. 인천 남동구 카페 그리니쉬 영업시간 월요일 휴무 화~토 11:00 ~ 21:00 일 11:00 ~19:00 https://www.instagram.com/a_vely/,2020. 3. 3.
"방구석 국내 여행 후기 ✈ with 인천 남동구정신건강복지센터[탑승, 티켓발권...",출처 인천남동구정신건강복지센테 인스타 인천 남동구 정신건강 복지센터에서 하는 2021 상반기 온라인 페스티벌 'trip on the KIT' 에 당첨돼서 무료 국내 여행을 다녀왔다!!! ♀️ 여행키트는 나에게로 떠나는 여행 우리 함께 떠나는 여행 이 있었다! 나는 초콜렛과 방향제를 좋아하지 않는...,2021. 6. 13.
남동구 가볼만한곳 인천 둘레길 자전거 여행,"아직은 햇볕이 뜨겁지만,시원하게 나무 그늘이 있는 인천 둘레길 중에 하나인 장수천을 따라 자전거 여행을 하고 왔습니다. 제가 살고 있는 남동구 인근에는 장수촌이나 승기천,연수둘레길 등이 있는데 , 그 중에서 no.1원을 뽑자면 장수천 둘레길이 아닌가 싶습니다. 연수동 둘레길도 좋은데, 중간...",2021. 9. 27.
"[인천 여행, 가볼만한 곳] 인천시 남동구 소래포구 종합어시장 구경 및 후기","조금만 구경하려고 해도 붙잡아서 말걸고, 사라고 그러고 자꾸 재촉하셔서 편하게 구경하지 못했어요 ㅠ.ㅠ 소래포구 종합어시장 인천 남동구... 여기는 소래포구 재래어시장ㅎㅎ 인천 소래포구로의 여행은.. 싱싱한 제철 해산물들만 보고 끝이 났습니다.하하 푸르고 맑고 깨끗한 바다를 보고...",2021. 1. 27.
"인천 남동구 맛집 돼지갈비 찐맛집, 삼송가든 인천본점",인천 남동구 맛집 삼송가든에 도착했어요 삼송가든은 인천 외곽에 위치해서 멀리 여행 온 느낌이 들었어요 삼송가든 주변은 온통 초록 세상이었어요 풀냄새가 가득하고 새들이 우는 소리까지 더해져 시골 같은 정겨운 분위기를 한 층 더 높여줬어요 식당을 초록색 풀과 나무가 둘러 싸고 있어요...,2021. 8. 30.
인천 남동구 맛집 제주도 연탄 생고기 먹고 가자,제주도 여행이 아니어도 인천 남동구 맛집에서 제주의 맛을 볼 수 있었어. 쌈 싸 먹어도 묵은지라 파채랑 와사비 톡 올려 먹으면 끝없이 먹을 수 있겠더라구. 주문할때는 꽤 많은 양이라 생각했었는데 순삭하는 우리는 정말 대단한것 같아. 골목 안 길 소복소복 눈이 쌓이면서 분위기를 타나보다....,2021. 1. 25.
[인천 남동구 구월동] 세계 맛집 투어 애슐리 세계여행 뉴코아 인천점,달콤짭짤 #태국팟타이 부터 #인도탄두리키친 까지 다양한 세계 맛집 투어 하러 애슐리로 세계여행 오세요~ 이상 #인천맛집 #남동구맛집 #구월동맛집 #애슐리 #애슐리세계여행 #애슐리W #애슐리뉴코아인천점 에서 홍보홍보였습니다.,2020. 6. 27.
"소래포구의 옛 정취를 즐길 수 있는 여행지│인천 남동구 소래소금길, 빈티지여행...",전시관 주변이 한적하고 정원을 잘 꾸며놓아 산책하기도 좋습니다. A 남동구 논현고잔로168번길 45 O 10:00~17:00 월요일 휴무 T 032-431-5142 I 무료 옛 정취를 즐기기 좋은 남동구 소래소금길! 소래염전과 소래철교의 역사를 품은 인천 남동구의 소래소금길에서 추억여행을 떠나보세요!,2020. 1. 9.
[카페/인천] 구월동 디저트카페 스타싸인 : 인천 남동구 카페 추천 (+인천 크로플 맛집),"청과 딸기까지 딸기 좋아하시는 분들은 다음에 꼭 스타싸인 딸기 크로플 드셔보셨으면 좋겠어요,, 헤헤 분위기 좋고 디저트가 맛있는 인천 남동구 카페 찾고 계신다면, 구월동 디저트카페 스타싸인 완전 추천할게요⭐️ 다음에 인천 여행가면 또 들려서 다른 크로플 꼭 먹어보고 싶어요 ᕕ( ᐛ )ᕗ",2021. 10. 8.
인천남동구한의원 교통사고 후유증 있나요,"어떻게 인천남동구한의원 등의 조력이 필요할 수 있을지 예시를 들어 살펴보도록 할게요. 30대 초중반의 ㅇ씨는 최근 갑작스러운 자동차 추돌 사고를 당해 당황스러웠어요. ㅇ씨는 평소 남들에 비해 여행하는 것을 정말 좋아했어요. 또한, ㅇ씨의 여자친구 역시 여행을 좋아했기 때문에 이 둘은...",2021. 5. 27.
"인천 남동구 맛집 2만원에 일본라멘, 사케동, 참치초밥까지",#인천남동구맛집 #인천라멘맛집 #인천초밥맛집 #홍대구루메 아기의자도 놓여 있었는데 할머니 옛날 얘기 나오시네요 옛날엔 저런 게 없어서 할머니가 저를 무릎에 앉고 밥을 먹이셨다고 ㅋㅋ 저는 기억이 안나므니다~~ 메뉴판을 보고 제가 골랐어요 단품으로 고를까 했는데 세트메뉴가 있네요 1인...,2020. 6. 26.
인천남동구맛집 삼다숯불갈비에 반했어요:),하시더라구요~ 여행가거나 캠핑갈 때 현금가로 저렴하게 구입하면 더 좋을거 같아요~ 앞으로 자주 애용하게 될것같은 삼다숯불갈비에서 식사를... 24:00 #남동구고깃집 #남동구고기구이 #남동구맛집 #남동구숯불갈비 #남동구숯불구이 #구월동숯불구이맛집 #구월동고깃집추천 #인천맛있는숯불갈비집...,2021. 9. 13.
인천 가볼만한곳 남동구 코스모스 멋지네,여기는 인천 남동구청이 있는 인근으로 인천아시아드게임 남동경기장 근처에 자리하는 곳으로 아파트 단지 한쪽에 넓은 유휴지 공간에 대규모로 코스모스를 심어 놓아서 사람을 놀라게 한 장소였습니다. 올해는 그렇게 가을 코스모스를 보기 힘든게 아닌가 하는 생각도 했었는데 9월 말쯤이 되니...,2020. 10. 4.
인천 남동구 구월동 책갈피 책 읽어주는 독서 선생님 <마법의시간여행47>,인천 남동구 구월동 책갈피 @책 읽어주는 독서 선생님 <마법의 시간 여행 47> <책 제목> 마법의 시간 여행 47 링컨의 깃털 펜을 찾아라! <지은이> 메리폽 어즈번 지음 / 노은정 옮김 <출판사> 비룡소 이 책을 선택한 이유 스스로 선정 내용요약 및 줄거리 잭과 애니가 이번에는 링컨의 깃털 펜을 찾기...,2021. 6. 22.
[인천남동구정신건강복지센터] ‘우리’ 함께 키트를 통해 떠나는 방구석여행,"나는 평일 퇴근 후에 짬짬이 키트를 만들었던지라 바쁜 가족들은 나와 함께 해주지 않았다 하지만 잡생각없이 혼자서 오롯이 즐길 수 있는 즐거운 DIY 여행이었다. 예상외로 굉장히 두둑한 키트들 여기서 잠깐 #인천남동구정신건강복지센터 에 대해 소개하자면, 비영리 정신건강 전문기관으로...",2021. 6. 13.
[인천남동구] 구월동 즉석떡볶이맛집 _ 스마일 즉석떡볶이((내돈내산)),인천 구월동 즉석떡볶이 맛집 _ 스마일 즉석떡볶이 주소 - 인천 남동구 남동대로837번길 5 영업시간 - 매일 11:30 - 22:00라스트오더 21:00 월요일휴무... 즉석떡볶이맛집 #인천맛집 #인천즉석떡볶이맛집 #스마일떡볶이 #스마일즉석떡볶이 #떡볶이맛집 #간석동맛집 #서이추 #일상블로그 #맛집블로그 #여행블...,2020. 5. 24.
인천 남동구 가볼만한곳 : 해안도로 둘레길은 금계국 물결,안녕하세요~ 소래포구가 있는 인천 남동구에 갔다가 바다가 있는 해안도로 길에 금계국이 활짝 펴서 그 소식을 전해드리려고 합니다. 넓게 펼쳐진 들판인데요. 날이 더워져서 금계국이 금방 시들어 버릴까봐 일찍 포스팅 한다고 하는데도 주말동안 하던 일이 있어서 이제서야 포스팅 해봅니다....,2020. 6. 8.
인천남동구 청춘실버요양센터 최우수기관 선정소식에 역쉬 나의친구답다,인천남동구 청춘실버요양센터 최우수기관 선정소식에 역쉬 나의친구답다 친구 생각에 끄적끄적 부부끼리 건강하게 무심한듯 형제애로 챙겨주면서... 후 인천으로 먼저가야지 먹고싶다 친구네 부부와 넷이서 첫 여행 여행 연습용이었다 친하다는것과 여행 취향이 맞을것이라는 결론은 경험하지...,2021. 6. 7.
인천 남동구 논현동 ‘늘솔길공원’ 2021년 9월 6일,"인천 논현동에 있는 늘솔길공원은 자연친화 공원 양떼목장, 장미원, 숲속놀이터, 편백숲 무장애나눔길 등이 있고 #인천남동구가볼만한곳... 주말에 나들이를 나가기 좋은 ‘논현동 늘솔길공원’ 여행 다니면서 맛있는 거 사 먹으라고 와! 감동이다. 이렇게 많은 거금을! 나는 무엇으로 갚지? 잘 걷는...",2021. 9. 6.
