header,contents,date
인천동구 도보여행 : 배다리역사문화마을의 창영철로변 어울림갤러리를 걷다,"인천동구 도보여행 : 배다리역사문화마을의 창영철로변 어울림갤러리를 걷다 ( #오늘일기Day2 ) by Satin (#블로거새틴) #20210429(Thu) 요즘 민양의 일상은 그야말로 #인천동구 #도보여행 하루에 10km이상을 걷고 있다. 그 이유가 아빠가 병원을 상급종합병원에서 종합병원으로 전원을 하셨고, 다행히 하루에...",2021. 5. 2.
인천 동구 여행 인천기독교사회복지관,"르네상스 양식이자, 역사적, 문화재적 가치를 인정받아 인천광역시 유형문화재 제18호로 지정되었고, 현재는 가정 복지사업, 아동 및 청소년 복지사업...등 지역 사회 복지에 기여하고 있다고... #대한민국구석구석 #인천여행 #아름다운 #근대건축물 #인천 #유형문화재 #인천동구 #인천기독교사회복지관",2021. 3. 13.
"인천중구 내리교회에서 자유공원, 인천동구 만석고가까지 걷기",ㅎㅎ 인천여행할 때 편한 앱 인천e지 요런것이 있길래 해보려 했는데 인천e지 VR 앱을 깔어야 해서 오늘은 통과 자유공원에서 반대로 걸어내려갔다... 넘으면 인천동구 동구를 향해 걷는다 고가 기둥에 진한 회색이 생명의 신비를 간직한 강화갯벌 진흙색 고가에 엘리베이터도 있다 ㅎㅎ 건너옴...,2021. 8. 23.
[아버지와의 추억여행] 인천 동구 송림동 샛골설렁탕,그래도 오랜만에 도착한 인천가족공원은 좋았습니다.잠시나마 뵙고 바로 아버지를 만나러 갔습니다. 3주만에 올때마다 아버님과의 점심을 먹게 되는데 ..항상 새로운 곳은 찾아보려고 노력을 합니다. 오늘도 그 전날 여러 영상을 보고 선택을 해서 온곳입니다.드시고 오셨던 분들이 다들 괜찮다고...,2021. 4. 4.
"인천 개항장 여행, 우리나라 최초의 영화관 '애관(愛館)극장' - 인천시 동구 경동","* 인천 애관(愛館)극장 - 1895년 정치국이 협률사( 協律舍) 설립. 조선인이 세운 최초의 극장 - 1911년 협률사에서 축항사(築港舍)로 변경 - 1921년 홍사헌이 축항사에서 애관으로 개명 - 1927년 10월, 애관 신축 낙성식, 8백명 수용 르네상스식 건축물 - 1945년 8월, 조봉암이 건국준비위원회 인천지부와...",2021. 8. 25.
[인천여행]과거에는 책을 구입하기 위해서... 쇠락하고 동구청에서 문화예술 관광 거리로...,"과거에는 책을 구입하기 위해서 인천 전역에서 방문을 했지만, 지금은 쇠락하고 동구청에서 문화예술 관광 거리로 되살리려는 인천 동구 배다리 헌책방거리에 다녀왔습니다. 경인선 급행전철의 종점인 동인천역 근처에는 과거 인천 시민들이 헌책을 구하기 위해서 모여들었던 ""배다리 헌책방거리...",2021. 7. 8.
인천 동구 배다리 헌책방 골목여행 | 독립서점,*한미서점* 도깨비 촬영지 며칠전 인천 동구에 있는 헌책방거리에 다녀왔어요. 한 이웃님의 인천 지역 맥주 포스팅을 보고 양조장을 검색하다 알게 된 곳이에요. 양조장과 책방에 무슨 상관관계가 있냐구요? 지금부터 말씀드릴게요! 배다리 헌책방 골목여행 01 인천문화양조장 (스페이스 빔...,2021. 3. 15.
[동구문화] 인천 동구로 광복절 문화여행 떠나자!,수도국산 달동네 박물관으로 떠나는 시간 여행! 내가 궁금한 부분을 직접 클릭하여 궁금증을 해소할 수 있어 지루할 틈 없이 영상 시청이 가능해요! 사진을 클릭하시면 인천 동구청 카카오 채널로 연결됩니다. 새로운 변화! 모두가 행복한 동구! 동구 카카오 채널과 친구가 되어주세요! 사진을...,2021. 8. 13.
인천 동구 현대시장 고객과 함께 하는 전통시장,"인천 동구에 현대시장이라는 곳이 있는데요. 얼마 전, 현대시장 특성화 첫걸음 시장사업단을 모집중이었습니다. 내용은 현대시장을 직접 체험하고... 결혼 초에는 직장 생활이 바빠 올 수 없었고, 여행하면서도 당연히 못 갔어요. 이번 기회로 자주 방문할 생각입니다. 제 기억에는 입구에서 들어가...",2020. 5. 28.
인천동구운전연수 도로연수 자신있게 달려요,"사실 그전에는 해외여행을 1년에 정기적으로 다녔고, 운전을 못해도 큰 상관 없었어요. 그런데 감염증 사태 이후, 다른사람들처럼 차박도 하고 하면... 인천동구운전연수 도로연수 직접 경험해 보니 강사님들의 경력이 상당한신분들만 계신곳이였어요. 역시나 경력있으셔서 그런지 톤이 격하지 않고...",2021. 4. 5.
