header,contents,date
직접 느끼며 체험할 수 있는 미추홀구 ‘인천어린이박물관’,"마지막으로 공룡 탐험 전시장을 지나게 되는데요, 거대한 공룡모형을 통해 공룡이 살던 과거로의 시간여행이 가능합니다. 전시장체험을 하고... ◆인천어린이박물관◆ 인천광역시 미추홀구 매소홀로 618 문학경기장 내 교통편:인천지하철 1호선 문학경기장 2번 출구 관람 시간:오전 10시~오후 6시...",2021. 9. 28.
舊 극동방송국 선교사 사택 - 인천 미추홀구 학익동,"인천시와 미추홀구에서는 역사적, 문화적, 종교적인 가치를 인정받아 등록문화재 등재 추진이 이루어짐. 인천에서 오랫동안 살고 있지만... 최근 붉은 벽돌집에 관심이 깊고 특히 올 초 서산 여행에서 굴뚝에 푹 빠진 상태라 살짝 흥분이 되었다. 호미마을을 돌아보며 근처 주민들에게...",2020. 12. 8.
인천 미추홀구 제주감성카페 랑데자뷰 식물인테리어,인천 미추홀구 도화동에 위치한 제주감성카페 랑데자뷰 앨리웨이 인천 컬처동 2층 조경 식재 공사 폭염이 오기 1달전쯤 랑데자뷰 인천점 식재공사를 다녀왔습니다 랑데자뷰의 상징인 현무암 플렌트가 멋스럽게 작업이 되었습니다 다른나라로 여행을 못가는 우리에게 비행기를 타고 바다를...,2021. 8. 3.
"[인천 가볼 만한 곳] 수봉산의 비밀을 찾아 떠나는 빛나는 여행, 인천 미추홀구 수봉공원...",인천 가볼 만한 곳의 대망의 첫 포스팅 장소는 인천 미추홀구에 위치한 수봉공원입니다. 공원? 하고 특별한 곳이라고 생각하지 않을 수도 있지만... 인천을 여행하고 즐기는 많은 분들께 큰 도움이 되었으면 좋겠어요. 인천 찐 주민으로서 앞으로도 더욱 재미있고 유익한 포스팅으로 인사드릴게요!...,2021. 4. 24.
[인천] 동네여행 #1 - 미추홀구 학익동 [2015.6.27.],"그렇게 틈틈이 담아봤던 동네여행의 기록들을 이제 풀어볼까 하는데, 그 첫 번째는 대학생 때부터 사회 초년생 시절까지 8년 가까이를 자취하며 지냈던 인천의 학익동이다. 이것도 벌써 몇 해나 묵은, 이사가기 직전에 추억으로 남기기 위해 동네 풍경들을 담은 사진들. 어느 여행이나 다 그렇겠지만...",2020. 9. 8.
인천 미추홀구 가볼만한곳.용정공원 데이트 걷기좋은길,있지 않더라구요 걷기좋은길 저녁에 가서 미추홀구를 내려다보면 더 멋진뷰를 볼수 있구요 데이트삼아 이런저런 얘길하며 걸어보는것도 좋을것 같아요 #인천여행 #인천용정공원 #인천미추홀구여행 #인천공원 #인천가볼만한곳 #인천데이트 #인천걷기좋은길 #인천데이트장소 #인천산책길 #인천산책로,2021. 9. 14.
[출강]오일파스텔로 명화따라 그려보기_인천미추홀구평생학습관,김정아화실 고흐의 작품을 그려보며 별밤 여행을 떠나봅니다. 지난 시간 마티스의 작품 그려보기 김정아화실 문의 접수) 032 880 4840 미추홀구평생학습관 #인천화실 #김정아화실 #미추홀구화실 #주안화실 #오일파스텔수업 #오일파스텔 #미술출강 #온라인수업 #미술온라인수업 #출강 #성인취미미술...,2021. 10. 9.
인천 미추홀구 주안 앙금플라워 떡케이크 공방 슬기로이케이크를 소개합니다.,오늘 찾아간 곳은 인천 미추홀구 주안역 도보 5분 거리의 앙금플라워 떡케이크 공방 슬기로이케이크입니다. 슬기로이케이크는 선생님 이름인 '슬기'가 포함되어서 귀엽고 포근한 느낌을 주는 것 같아요♡ 슬기쌤은 2년 전 베이지클래스 인천 구월점에서 정규반을 배우셨는데요 :) 그 후에 제가 여행...,2021. 1. 17.
인천 미추홀구 용현동 정원호텔❣ 신축 부띠끄호텔 솔직후기,오늘은 규동동과 데이트로 인천 미추홀구 용현동모텔 정원호텔을 다녀왔어요. 어제 여기어때 어플 통해서 어디갈지 고르는데 후기가 10개밖에... 모텔가면 바닥도 찝찝하고 슬리퍼도 공용이니 찝찝한데 일회용슬리퍼있는 모텔은 또 첨이네~ 애들이 말하는 민국이발목ㅎ 1월에 떠난 스페인여행에서...,2020. 5. 17.
오목골 즉석 메밀 우동 인천 미추홀구,"새벽야식으로도 부담없이 달려가는 오목골~ 가까우신분들이나 인천 여행오시는 분들, 간단 한끼로 추천이요~^^ #오목골메밀우동 #오목골 #도화동맛집 #숭의동맛집 #미추홀구오목골메밀우동 #비빔메밀 #달걀말이김밥 #메밀우동 #제물포맛집",2020. 1. 22.
