header,contents,date
인천 독립서점 여행 - 부평구 동네책방 사각공간,인천 독립서점 여행 부평구 동네책방 사각공간 요즘은 대형 프랜차이즈보다 나만의 취향에 관심을 가지는 사람들이 많아졌습니다. 책방 또한 큰 대형 책방이 아닌 개인 취향대로 꾸며진 작은 책방에 매력을 느껴 모처럼의 여유를 즐기기 위해 동네책방을 찾는 분들이 점차 많아지고 있는데요....,2021. 7. 2.
인천 부평구 아파트 베란다 탄성코트,어제 자 기사에서 탄탄아저씨의 눈에 띄었던 게 있어요 바로 유렵의 6개국 여행이 이제 가능하다는 거죠~ 탄탄아저씨.. 여행.. 참~ 좋아합니다.... 인천 부평구 아파트 베란다 탄성코트 뿐만 아니라 단열볼로 불리는 특별한 돌가루가 들어있어서 겨울철 난방비 절약하는 데 역할을 톡톡히 하고 있죠 네...,2021. 10. 6.
인천 부평구 조명 LED방등 멜라토닌 미드러프 리모컨으로 편하게!,인천 부평구 조명 멜라토닌 미드러프 리모컨 LED방등 집은 항상 휴식의 장소인데요. 편안한 음악을 틀어 놓기만 해도 안정이 되기도 하죠. 사실... 출장이나 여행을 가서 호텔 숙소에 들어가면 밝지 않고 은은한 조명이 피로를 풀어주듯 장소에 따라 조명 색온도와 밝기가 적절하게 맞춰줘야...,2021. 9. 24.
"코로나 자가격리 구호물품 (9월초 해외입국자, 인천 부평구)","코로나 자가격리 구호물품 (9월초 해외입국자, 인천 부평구) 글/사진/영상 - 햇지 안녕하세요! 햇지입니다! :) 9월 4일 캐나다 밴쿠버를 출발하여... 여행 블로그 운영한 경험은 20대 초반에 유럽 배낭여행 다녀와서 유랑에 기록하고 제 블로그에도 일자별로 여행 사진과 일정, 경비, 숙소 후기 등을...",2020. 10. 3.
"오래된 인천 가게, 부평구 회락춘","골목길에서 오래된 시간 여행을 하며, 추억을 떠올릴만한 장소를 찾으신다면 서둘러 주세요! 오래된 인천 가게 부평구 ‘회락춘’의 짬뽕과 볶음밥 한 그릇이, 여러분의 옛 감성을 일깨워 드립니다. 회락춘 주소 : 인천 부평구 원적로 309번 길5 지번 : 인천 부평구 산곡1동 87-815 영업시간 : 매일 10:30...",2020. 6. 12.
인천출장세차 카앤피플 인천 부평구 믿음점,"인천출장세차 카앤피플 인천 부평구 믿음점 여행을 다녀오고나서, 차가 엄청 더러워졌는데요 지방에 운전을 하고다니다보면, 벌레 터진게 시간이 지날수록 말라서 잘안떨어지게되는데요 셀프세차를 하게되면 아무래로 이런 묵은때는 잘안지워지기도하고, #인천출장세차 부르게된 가장큰이유는...",2021. 5. 17.
인천 부평구 청천동 테라스 빌라 산곡역 12층 테라스 아파트,오늘부터 길다면 길고 짧으면 짧다고 느껴지는 연휴가 시작되었죠 다음주부터 다다음주까지 월요일이 대체 휴무일로 여행 계획을 세워두신... 곳은 인천 부평구 청천동에 오랜만에 소개해 드리는 테라스 빌라로 12층 높이로 지어진 도시형 아파트 건물입니다 전체 82세대 중에서 테라스를...,2021. 10. 2.
인천맛집 / 부평구 십정동 리얼태국음식맛집 / 벤식당,벤식당 ***-****-**** 인천 부평구 배곶남로 8 1층 매일 10:00 - 21:30 매주 화요일 쉽니다. 대표메뉴 팟타이 쏨땀 팟카파오무쌈 주차장 없음 비가 올락 말락 하는 어느날... 다들 휴가철이라고 휴가를 떠났나부다... 차가 안막히다니...ㅎㅎ 예전같았으면 동남아 여행갔을텐데... 그런 아쉬움을 달래고자...,2021. 8. 6.
[맛있는여행] 인천 부평구 구 롯데백화점 부근 대왕깁밥집^^,[맛있는여행] 인천 부평구 구 롯데백화점 부근 대왕깁밥집^^ 뜻하지 않게 점심즘에 지나가다 찾게된 이미 맛집~ 둘이서 대왕김밥 잔치국수 순대 1인분 이렇게 1만원 소프쿠폰으로 구매 1만원에 둘이서 푸짐했다. 그것도 부평에서 보통 혼자도 7~8천원에서 비싼건 중국집도 삼선짬뽕이 만원이 넘는데...,2020. 5. 20.
부평lh전세 인천 부평구 부평동 lh신혼부부 전세임대주택 빌라,길다면 길고 짧다면 짧았던 2박 3일 제주도 여행을 마치고 다시 일상으로 돌아와 출근을 하였습니다 제주도의 파란 하늘과 바다가 아직 눈앞에... 보았는데요 인천 부평구 부평동에서 찾아보기 힘든 참 귀한 3룸 lh신혼부부 전세임대주택 빌라로 방 3개 화장실 2개 다용도실 2개인 아주 실용적인...,2021. 6. 9.
