header,contents,date
인천 섬 여행 서구 유일의 유인도 세어도 섬 가는 방법 둘레길 트레킹 코스,"먼저 인천 여행 세어도를 간단하게 소개해드리면 인천 서구 지역의 유일한 유인도로 등록 인구는 40명, 실거주 인구는 12명으로 작은 섬입니다. 육지와 직선거리 1.2km로 가까운 곳이지만, 현재는 사전 예약을 통해서만 입도가 가능합니다. 어떤 곳인지 천천히 보여드리겠습니다. 세어도 선착장은...",2021. 10. 9.
[아버지와의 추억여행] 인천 서구 석남동 추천맛집물고기자리횟집,"오늘은 인천 서구 석남동 서부여성회관역 2번 출구 쪽에 있는 횟집을 방문했습니다. 네이버에 검색을 해보면 보통 제목이 가성비 끝내주는 집으로 통하는 곳입니다. 특히 점심 메뉴에 있는 물고기 자리 횟집 정식 9,900원에 이야기도 많이 있습니다. 하지만 이 메뉴는 주말에는 없다는것.....",2020. 9. 23.
줌 강의 공지 : 하반기 랜선 세계여행 6주짜리 / 인천 서구평생학습관,"하반기 <랜선 세계여행> 인천 서구평생학습관 비대면 강의 안녕하세요 메밀꽃부부입니다.! 오늘은 작년부터 계속해서 진행하고 있는, 인천 서구평생학습관 랜선 세계여행 강의 공지 올려봐요 :) 감사하게도 하반기 역시 함께하게 되었는데요. 주 1회(매주 월요일), 총 6주간의 일정으로 다양한...",2021. 9. 11.
[인천] 공원 여행 3탄! (3/4) 인천 서구 석남완충녹지,#든든함 이 느껴집니다 :) 아쉽지만 이제 마지막! 절 따라오세요! ♾팔로 ♾퐐로 뮈 #생각쟁이의기록장 #여행 #국내여행 #인천여행 #동네여행 #공원여행 #당일여행 #걷기여행 #운동여행 #맨몸여행 #사진여행 #영상여행 #촬영여행 #걸어서세상속으로 #걸어서셍각속으로 #걸어서여행속으로,2021. 9. 12.
인천 서구 맛집 이유가 있었네,이름이 낯설지 않다 했더니만 얼마전 제주도 여행에서도 보았던 곳이라 이름이 똑같았는데 인천에서도 지점이 몇곳 있단다. 우리가 한우갈비살을 맛있게 먹고 온곳은 인천 서구에 있는 태백산 고기를 좋아하는 녀석들이라 평소에 만나도 순삭을 하는 맛있는 만남을 하는데 이날은 고기 맛이 더...,2020. 12. 7.
인천 서구 가볼만한곳 세어도 트레킹^^,"이렇게 담벼락에만 있다고 생각했는데~~ 그런데 멀리서 고양이 한마리 포착, 세어도에는 고양이가 살고 있었어요. 인천 섬여행 하루 세어도 여행, 자연 그대로 때묻지 않았는데 잘 가꾸어진 세어도는 힐링여행이었습니다. #세어도 #인천서구가볼만한곳 #세어도트레킹 #인천섬여행 #인천섬서포터즈",2021. 10. 8.
"인천 서구 산책하며 힐링하기 좋은 숲길, 봉오재공원","인천 서구 산책하며 힐링하기 좋은 숲길, 봉오재공원 옆 동네 루원시티는 예전 가정오거리가 재개발되면서 생긴 곳입니다. 새롭게 들어선 아파트와... <인천 봉오재공원> ※ 코로나19 확산세가 안정될 때까지 우리 모두 잠시만 S.T.O.P! ※코로나19가 잠잠해질 때까지 당분간 여행ㆍ관광은 자제해...",2021. 8. 31.
[인천 서구] 인천 공유자전거 T 바이크로 인천여행,"그럼, 지금부터 저와 함께 차근차근 이용방법 확인하러 가보아욧~^^ 인천 서구 카카오 T 바이크 지난 8월 인천광역시 서구 홈페이지에도 카카오 T... 정서진의 가을 풍경 오늘도 인천에서 즐거운 여행하시길 바랍니다! 이상, 인천관광안내사 '숲나들이' 였습니다! 다음 포스팅에서 만나요~~~",2020. 11. 25.
[인천서구]오~맛있은초밥집발견; 도담초밥,오늘 리뷰를 남길 맛집은 인천 서구에 위치한 초밥집 인데요 가성비 좋은 초밥집이에요!! 도담초밥 인천 서구 탁옥로 17 서구 심곡동 333-15 1층... 되었다 해서 ㅠㅠ 우동을 시켰어용 옴메 근데 또 알밥이 나오네요 그냥 다 주는거래요 ㅎㅎ 대박 ㅎㅎ 배찢어지는줄 인천에 여행 오시면 한번 와보세용^^,2021. 8. 11.
"여행 | 인천 서구 청라동 추천 이쁜 카페, 카페 175 (KAFE175) (Feat. 내돈내산)","저는 제주도민이지만 거의 2주에 한 번씩은 인천/경기/서울권으로 여행을 떠나요 ㅎ,. (제주도에서 버티기 위해 코에 바람쐐주기) 코로나라 요즘엔... 곳은 인천 서구 청라동!에 위치한 '카페1175'에요 늦은 시간에 '커피나 한 잔 할까-?'하고 돌아다니다 우연히 발견한 넘나 큐티뽀짝한 카페 ㅎㅎ...",2021. 8. 14.
