header,contents,date
[인천여행] 현지인 추천받은 연수구 양꼬치 맛집 두만강양꼬치!,"인천여행 글 이제 한 4~5개 정도 포스팅 남은 것 같습니다. 두만강양꼬치도 인천 현지인 추천으로 다녀왔는데요~ 인천 출장을 종종가는 제 남친은... 인천음식 best top 5에서 한 3위 정도 차지하고 있습니다. 송도 경원재에서 출발 했는데요~ 꽤 거리가 멀다 싶었는데, 만원 안나오는 거리에 연수구가...",2021. 9. 8.
인천 연수구 역사여행 - 인천상륙작전기념관 방문기,"인천 역사여행 인천상륙작전기념관 방문기 인천시립박물관과 옥련동 일대를 지날 때면, ‘인천상륙작전기념관’에서의 추억과 기억이... 6·25전쟁과 인천상륙작전에 대해 자세히 알 수 있는 좋은 ‘안보 교육의 장’이라는 생각이 듭니다. 인천상륙작전기념관 032-832-0915 인천 연수구 청량로 138...",2021. 7. 5.
인천연수구네일 선학동 네일가연,ㅠㅠ 시원한 여름 패디 하고 해외여행 가구 싶당. 샵 가면 선반에 가지런히 정리된 매니큐어들을 보면 왜 그렇게 예쁜지 ㅎㅎㅎ 입구 쪽에 있는 이것들이 뭔가~하고 자세히 봤더니 하나하나 이름이 적혀있는 걸로 봐서 단골손님들이 쓰는 개인 도구들이 들어있는 것 같다. 단골이 많은 인천연수구네...,2021. 7. 23.
인천 연수구 수영장은 동남스포피아,많더라고요 인천 연수구 수영장 동남스포피아 알려드릴게요 코로나로 방학 같지 않은 방학을 보내고는 있지만 저도 휴가가 생겨서 아이들과 함께 즐거운 시간을 보내려고 많이 알아봤어요 4일 중 3일은 여행 계획이 있어 첫날 무얼할까 고민하다가 저희 아이들이 제일 좋아하는 수영으로 답정!!!...,2020. 8. 10.
[SNS 서포터즈] 인천 연수구 언택트 여행 산책코스,"코스는 인천 연수구 동네분들이 자주 이용하는 등산 코스라고 합니다. 마침 산행을 즐기는 시민이 있기에 여쭤보니 이 코스는 아시는 분들, 동네 주민들이 이용하는 산행코스라고 합니다. 둘레길처럼 조성된 산행코스를 따라 20분 정도 산행을 즐겨보았습니다. 최근 유행하는 언택트 여행지로 아주...",2020. 10. 21.
착한 소비 '아름다운 가게' 인천 송도점 - 인천시 연수구,"032-817-1113) 영업시간 : 월요일~토요일(오전 10시 30분~오후 6시) 오늘도 새벽부터 가을 장마로 비가 오락가락 하는 가운데 인천 연수구에 있는... 나도 자원봉사를 마치고 사고 싶었던 핑크색 손목시계(3500원), 하율이 폴로 티셔츠(5500원), 여행가서 입을 편안한 치마(3500원)를 구입했다. 4시간의 즐거운...",2021. 8. 28.
인천여행 연수구 송도국제도시,"연수구문화재단 김이슬_인천 연수구이야기_2020 :곳곳 나의 추억이 담긴 공간 좌측에서 우측으로 설명 하나씩 이어볼께요 ^^ 1. 능허대 인천광역시... 나의 발걸음으로, 배로, 수상택시 등의 여러 교통수단으로 다양한 시선을 두고 또 다른 여행길을 다닐 수 있는 곳. 8. 송도 트라이볼(공연장) 독특한...",2020. 6. 25.
소문내고픈 인천 연수구 맛집,이국적인 분위기에 현지식 그대로 느낄수 있어서 여행하는 기분으로 식사를 할수 있었던 곳이었어요. 데이트장소로도 추천할만 합니다 5. 인천 연수구 임파스토 주소 : 인천 연수구 아트센터대로 203 전화번호 : 0507-1318-1223 영업시간 : 월요일 휴무 / 둘째 넷째 일요일 휴무 다양한 메뉴가 마음에...,2021. 4. 18.
인천연수구맛집 교대이층집 삼겹살 킹왕짱,송도여행을 오면서 인천연수구맛집 탐방을 하면서 신랑과 술한잔은 기본이라 생각했는데ㅠ 나의 몸 상태 땜시 결국은 신랑혼술이 되어보림 그리고 구운 쑥떡 와 이거 짱맛임 조청 에다가 담아주시는데 따듯할때 먹어야 해요 그 사이 삼겹살 까지도 먹기좋게 잘라져서 마무리 중 가니쉬들은...,2021. 10. 7.
[동네탐험][인천연수구] 능허대공원,한 20분 둘러 보고 한 시간 정도 그림을 그렸다. 이제 집에 가야지. #인천연수구 #옥련동 #능허대 #능허대공원 #고대백제사신선 #동네탐험 #인천문화재산책 #동네탐험 #야외스케치 #어반스케치 #수채화 #칼디페이퍼 #여핸드로잉 #여행스케치 #펜드로잉 #urbansketch #watercolor #pendrawing #동네산책 #옥련동산책,2021. 9. 9.
인천 연수구 가족사진 뜻깊었던 시간들,그러다가 우연히 인천 연수구 가족사진 스튜디오를 발견하고 이곳에서라면 부모님께도 특별한 선물을 드릴 수 있겠구나 싶어 망설이지도 않고 방문했어요. 이곳에서는 의상 대여까지 가능했는데요. 그래서 따로 옷을 챙겨가지 않아도 스튜디오 안에서 맞춰 입을 수 있었죠 그동안 일하느라고 바빠서...,2021. 5. 11.
인천 연수구 연수동 마사지 파빌리온 아로마마사지 받고왔어요.,코시국에 해외여행은 못가더라도 해외를 방불케하는 인테리어로 마치 해외에 놀러 온듯한 착각을 불어일으키는 인천 연수구 연수동 마사지 파빌리온 스파에 방문했어요. 편안한 공간에서 받는 마사지로 일상에서 쌓인 스트레스 해소와 피로회복에 도움을 주는 마사지는 주기적으로 받으면 확실히...,2021. 7. 29.
[인천 송도 맛집] 연수구 데이트 핫플레이스 고기집 신세계 갈비를 맛보다!,[인천 송도 맛집] 연수구 데이트 핫플레이스 고기집 신세계 갈비를 맛보다! 인천으로 여행을 가서 잊지 못할 인천 송도 맛집을 찾았는데 또 가서 먹기 어렵다는 건 너무 너무 아쉬워요. 혹시라도 인천에 방문해서 식사를 하실 일이 있다면 꼭 방문해보시라고 추천하고 싶어요. 매장명: 당산오돌 송도점...,2021. 10. 7.
[사찰 여행] 인천 연수구 연경산 청학사 방문,그래서 국내 여행을 할 때도 그 지역 근처에 있는 절은 되도록 일정에 넣고 해외여행을 할 때도 기회가 있으면 그 나라의 절이나 사원을 방문하곤 했어요. 이제는 시국이 시국인지라 너무 옛날 일 같지만요. ( ´╹ᗜ╹`*) 아무튼 오늘은 6월 초 방문했던 인천 연수구 청학사라는 사찰에 대해 글을...,2021. 6. 25.
가볍게 등산하고 아름다운 노을 풍경 감상! 인천 연수구 청량산,인천 연수구 청량산 일몰이 멋지다고 하여 가을이 찾아오는 9월의 어느 날 청량산을 찾았습니다. 청량산은 처음인지라 어느 곳에 주차하고 등산을... <인천 청량산> ※ 코로나19 확산세가 안정될 때까지 우리 모두 잠시만 S.T.O.P! ※코로나19가 잠잠해질 때까지 당분간 여행ㆍ관광은 자제해 주세요!...,2021. 9. 15.
계속 끌리는 매콤함이 좋았던 인천 연수구 맛집,핸드 연지입니다 :) 남자친구랑 이번에 세부 여행을 느끼고 싶어서 인천 연수구 맛집에 다녀왔어요. 에이스크랩이라고 세부에 있는 음식점인데요 인천에 오픈을 했다고 하길래 바로 다녀왔어요~ 업체명 : 에이스크랩 주소 : 인천광역시 연수구 컨벤시아대로 60 2단지 161호 주차 : 가능 지하주차장에...,2020. 12. 19.
연수구 가성비호텔 <브라운도트 호텔 인천 송도점> 스탠다드 트윈 베드 후기!!,인천송도점 추천드립니다 :) 인천광역시 연수구 능허대로 277-7 체크인 15시 / 체크아웃 12시 #연수구가성비호텔 #연수구호텔추천 #브라운도트호텔인천송도점 #송도여행호텔 #인천송도여행 #인천송도호텔추천 #인천송도가성비호텔 #옥련동호텔 #옥련동호텔추천 #브라운도트호텔 #알리스위트호텔,2021. 6. 11.
"인천 연수구 송도 현지인 입맛의 커리 파키스탄 인도카레 맛집, 할랄푸드 아라베스크",해외여행을 못간지 1년하고도 6개월이예요 이런 나의 불만을 외국현지 맛집으로 풀고있는 요즘이예요 ㅎㅎ 음식으로나마 외국의 정취를... 주소는 인천광역시 연수구 능허대로 267번길 30 연락처는 032-589-6900 코로나 시국에 맞게 온도측정과 전화인증을 하고 손소독을 해주어요 넓은 매장...,2021. 9. 5.
[SNS서포터즈] 인천 연수구 도심 속 공원 용담공원 가을산책,생활 속거리두기를 철저히 지키면서 지역 간 이동 및 장거리 여행은 조금은 자제를 하면서 내가 살고 있는 동네에서 가벼운 산책 또는 운동을 즐기면서 가을을 느껴보는 것도 아주 좋을 것 같습니다. 그래서 준비했다! 인천광역시 연수구에 위치한 도심 속 공원 용담공원입니다. 소개할게요 가을에...,2020. 10. 29.
인천 연수구 맛집 송쭈집 쭈꾸미 연수에 상륙!,개인의 생각을 반영하였으며 좀 아닌건 아니라고 했고 좋은건 좋다 했으니 보편적으로 참고하시길 사전적으로 말씀드립니다 :) 인천 연수구 맛집을 찾아서 떠나는 여행을 만나다. 송쭈집 연수 직영점을 방문한 후기를 전합니다. 이곳은 연수동의 자존심! 메이져 송쭈집입니다. 본점은 인근에 있고...,2021. 3. 29.
달달 대게 폭식♬ 인천 송도 맛집 연수구 크래버 대게나라,이번 강화도여행의 대미를 장식한 마지막 폭먹 장소를 고민하다 동선 안에 인천 송도 맛집 대게나라 송도점이 있길래 컴백홈 길에 들러 푸짐한... 인천 연수구 더샵 센트럴파크2 내에 자리한 송도 킹크랩 대게 전문 크래버대게나라. 입구에 들어서자마자 주산지에서 직접 공수한 특상급 싱싱한 생물...,2021. 6. 26.
[인천 여행] 인천 연수구 / 송도 센트럴파크,"공원 중 하나인 송도센트럴파크, 공원 여기저기를 다니다보면 사람이 만든 자연도 아름답다는 사실을 알게 된다. - 출처 네이버 지식백과 송도 센트럴파크 호텔에서 내려다본 전망 가장 좋아하는 건물은 단연 더위사냥 타워 2016. 7. @ 인천광역시 연수구 컨벤시아대로 160(송도동 24-5) 송도 센트럴파크",2020. 11. 10.
인천 여행 중 들른 연수구 송도 맛집 남도향 리뷰~!,인천 여행을 계획하며 ~ 여행 끝 무렵 마지막 날 저녁에 들른 연수구 송도에 위치한 남도향! 당일 점심 먹긴 했는데 뭘 먹은 건지 ~ 기억이 안날 정도로 배 두둥 맛나게 포식했던 담양식 숯불갈비. 그날 점심은 뭐였지? 모르겠다 찬찬히 생각해보고 포스팅 해봐야겠다 ㅜ.ㅡ 생각이 안 나니~ 분명 멀...,2020. 5. 6.
느티나무 우드슬랩 @ 인천 연수구 그린위크 아파트,세상을 삐닥하게 보기 좋아하는 작자들은 바이러스 시국에 공항이 붐빈다고 여행자들에게 손가락질을 합니다. 이러니 세상이 이모양이라며... 인천 연수구 그린위크 아파트에 나간 느티나무 우드슬랩 인천에는 꽤 많은 우드슬랩 회사가 있습니다. 영림목재를 비롯하여 여러 슬랩을 만드는 회사들이...,2021. 7. 21.
"[인천] 송도마사지샵, 연수구마사지 '파빌리온스파' - 타이마사지 (해피타임 이벤트)","파빌리온스파 인천 연수구 청량로 117 032-832-4450 매일 00:00 - 24:00 파빌리온스파는 옥련동에 위치해있어요 도로변에 엄청 크게 위치해서 눈에 확... 직원 분이 루프탑 구경해보시라 해서 귀찮지만 올라갔던거였는데..^^ 세상에 ~~~ ♡ 커피, 차, 음료와 라면도 무료로 먹을 수 있고 진짜 여행온...",2021. 9. 13.
인천복층빌라매매 연수구 옥련동 축현초등학교 신축 복층테라스,시기인만큼 여행을 떠나기 부담스러워 하시는 분들이 많으실거라고 생각이 드는데요 집안에 거주하시는 시간이 많다보니 집 안에서 야외 활동을... 보았습니다 인천 연수구 옥련동 축현초등학교 도보 2분 통학거리를 제공해주는 인천 복층테라스 신축빌라는 차량 이용 시 수인분당 송도역까지...,2021. 7. 30.
인천 동네 탐방기! 가을바람 느끼기 좋은 연수구 새싹공원,인천 동네 탐방기! 가을바람 느끼기 좋은 연수구 새싹공원 코로나19로 여행이나 관광이 자제되고 있는 요즈음 지친 몸과 마음을 관리하기 쉽지 않으실 텐데요. 오늘은 푸른 녹지 공간에서 시간을 보내기 좋은 인천 연수구 새싹공원에 대해 소개해드리겠습니다. 옥련초등학교 앞에 위치한 새싹공원은...,2021. 9. 27.
