header,contents,date
인천 옹진군 여행 드라이브 코스 선재도 목섬 영흥도 십리포해수욕장,이제는 쉽게 다리를 건너서 갈 수 있는 선재도와 영흥도이기 때문에 누구나 쉽게 인천 옹진군 여행 드라이브 코스로 다녀올 수가 있는 여행지이기도 합니다. 인천 옹진군 여행 드라이브 코스로 오산쪽에서 이동해서 선재도로 들어가서 목섬과 커피숍 아마마스에서 놀다가 다시 영흥도로 넘어가서...,2021. 6. 20.
국내 걷기여행 인천 옹진군 신도에서 시도,국내 걷기여행 인천 옹진군 신도에서 시도 20km 걷기 여행 삼목선착장에서 신도로 배를 타고 넘어왔다 오랜만에 시골스러운 분위기 한 몇발자국 걷다가 근처 식당 들어가서 아침 먹기 고기 듬뿍 들어있는 두부찌개 원래 밥 안먹는데 이 날은 에너지 보충이 필요할 것 같아서 밥도 몇 술 떴다 반찬은...,2021. 9. 29.
[인천 _ 옹진군]봄맞이 여행 _ 장봉도,여행을 하면서 보니 장봉도 파가 겨울바람에도 버텨내면서 자라고 있더라고요. 그걸로 김치를 담궈서 그런가 너무 맛있었어요! 상합 칼국수를 못 먹어 아쉬웠지만 소라 비빔밥 추천합니다! 소라도 많고 야채도 많고! 양도 적지 않아요~ ※하늘정원 맛집 주소 : 인천 옹진군 북도면 장봉로 536-1...,2020. 3. 20.
[솔과 함께하는 랜섬여행]인천 옹진군 백령도,백령도 여행기 5월말 ~ 6월 말까지는 예측불허 안개로 출항 안하는 경우 많음 5시부터 분주히 움직인다 솔이도 전날 싸놓은 베낭을 점검하고 인천연안여객터미널로 이동한다 주말에는 터미널근처도로가 거의 주차장으로 변한다 날씨가 좋아서 그런지 터미널에는 많은 사람들이 있다 그런데...,2021. 6. 22.
아이와 함께하는 인천 옹진군 자월도 섬 여행,안녕하세요 오늘은 희열이와 생애 첫 섬 여행을 다녀올게요 저희가 가는 곳은 인천 옹진군에 위치한 자월도라는 섬이에요 자월도로 가기 위해서는 배를 이용해야 하며 여러 선착장 중 방아머리 선착장을 이용해 다녀오도록 할게요 방아 선착장 표지판이 나왔네요 저희가 도착한 시간은 7시쯤...,2021. 8. 19.
[외출기록] 당일치기 바다여행 - 수기해변 (인천 옹진군),"시국이 시국인지라 어디 멀리 가긴 부담스럽고 당일로 근처에 갈 수 있는 바닷가를 찾아보다 만난, 수기해변 (수기해수욕장) 인천 옹진군 수기해변... ㅎㅎㅎ 이번엔, 짧고 굵게 아주 재밌게 놀다온 당일치기 바다여행 이야기~!!! #수기해변 #수기해수욕장 #당일치기 #바다여행 #바다 #당일치기바다...",2021. 8. 5.
[인천 옹진군 영흥도 갯벌체험] 영암어촌체험마을 형제바위체험장 갯벌체험,"생각보다 조개가 많아서 잘 먹었구요, 행복한 저녁식사였답니다^^ #영암어촌계 #영흥도갯벌체험 #서해안갯벌체험 #인천갯벌체험 #갯벌체험 #영흥도체험마을 #조개해감 #바지락캐기 #조가비열차 #트랙터기차 #트랙터열차 #영흥도여행 #옹진군여행 #서해안여행 #물때 #조석표 #힘들고재밌음 #조개술찜...",2021. 10. 4.
"인천 옹진군 여행, 영흥도펜션, 영흥도애견펜션, 펀츄리 애견독채펜션","인천 옹진군 여행, 영흥도펜션, 애견독채펜션 펀츄리에 다녀왔습니다 방문 날짜는 2020년 10월 8-9일입니다 위치 & 영업시간 위치는 인천 옹진군에 있습니다 펜션 이름을 오페라하우스에서 펀츄리로 이름을 변경하고 내부적으로 리모델링과 시설 업그레이드를 하고 있기 때문에, 지도...",2020. 10. 13.
[인천 옹진군] 태곳적 신비로움에 감탄한 소청도 여행,2020년 9월 18일 [교통편] 인천여객선터미널 백령도행 하모니플라워호(07:50)-소청도선착장(11:10) 인천여객선터미널까지는 영등포소방서 앞에서 루시아님 만나 승용차로 지난 7월 이웃님 여행기를 통해 사진으로나마 대청도를 처음 접했다. 위풍당당한 멋진 모습의 서풍받이와 신기한 나이테바위가...,2020. 9. 23.
"뚜벅이 여행 추천, 인천 옹진군 섬 여행, 섬 여행 명소 추천! 걸어서 하는 옹진군 여행...",덥지도 춥지도 않은 황금 같은 날씨 어디론가 떠나 버리고 싶은 날이에요:) 여행 느낌 뿜뿜하는 인천 옹진군 섬 여행을 통해 주중에 받은 스트레스 싹! 다 날려버리자고요? 우리가 여행하며 자연을 제대로 만끽하며 시간을 보낼 수 있는 방법! 과감히 뚜벅이로 떠나보는 건 어떨까요? 첫 번째로 만나볼...,2021. 10. 8.
