header,contents,date
전남 <강진군 가우도/진도군 진도대교> 일하며 잠시 여행하기~,"안녕하세요~ 얼마 전 주말에 강진 가우도 모노레일 랩핑 작업을 하는김에 근처 여행도 같이 했었는데요, 그래서 짧게나마 여행기를 소개해 드리려고 합니다 ^^ 가우도 섬관광안내지도인데 저는 일때문에 간거라 아쉽기만 하네요,다 돌아보지 못했거든요,, 강진군 대구면 방향에서 주차를 했는데...",2021. 8. 13.
전남 강진군 2020 관광비전 선포식 다녀왔어요.,이어지는 청자 경매의 시간 청자하면 강진군의 대표적인 특산물이죠. 강진여행을 가시면 청자박물관도 꼭 가보세요. 근데 배고프다.. 조선시대 실학자 다산 정약용이 전남 강진에 유배되었을 때 머물던 주막집인 사의재 사의재 저잣거리에서 매주 주말 열리는 조만간 공연도 펼쳐집니다....,2020. 1. 21.
"전남 강진군, 체류형 관광지 'K-STAY 호텔' 준공","민선 7기 공약사항인 체류형 관광지 조성의 하나로 설립된 '케이스테이(K-STAY) 호텔'은 2019년 10월 전남 강진군과 현진개발㈜이 관광숙박시설... 국내 여행 활성화에 맞춰 체류형 관광단지를 조성해 지역경제를 활성화하고 군민소득이 향상될 수 있도록 노력하겠다""고 전했다....",2021. 7. 13.
"전남 강진군, 체류형귀농사관학교 입교생의 일상 1탄~^^","전남 강진군, 체류형귀농사관학교 입교생의 일상 1탄~^^ 전남 강진군은 3년째 체류형 귀농사관학교를 운영하고 있어요~ ^^ 매년 년초에 귀농,귀촌을... 다들 아시죠~~~^^ 귀농선후배분들과 체류형분들의 즐거운 여행! 강진관광택시타고! 강진명소탐방해요~~ 강진의 문화해설에 해박한 기사님들의...",2021. 9. 16.
"가족 여행 펜션 추천. 전남 강진군 한옥 펜션, 독채 펜션 ""흙내음 한옥펜션"" 후기!",흙내음 한옥펜션 흙내음 한옥펜션은 전남 강진군 군동면 호계길 105에 위치해있어요~! 우리가 예약한 입실 일자는 20.04.30 예약 일자는 20.04.22 가격... 그래도 이 방 크기도 작은 게 아니라 가족 여행 펜션 찾는다면 저는 충분한 거 같아요! 거실도 넓으니까 3가족이 와도 충분할 듯! 강진 1박 2일 여행...,2020. 12. 29.
(전남 강진군)서가네 식당,꿩 대신 꿩 2주 전 전남 강진군으로 드라이브스루 벚꽃 여행을 갔다가 들른 식당입니다. 솔직히 말씀드려서 원래는 강진군 병영면의 '설성식당'에 가고자 했는데 마침 브레이크 타임에 걸려 뜻을 이루지 못하고 주변의 식당을 찾으며 방문한 곳입니다. 서가네 식당 설성식당이 워낙 유명하다 보니...,2020. 4. 13.
"(강진여행) 전남 가고 싶은 섬 강진 가우도, 강진군 유트뷰와 강진에서 일주일 살기로...","그래서 준비한 것이 바로 언택트로 즐기는 강진 가우도 해양 레저인데요, 강진군 유튜브에 보면 자세히 소개되었으니니 참고하시기 바랍니다.... #전남강진 #강진여행 #강진가볼만한곳#비대면여행 #7월추천여행지 #가우도 #전남가고싶은섬 #가우도해양레포츠 #가우도짚트랙 #가우도제트보트",2020. 7. 18.
전라도 여행-전남 강진군 -민들레는 민들레 (6월/2021년),"전라도 여행의 잊을수 없는 기억 전남 강진군 다리를 잇는 섬, 가우도를 나와 쉬원한 바닷가 물이 빠지더니 이내 서서히 썰물이 드리워진 갯벌이 펼쳐진다. 그 중간즈음에 만나는 '민들레는 민들레' 커피숍에 숲놀이터를 그대로 옮겨 놓은듯한 이색적인 공간은 개인적인 취향을 저격하기에 충분했다...",2021. 6. 28.
김흥식의 동네두바퀴 : 전남 강진군,"이게 단순히 여행으로 간 게 아니라 지역조사 하러 간 거여서 강진군에서 농사짓는 분들이랑 별의 별 얘기를 나눴는데 그 과정에서 들었던 생각 오.. 삶의 방식은 쥰내게 다양한 것이었구나 물론 뭐 귀촌, 귀농 생각은 없지만 다양한 삶의 방식을 엿볼 수 있었다는 점에서 ㄹㅇ로다가 소중한...",2021. 6. 11.
"전남 강진군, 강진만 생태공원 연계사업 추진 박차","전남 강진군, 강진만 생태공원 연계사업 추진 박차 - 1 전남 강진군은 지난 8월 30일 부군수 주재로 강진만 생태공원 연계사업 T·F팀 회의를... 대표적인 사업으로 강진만 생태탐방 학습홍보관과 생태체험관, 지방 정원 조성사업, 두 바퀴로 그린 자전거 여행 센터 조성, 올해 공모사업이 선정된...",2021. 9. 7.
