header,contents,date
"어른, 아이 할 것 없이 구경할 거리 가득한 [전남 고흥군 고흥여행]","어른, 아이 할 것 없이 모두 즐거운 ""전남 고흥군""로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어 있습니다! 편하실 때, 언제든지 문의해 주세요. 그럼 오늘의 포스팅 마치겠습니다. 다들 좋은 하루 보내세요 ~ ♪ 전세버스대절...",2021. 7. 23.
[고흥 여행 5] 전남 고흥군 영남용바위,"용바위라 불리기도 하는 용암바위는 전남 고흥군 영남면 우천리 용암마을 해변에 반석과 암벽층으로 이루어져 있다. 용바위 하단부를 빙 둘러 드넓은 암반층이 형성되어 있어 관광객들과 낚시꾼들이 많이 찾고, 입시철에는 자녀들의 합격을 위해 치성을 드리는 이들이 모여들기도 한다. 용이...",2021. 6. 8.
전남 고흥 여행 고흥한우와 고흥군청소년문화의집 고흥작은영화관,"지즘 전남 고흥은 일 년 중 가장 아름다운 풍경을 자랑합니다. 자! 그럼 지금부터 안전하고, 아름다운 힐링의 도시 고흥군 여행을 즐겨보시기 바랍니다. 가족여행 전문가! 해외배낭여행 전문가! 여행기자! 여행유튜버! 딥다 활동 중인 편가여 단장 딥다 추천하는 안전여행, 힐링요행지 전라남도 고흥...",2021. 5. 20.
전남 고흥군 거금대교의 하루,"전남 고흥군에 있는 녹동항, 남해해운에서 운영하는 아리온제주호를 타고 제주항으로 고고! 이곳을 또 오는날이 있을까? 인생은 알 수 없기에 재미가 있는거겠지~ 읽어주셔서 감사합니다 여행이 끝나 제주도 도착하자마자 제주시보건소로 달려가서 코로나검사를 해서 여행의 종점을 찍었다...",2021. 8. 21.
연홍도와 연홍미술관(전남 고흥군),"(10년이 넘게 전 난우중 샘들과 독서모임을 하고 있고, 이 모임에서 1년에 두 번 국내외로 여행을 간다. 이번에는 전남 고흥으로 2박3일 다녀왔다.) 연홍도는 전남 고흥군에 위치한 자그마한 섬으로, 거금도 신양항에서 배로 갈 수 있다. 아래는 그 아래 기사 내용에 포함되어 있는 지도이다....",2020. 2. 25.
남파랑길 64코스 전남 고흥군 - 남파랑길 보성~고흥구간,가능 여행자 정보 - 시점 : 남양면 망주리 팔영농협 망주지소(전남 고흥군 남양면 망월로 82) 교통편) 벌교버스터미널 또는 벌교역에서 벌교-부도 버스 이용하여 망주 하차. 배차간격 유의 - 종점 : 과역면 연등리 독대마을회관(전남 고흥군 과역면 과역로 1441) 교통편) 독대 정류장에서 과욕-백일...,2021. 2. 28.
전남 고흥군 거금도 적대봉 - 아주 아름답고 멋진 섬 산행 - 대전 베니스산악회,전남 고흥군 거금도 적대봉 아주 아름답고 멋진 섬 산행 거금도 적대봉을 향해 가는 도중 바라본 거금도의 맞은 편 섬산의 모습 지나온 능선을 되돌아 보니 뒤에서 오는 이날 대전 베니스산악회만 산행을 한 것이 아니기 때문에 베니스 산악회회원님들인지는 모르겠지만 뒤에서 몇 분 오시고...,2021. 8. 27.
아붕조구 과수원 낚시카페 레져타운 전남 고흥군과 협의 추진중,여러분^^ #낚시여행 #아붕조구 #필드스텝 #천안특파원 #BoomShow 입니다. ^^♡ 낚시인구 1천만시대를 찍었다고 하네요 요즘 낚시용품부터 낚시의류 까지... 이런 부분에 있어 아붕조구도 1여년 전부터 전남 고흥에 낚시 레저타운을 조성하기 위해 전남 고흥군과 협의중에 있습니다. 고흥군에 유자과수원...,2020. 11. 16.
"오천몽돌해변, 몽돌이 노래하는 전남 고흥군 힐링되는 바다 여행지",전남 고흥군에 위치한 오천몽돌해변입니다. 방문한 날에는 풍랑주의보로 인하여 평소와 다르게 파도가 거세게 일어나고 있었습니다. 거센 파도로... 오천몽돌해변의 아름다움을 영상으로 담아보았습니다. 파도치는 영상을 담았기에 다소 지루할수 있지만 여행에 도움되었으면 좋겠습니다.,2021. 8. 9.
전남으로 떠나는 랜선여행 #전라남도 #고흥군,전남 고흥군 도양읍 소록리 227 5⃣ #팔영산편백치유의숲 여유와 맑은 공기가 넘치는 팔영산 편백치유의 숲 피톤치드 가득한 숲길을 걸으며 힐링해보세요! 전남 고흥군 영남면 천사로 529-191 ✔모두의 안전을 위해 방역수칙을 준수해주세요 ✔#생활속거리두리 실천으로 #안전여행 하세요!,2020. 11. 30.
전남 고흥군 여행_은하수여행,"고흥군 영남면 우천리에 있는 작약밭입니다. 작약밭을 배경으로 은하수를 담아내는 여행길이네요. 이날은 미세먼지와 주위 광해가 좀 있었지만, 처음 가본곳이라 모든게 이뻐보이던 새벽이었네요. 아침엔 작약밭과 바다를 배경으로 일출도 가능하지만, 다음 장소로 이동하느라 담아오진 못했네요....",2021. 5. 10.
