header,contents,date
"제일식당 - 전남 곡성군 오곡면 기차마을로 목살주물럭,점심백반 맛집 추천","제일식당 - 전남 곡성군 오곡면 기차마을로 목살주물럭,점심백반 맛집 추천 점심에는 사람이 정~~말 많은 편입니다. 곡성에 여행을 가신다면 꼭 한번 들러보시길 바래요~^^ #곡성맛집 #곡성섬진강기차마을주변맛집 #곡성기차마을인근맛집 #전라도백반맛집 #곡성백반맛집 #곡성목살주물럭맛집추천...",2021. 9. 20.
전남 곡성군 섬진강 둘레길 탐방 - 마천목 장군길,10 : 00 - 김천시 - 어 디 로 : 전남 곡성군 섬진강 둘레길 탐방 - 마천목 장군길 제 1코스 ~ 제2코스 구간 - 누구하고 : 김천시 새김천 마을금고 회원들과 함께 - 탐방코스 : 곡성역 기차마을 → 펜션열차 카폐 → 마천목 장군길 제1코스 → 섬진강 침실습지 → 레일바이크 침곡역 → 마천목 장군길...,2020. 1. 6.
(전남 곡성군) 섬진강 레일바이크,"혹시 전남 곡성군이라고 아시나요? 전남 내륙에 위치한 곡성은 전남의 다른 지역과 달리 넓은 평야나 바다 대신 높은 산과 골짜기를 배후로 자리... 계속 전진~ 드디어 레일바이크가 긴 여행을 끝내고 가정역 플랫폼에 들어섰습니다. 언제 어떻게 시간이 지나고, 그 거리를 돌아왔는지 기억이 안 날...",2021. 3. 29.
전남 곡성군 곡성기차마을휴게소(순천방향) 여행가는길 핫도그 먹고 가자!,곡성기차마을휴게소(순천방향) 전남 곡성군 겸면 가정리 산 96-6 안녕하세요~ 전남 곡성군에 위치한 곡성기차마을휴게소(순천방향)로 방문하였어요! 친구들과 여수 여행 가는 길에 휴게소에서 잠시 쉬었다 가기로 결정! 날씨도 좋고 마음도 설레고 친구들 만나서 기분도 너무 베리 펀~ 하네요....,2020. 6. 22.
[곡성여행][당일] 전남 곡성군 당일 순회관광코스 삼사순례,"[곡성여행][당일] 전남 곡성군 당일 순회관광코스 삼사순례 곡성(순천/구례) 당일여행코스 (순회관광 삼사순례) 2020.01.28.(화) 순천 수련산방 구례 사성암 곡성 심청마을, 두가헌, 구 곡성역 곡성 도림사 곡성 관음사 2020.01.28.(화)(당일) 진주 → 순천 → 구례 → 곡성 → 진주 진주집...",2020. 2. 4.
"사이버 교육 재개/ 곡성군-전남과학대, 지역 동반 성장 모색[전남조은뉴스/조순익 기자]","실시전남교육청, 9월1일자 교육공무원 인사 발령전남도, 힐링․여유․감성․별미 등 소개 ‘남도 가을여행’ 발행담양군, 대전면에 한재골... kr) 곡성군-전남과학대, 지역 동반 성장 모색- 상생을 위한 2021년 제2차 관학지역발전협의회 개최 조순익 기자 곡성군(군수 유근기)이...",2021. 9. 12.
청년들 ‘인생 선택지’에 귀촌도 있음을 알려주고 싶었다…전남 곡성군 귀촌살이...,"그의 목표는 여러 곳을 여행하며 사는 것이고, 그렇기에 곡성 역시 하나의 거점이라는 것이다. ""저는 여기저기 다 살아보고 싶어요. 역마살이라고... 저희는 청춘작당 프로그램을 통해 청년들이 곡성에 계속 유입될 수 있는 계기를 마련할 거에요."" 곡성군과 청춘작당은 2020년 '전 남았어요, 곡 성공할...",2020. 1. 2.
[1년 전 오늘] 전남 곡성군맛집 곡성맛집 소머리국밥 강추,1년 전 오늘 전남 곡성군맛집 곡성맛집 소머리국밥 강추 #곡성여행점심식사~#소머리국밥인터넷 검색해서찾은 #곡성소머리국밥주차는 매장앞 가능~소머리국밥 주문~소머리수육은 담번에밑반찬들 등장 김치 깍뚜기 꼴뚜기젓갈 전부 시골맛 그대로인듯맛도 기가막혀 이 반찬들로만해도든든한...,2021. 2. 5.
전남 곡성군 옥과카페 옥과커피 안락한 분위기 좋아!,전남 곡성군 옥과카페 옥과커피는 말이죠! 계속 눌러 앉아 있고 싶은 안락한 분위기예요. 바깥에 찬바람 불때 들어가면 딱 좋은 그런거 아세요? 곡성여행 잠시 들러서 갈 길이 멀어 한 잔 마시고 왔네요. 또가원은 또 가야 할까요??ㅋㅋ,2020. 11. 29.
전남곡성군인터넷가입 키워드로 승부한다!,전남곡성군인터넷가입 키워드로 승부한다! 오늘같은 날에는 창문도 없이 바람대로 춥더라고요. 방콕을 위한 컨셉분들도 있겠지만 방콕여행에 자주 방문하신다면 더욱 좋지 않을까라는 생각이 들게 되는 방법을 찾아드리고 있습니다. 우리는 입소문이 필요하다고 생각하는 것이 서로에 대한 건강에...,2020. 11. 20.
