header,contents,date
[bbb 파트너] 전남 광양시로 떠나는 봄맞이 언택트 여행!,"올해에도 역시 사람들과의 접촉을 최소화하며 즐길 수 있는 언택트 여행이 트렌드로 떠오르고 있는데요, 올 봄, 소중한 사람들과 안전하게 즐기는 언택트 드라이브 여행! '전남 광양시'로 떠나보는 것은 어떨까요~! bbb 파트너 - '광양시' bbb 코리아와 광양시는 2019년 7월 업무협약을 맺고...",2021. 3. 10.
"전남 광양시, 스치기만 해도 힐링 되는 드라이브스루 광양 여행을 소개","전남 광양시가 제4차 대유행의 파고를 넘는 코로나 시대에 스치기만 해도 힐링 되는 드라이브스루 광양 여행을 소개해 주목받고 있다. 드라이브스루 광양 여행은 섬진강을 따라 흘러 망덕포구에 머물다 배알도에서 쉼표를 찍고 이순신대교에 이르는 여정이며, 닫혔던 가슴이 탁 트이는 강, 포구, 섬...",2021. 7. 20.
전남 광양시 하조마을 삼남와 휴가 가기~,보니 전남 광양시 하조마을로 여행 계획을 잡은 저 스스로 뿌뜻하긴 하더라구요~^^ 항상 호기심이 많은 우리 막둥이는 말 할 것도 없이 너무 신나게 놀고 돌 쌓기를 유난히 좋아 하는 지라 질리도록 돌맹이를 던지고 쌓으며 놀다 왔네요~^^ 지금 4살의 막둥이도 놀수 있을 만큼 물의 높이가 낮아서 놀기...,2021. 9. 12.
고생 끝에 행운이 찾아온 계곡 여행 전남 광양시 옥룡면 황금 펜션 편,무려 닭구이가 맛있는 곳이라고 해서 모두 콜을 외쳤다..★ 장소는 광양시 옥룡면 ! 자세한 내용은 밑에 사진을 첨부하여 소개하도록 하겠다 ~'0'~ 2.... 소리가 너무 귀여움 ㅠㅠㅋㅋㅋ 보드카페를 마지막으로 계곡 탐방 여행을 마무리했다..★ 이렇게 사진과 함께 써 내려가다 보니 여행 한 번 더...,2021. 6. 17.
[전남 광양시 봉강면_설담가] 한정식의 끝판왕을 만나고 돌아오다!,오늘은 저희 어머니 환갑을 기념해서 남해 여행을 기획하였네요ㅎㅎ 제가 코로나 녀석 때문에 주식에 푹 빠져 있지만 여행도 상당히 좋아한다는... 싶으실꺼에요 ㅎㅎㅎ - 가게명 : 설담가 - 전화번호 : 061-763-8884 - 주소 : 전남 광양시 봉강면 매천로 666 - 영업시간 : 매일 12:00~21:00 #광양맛집...,2020. 8. 1.
[광양여행][당일] 전남 광양시 당일 관광코스 휴양투어,[광양여행][당일] 전남 광양시 당일 관광코스 휴양투어 광양당일여행코스(휴양투어) 2021.04.18.(일) 구봉산전망대 은성면옥 배알도 해변공원 2021.04.18.(일)(당일) 진주 → 광양 → 진주 진주집 - 구봉산전망대 - 은성면옥 - 배알도 해변공원 - 진주집 11:00 진주집 12:00 광양...,2021. 6. 18.
전남 광양시 폭포사랑길 방충망·방진망 시공,"아직 여름휴가를 안 가신 분들, 우리나라의 아름다운 바닷가, 남도를 여행하기 좋은 이벤트라고 생각합니다~ 오늘 산들바람은 전남 광양시 폭포사랑길(금호동) 장미 아파트에 산들바람방충망,방진망 시공을 다녀왔습니다. 저희 산들바람의 광양시 금호동에 장미 아파트를 다녀왔는데요. 광양시...",2020. 8. 11.
남파랑길 48코스 전남 광양시 - 남파랑길 광양~순천구간,또는 도보 이동 가능 - 종점 : 진월면 선소리 진월초등학교(전남 광양시 진월면 선소중앙길 69) 교통편) 진월초교정류장에서 54번 버스 이용하여 하동시외버스터미널 하차 - 자전거길과 걷기여행길이 함께 조성되어 걷기여행시 주의가 필요 - 남해고속도로 운전자 휴식처인 섬진강휴게소 이용...,2021. 2. 22.
"전남 광양시 다압면 고사리 토지매매(펜션적합,약1000평) 안내","섬여행, 올레길 투어 등을 하는 이유는 정서적으로 매말라있는 자신의 심신에 대한 힐링을 원하기 때문이죠. 이곳 고사리 일원은 이런 현대인들의 니즈를 충분히 수용할 만한 천혜의 경관을 자랑합니다. 좀더 구체적으로 살펴볼께요. 고사리 OO번지 소재지: 전남 광양시 다압면 고사리 지목: 임야...",2021. 6. 10.
"[광양여행] #광양여행 시작은 시원하고 화려한 와인동굴에서(21.8, 전남 광양시...","#광양여행 을 한다면 한여름 그 시작은 #광양와인동굴 아닐까 싶네요. 동광양과 광양읍 중간에 위치하고 있구요. 네이버 #광양가볼만한곳 현재... 열매 좋아하는 아들녀석은 전리품 제대로 챙김~ #광양여행 시작은 시원하고 화려한 와인동굴에서 즐겨보시길!! #광양가볼만한곳, #광양와인동굴...",2021. 8. 16.
