header,contents,date
전남 구례군 지리산 천은사 여행,전남 구례군 지리산 천은사 여행 당일치기가 가능한 대략 차로 1시간 30분 정도 걸리는 곳이라 시간을 내서 가 보았다. 풍경이 이렇게 멋있는 사찰을 지금껏 본 적이 있었나 싶을 정도로 멋있었고 냇가에 흐르는 물소리가 듣기 좋았다. 힐링이 되는 곳이라고 생각했다. 처음에 구례 천은사라고 했을 때...,2021. 5. 28.
전남 구례군 지리산 맛집 _ 고향산장 펜션&식당,정말 맛있다 하면서 산채비빔밥 한 그릇을 다 먹었다. 이렇게 많이 먹으면 올라갈 때 힘들 거야 했는데 정말 올라가면서 힘들었다. ㅎㅎ 2021-06-15 일요일 전남 구례군은 하늘 맑고 시원하고 대박의 날씨다. 아침 먹고 나오면서 사진 한장 이제 올라간다. 노고단 주차장으로,2021. 8. 21.
전남여행 구례군 섬진강어류생태관 가족과 함께가기 좋은곳,7월이후 개관을 하면 가을에나 다시 한번 방문을 해 볼 수 있을 것 같네요. 자녀와 함께 가볼만한곳인 구례군 섬진강어류생태관 다시 가즈아~ #전라도여행 #전라도여행지추천 #전라도가볼만한곳 #전남여행 #전남가볼만한곳 #전남여행지추천 #구례여행 #구례가볼만한곳 #섬진강어류생태관 #섬진강,2021. 5. 21.
[전남/구례군] 섬진강과 민물고기들의 이야기가 가득한 곳.. '섬진강어류생태관',"#아이와함께가볼만한곳 #섬진강어류생태관 #민물고기수족관 #전라남도여행 #구례군여행 #수달 #섬진강이야기 #섬진강의유래 #민물고기탐구생활... 부산에서 전남 구례까지 다녀왔어요ㅋ 꼬마 김군 보여준다는 핑계로 아빠, 엄마가 더 신나서 다녀왔네요. 힛! 전남 구례군에 위치한...",2020. 1. 14.
[전남 구례군]하동/구례 여행 40년전통 맑은 소내장탕 맛집 '원조 목화식당',구례 원조 목화식당 전남 구례군 구례읍 구례2길 33 매일 07:00~20:00 연중무휴 061-782-9171 목화식당은 40년 역사와 전통의 맛을 자랑하는 곳이예요.... 나혼자산다에서도 최근에 만들어진 하동짚라인이 여행지로 나오더라구요. 내 출장지가 이렇게 유명 관광지가 될 줄이야... 구례 원조목화 식당은 하동...,2020. 9. 24.
#전남 구례군 광의면 닭백숙 & 산채정식 전문점 '참새미골체험식당',"@ 주소: 전남 구례군 광의면 매천로 401 @ 번호: ***-****-**** @ 메뉴: - 삼겹살, 흙돼지삼겹살 - 산채정식, 지리산산나물비빔밥 - 자연산 송이버섯전골... #구례맛집 #구례대표맛집 #산수려밥상 #구례능이백숙 #구례여행 #구례관광 #전남여행 #전남구례여행 #전남맛집 #구례투어 #구례단내투어...",2021. 8. 12.
전남 구례군문화재 구례군가볼만한곳 구례군관광명소 구례 운조루 고택,전남 구례군문화재 구례군가볼만한곳 구례군관광명소 구례 운조루 고택 전라남도 구례군의 토지면 오미리에 자리하고 있는 운조루 고택입니다 국가민속문화재 제8호인 이 고택은 조선 영조 52년 당시에 삼수 부사였던 류이주가 건축한 집으로 당시에 민간인이 지을수 있는 최대 규모의 주택인...,2021. 4. 10.
구례예술인마을...전남 구례군 여행,"구례군향토문화유산, 조선 3대 길지 운조루와 금환락지 곡전재 관광하고 들린 #구례예술인마을. 토요일마다 오픈스튜디오 한다고해 주말여행 ㅎ #지리산둘레길 코스이기도 한 구례 예술인마을. 화가, 도예가, 사진작가, 조각가, 건축가 등 작업실이 있고... 오픈 스튜디오는 아트숍, 판화 체험 및 전시...",2020. 8. 7.
인천거산투어로 전남 구례군 수락폭포에 와서 2021년 3월 20일,들어가 보게 만들며 결정한 오늘의 여행은 힘들지도 하고 탁월한 선택이었던 같다. #인천거산투어 편안하고 즐거운 여행을 할 수 있어서 Good! 비는 내리고 안개는 있어도 덕분에 멋진 여행이 되었다. #구례여행 #구례가볼만한곳 #구례계곡 #구례수락폭포 #계곡명소 #구례산수유 #전남구례군수락폭포,2021. 3. 20.
전남 구례군 지리산 자락 한옥 마을 독특한 찻집…테이블 두 개뿐인 시골 바리스타 사랑방,"역사와 풍습, 건축, 문화의 향기를 느끼고 전하는 아름다운 시간 여행이기도 하다. 우리가 모르는 또 다른 우리의 이야기를 담아내는 살아있는 현장 다큐멘터리 프로그램이다. 전남 구례군 지리산 자락 한옥 마을 독특한 찻집…테이블 두 개뿐인 시골 바리스타 사랑방 기사 원문 보기...",2021. 7. 13.
(구례 가볼만한곳 건강빵 맛집 추천) 전남 구례군 생활의 달인 빵집 : 목월빵집,"전남 구례군에서 촬영했더라구요. 티비보다가 생각난 지난번에 다녀온 구례 건강빵 맛집, 구례 유명한 빵집, 목월빵집 소개&추천할게요! 구례... 저도 구례여행중에 목월빵집을 간게 아니고 다른곳을 가는길에 일부러 돌아가면서 들린곳인데, 목월빵집은 생각보다 한적한 마을에 위치해 있었어요.!...",2021. 4. 6.
익산관광버스 - 익산 우리밀 영농조합 선진지 견학(전남 구례군 일원)[36석 우등...,"거리두기 좌석 배치 및 수시 소독, 탑승장 명부 작성을 필수로 시행합니다 익산 우리밀 영농조합에서 출발하여 전남 구례군으로 향합니다 전세버스는 다양한 목적으로 차량을 이용하실 수 있습니다 여행, 관광, 결혼식 하객버스, 공항수송, 선진지견학 수학여행, 현장학습, vip의전 등 전남 구례군에...",2020. 12. 2.
캠핑 / 전남 구례군 지리산 피아골오토캠핑장. 두 번째 방문 후기.,com/xmaskn/222026858331 - 전남 구례 지리산 피아골 오토캠핑장 http://www.guryecamp.com/ - 전라남도 구례군 토지면 원기양지길 26 (내서리) #전라도캠핑장... 애주가 #여행 #캠핑여행 #계곡 #계곡캠핑장 #계곡수영 #전남캠핑 #전라도캠핑 #구례캠핑 #힐레베르그타프 #나이키아쿠아슈즈 #아쿠아삭 #나이키아쿠아삭,2020. 8. 14.
구례상가매매 구례산동부동산 전남귀촌부동산 시골귀촌귀농 구례군부동산],"-매 매 가 격 : 4,130만원 -위 치 : 전남 구례군 산동면 좌사리 -용 도 구 역 : 계획관리지역, 관광.휴양개발진흥지구,지구단위계획구역, 온천지구 -면... 3월이 되면 구례 산수유축제때 많은 사람들이 여행을 오는 곳 입니다. 코로나로 인하여 ~~~아쉽지만~~ 지리산으로 시작해 많은 곳 ~자연경관 등을...",2021. 9. 4.
전남구례군맛집#목월빵집,20년11월 단풍도 볼겸 구례군으로 여행다녀왔어요 저희가 지냈던 숙소가 구례군에 있었는데 주변 맛집검색해보니 괜찮은곳이 꽤 있더라구요 . . . 그 중 마음에들었던곳 1박2일 동안있으면서 2번이나 방문했던곳 목월빵집 동네 작은빵집인데 구례관광객들 다 거쳐가는곳인가바요 엄청 유명한듯 뚜둥...,2020. 11. 13.
[전남/구례군] 토장탕이 맛있었던 다슬기요리 전문점.. '섬진강 다슬기식당' 솔직후기,#전라남도여행 #구례군여행 #섬진강어류생태관 #섬진강다슬기수제비 #섬진강다슬기수제비식당 #토장탕맛집 #구례맛집 *핸드폰 사진정리하다 뒤늦게 써보는 후기~^^;; 2020. 01. 05. 일요일의 늦은 점심 식사 아이와 함께 섬진강어류생태관 주변에서 실컷 놀다가 부산집으로 돌아오기 전에 식사를 위해...,2020. 4. 1.
[전남 구례군 – 식당] 고향산장펜션&식당,"[전남 구례군 – 식당] 고향산장펜션&식당 ■ 답사 기준일 : 2020. 08. 20. (목) ■ 인근 관광지 추천 : 천은사, 화엄사, 지리산국립공원... kr #전남 #구례 #식당 #장애인여행 #장애인관광 #휠체어여행 #휠체어관광 #휠체어 #장애인 #무장애여행 #관광약자 #여행취약계층...",2020. 9. 21.
