header,contents,date
[지역N문화 테마여행] 전남 나주시 여행코스 :: 전통을 지키고 과거를 잊지 않는다는 것,"전남 나주시 여행코스 전통을 지키고 과거를 잊지 않는다는 것 전통을 지키고 과거를 잊지 않는다는 것 전남 나주시 *출처 : 한국관광공사 지역N문화 테마여행, 오늘은 나주로 떠나봅니다. 나주는 호남을 대표하는 역사와 문화의 도시인데요! 2천년 전 유적부터 근대 건물까지 나주에서...",2020. 11. 30.
"[나주 여행] 전남 나주시에는 11m 높이의 석당간이 있습니다.""나주 동점문 밖 석당간""","나주 이색 여행 / 나주 볼거리 / 나주 가볼 만한 곳 전남 나주시에는 11m 높이의 석당간이 있습니다. ""나주 동점문 밖 석당간"" 전라남도 나주시 성북동에 있는 나주 동점문 밖 석당간은 보물 제49호로 지정되여 있습니다. 전남 나주시에는 석당간 높이가 11m짜리가 있습니다. ""나주 동점문...",2021. 10. 7.
전남 나주시 여행_ 나주호의 겨울풍경,"중부지방의 춘천의 소양강이나 충주의 충주호가 유명하지만, 남부지방에서는 만나기 힘든게 사실입니다. 올해는 유달리 눈도 많고 추운날이 많았던 탓으로 전남의 나주시에 있는 나주호에도 이리 상고대가 피었답니다. 사실 남부에서는 언제 또 만날수 있을지 모를 풍경이네요.",2021. 1. 19.
[ 전남 나주시 - 여행지 / 기차역 ] 남평역,"[ 전남 나주시 - 여행지 / 기차역 ] 남평역 ■ 답사 기준일 : 2020. 12. 22. (화) ■ 인근 관광지 추천 : 빛가람호수공원, 빛가람전망대, 빛가람치유의숲 등 00:03 01:02 1) 기본정보 - 주 소 : 전남 나주시 남평읍 동촌로 313 - 지 도 : https://map.kakao.com/?urlX=470746&urlY=433543&urlLevel=3...",2021. 1. 5.
[길부동산 T-121] 전남 나주시 산포면 토지 매매합니다!,"우리 모두 다 같이 방역과 개인위생, 사회적 거리두기를 잘 실천한 덕분 아닐까 싶습니다^^ 하루빨리 코로나로 인해 아픔을 겪고 계신 분들이 쾌차하길 바라며, 오랜만에 나들이를 계획하신 분들도 개인위생을 철저히 지키셔서 즐거운 여행 되시길 바랍니다. 전남 나주시 산포면 토지(전)...",2020. 4. 29.
대한민국 테마여행 10선 전남 나주시의 이국적이면서 한국적인 카페 마중,"마중 시간을 달려 그 곳으로.. 나주역에서 5분 나주혁신도시에서 15분 광주에서 25분 무안에서 25분 나주를 품은 금성산 자락에 자리한 마중은 전통과 근대, 오늘이 어우러진 복합문화공간입니다 시서헌 아름드리 나무들이 너른 그늘을 내어 주고 있습니다 뜰어 뒹구는 햇살은 따사롭고 향교 긴...",2021. 7. 20.
나주부영cc/전남 나주시,골프텔은 골프라운딩을 하지 않아도 예약이 가능하다고 한다. 골프를 즐기지 않으면서 휴식과 힐링도 얻을 수 있는 곳이 나주부영cc가 아닐까 생각이 든다. #골프라운드 #골프 #골프장 #골프여행 #골프웨어 #골프코스 #골프라운딩 #골프클럽,2020. 6. 7.
"전남 나주시 [ 빛가람동, 석현동, 영강동, 이창동] 원어민 일대일영어회화 모든 연령대...","전남 나주시 [ 빛가람동, 석현동 ,영강동 , 이창동] 원어민 일대일 영어회화 모든 연령대 맞춤 수업 진행 되는 곳 리버티영어 소개 합니다. 많은... 부터 여행영어 비지니스회화 , 말하기 시험 등등 원어민선생님과 함께 진행!! 영어를 처음 배우는 유아 부터 성인들을 위해 이해하기 쉽도록 개발한...",2021. 4. 22.
나주시 대한민국 테마여행 10선 관광관련업에 서비스교육,"코로나19로 인해 다들 정말 어려운 생활을 이어나가고 버티고 계실 분들이 많으실텐데요, 맛집에 돈 안 아끼고 여행에 망설임이 없었던 저도 너무... 돈우랑 전남 나주시 빛가람동 452-3 돈우랑은 나주혁신도시에서 삼겹살과 찌개가 정말 맛있기로 소문난 맛집이죵~! 고기마트를 운영하는 집에서...",2020. 12. 21.
"[ 여행 준비 ] 나주시, 화순군 가볼만한 곳 찾기.",※주소 : 전남 나주시 반남면 고분로 747 국립나주박물관 ★ 화순 여행지 ● 1. 세량제 (세량지) 저수지에 비친 풍경이 아름다운 곳. 벚꽃필 때 아름다움. 둘레길 조성되어 있음. ※주소 : 전남 화순군 화순읍 세량리 98 ● 2. 화순 고인돌공원 (세계문화유산) ※주소 : 전남 화순군 춘양면 대신리...,2021. 3. 13.
