header,contents,date
"담양제과, 전남 담양군 대나무 디저트맛집 카페 추천!","담양제과, 전남 담양군 대나무 디저트맛집 카페 추천! 작년에는 국내여행을 종종 다녔어요. 국내에도 좋은 곳들이 참 많이 있다는 생각을 하게 됐는데 대나무로 유명한 담양도 좋은 곳이더라고요! 역시 전라도라 맛있는 것도 많고 돌아다녔던 맛집 진짜 다 넘 만족쓰....ㅎㅎㅎ 대나무를 이용해...",2021. 4. 21.
전남 담양군 돼지 갈비 맛집 [ 승일식당 ],안녕하세요 ㅎㅎ 이번에 포스팅 할 곳은 가족 여행으로 다녀온 전라남도 담양군에 위치한 돼지 갈비 맛집 [ 승일식당 ] 입니다. 영업 매일 09:30... 생각에는 한번 초벌로 구워 놓고 주문이 들어오면 완벽히 조리하는 방식인듯 합니다. ㅎㅎ 여기까지 전남 담양군 돼지갈비 맛집 [ 승일식당 ]입니다.,2021. 9. 3.
"[전남 담양군/메타세콰이어길, 메타프로방스] 여행의 끝, 낭만의 가로수 길로","확실히 이번 여행이 도움이 된 것 같죠?ㅎㅎ . . . . . . . . . . . . 그럼 전남 담양군 포스팅, 이만 마치겠습니다! '메타세콰이어길 & 메타프로방스' 란 무엇일까? 네이버 지식백과 & 메타프로방스 홈페이지 -담양 메타세콰이어길 -분류 : 인문(문화/예술/역사) > 체험관광지 > 이색거리 -위치 : 전라남도...",2021. 6. 13.
명옥헌 - 전남 담양군 고서면여행,"명옥헌 전라남도 담양군 고서면에 있는 조선후기 오이정이 조성한 정원. 전라남도 기념물 제44호. 고서(古西) 네거리를 지나 창평 쪽으로 가다보면 길 오른쪽에 ‘鳴玉軒庭苑入口’라고 쓰인 비석이 서 있고, 그 옆의 샛길로 접어들어 언덕을 하나 넘으면 네모진 연못이 하나 있는데 이것이 바로...",2020. 11. 4.
전남 담양군의 숨은 볼거리. 창평 슬로시티 고씨 집성촌,"""전라남도 담양군 가볼 만한 곳"" ""슬로시티 창평면 고씨 가옥"" ▶고재욱 가옥 전남 담양군 창평면은 담양의 역사와 슬로푸드가 공존하는... 임신영블로그엔 상업사진 및 여행 사진들이 많이 포스팅 되여 있으니 클릭하고 들어오십시오. https://blog.naver.com/photo4782",2021. 2. 14.
[메타세쿼이아길/관방제림] 광주 사는 친구와 담양여행 [전남/담양군],"담양군청 311번 버스를 타고 도착함 담양. 주말, 공휴일엔 담양군청에서, 주중엔 담양읍사무소에서 자전거를 무료로 빌려준다고 하여 담양군청에서... 담양여행 리뷰를 보다보면 관방제림에서 자전거를 빌려서 20분걸로 메타세쿼이어 길에 오고, 초입에서 10분간 사진찍으며 놀고, 다시 20분 걸려서...",2021. 8. 27.
전남 담양군 대전면 대치리 '한재골 주차장' - 차박 여행,전남 담양군 대전면 대치리에 위치한 '한재골 주차장'으로 갑니다. 저녁에 차박하러 갑니다. 도착하였습니다. 이번엔 면 타프를 자동차 2대의 지붕에 커다란 큐방으로 고정시켜 봅니다. 잘 버텨줍니다. 새로 산 12V 에디슨 전구도 밝혀봅니다. SKY Life 안테나도 설치합니다. 분위기 괜찮습니다. 밖의...,2021. 9. 11.
"""전남 담양군"" 광주/전남 ""키즈풀빌라펜션 ""오떼떼 가족과의 여행리뷰 104호","광주/전남에서 입소문이 났다던 담양 키즈풀빌라펜션 오떼떼를 가족과 104호 스파룸에 방문해 휴식을 취하고 왔습니다.^^ 딸이 너무도 심심해 하여 와이프와 예약하기 힘든 오떼떼를 예약해 즐거운 여행을 했네요. 담양 오떼떼 ""키즈풀빌라펜션"" 오떼떼에 도착하여 짐을 풀고 딸과 놀아주다가 나와서...",2021. 5. 25.
전남 담양군 여행_ 담양의 겨울풍경들,담양여행은 정자문화만 둘러봐도 너무나 멋진 여행이 되지요. 사계절 각양각색의 풍경이 너무나 아름다운 곳들입니다. 다음은 눈오던날의 가사문학권 여러 정자들의 흔적들입니다. 명옥헌 원림 소쇄원 식영정 부용당 송강정 일명 “메타세콰이어 랜드”,2021. 1. 3.
죽녹원 / 담양군 가볼만한곳 / 담양군 여행 / 전남,"거의 담양 여행의 필수 코스인 곳! 두구 두구 두 번째 방문이었다. 주차는 죽녹원 주차장이 아니라 담양 종합 체육관 주차장을 이용하였다. 더 편하다는 꿀팁을 보고 갔는데 넓~고 좋았다. 천 년 담 양 죽녹원 정문 정문 매표소 성인 일반은 3,000원이다. 죽녹원 안에서 밖으로 바라봄 쓰레기통도...",2021. 4. 29.
[新국토기행] <35> 전남 담양군 - 서울신문,[新국토기행] <35> 전남 담양군 입력 : 2015-07-01(수) 17:54 깨어나는 담양의 신비…발길잡는 남도의 손맛 전남 담양군은 예부터 대나무가 많이 나서 ‘죽향’으로 불린다. 한때 죽제품과 죽물시장이 전국 상인을 불러들일 만큼 번창했으나 지금은 플라스틱 제품과 수입품에 밀리면서 쇠락을 거듭하고...,2020. 5. 14.
"[전남 담양군] 1박 2일 스파 펜션, 담양 퀸즈캐슬 솔직후기","하고픈 말이 태산인데 다 까먹고 핸드폰 바꾸고 ㅋㅋ 그래서 육아휴직기간인 횬식이가 돌아왔습니당 담양 퀸즈캐슬 로고 전남 담양군, 퀸즈캐슬... 그치만 이모, 엄마와 함께하는 첫 여자들 여행으로써 다들 만족이었고 다른 곳으로 또 여행하자는 말이 나왔으니 대체적으로 만족이었습니다. 위생...",2020. 2. 13.
쌍교숯불갈비(담양본점) - 전남 담양군 봉산면 양지리 돼지숯불갈비 맛집 추천,쌍교숯불갈비(담양본점) - 전남 담양군 봉산면 양지리 돼지숯불갈비 맛집 추천 워낙 유명한 맛집이다보니 주차장도 어마무시합니다. 주차걱정은... #전라남도맛집 #담양맛집 #담양식갈비 #담양숯불갈비 #담양숯불돼지갈비 #쌍교숯불갈비 #담양본점 #담양봉산면맛집추천 #담양맛집추천 #담양여행...,2021. 8. 5.
‘한국기행’ 전남 담양군엔 추억이 피어나는 돌담길이 있다,"전남 담양군 좁은 돌담길에서 피어오르는 추억과 따뜻한 이야기는 1일 밤 9시 30분 방송되는 EBS 1TV 시사ㆍ교양 프로그램 ‘한국기행’에서 만나볼 수 있다. ‘한국기행’은 대한민국의 숨은 비경을 찾아 떠나는 공간 여행이다. 역사와 풍습, 건축, 문화의 향기를 느끼고 전하는 아름다운 시간...",2021. 2. 1.
