header,contents,date
[지역N문화 테마여행] 전남 목포시 여행코스 :: '가슴아프지만 잊지 말아야 할 '목포의...,"전남 목포시 여행코스 가슴아프지만 잊지 말아야 할 '목포의 눈물' 가슴아프지만 잊지 말아야 할 '목포의 눈물' 전남 목포시 *출처 : 목포문화관광 1897년 개항한 목포는 일제강점기를 거치며 조선의 6대도시로 성장했어요. 대한제국 시기 일본에 의해 철저하게 이용된 목포, 그래서인지...",2020. 11. 4.
2020년 6월 10일 전남 목포시 목포해상케이블카,목포해상케이블카 북항스테이션 (전남 목포시 죽교동) 목포에 도착해서 제일 먼저 목포해상케이블카 타러 북항스테이션에 갔다.... 부모님 모시고 여행하는거라 포기.. 유달산 전망대 & 계단겁나 빡세보인다.유달산스테이션에서 계단으로 올라갈 수 있는데일정상으로 포기 북항스테이션으로...,2020. 7. 25.
전남 목포시 달동 전망대 해변길 고하도 섬 이충무공 곰솔숲,사실 여행을 계획하고 온 게 아니기에 숙박업소나 주변에 유명한 것들은 찾아보고 오지 않았기에 어디를 가야 이쁜지 어디를 가야하는지 전혀 모르는 상태에서 전남 목포시 달동 전망대 해변길 그냥 바닷가의 길을 따라서 걷고만 있었어요 ! 근데 막상 야외를 나오니까 바닷 바람이 스믈스믈...,2021. 3. 2.
전남 목포시 #3-1. 오룡지구 발품기,"전세가 올리는 팁) 위 두 글에 이어 전남 목포시에 임장을 다녀왔습니다. 광주&담양에 친구와 1박 2일로 여행을 갔다가, 친구는 보내고 혼자 목포로 내려와 하룻밤을 묵은 다음 아침부터 임장에 나섰습니다 :D 목포 터미널 근처에서 숙박을 하고, 여행 + 임장으로 인해 짐이 많았기 때문에 터미널...",2021. 8. 24.
산낙지 호롱구이 잘하는 집 목포 평화광장맛집 : 전남 목포시 독천골,상호 : 독천골 영업시간 : 오전 10:40 ~ 오후 9:40 전화번호 : 061-283-9991 주소 : 전남 목포시 미항로 197 안녕하세요. 쌍대킴입니다. 오늘은 전남 목포에... 나중에 한번 목포 곳곳을 돌아다녀 보고 싶은 생각이 들었답니다^^ 목포 여행이나 오늘은 어디 가지 하시는 분들 독천골에서 낙지 호롱구이 한번...,2021. 9. 28.
(전남 목포시) 목포 시간 여행,"근대로의 시간 여행 바로 목포에 있는 '근대 역사 문화 거리'입니다. 이전에도 언급했던 것처럼 목포는 조그마한 어촌 마을에 불과했지만 1897년... 과거에는 목포 시내 멋쟁이들이 갑자옥 모자점에서 판매한 모자만 쓰고 다녔다고 할 정도로 손님도 많고, 돈도 많이 벌었다고 하던데... 가게 위쪽에...",2021. 8. 6.
"전남 목포시, 관광객이 안심하고 편하게 피서를 즐길 수 있는 외달도해수풀장과 해변 개장",전남 목포시가 '슬로시티 섬' 외달도해수풀장과 해변을 이달 10일 개장해 내달 22일까지 운영한다. 목포시는 해수풀장 바닥매트 교체를 비롯해... 이와 함께 해수욕장 이용객의 밀집도를 낮추기 위해 ▲사전 안심 예약제(네이버 외달도 해수욕장 검색 또는 바다 여행) ▲안심콜 ▲거리두기 구획제...,2021. 7. 6.
[전남 목포시 숙박] 호텔 목화....330년 고택 한옥과 1960년대 양옥여관이 공존하는 곳,"기간:2021.08.14 ~ 2021.08.15 (1박 2일) 컨셉:맛 찾아 미식여행 경로:목포 초원음식점▶목포해양케이블카▶목포우리수산▶호텔 목화▶목포 명신식당... https://blog.naver.com/kgh920715/222166035610 ▼ 홈페이지를 살펴보니 호텔에 별도 주차장을 보유한 건 아니고 ""목포항동시장무료주차장 혹은 공영무...",2021. 8. 25.
[ 전남 목포시 - 관광지 ] 목포스카이워크,⑫ 장애인문화관광센터 링크 : 홈페이지 : http://www.dctc.or.kr 네이버카페 - http://cafe.naver.com/happyywing 다음카페 - http://cafe.daum.net/happyywing 장애인문화관광센터Previous Next 1 2 3 4 5 6 www.dctc.or.kr ⑬ 해시태그(메타데이터) #전남 #목포시 #여행지 #장애인여행 #장애인관광 #휠체어여행...,2020. 12. 15.
전남 목포시 대한민국 관광도시거점 최종 선정,금일 전해드릴 소식은 이번 여러 경쟁도시를 제치고 관광도시거점 육성사업지로 전남 목포시가 선정됐다는 소식입니다. 문화체육관광부에서는... 유달산과 둘레길(출처:목포 문화관광 홈페이지) 제가 광주에 거주하다보니 근교 여행을 많이 다녔는데 자주 가다보니 새롭지도 않고 식상했는데...,2020. 1. 29.
