header,contents,date
"전남 무안군, 행복 귀농을 위한 선택!",4계절 내내 여행 스팟으로 꼽히는 전라남도 무안은 귀농하기에도 최적의 조건을 가지고 있어요. 도시의 복잡한 일상을 접고 여유로운 시골에서... 전남 무안군이 궁금하다면 미리 체험해 볼 수 있어요. 무안군 현경면 봉월로 140 ‘귀농인의 집’을 운영하여 체류형으로 주택 7동과 실습교육장인 시설...,2021. 9. 13.
전남 무안군 여행_무안황토갯벌랜드,"황토로 유명한 무안군의 건강한 갯벌을 홍보•전시하는 무안황토갯벌랜드입니다. 저는 바닷물이 들어왔을때를 맞춰 여행길에 올랐습니다. 일출에 빛을 받은 목재데크와 바다속의 작은 구조물이 시간흐름에 따라 변하는 모습들을 촬영하는 여행이었습니다. 특히, 데크옆 갈대에 새순이 올라오면서...",2021. 5. 3.
전남 무안군 운남면 성내리 '도원 선착장' 일몰 - 차박 여행,전남 무안군 운남면 성내리에 도원 선착장이 있습니다. 그곳에서 차박을 하려 합니다. 일몰시간에 맞추어갑니다. 도착했습니다. 낚시하시는 분들이 계십니다. 일몰시간에 잘 맞추어 온 거 같습니다. 서서히 지려고 합니다. 도원 선착장의 모습입니다. 방파제에서도 낚시를 하십니다. 다리 이름이...,2021. 6. 15.
감성충전 전남 무안 여행 무안군 오승우미술관,초의선사 탄생지와 인접해 있어 무안 여행을 계획하신다면 빼놓지 않아야 할 여행지인 무안군 오승우미술관. 우리나라 서양화가 원로이고 대한민국 예술원 회원인 오승우 화백이 자신의 작품 175점을 기증하여 2011년 2월에 개관된 오승우미술관. 마음의 힐링을 찾는 곳으로 만족스러움을 주는...,2020. 5. 20.
[전남 무안군|여행2일차-5] 도리포 - 송계 어촌체험마을 / 내가 본 최고의 차박 성지,전남 여행을 계획할 때 도리포해수욕장이 차박지로 유명하다는 걸 알게 되어 들러볼까 하다가 증도에서 영광으로 잠시 들른 후 고창도 가야 해서 시간이 부족할 것 같아 그냥 지나치기로 했습니다. 그러다 영광 칠산타워를 향해 가는길에 휴게소같이 큰 [ 도리포 어촌 마을 쉼터 ]를 보게 되었고...,2021. 2. 17.
"전남 무안군 맛집,제일회식당 기절낙지로 유명해요!","오늘은 전남 신안으로 여행을 갔다가 가게 된 무안군 맛집, 제일회식당 리뷰를 가지고 왔습니다. 그럼 바로 리뷰 시작할게요! 전남 무안군 맛집, 제일회식당 ***-***-**** 전남 무안군 망운면 망운로 13 매일 11:00 - 21:00첫째주, 셋째주 월요일휴무 신안에서는 사실 식당이 많이 없어서 어느정도 신안을...",2020. 9. 2.
"전남무안군 30여년만에 인구수 ""9만명회복""오룡2지구개발로인한수혜지는과연?",훌쩍 여행가고싶지만 김실장 맘잡고 일에 집중하겠습니다^^ 전해드리고싶은 정보가 있어요~ 전남도청 이전에 따라 남악 오룡 지구 인구 유입이 늘면서 무안군 인구가 30년만에 9만명 회복했다 라는 정보입니다 무안군에 따르면 29일기준으로 무안군 인구는 9만11명으로 집계되었으며...,2021. 10. 3.
"전남 무안, 무안 낙지로 요리하는 무안군 낙지 맛집 '동산정', 힘불끈 솟는 낙지로...",#전남무안 #무안맛집 #무안낙지맛집 #무안산낙지 #무안군맛집 #무안낙지 #무안뻘낙지 #뻘낙지 #무안동산정 #낙지 #기절낙지원조 #낙지초무침맛집 #무안여행 #광주근교 #전라남도무안 #여름보양식 #낙지요리 초복에 몸보신하셨나요?? 올여름은 정말 너무너무 덥네요ㅜ 이렇게 더운 날은 차라리...,2021. 7. 18.
"[전남 무안군 펜션] 선상낚시 소개, 쭈꾸미가 제철이에요~!",태풍과 함께한 무더운 여름날이 지나고 선선해진 날씨와 바람에 이제야 숨통이 트이는 것 같네요~ 저희 은혜네 펜션이 위치한 전남 무안군은... 바닷가펜션 #자연체험학습 #체험학습 #신혼부부 #신혼여행 #은혜네펜션 #전남가볼만한곳 #전남여행 #무안여행 #선상낚시 #배낚시 #낚시 #전남낚시 #목포낚시,2020. 9. 16.
"조금나루해수욕장, 전남 무안군 무료 캠핑장이 있는 아이들과 함께 가기 좋은...",방문하였을때에도 100명 이상 방문할 정도로 가족단위의 여행객들이 많이 찾아오셨습니다. 주차장 : 보유전기차 : 없음화장실 : 보유샤워장 : 없음캠핑장 : 보유편의점 : 없음 전남 무안군 망운면 송현리 1070-3 캠핑을 즐길수 있는 공간입니다. 많은 차들이 빠졌음에도 불구하고 아직도 많이...,2021. 7. 19.
[여행드로잉] 전남 무안군 일로읍 일로성당,2019년 7월 전라남도 무안과 목포 여행을 다녀왔어요. 제가 그림을 그린 곳은 무안군 일로읍에 있는 일로성당 이에요. 저는 일로성당의 김비오 신부님과의 인연으로 일로읍을 알게 되었는데요 최근 TV에는 개그맨 박나래의 조부모님이 계신 곳으로...,2020. 3. 2.
[무안 여행] 전남 무안군 밀리터리테마파크,"전남 무안군에 있는 밀리터리테마파크입니다!! 입장료는 어른은 2,000원, 어린이는 1,000원입니다. 근데 저희가 간 날은 1947년 보스턴(?)이라는 영화 촬영 중이라 무료로 입장을 했네요ㅋㅋ럭키!ㅋㅋㅋㅋ 무안 밀리터리테마파크 유격훈련장 유격훈련장에 있는 3~4개의 기구가 있어요ㅋㅋ 7살...",2020. 8. 26.
전남 무안군 맛집투어 + 목포,"#홍춘천치즈닭갈비 #무안군맛집 목구멍 둘째날, 직원들과 목구멍에서 회식을 하였어요. 미나리 삼겹살로 유명한 이곳! 미나리 철이 아니라 함께... 아우어 전남도청 맞은편에 위치한 아우어 베이커리 카페인 만큼 다양한 디저트를 즐길수 있어요 ➰ #아우어남악점 #남악카페추천 염대감 나주곰탕...",2021. 7. 3.
"전남 무안군, 제8회 무안황토갯벌 온라인 축제 스타트 '흥행 예고'","전남 무안군, 제8회 무안황토갯벌 온라인 축제 스타트 '흥행 예고' - 1 전남 무안군(군수 김산)은 지난 23일 '황토갯벌 사람을 잇다(Link)'라는... 축제 첫날은 캠핑족들에게 최고의 여행지로 떠오르는 지역인 무안의 아름다운 풍경을 영상으로 담은 여행 유튜버 '여락이의 감성 충만 무안 여행기'와...",2021. 6. 24.
전남 무안군 현경면 용정리 '월두 선착장' - 차박 여행,"전남 무안군 현경면 용정리에 '월두 선착장'이 있습니다. 지도를 검색해보니 차박이 가능해 보입니다. 화장실도 있습니다. 갑니다. 차박하러. 도착하였습니다. 캠핑하시는 분들이 계십니다. 하지만, 그렇게 붐비지는 않습니다. 사진에서 보는 이 정도의 공간이 보입니다. '이야기가 있는 문화...",2021. 5. 24.
무안군 SNS 서포터즈 위촉 힐링 여행 1번지 전남 무안으로 떠나요!,"""무안군 제3기 SNS 서포터즈 첫걸음"" 캠핑과 여행을 즐기는 잡블로거인 바다개골구리. 우연을 가장한 필연이라고 해야 될까요. 혹시나 하는 마음에 신청한 전남 무안군 제3기 SNS 서포터즈에 덜컥 선정되었습니다. 선정의 기쁨보다 무한한 책임감이 어깨를 짓누르는 느낌이라고 할까요. 그리도 이왕...",2020. 4. 8.
[ 전남 무안군 - 여행지 / 테마파크 ] 밀리터리테마파크,"[ 전남 무안군 - 여행지 / 테마파크 ] 밀리터리테마파크 ■ 답사 기준일 : 2020. 12. 15. (화) ■ 인근 관광지 추천 : 물맞이공원, 무안낙지골목, 학마을전망대, 톱머리해수욕장, 조금나루유원지 등 00:04 01:14 1) 기본정보 - 주 소 : 전남 무안군 몽탄면 우명길 43 - 지 도 : https...",2020. 12. 22.
(전남 무안군) 무안 일로시장 - 옛날장터선지국밥,"굳이 물건을 사지 않더라도 이런 시장들을 구경하는 것도 참 재미난 일이자 여행이죠. 오늘은 무안군에서 가장 큰 정기시장인 무안 일로시장과... 무안 일로시장은 과거에는 전남 서남부 최대의 시장이었고, 현재도 1일과 6일에 장이 서는 정기시장으로 무안군 내에서 가장 큰 규모를 자랑하고...",2020. 9. 17.
전남 무안군 관광 홍보 UCC 공모전 참여해볼래,"여행 유튜브거든요 ^^ 전남 무안군 관광 UCC 공모전 심사 기준은 크게 다섯 가지인데요. 기획, 완성, 창의, 대중, 기술성 이 다섯 가지로 각각 최고점 20점 총 100점 만점으로 점수를 매긴다고 합니다. 시상 내용은 총 10점을 선정할 계획이라고 하는데요. 최우수상 1점 상금 300만 원 우수상 2점 각각...",2021. 3. 1.
[新국토기행] <92> 전남 무안군 - 서울신문,[新국토기행] 살아있는 갯벌 스며드는 풍광 모여드는 사람 입력 :2016-11-30(수) 17:56 <92> 전남 무안군 전남도의 서남부에 위치한 무안군은 동쪽은... 실내 전시관에는 우주항공분야의 발전상을 한눈에 알 수 있도록 다양한 자료가 있어 전국 학교들의 수학여행 코스로 널리 사랑받고 있다. ●물의 기운...,2020. 8. 26.
[전남 무안군 펜션]은혜네 펜션 소개,#전남 #무안군 #전남펜션 #무안펜션 #전남펜션추천 #펜션추천 #여행 #한달살기 #바닷가여행 #커플여행 #가족여행 #단체여행 #세미나 #생일파티 #바닷가 #갯벌체험 #바다체험 #봄바다 #밤바다 #여행지추천 #전남여행지 #목포 #가성비펜션 #전남가볼만한곳 #무안가볼만한곳 #전남여행 현재는 침대가...,2020. 4. 18.
전남 무안군 여행_무안황토갯벌랜드,무안황토갯벌랜드의 갯골을 일출이 시작되는 순간 담아봤습니다. 일출시간이라 주황빛 하늘을 배경으로 갯골의 선이 아름다운 시간입니다.,2021. 4. 21.
전남 무안군 삼향북 초등학교 '빛과 모래가 들려주는 스토리텔링' 공연,학교인 #전남 무안군의 삼향북 초등학교이다. #삼향북초등학교는 학생 수가 50명 미만의 작은 소학교이다. '빛과 모래가 들려주는 스토리텔링' 공연 '#신나는 예술 여행'의 공연단체중 샌드아트월드를 보고 특별히 공연을 보고 싶어서 신청한 학교이다. 자~ 이제 #코로나19로 지친 친구들을...,2020. 11. 3.
[무안 여행] '지역작가 초대전 관람'- 무안군 오승우 미술관,"주소 : 전남 무안군 삼향읍 초의길 7 관람시간 : 09:00 ~18:00 (매표마감 : 17:00) 휴관일 : 매주 월요일, 1월1일, 설날, 추석 전시문의 : 061-450-5482... 남미 여행이야기를 담은 이색적인 그림들도 전시되어 있습니다. ‘한국의 100대 명산 시리즈’ 중 ‘대야산’ 아프리카의 이색적인 모습을 담은...",2020. 2. 19.
부동산 토지 투자 땅 매매 맛집 낚지 가볼만한곳 전남 무안군 청계면 남성리 27번지,"전남 무안군 청계면 남성리 무안 바닷가 동네 전원주택 별장용지 주거지역 전 317평 현재는 맹지, 도시계획상 도로 있음 전남 무안군 청계면... 바닷가 여행 관광 낚시 섬토지 섬임야 섬농가주택 섬펜션 섬낚시용 컨테이너 설치용 토지 섬 소규모 소액 토지 섬 여행 관광 낚시 전원주택 시골살이...",2020. 10. 16.
"전남 무안군 현경면 오류리 홀통 유원지, '홀통 선착장' 일몰 - 차박 여행",전남 무안군 현경면 오류리에 홀통 유원지가 있습니다. 그곳에는 해수욕장과 캠핑장이 있습니다. 일단 그쪽으로 갑니다. 가는 길목에 경치가 아름다운 곳이 있어 잠시 멈춥니다. 길가에 잠시 주차를 하고 커피 한 잔의 여유를 가져봅니다. 바다를 바라볼 수 있는 벤치도 있습니다. 왼쪽으로...,2021. 6. 1.
첫 차박 캠핑 :) 소나무와 바다가있는 전남무안군 송계어촌체험마을...,해외여행은 커녕 국내 여행조차 조심스럽잖아요 그렇다고 코로나가 언제 끝날지도 모르는 불확실한 상황에서 답답함을 해소 할 길이 없었답니다... 전남 무안 송계어촌 체험 마을 :) 블로그포스팅이 많지 않아서 불안하긴했지만 그냥 가보자 !! 다짐하고 ~!! 일주일간 다양한 캠핑용품들을...,2020. 8. 8.
눈이 덮인 여행집 풍경~~~~ 무안군 동계텐트 벨텐트,"일명 대나무지옥! 하얀 도화지가 되었다. 깔끔한 설계 도면처럼 보인다. 우린, 이곳에서 또 다른 꿈을 꾸고. 다양한 도전으로 자유롭게 살기로 한다. 눈 온 이틀 뒤 ~~~ 자연이 좋습니다. 점점 더 ~ 벨텐트는 폴설도 그 어떤 쎈 바람도 같이하네요., 자연스럽게~ 여기는 전남 무안군입니다~~^^",2021. 1. 18.
[ 전남 무안군 - 여행지 / 해변 ] 조금나루해수욕장,"[ 전남 무안군 - 여행지 / 해변 ] 조금나루해수욕장 ■ 답사 기준일 : 2020. 11. 18. (수) ■ 인근 관광지 추천 : 무안황토갯벌랜드, 분청사기 명장 전시관, 밀리터리테마파크, 회산백련지 등 00:02 00:50 1) 기본정보 - 주 소 : 전남 무안군 망운면 송현리 1070-3 - 지 도 : https://map....",2020. 11. 25.
전남 무안군 남악 삼일파라뷰 62제곱 18평 반투명 커튼,안녕하세요~^^ 전남 무안군 남악 삼일파라뷰 62제곱 18평으로 반투명 코튼으로 설치된 집을 소개하려고 합니다. 반투명 커트을 거실에 설치하였는데요. 차르르~ 차르르~ 한 고급진 원단으로 호텔에 온것 같은 느낌이 드는 그런 커튼이에요~ 요즘 코로나로 인해 여행도 못가는 대신 이커튼으로 집을...,2020. 11. 25.
전남 무안군,"전남 무안군 산과 바다, 들녘이 신천지가 된 ‘무한의 도시’ 이건 정말 지각변동이다. 땅 위에 변화가 너무 많고, 그 울림도 깊다. 하늘도... 청소년들의 수학여행코스로 각광받고 있다.(061-452-3055) 지난해 2월 문을 연 오승우 화백 미술관도 새로운 볼거리다. 초의선사 탄생지 바로 앞에 지하 1층...",2020. 5. 26.
전남 무안군 몽탄면 섭섭이네분식/ 백반맛집/ 무조건맛집!,지난번 무안 여행에서 몽탄면에 있는 카페 블루어니언을 갔었어요. 그 근처에 굉장히 알수없는 기운을 내뿜는 식당이 있어서 홀린듯 들어간 식당이에요...ㅎㅎ 거의 지워져서 알아보기 힘들정도의 섭섭이네 분식이라고 써있는 간판이 있구요!!ㅎㅎ 유리창에는 섭섭이네 치킨.생맥주. 닭도리탕...,2021. 7. 5.
[전남 무안군 펜션 | 무안펜션추천] ⭐은혜네 펜션⭐️에서 힐링하기_바다편,안녕하세요~ 전남 무안군에 위치한 은혜네 펜션입니다!! 장마가 지나갔는지 비가 그치고 요 며칠 날씨가 넘 좋네요ㅎㅎ 하늘도 예쁘고~구름도... 민어낚시 #가족여행지 #여행지추천 #전남가볼만한곳 #무안가볼만한곳 #여행가볼만한곳 #낚시가볼만한곳 #전남여행 #바다낚시 #선상낚시 #목포낚시 #무안낚시,2021. 7. 13.
전남 무안군 조금나루 캠핑 두가족 차박 캠프밸리 텐트풀셋트 전동 에어블로어 삼겹살...,다 놀고 왔나봐요 우리 셋째 졸려???? 아빠는 뒤에서 벌써 자고 있었단다 ^^ 와이프가 찍어준 동영상 다~ 놀고 다 정리 하고 철수 준비 합니다. 클린 캠핑 자기 쓰레기는 자기가 가져 갑니다. 잘 놀다 갑니다. #무안 #조금나루 #캠핑 #캠프밸리 #쓰레기 #클린캠핑 #타프 #텐트 #에어블로우 #여행,2021. 9. 13.
전남 무안군 해제면 만풍리 바닷가 조망 주택매매 // 무안 갯벌체험 도리포해수욕장...,○ 전남 무안군 해제면 만풍리 바닷가 조망주택매매 - 지목 : 전 - 토지면적 : 1146㎡(약347평) - 건물면적 : 약 22평 (철골구조) - 사용승인 : 2017준공 - 매매가격 : 1억 5천 ○ 본 주택은 최근에 개통한 영광-무안(도리포)을 잇는 칠산대교 인근에 있는 바닷가조망의 주택으로 아파트식으로 지어진...,2020. 1. 7.
