header,contents,date
[지역N문화 테마여행 ] 전남 보성군 여행코스 :: 보성의 싱그러운 녹차 향 따라서,전남 보성군 여행코스 보성의 싱그러운 녹차 향 따라서 보성의 싱그러운 녹차 향 따라서 전남 보성군 *출처 보성문화관광 대한민국의 대표적인 녹차의 도시 보성. 보성은 한반도 최대의 차밭이 있는 곳으로써 끝없이 펼쳐진 녹차밭에는 녹차와 그 향기로 덮혀있어요. 푸르른 보성에서...,2020. 10. 8.
숲속 무료 차박캠핑장 전남 보성군 겸백 다락금 유원지,"전남 보성군 겸백면에 위치한 숲속 무료 차박캠핑장 어떠셨나요? 전, 힐링 컨셉으로 가서 많은 곳을 사진에 담지 않았지만, 울창한 나무숲만 봐도 충분히 가볼만한 곳으로 느껴지지 않으시던가요? 만약, 전남 지방으로 여행을 가신다면 한 번 들러 보시기 바랍니다. 요즘 같은 시기에 생활 속...",2020. 6. 22.
"전남 보성군 벌교 가볼 만한 곳, 소설 태백산맥 속 보성여관","전남 보성군 벌교읍 보성여관 등록문화재 제132호 주소 : 전남 보성군 벌교읍 태백산맥길 19(벌교리) 문의전화 : 061-858-7528 관람료 : 1,000원 내부... 보성여관은 대한민국테마여행 10선 중 남도 바닷길에 속하며 이곳에서 테마여행 스탬프 투어 도장을 찍을 수 있다. 여러 종류의 공연, 문화체험교실...",2021. 8. 23.
전남 보성군 가볼만한곳 ; 보성차엑스포 선포식 여행 첫날 가본곳 [율포솔밭해수욕장...,낚지호롱 꼬막구이 꼬막회 꼬막무침.. 이렇게 나오는데 자극적이지 않고 맛도 달달하니 좋습니다. 하얀쌀밥에 비벼먹으니 더 좋네요. 벌교 꼬막 맛집을 마지막으로 첫날의 여행을 모두 마칩니다. 제10회 보성세계차엑스포 선포식 전날 다닌 전남 보성군 가볼만한 곳 모두 느낌 있었던 여행지입니다.,2021. 5. 26.
"전남 보성군, 소규모 여행이 가능한 '삼삼오오 보성 여름 여행지' 5곳을 추천",전남 보성군은 코로나19 확산이 지속됨에 따라 휴가 기간 유명 관광지 관광객 집중을 방지하기 위해 소규모 여행이 가능한 '삼삼오오 보성 여름 여행지' 5곳을 발표했다. 선정된 관광지는 ▲웅치 솔밭과 일림산 용추계곡 ▲명교·군학해변 ▲초암정원 ▲갈멜정원 ▲한국차문화공원...,2021. 7. 26.
전남 보성군 벌교읍 돼지양념갈비 & 민물장어 소금구이 맛집 동윤가든,박꽃이예요 이번에 전라도 순천여행을 갔다가 저녁에는 이모랑 잠깐만나서 전남 보성군 벌교읍에 위치한 동윤가든에 가서 저녁을 먹었어요 돼지양념갈비랑 장어구이를 먹었는데 진짜 너무 너무 맛있더라구요 ! 특히 돼지양념갈비는 제가 먹어본곳중에 최고였어요 ! 진짜 찐이였던 전라남도 보성...,2021. 8. 7.
[전남 보성군 여행]보성 녹차밭 여행기/녹차밭에서 녹차아이스크림 먹으며 초록초록...,https://www.instagram.com/s2__eunhee/ 2020.05.22 / 전남 보성 그리고 광주에서의 하루동안_ #일상 #일상블로그 #보성 #보성여행 #전남보성 #대한다원 #보성녹차밭 #녹차밭 #보성데이트 #녹차밭데이트 #교촌치킨 #시밀러룩 #커플룩 #광주데이트 #광주근교,2020. 5. 26.
전남 보성군 여행_득량만바다낚시공원 일출,"보성군 선소항에 있는 “득량만바다낚시공원”에서 맞이하는 일출경입니다. 검은 구름사이로 해뜬 날, 멀리 보이는 섬조차 보이지않던 안개낀 날, 보일듯 말듯 여명빛만 쪼~금 보여주던 날... 세번 방문했는데, 기상상황이 완전 다르니 촬영물의 분위기도 다르게 표현됩니다. #보성#선소항#일출...",2020. 8. 6.
전남 보성군으로 가족 힐링여행 2일째~ #실버건강강사김경지,전남 보성군으로 2박3일 가족여행 2일째~ 가족여행 2일째 보성군 윤제림 휴양림 펜션 아침 산책길~ 휴양림에서 새벽 산책은 여행의 백미~ 전국에 빗소식이라 우중에 여행길~ 숲속에 운무 풍경에 숲속 나무향기도 솔솔~~ 산책 후 아침식사도 맛나네요 ㅎ 저의 바쁜 손길에 밥상차리기는 남편 몫...,2021. 8. 21.
맑고 시원하여 좋고 멋진 골프장에서 라운딩을 친구랑 즐겼습니다 - 전남 보성군 - 보성CC,"2021.06.05. 토요일에 친한 친구들과 전라남도 보성군에 있는 보성CC 에서 좋은 날씨에 라운딩을 하였습니다. #전남골프여행, #전남보성군, #보성CC, #퍼블릭골프장, #라운딩, #전남추천골프장, #연미정, #전라도식백반, #부산강서체육공원, #보성군조성면, #원정골프, #전남여행, #멋진전남골프장, #보성맛집,",2021. 6. 30.
