header,contents,date
"전남 순천시 아침식사 가능한 맛집 ""봉화식당""",라고 하면 무조건 추천할 봉화식당 순천드라마세트장 둘러보시고 가셔서 식사하시는거 진짜 너무 추천드려요 #순천#순천시#순천맛집#순천드라마세트장#순천드라마세트장근처맛집#봉화식당#생선구이맛집#돌게장맛집#순천여행#순천아침식사#전남순천맛집,2021. 5. 23.
"[전남 순천시] 허영만의백반기행맛집 (장천동 ""대원식당"")","#허영만의백반기행 #전남순천시맛집 #순천시한정식맛집 #순천시맛집 #순천시청맛집 #순천한상한정식당 #상호:대원식당 #주소:전남 순천시 장천2길 30-29 ( KT장천빌딩뒷편 ) #연락처:061-744-3582 #영업시간:오전11시30분~오후10시(구정,추석만휴무) 여수,순천 단체여행중 TV프로그램 허영만화백님의...",2020. 10. 12.
[지역N문화 테마여행] 전남 순천시 여행코스 :: 자연을 품은 문화유산,"전남 순천시 여행코스 자연을 품은 문화유산 자연을 품은 문화유산 전남 순천시 지역N문화 테마여행, 전남 순천으로 테마여행을 떠나봅니다. 다채로운 자연과 오랜 역사의 문화유산을 자랑하는 순천의 곳곳을 천천히 여유롭게 둘러볼까요? ✓ 전체코스 : 선암사 - 낙안읍성...",2020. 11. 9.
전남 순천시 승주읍 선암사 ~~!!,오늘의 목적지는 얼마전 봐 두었던 전남 순천시 승주읍에 위치한 선암사.... 태백산맥의 저자이신 조정래작가의 고향이라네요. 꽤나 오래된... 어디든 여행갈땐 미리 공부를 하고 가면 훨씬 알차게 보고올수 있을텐데 저희는 그게 참 안되네요. 너무 즉흥적이라 그런건가요? 그래도 다녀왔단 기억이...,2020. 1. 6.
[전남여행] 순천시 순천만습지,"전남 순천시 순천만 습지 아들이 가고 싶다고 해서 남편과 셋이서 순천으로 딸은 쉬고 싶다고 해서 집에서 텃밭과 집정리로 입장료 성인 8,000원(순천국가정원포함) 청소년/군인 6,000원 어린이 4,000원 성인 단체(20명 이상) 6,000원 청소년/군인 단체(20명 이상) 5,000원 어린이 단체(20명 이상) 3,000원...",2020. 3. 18.
홈앤카서비스 여름휴가 2박3일 전남 순천시 느림여행 일지,"지난 8월 3일 ~ 5일까지 전남 순천시 주변을 다녀왔습니다. 장마기간이었지만, 다행히 우리 가족이 다녀오는 동안은 비가 없었습니다. 늘 업무에 관련된 것만 포스팅해서, 여행지와 맛집등에 대해 포스팅은 잘 할 수 있을까?? 딸리는 언어능력으로 제대로 된 정보전달을 해드릴 수 있을까?? 걱정이...",2020. 8. 9.
전남) 순천시 장명동 떡갈비 맛집금빈회관,"이번에는 지난여름 여행했던 순천, 여수 여행 코스를 소개해드리려고 해요. 전라남도하면 한정식 인것같아요. 그래서 이번 포스팅 시작은 순천 사는 친구에게 소개받고 갔던 떡갈비 한정식맛집 금빈회관으로 시작해 보겠습니다! 도로명주소:전남 순천시 장명 4길 8 금빈회관 지번주소:전남...",2021. 3. 30.
[순천여행][당일] 전남 순천시 당일 관광코스 순천만길따라투어,[순천여행][당일] 전남 순천시 당일 관광코스 순천만길따라투어 순천당일여행코스 (순천길따라투어) 2020.11.08.(일) 문화의거리 에그박스 와온해변 2020.11.08.(일)(당일) 진주 → 순천 → 진주 진주집 - 순천 문화의 거리(순천읍성 서문터) - 에그박스 - 와온해변/와온공원...,2021. 4. 29.
전남 순천시의수제비맛집,"돈까스는 겉은 바삭,속은 촉촉해서 남녀노소 누구나 맛있게 드실 수 있습니다. 아삭아삭한 오이김치와 새콤한 깍두기는 수제비와 돈까스 모두 잘 어울리는 찰떡궁합을 보여줍니다. 가족이나 연인과 함께 순천으로 여행을 온다면 꼭 한번 들러볼만한 맛집입니다. 전남 순천시 월등면 송치안길88",2021. 3. 12.
전남순천시여행먹거리 벽오동보리밥정식 맛있다,가요 여행전날 순천에 가서 무엇을 먹어야 할지 인터넷을 밤새 검색해서 7집 정도 추려 놓고 일정을 봐가며 가까운 곳으로 가야겄다고 염두해둠 하루종일 간식을 달고 살았더니 배는 안고프지만 제대로된 식사도 한끼 못해서 찾게된 #순천시벽오동식당 #순천보리밥정식#순천한식백반집...,2021. 1. 22.
전남 순천시 해룡면 신대로 방충망·방진망 시공,"오늘 산들바람은 전남 순천시 해룡면 신대로(신대리)에 산들바람방충망,방진망 시공을 다녀왔습니다. 순천시에는 순천만 습지, 순천만 국가 정원, 순천드라마 촬영장 등등 많은 관광지 들이 있는데요. 저도 어렸을 때 순천만을 굉장히 자주 방문했던 기억이 있습니다. 소풍이나, 여행 조금 컸을 땐...",2020. 8. 24.
남파랑길 63코스 전남 순천시 - 남파랑길 보성~고흥구간,"남파랑길 63코스 전남 순천시 24.9km 8시간 난이도 평점 코스형태 보통 5점 비순환형 코스개요 - 보성군의 기 조성길인 ‘태백산맥 문학길’을 따라 걷는 구간으로 소설 태백산맥에 등장하는 보성여관, 홍교, 채동선 생가 등의 자원을 두루 체험하며 걷기여행을 즐길 수 있는 코스 - 벌교꼬막거리...",2021. 2. 28.
전남 순천시청년센터 꿈꾸는청춘 디지털노마드 (Digital nomad) 강의하고 왔어요...,"오늘은 전남 순천시청년센터 꿈꾸는청춘에서 1인기업 디지털노마드라는 직업분야에 대해서 강의를 하고 왔습니다. (너무 먼 관계로 비대면으로... 주말은 쉬며 여행하는 삶을 살고 싶고, 평일 5일 중에서도 2-3일만 강의하고, 나머지 이틀은 책을 읽으며 사색의 시간을 갖고 싶습니다. 원하는...",2020. 10. 15.
