header,contents,date
신안 섬여행 무한의다리 (자은도) 전남 신안군 여행,신안군은 북쪽으로 가는 섬여행이 있고. 이렇게 중간 부분 그리고 남쪽 부분이 있습니다. 이번에는 중간 부분인 자은도의 한 여행스팟을 소개해 드렸는데요. 재미나게 여행해 보시기 바랍니다. 링크는 제가 다닌 북쪽의 신안 섬여행 지난 후기를 소개해 드립니다. 저는 개인적으로 증도가 너무나...,2021. 4. 19.
전남 신안군 여행-만제도 2박3일,"꼭 승선전 아래 동양고속 사이트에서 운항상황을 체크하고 가기 바랍니다 "" "" "" "" 만재도 1일차 주소:전남 신안군 흑산면 만제도리 인구:48가구... 만재도 여행하려면 2박3일을 잡아야 할것 같다..해금강쪽에서 바람 많이 불때 파도치는것을 보면서 멍때리고,,,큰산과 물세이산에 올라 북쪽의...",2021. 10. 9.
전남 신안군 여행: 천사대교/동백머리 벽화/자은도 무한의 다리 [2021.8.8.일],"식구들 다 가려면 온이를 호텔에 맡겨야 되는데 불안해서 맡길 수가 없어 히로와 둘만 갔는데, 이번에는 남편과 나랑 둘이서 자동차를 타고 떠나는 섬여행. 신안군은 섬으로만 이루어진 곳. 전라남도 남서부 해역에 있는 군. 군 전체가 약 1,004개의 섬으로 이루어져 있다. 인접한 목포시에...",2021. 8. 23.
"전남 신안군여행 엘도라도리조트, 갯벌생태공원, 짱뚱어다리, 우전해수욕장...","안녕하세요~ 엉뚱마녀입니다^^ 전남 신안군과 영광군을 이어주는 칠산대교가 완공됨으로 해서 영광, 함평, 신안 등 교통불편이 왕창 해소... 엘도라도 리조트는 고급빌라 형태로 넓고 예쁜 정원과 산책로가 있고 무엇보다 프라이빗 해변을 갖추고 있어 힐링여행으로 딱! 인데요. 저희는 패키지로...",2021. 5. 22.
[전남 신안군] 신안 자은도 여행,"자태가 아름답네 신안의 명물, 자은도 무한의 다리.. 너무 길고, 무한대를 뜻한다는 자은도의 무한의다리.. 걷고 걷고.. 무한의 다리를 지나... 자은도를 뒤로 하고.. 바로 서울로 고고.. 앞으로 5시간...허걱 신안군 반월도, 박지도, 자은도, 모두 모두 너무 멋진 섬이다. 전남 신안군 여행 경로",2021. 8. 17.
전남 신안군 자은면 한운리 '무한의 다리'(천사의 섬 천사대교 자은도) - 차박 여행,전남 신안군 자은면 한운리에 유명한 다리가 있습니다. 천사대교를 건너 암태도를 지나 자은도에 있습니다. 자은도는 이번에 열린 도쿄 올림픽에서... 밤새 비가 내립니다. 비닐 타프 위로 쏟아지는 빗소리가 듣기 좋습니다. 빗소리를 자장가 삼아 잠이 듭니다. 정말 멋진 여행이었습니다.,2021. 9. 8.
"(2021년 8월여행) 전남 신안군 회집, 신바다회타운에서 신안의 맛을! 우럭탕 맛이...","엄청 큰고기를 손질하고 계시더라고요 저는 개인적인 생각이지만, 큰고기는 맛이 푸석이는 식감일꺼라는 선입견이 있어서 좋아하진 않아요 ㅋㅋㅋ 이렇게 먼 섬안에 자전거길이라, 테마여행으로 자전거로 달리면 어떻게 싶기도 하네요 신안군 수협 송공 농수산물 위판장을 신축하고 있네요 더...",2021. 10. 6.
전남 신안군 흑산도 홍도 여행 홍도 깃대봉 등산,"8월 1~3일 여름 휴가로 엄마, 아빠, 언니랑 흑산도 홍도로 여행을 다녀왔다 :) 흑산도 달리고 달려 온 목포 여객 터미널..! 뉴골드스타 쾌속선을 타고... 목포로 돌아가서 바로 인천으로 올라 가지 않고 신안군에 있는 퍼플섬(박지도)에 들렀다. 보라색 의상, 모자, 우산, 신발 중 한 가지를 장착하면...",2021. 8. 7.
전남 신안군 ‘비금도 여행’ 2021년 7월 31일,5m정도 내촌마을 시금치 밭으로 등록문화재 제283호로 등록된 곳 신안하면 유명한 #섬초 (시금치)는 내촌마을에서 처음으로 재배되었고 최대 재배지 #비금도여행 전남 신안군 #飛禽島 는 날아가는 새 라는 뜻의 섬 #비금 섬의 형태가 새가 날개를 활짝 펴고 비상하는 모습이고 #하트해변하누넘...,2021. 8. 4.
전남 신안군여행 신안군관광명소 신안군가볼만한곳 신안 천사대교,전남 신안군여행 신안군관광명소 신안군가볼만한곳 신안 천사대교 전라남도 신안군의 천사대교는 신안군 압해읍과 암태면을 이어주는 교량입니다 2019년 4월에 개통되었으며 압해도(押海島)와 암태도(巖泰島)를 연결하는 다리입니다 천사대교라는 이름의 유래는 1004개의 섬들이 모여서...,2020. 1. 29.
2020 여름휴가 - 전남 신안군 섬여행 (2),"▶ 여행지: 신안군 섬여행 ▶ 날짜 : 2020,08,2~08,4 (일,월,화) ▶ 날씨 : 흐림 ▶ 누구랑 : 집사람과 둘이 신안 섬여행 2일차, 야영했던 인적없는 대형 주차장에서 가볍게 아침을 해결하고 둔장 해변으로 이동한다.많이 알려진 무한의 다리를 보러.... ▼ 도착한 둔장 마을 입구..... ▼ 둔장해안의 무한의...",2020. 8. 8.
전남 신안군 자은도_분계해수욕장 재방문/백길해수욕장 네이버 예약후..,자은도씨원리조트 #전남모래놀이 #무한의다리 #둔장해변 #천사섬 #신안군자은도 #신안군해수욕장 #백길해수욕장예약 #신안섬 #압해도 #천사대교 #전남여행 #호남여행 #신안여행 #전남아이와가볼만한곳 #목포여행 #무안해수욕장 #자은도포토존 #분계해변 #자은도여인송 #자은도가볼만한곳,2021. 8. 23.
국내섬여행 전남 신안군 증도 모실길 짱둥어다리 일몰,국내섬여행 중에서 지금 생각보니 잊혀지지 않는 곳이 있습니다. 바로 전남 신안군의 증도라는 섬에서 본 일몰과 풍경이 지금까지 잊혀지지 않는 것 같습니다. 신안군 증도에 가시게 되면 소금의 염전이 엄청나게 펼쳐져 있고 모실길이라는 곳에서는 슬로시티섬 생태탐방로가 있어서 여기서는...,2020. 7. 18.
전남 신안군 여행-가거도 2박3일,"꼭 승선전 아래 동양고속 사이트에서 운항상황을 체크하고 가기 바랍니다 "" "" "" "" 가거도 1일차 주소: 전남 신안군 흑산면 가거도리 면적:9.09㎢ 해안선길이 22km 인구: 311세대 511명 한해의 일몰이 가장 늦게까지 남아있는 대한민국의 영토인 가거도에 드디어 도착한다... 목포로 부터 145km 떨어진...",2021. 10. 10.
전남 신안군 자은도 펜션..나무늘보펜션..추천..!!,"ㅎㅎㅎ 특히 신안군으로의 여행이라면.., 천사대교를 건너서 압해도를 지나 주변 숙박지를 찾으신다면. 오늘 보여드린 전남 신안군 자은도 펜션..,. 나무늘보펜션 이곳을 추천~드리고 싶습니다. 자~그럼~ 이번 주말 차끌고 섬으로 출발입니다. 꾸벅꾸벅~~~!!",2021. 6. 16.
"전남 신안군 증도 엘도라도리조트,,, 칠산대교 개통으로 접근성이 좋아졌네요~",안녕하세요~ 엉뚱마녀입니다^^ PC에 저장된 사진들을 정리하다가 약 10년 전에 다녀온 전남 신안군 여행사진이 있어 다시 한번 보게 되었는데요. 이곳 인천에서 전남 신안군 가는 길은 서해안고속도로를 타고 쭉쭉 내려가다가 영광IC나 함평IC에서 국도를 이용해 심하게 돌아가야 하는데요. 2019년...,2021. 5. 20.
나들이 074-전남 신안군 임자도/튤립공원,나들이 전남 신안군 임자도-튤립 공원 2021.4.17 3월말경 임자대교 갔을 때는 화분에 조그맣게 심어진 튤립이 전부였다. 그리고 꽃대를 잘라내고... 경험 풍부한 우리집 여행가이드 '핑크풍선' 다웠다. 오전 6시에 일어나 준비하고 7시에 집을 나섰다. 날씨가 맑아서 푸른 하늘과 선명한 임자대교를 볼...,2021. 4. 21.
"한달에 두번 깨져서 또 교환한 싼타페DM(광주자동차유리교환,유리복원),전남 신안군...",감사합니다. 유리발수 코팅 무상시공 조건 최소하루전이나 그 이전 예약건만 해당 !! 글로벌 오토 예약: *** - **** - **** 전남 신안군 여행 천일염 산지 신안군 염전 엘도라도 리조트 앞 해변 엘도라도 리조트 에서 바라본 오션뷰~~~ 짱뚱어탕이 맛있었던 신안으로 여행다녀 오세요.,2021. 6. 2.
전남 신안군 증도여행,신안여행때는 증도에 가려면 배를 타고 가야하는 불편함이 있었지만 이제는 증도대교 개통으로 접근성이 좋아졌습니다 신안군 지도읍 숙소에서 바라 본 앞바다와 일출 물빠진 아침 바다에는 작은 고깃배만 덩그러니 갯벌위에 얹혀 있습니다 사옥도와 증도의 연륙교인 증도대교의 개통으로 증도...,2020. 11. 16.
"전남여행 신안군 퍼플섬 ""퍼플교"" 신비의 보라색섬 ㅡ전국일주",물색깔이 어쩜 이리 이쁠까요 3천원 입장료 절대 안아까워요. 팍팍 쓰셔도 됩니다. 아니면 보라색 옷 입고 들어가시면 무료~~ 중간중간 보라색 옷들이 저도 비옷이라도 보라색 준비할걸 ㅋㅋ 퍼플섬 매표소 전남 여행 계획 중이시라면 신안군 퍼플섬 어떠세요~ 1시간 산책 ♂️ 굿,2021. 5. 20.
(2021년 8월여행) 22. 전남 신안군 섬여행. 보라빛 가득한 퍼플섬! 보라빛 중독 주의!,"길을 막고 안아달라고 쪼르는 소윤이, 소윤이 곁에서 최대한 멀리 피해야 해요 ㅎㅎㅎ 정신없이 사진찍다가 돌아왔어요 이제 간간히 보이는 보라빛, 보라빛에 중독되었다가 해독되는 기분이네요 0 전남 신안여행 이야기 1. 암태도 동백나무 할아버지 할머니 벽화 https://blog.naver.com...",2021. 10. 8.
"전남 신안군 자은도에는 수석, 세계 조개 박물관, 수석정원이 있다. ""1004 뮤지엄파크""","신안 이색 여행 / 신안 볼거리 / 신안 가볼 만한 곳 전남 신안군 자은도에는 수석, 세계 조개 박물관, 수석정원이 있다. ""1004 뮤지엄파크"" 전남 신안군 자은도에는 1004 뮤지엄파크가 있습니다. 전남 신안군 자은도에는 수석 미술관, 세계 조개 박물관, 수석정원이 있다. ""1004...",2021. 9. 15.
[전남여행]영광군 불교도래지및 백수해안도로/신안군 증도1박2일,[전남여행]영광군 불교도래지및 백수해안도로/신안군증도 1박2일 여행 11월 둘째주 주말에 친구들 부부간에 영광군 불교 최초 도래지 및 백수 해안도로를 거쳐 영광법성포 별미 법성포 굴비로 점심을 하고 송도수산시장에서 횟감을 떠서 엘도라도리조트에 짐을 풀고 승용차로 10분 거리에서...,2020. 11. 17.
전남 신안군 증도 여행,"신안 증도 여행_ 태평염전 및 염생식물원 전남 신안군 증도 태평염전에 출사를 갔다. 평소에 간다고 마음만 먹고 실행에 옮기기가 쉽지 않다. 멀기도 하고, 장거리 운전에 자신이 없어서,,, 태평염전 내에 있는 소금 박물관, 소금 아이스크림 가게 등 먼저 15분 정도 올라가는 전망대로 발길을...",2020. 5. 30.
넘나 사랑하는 내 할머니 만나기/전남 신안군 도초 여행(20.08.01~05),"올해의 휴가 코로나새끼로 인해..해외 여행 못가니, 국내여행들을 많이 가서 숙소 잡기 어려울 것 같은 생각에 올해는 전남 신안에 계신 우리 할머니 댁으로 가기로 했다. 여수 할머니댁은 너무 지저.....부..ㄴ...ㅎㅎ... 그리고 너무 섬이 작고..가면 할 게 1도 없어서... 여수 할머니댁보다 큰 신안...",2020. 8. 22.
전남 신안군 신축 펜션 타일 및 도기 납품,글/사진/영상 : 글쓴이 전남 신안군은 살면서 아직 한 번도 가보지 못한 동네다. 앞으로도 갈 일이 있겠나 싶은 먼 동네로 타일 및 도기가... 신안군 펜션 사장님 부부도 중간중간 티격태격하기도 했지만 결과적으로 가성비 좋게 잘 선정하신 것 같다. 완공 소식이 들려오면 신안군 여행 계획을 한...,2020. 2. 3.
