header,contents,date
"행복여행기 전남 여수시 가족여행 필수코스~ 홍어맛집 , 여수 해양레일바이크...",제가 6월말에 가족들과 행복한 #전라남도 #여수시 가족여행을 다녀왔습니다. 개인사정이 있어서 7월에 업로드를 했네요 ㅠㅠ 죄송합니다~ 하지만... #전남여수 #전남여수여행기 #여행기 #여행추천 #홍어 #홍어맛집 #삼합 #삼합맛집 #레일바이크 #해양레일바이크 #여수당 #쑥아이스크림...,2021. 7. 11.
"낭만도시, 여수로의 가을 낭만 여행 [전남 여수시 낭만여행] ②","이어지는 오늘의 추천 여행지 [전라남도 여수시] 입니다. 출처: 한국관광공사 오동도부터, 돌산대교, 해상케이블카까지 여수하면 떠오르는 핫플레이스들은 어제 포스팅에서 모두 다뤘죠! 하지만, 매력 넘치는 도시 여수에는 아직도 소개해드리고 싶은 곳이 많이 남아있습니다 그럼 함께 살펴...",2021. 8. 27.
[여행] 여수 오동도(동백열차) - 전남 여수시 수정동,"장소 : 오동도 위치 : 전라남도 여수시 수정동 산1-11 전남 여수시에 있는 '오동도'를 다녀왔다. 과거 여수엑스포 박람회장 바로 옆에 있다. 오동도 입구. 자전거 대여점이 보인다. 여수 로맨틱 버스(Yeosu Romantic Bus) 주간순환, 야간일반, 야간테마가 있는것 같다. 한려해상...",2020. 1. 8.
[여수 여행] 전남 여수시 화양면 인근에서 본 일몰,"전남 여수시 화양면에서 본 일몰 아름다운 여수, 일몰도 아름답다. 전남 여수시 화양면과 전남 고흥군 영남면과 연륙교가 개통되면서... #여수여행 #여수볼거리 #여수데이트 #임신영 #여수관광 #전남볼거리 PHOTO BY LIM SHIN YOUNG Copyright 2021.Lim Shin-young All rights reserved. 사진들의...",2021. 2. 22.
남파랑길 53코스 전남 여수시 - 남파랑길 여수구간,"영취산 여행자 정보 - 시점 : 소라면 덕양리 소라초등학교(전남 여수시 소라면 덕양로 431) 교통편) 덕양역 정류장에서 33, 35, 36, 330번 이용 후 소라초등학교 정류장 하차 - 종점 : 중흥동 흥국사 입구(전남 여수시 흥국사길 160) 교통편) 흥국사 정류장에서 62번 버스 이용하여 흥국사역 하차...",2021. 2. 24.
전남 여수시 라스텔라펜션 여수여행 여수펜션에서 신나게 놀아보자!,라스텔라펜션 전남 여수시 돌산읍 평사리 산556 안녕하세요~ 전남 여수시 돌산읍에 위치한 라스텔라펜션을 방문하였어요. 친구들 모임에서 여수여행을 선택하였지요. 오랜만에 가는 여행과 여수 분위기를 즐기기 위해 설레는 마음으로 펜션으로 고우~ ㅋㅋㅋㅋㅋㅋㅋ 이곳 저곳 구경하다보니...,2020. 6. 24.
[전남여행] 여수시 거문도 신선바위,[전남여행] 여수시 거문도 신선바위 거문도 신선바위 문의 및 안내 : 1899-2012 홈페이지 : http://tour.yeosu.go.kr 주소 : 전라남도 여수시 삼산면 거문리 거문도 신선바위 소개 유림해수욕장과 거문도 등대 등산로 입구쪽에 있어 수시로 입.출항하는 나룻배와 등산을 하는 여행자에게 한 껏 뽐을 내듯...,2020. 9. 16.
"[여수여행] 해질녘 고운모래, 잔잔한... 다녀왔어요.(21.8, 전남 여수시 #모사금해수욕장)","여수시 당국은 뭐하는지? 그리고 동네에서 주차비도 받고 하시는데 몽돌 해안 청소좀 하시죠? 바다쓰레기는 기본적으로 치워줘야죠. 그럼에도... 행복하세용~ #여수가볼만한곳, #여수모사금해수욕장, #모사금해변, #여수해수욕장추천, #여수밤바다, #여수야경, #여수데이트, #여수여행, #여수놀거리...",2021. 8. 6.
[전남 여수시] 아쿠아플라넷 여수,"""어쨌든 여수 오길 정말 잘 했어!!"" #아쿠아플라넷 여수 아쿠아플라넷은 여수의 대표적인 관광지 오동도, 해상케이블카를 비롯해 여수의 메인 비즈니스 호텔들이 인접해 가족 여행객들에게는 특히 관문이 되는 곳이기도 하다. ⊙ 소 재 지: 전남 여수시 오동도로 61-11, 아쿠아리움 ⊙ 전화번호: 1833...",2021. 5. 22.
"전남 여수시 돌산읍(무슬목 해변,오션뷰)모이핀(MOIFIN) 디저트,카페(여수여행,추천카페)","(여수여행,추천카페) 를 탐험해 보기로 해요~^^ 전남 여수시 돌산읍(무슬목 해변,오션뷰)모이핀(MOIFIN) 디저트,카페(여수여행,추천카페) 주차장 그리고 건물 정말이지 엄청 웅장하고 예쁜 건물이에요 사진으로만 보아오던 곳을 가보니 가슴이 설레였어요 드디어!! 이곳을 오다니 하면서 감격까지...",2020. 10. 15.
토지 투자 땅 매매 맛집 가볼만한곳 여행 관광 전남 여수시 화양면 이목리 644번지,토지 전남 여수시 바닷가 눈이 시원해 지네요 한려수도 관광 여행 추천 바다조망 바닷가토지 도로접한 토지 좋은 토지 매매 전남 여수시 토지 매매 부두도 있어서 사용하기 편리함 전남 여수시 한려수도 여수시 바닷가 토지 매매 전남 여수시 토지 매매 상세 정보 바닷가 바다조망 전 완경사...,2020. 9. 10.
전남 여수시 ^유자가든^,"찡이랑 전남 #여수시 #디오션워터파크 놀러갔어요 여수까지가서 #맛집이 빠질순 없겠죠 신나게 물놀이하고 헝그리해져서 검색왕 찡이가... 갓김치도 나와요 전체컷 된장국도 맛있었어요 간장게장을 시키면 무려 양념게장과 갈치조림을 주는 맛집 12,000원에 혜자아닙니까 #여수여행 가시면 들러보세요",2021. 7. 17.
"평장묘,가족묘지-전남 여수시",가족묘지 평장묘 공사현장-여수시 화양면 대한민국 최고의 평장묘 가족묘지 view~~~ 야외 원목 테이블위에 커피가 있고 ~~ 나무그늘 아래서 멍때리며 시간가는줄 모르고 바다뷰~를 감상하 고싶은곳. 최고의 view~라고해도 손색이 없는~~~ 전남 여수 가족 평장묘 현장. 뜨거운 햇살 온몸으로 맞으며...,2021. 7. 5.
"낭만도시, 여수로의 가을 낭만 여행 [전남 여수시 낭만여행] ①","오늘의 추천 여행지는 [전라남도 여수시] 입니다. 출처: 한국관광공사 동백꽃이 아름다운 오동도부터, 여수의 야경을 감상하며 다양한 해산물을 즐길 수 있는 포차거리까지! 낭만이 넘치는 도시, 여수는 구경할 거리도, 먹을거리도 매우 다양한데요. 추천해드리고 싶은 곳이 너무너무 많은 관계로...",2021. 8. 26.
[탈것] 여수해상케이블카 - 전남 여수시,상호 : 여수해상케이블카 위치 : [놀아정류장(돌산정류장)] 전라남도 여수시 돌산읍 돌산로 3600-1 (지번 : 전라남도 여수시 우두리 794-89) [해야정류장(자산공원)] 전라남도 여수시 오동도로 116 전남 여수시에 있는 '여수해상케이블카'를 타러갔다. 우리나라 최초의 '해상케이블카'라고 한다....,2020. 1. 7.
전남 여수시 봉화산 휴양림에서 힐링하고 왔습니다.,"어디 여행을 가려고 하기에도 불안하고... 생물들 케어하기에는 괜찮은 시간이었지만, 휴일이 길어질수록 답답하기만 했습니다. 그래서 오늘은 외출을 간단하게 해봤습니다. 자연이 주는 선물, 아름다운 경치 전남 여수시 미평동에서 시작하는 편백나무 휴양림. 피톤치드 덕분에 많은 사람들이...",2021. 2. 13.
