header,contents,date
"[전남 영광군|여행2일차-8] 영광굴비정식 먹으러. 법성토우 방문기 (1층 판매장, 2층...",여행을 올 때 이런 볼거리도 재미를 줍니다. 그래서 지자체에서 자꾸 뭘 만들려고 하나 봐요. (급 소래포구 새우타워가 생각나네요.)... 법성토우 주소 : 전남 영광군 법성면 법성포로3길 26-8 법성토우에 들어섰더니 손님들이 꽤 있더라구요. 자리에는 아직 치우지 않은 좌석도 꽤 보였습니다....,2021. 3. 11.
[전남여행]영광군 불교도래지및 백수해안도로/신안군 증도1박2일,[전남여행]영광군 불교도래지및 백수해안도로/신안군증도 1박2일 여행 11월 둘째주 주말에 친구들 부부간에 영광군 불교 최초 도래지 및 백수 해안도로를 거쳐 영광법성포 별미 법성포 굴비로 점심을 하고 송도수산시장에서 횟감을 떠서 엘도라도리조트에 짐을 풀고 승용차로 10분 거리에서...,2020. 11. 17.
전남 영광군 여행,"잽싸게 사진을 찍으니 땅파고 들어간다^^ 불교는 인도불교문화의 영향을 받아서인지 거의 풍이 그렇고. 사람도 없고 한적했던~~^^ 불갑사로 가보니 규모도 꽤크고 잘꾸며 놓은듯. 주차하고 500미터정도 걸어가면 절이나온다. 이렇게 1박2일간의 전남 영광군의 여행을 마무리하고 컴백~,",2021. 4. 26.
"서해안의 일몰 명소, 전남 영광군 칠산대교 일몰","[ 여행일자 : 2020년 9월 21일, 날씨 : 맑음 ] 불갑사에서 상사화 구경을 마치고서 저녁 노을을 담기 위해 찾은 곳은 영광군과 무안군을 잇는... 함평만을 횡단하는 칠산대교는 영광군 향화도와 무안군 도리포를 잇는 1.82km의 해상교량으로 2019년 12월 18일에 개통되어 전남 서남권의 교통편의를...",2020. 10. 6.
전남 영광군 법성포 굴비 맛집 귀빈식당,서른이와 함께 전남 영광으로 1박2일 여행의 첫시작을 알린 영광굴비맛집 귀빈식당을 다녀오게되었습니다. 진짜... 사진찍을까말까... 총평 및 개인적인 바램 영광굴비의 본토고장 전남 영광군 법성포에 위치한 귀빈식당을 다녀왔습니다. 서른이가 음식을 먹으면서 감탄을 하면서 먹었던 음식도...,2020. 11. 27.
농촌체험 여행 NH관광으로 굴비의 고장 전남 영광군 여민동락 마을,귀농 귀촌 체험 여행 농촌체험 NH관광으로 굴비의 고장 전남 영광군에 도착했다 굴비다 마스크 써야 해요 차에타면 안전벨트는 꼬옥 메세요 안내대장 아씨가 계속 계속 말해요 코로나시대 조심스러운 단체여행이다 굴비식당들이 멋지네요 굴비식사차 전남 영광은 처음인데 굴비 동네가 굉장하다...,2020. 10. 30.
전남 영광군 불갑사 꽃무릇 (2021.9.19),"전남 영광군 불갑사 꽃무릇 ▶ 위 치 : 전남 영광군 불갑면 불갑사로 450 ▶ 개 요 : 불갑사는 법성포를 통하여 백제에 불교를 전래한 인도승... ※ 9월중순 꽃무릇 여행지 [행복한여행 블로그 전남 함평 용평사 꽃무릇( 2021.9.19.), 전북 고창군 선운사 꽃무릇 (2021.9.19)]참조 불갑사 축제때와 확연히...",2021. 10. 1.
전남 영광군 염산면 두우리 '백바위해수욕장' - 차박여행,"전남 영광군 염산면 두우리에 '백바위해수욕장'이 있습니다. 차박하기 좋은 장소라고 합니다. 그래서, 갑니다. 차박하러... 도착했습니다. 요즈음은 해가 짧아, 금세 해가 집니다. 그래도 많은 분들이 오셨습니다. 날씨가 쌀쌀하여, 화로대에 불을 짚이시는 분도 계십니다. 밤하늘엔 별도 떴습니다....",2020. 11. 2.
전남 영광군 여행_밀재의 아침,"비가 지나간후 아카시아꽃을 포함해 꽃잎들이 떨어지니 아카시아 꿀 양봉장도 채밀작업을 시작하네요. 쑥연기로 벌들을 쫒으시면서 작업하는 동네분들의 모습에서 어렸을적 고향생각이 절로나는 아침이었네요. 작업하는 날이면 벌이 무서운건 둘째고, 작업중 흘러나오는 잡티섞인 달디단 꿀을...",2021. 5. 20.
20년 1월 16일~20일. 전남서부권 여행 9. 영광군 우산근린공원 전망대,전망대 앞에 서보니 예상했던대로 영광군 풍경이 넓게 펼쳐졌다. 향교도 자세히 보였다. 높은 곳에서 바라보니 향교의 건물 배치 구조를 더 확실히 볼 수 있었다. 전망대 옆에는 송덕비 여러기가 세워져 있다. 송덕비까지 구경한 후 전망대에서 내려왔다.,2020. 4. 24.
[신나는 예술여행] 오울구의 '나에게로 떠난 여행' 전남 영광군 청소년지원센터 꿈드림,이번엔 전라남도 영광에 위치한 영광군 청소년지원센터 꿈드림으로 신나는 예술여행 공연을 다녀왔습니다 최근 거리두기 격상으로 많은 공연이 취소되고 연기됐는데요 오랜만에 공연인 만큼 저희도 방역지침을 철저히 지키며 공연을 진행했습니다. * 오울구의...,2021. 9. 28.
"[전남 영광군|여행2일차-7] 백제불교최초도래지 : : 법성포 가볼만한 곳, 온라인여행...","무료 관광지 #영광가볼만한곳 #영광여행 #백제불교최초도래지 #무료관광지 #법성포 백제불교최초도래지 주차장으로 가는길에. 벌써 5년쯤 된... 백제불교최초도래지 입구 소개 입구 1번, 입구 2번(승장기 입구) 주소 : 전라남도 영광군 법성면 진내리 828 출처 : 네이버지도 제가 임의로 입구 1번과...",2021. 3. 7.
[전남 영광군] (주)와이엘코리아의 고급형 소형 4륜 1인승 노인전동차 YL-500s 배송 후기,"전기차, 노인전동차 전문기업 (주)와이엘코리아 도심의 엘리베이터에서도 탑승 가능한 고급형 소형 4륜 1인승 노인전동차 YL-500s 전남 영광군 배송 후기 안녕하세요. 노인전동차, 전기차 전문기업 (주)와이엘코리아 입니다. 따뜻한 봄기운에 어느 곳이든 여행을 가기 좋은 요즘입니다. 아름다운...",2021. 4. 7.
[新국토기행] <91> ‘자연도 자원도 부자’ 전남 영광군 - 서울신문,"[新국토기행] 바다처럼 드넓은 인심 노을처럼 빛나는 영광 입력 : 2016-11-23(수) 17:50 <91> ‘자연도 자원도 부자’ 전남 영광군 전남 영광군은 동쪽은 장성군, 남쪽은 함평·무안군, 북쪽은 전북 고창군과 접하고 서쪽으로 황해와 연결된다. 국토의 서남해안에 있는 영광은 광활한 평야와 황금어장이...",2020. 8. 24.
