header,contents,date
강의여행 전남영암군 예쁜돌담 창조적마을만들기 강의갔다가 반한 광암마을,행복찾기센터 이애자강입니다 오늘은 강의갔다가 만난 예쁜돌담과 초록나무들이 어우러진 아주 예쁜마을에 대한 강의여행 포스팅입니다 전남영암군 광암마을에 창조적마을만들기 농촌중심지활성화사업 강의를 갔다가 돌담과 예쁜마을에 반해서 저 혼자 보기가 아까워 잇님여러분도 함께...,2020. 7. 9.
전남 영암군 여행_활성산(서광목장) 일출,언제부턴가 친환경에너지라는 명목하에 산과 들 심지어 바다에까지 태양광발전소가 들어서기 시작합니다. 처음엔 지구을 지키는 일이니 공감했지만 지금은 이러한 친환경에너지 구조물의 무분별한 설치로 지구가 더 상처받고 있는건 아닌지 생각해보게 됩니다. 물론 제가 풍경사진을 주로 촬영하니...,2021. 4. 23.
전남 영암군 삼호읍 : 호텔현대 바이 라한 목포 후기,정확히는 영암군에 위치하고 있어요 호텔은 목포 시내와 조금 떨어져있어요 시내에서 차로 15-20분 정도? 가야해요 시내와 조금 떨어져있기 때문에 도보로 여행하시는 분들은 목포 시내에 숙소를 잡는 것을 추천드려요 높은 곳에 위치하고 있어서 시끌벅적하지 않고 조용한 편이에요...,2021. 7. 22.
전남 영암군 아크로cc 1박2일 골프여행,아크로cc 어때요?? 떠나 볼만 하지 않겠어요?? 한국형 코스로 멋진 코스 레이아웃~ 잘 관리되어 있는 코스 ~ 봄이 찾아오면 물드는 동백꽃의 수려한 유혹을 받으러 떠나실 계획인 있으시다면 아래로 연락주시면 친절하게 상담해 드리겠습니다. 감사합니다. #아크로cc #전남골프투어,2020. 2. 18.
[전남 영암군] 영암 기찬랜드 & 국민여가캠핑장,(현지인 추천코스) #현지인추천 #영암군 #영암 #전라도 #전라도여행 #둘레길 #둘레길코스 #대한민국관광코스 #국민여가캠핑장 #영암캠핑장 #영암기찬랜드 #기찬랜드 #광주 #목포 #강진 #해남 #담양 #근교캠핑장 #현지인코스 #영암군여행 #영암여행 #월출산 #기찬묏길 #매력한우 #서이추 #이웃환영 #공감...,2021. 2. 17.
봄에 가볼만한곳. 전남 영암군 벚꽃길,https://m.blog.naver.com/coallaqt/221897288891 작년에 드라이브 여행갔던곳 영암군 꽃길 추억소환용 블로그를 다시보며 새삼 기록이란걸 할 수 있는... 여기는 전남 영암군 군서면 벚꽃길 입니다. 우와~~감동. 감탄 내가 누구랴~ 이대로 그냥 지나칠순없쥐~ 조수석에 앉아 폰을꺼내 정신없이 동영상을...,2021. 4. 1.
[전남 영암군 등산] 월출산 등산(경포대탐방지원센터-천황봉-구정봉-원점)(,"▼ 경포대탐방센터 들어가는 길에도 유채꽃이 이뻐서 잠시 주차하고 촬영 ▼ 거의 점심 시간이라 주차장이 꽉~~~ ▼ 전남교통연수원 옆으로 난 탐방로에 들어섬 ▼ 클릭하면 확대 ▼ 초반의 평탄한 오르막 ▼ 경포대삼거리에서 오른쪽 천황봉 방향으로... 나중에 왼쪽(바람재, 구정봉)방향으로...",2021. 4. 27.
"생방송 오늘저녁 손맛오지네 전남 영암군 영암 월출산 흰 민들레 진액 택배 주문, 시상식...",그리고 월출산이 있는 영암에는 맛집도 많아서 여행하기 참좋은곳이기도 하지요. 출처 : 영암군 월출산 공식홈페이지 월출산 월출산은 '달 뜨는... 청정지역인 전남 영암군에서 유기농법으로 재배된다하네요. 민들레 꽃은 두종으로 흰민들레와 노란꽃의 노란 민들레로 구분 되는데 노란...,2021. 4. 14.
영암군청소년 멘토링프로그램 전남공연 목포공연,영암군청소년 멘토링프로그램 전남공연 목포공연 코로나가 확산되기 전 영암군청소년상담복지센터에서 저희 마술여행을 방문해 주었어요 ~~ 영암군청소년 멘토링프로그램 전남공연 목포공연 먼저 이창민마술사의 멋진 공연으로 멘토링프로그램을 시작했지요 ^^ 마술공연은 역시 어두운 곳에서...,2020. 11. 24.
전남 영암군 금정면 캠핑카 카라반 전용 캠핑 / 초보캠핑 / 도아캠핑,"전남 영암에 캠핑카, 카라반 전용 캠핑 할 수 있는 곳을 만들었어요. 장박 위주로 예약을 받을 예정입니다. 장박 없으면 단기로 오셔도 예약 받을게요^^ 주소: 전라남도 영암군 금정면 백마길 64-1 총 3 사이트 제공 시설: 사이트(자연 자갈), 전기, 수도(긴 호스로 바로 물 주입 가능), 오수 처리...",2020. 7. 30.
