header,contents,date
"다도해해상국립공원, 전남 완도군 소안도 가학산","섬 여행, 섬 산행이 즐거운 이유는 이렇게 아름다운 풍경이 큰 노력 없이도 펼쳐지기 때문이다. 이제부터는 보이는 모든 것들이 아름답고 예쁘고... 그리고 전남 완도군 소안도의 비경을 가학산 정상에서 마음껏 바라보고 즐긴다. 촬영 중에 발견한 멋진 독바위. 마치 신선이라도 된 양 독바위...",2021. 6. 10.
"[전남] 완도군 청산도 꿈같은 여행, 해수욕장, 트래킹 명소",꿈꾸는 섬 완도군 청산도 여행 사시사철 눈이 시리도록 바다도 푸르고 섬도 푸르다고 해서 청산도(靑山島)라고 한다. 항간에는 신선이 배출되는 섬이라고 해서 '선원(仙源)'이라고도 했다. 완도항에서 도항선을 타고 찾아가며 소요시간은 50분 남짓하다. 배편은 많은 편이고 배에는 자동차를 선적할...,2020. 2. 6.
"약산도, 조약도-삼문산, 망봉(전남 완도군)-20210506(목)","삼문산, 망봉 (전남 완도군 약산면, 조약도,<약산도>, 해발 : 397m), 나 홀로 2021-05-06-17-42(목) 삼문산 진달래 동산을 네비게이션에 입력시키고 올라 왔다. 어제는 제암산 오늘은 금당도의 삼랑산, 생일도의 백운산, 여기 조약도의 망산에서 일몰을 품었다. 이렇게 하여 1박 2일의 섬 & 산 여행을...",2021. 5. 10.
전남 #완도군 기행,[전남 완도(莞島)군 기행] - 2021.09.05. 수정. 1. 개요 □ 지지 * 남해의 요지로 장보고가 청해진을 설치한 곳. ○ 면적 : 395.38 km2 ○ 행정 구분 : 3읍... * 완도군 완도읍 장좌리 461번지. ○ #관음사지 * 완도군 완도읍 장좌리 산 16-1. □ 장도 #청해진 유적(淸海鎭 遺蹟) : 사적. * 완도군 완도읍...,2021. 9. 12.
남도여행 - 보길도(전남 완도군),""" 가자 이번엔 보길도다 "" 좀 서둘러 일어나 아침 식사하고 보길도 가는 배를 타기 위하여 완도의 화흥포 항으로 간다 어제 터미널에 전화 해 시간표를 알아보니 1시간에 1대꼴로 있어서 시간개념 없이 화흥포 항으로 갔는데 때마침 출발준비를 하고있는 배가 있었다 불이나게 대합실로 뛰어 들어가...",2020. 11. 8.
전남 완도군 가볼만 한 곳,"특산물로는 완도전복, 광어, 톳, 쌀, 유자, 비파와인 등이 있고 축제로는 국제해조류박람회, 장보고수산물축제, 청산도슬로걷기축제, 가을섬여행 등이 있습니다. ㅇ 완도타워 위치 : 전남 완도군 완도읍 장보고대로 330 완도타워의 외부에는 경관조명을 설치하여 야간에 완도타워의 아름다운...",2021. 3. 20.
[나오스테니스] 전남 완도군 '완도 테니스장' 테니스장 소개 / 테니스코트 예약 & 테니스...,Tennis Court 전남 완도군 '완도 테니스장' #나오스테니스 #빛나는세상 @eco_jjuni Life Is Beautiful 본격적인 여름휴가 시즌입니다. 다들 무더위를 피해 바캉스 다녀오셨나요? 여름휴가를 완도로 다녀왔는데 완도 여행하면서 방문했던 완도 테니스장을 소개합니다. 테니스코트 구경하기 인조잔디...,2020. 8. 21.
전남 완도군 생일도에 가실려면 전남 완도군 약산면 당목항으로 가셔야 합니다,"용출리갯돌해안 - 전남 완도군 생일면 봉선리 351-2 ㅡ 차량이동 ㅡ 16:10 서성항 도착 16:40 승선출발 17:10 당목항도착 - 완도군 약산면 해동리 750-6 17:20 출발 18:40 석식 : 보성녹차휴게소 (꾜막비빔밥10,000. 애호박찌개7,000. 제육덥밥7,500. 해물순두부찌게7,000) 19:20 출발 22:00 성서홈플 여행...",2020. 7. 7.
전남 완도군 약산면 득암리(득암항 선착장)완도군 제1호 바닷가 관광펜션 부지8...,#바닷가관광펜션 #유튜브광고매물 #정우부동산랜드 #정우부동산랜드 #정우부동산 #정우공인중개사 #나일삼 #전남완도군약산면우두리 #우두리선착장 #완도군토지 #완도땅 #약산면소재지 #약산연륙교 #약산면득암리 #전남완도군약산면득암리#득암리도원펜션,2020. 8. 8.
완도 여행 / 바다가 내려보이는 완도타워 / 장보고빵 / 전남 완도군,멋진 바다 구경하면서 힐링할 수 있는 좋은 시간이었어요!! 많이 못다니니 답답하잖아요~ 안전 수칙 지키며 드라이브하며 좋은 곳 가보는 것도 괜찮을 듯합니다!! 다음 포스팅은 먹거리에요~~^^ #완도여행 #완도장보고빵 #완도드라이브 #완도타워 #완도바다풍경 #완도전복빵,2021. 3. 17.
