header,contents,date
"[전남 볼거리] 전남 장성군 황룡강변에 아름다운 꽃들이 만개하였습니다. ""장성 황룡강...","장성 이색 여행 / 장성 볼거리 / 장성 가볼 만한 곳 전남 장성군 황룡강변에 아름다운 꽃들이 피였습니다. ""장성 황룡강 노란 꽃잔치"" 전남 장성군 장성읍 황룡강 일원에서는 장성 황룡강 노란 꽃 잔치는 2016년부터 이곳에서 열렸으나 작년과 함께 올해도 축제는 코로나19로 전면...",2021. 10. 8.
"전남 장성군, 축령산 편백숲을 활용하는 '편백숲 어울림 치유여행 프로젝트'를 운영","전남 장성군이 올해 농촌 신활력플러스 사업에 참여할 제2기 활동 모임체를 모집한다. 농림축산식품부 공모사업인 농촌 신활력플러스 사업은... 장성군은 축령산 편백숲을 활용하는 '편백숲 어울림 치유여행 프로젝트'를 제안해 2019년 사업 대상지로 최종 선정, 4년간 70억 원의 사업비를...",2021. 8. 4.
전남 장성군 백양사 내장산 가인야영장 캠핑여행,"#전남 #장성군 #백양사 #내장산 #가인야영장 #캠핑여행 백양사 근처에 있는 내장산 가인야영장으로 캠핑여행 왔어요! 코로나로 인해 거리두기해야하므로 가인야영장에서도 텐트를 간격에 두고 치므로 안전해요~ 텐트 치면 거의 텐트에서 밥 먹고 놀고 쉬었어욯ㅎㅎㅎ 화장실, 설거지와 걸어다닐...",2020. 12. 27.
"전남 장성군 산책하기 좋은 곳, 모암저수지 편백나무숲 산책길",#전남장성군산책하기좋은곳 으로 딱이에요. 근처에 살았으면 자주 왔을 듯싶어요. 울 쑤쑤 중간에서 포즈 취하더니 사진 찍어달라고 ㅋㅋㅋㅋㅋㅋㅋㅋ귀여워 조금 둘러본 뒤 다시 나왔어요. 저~기 보이는 정자까지 걸어가 차를 타고 이동하기로 했지요. 날씨가 너무 좋아서 금방 가기에는 아쉬운...,2020. 9. 16.
[한옥 여행] 전남 장성군 장성한옥 펜션 강추♡ 1. 물놀이 바베큐 휴가편,#골드미스S여행후기 #장성한옥 #장성한옥이용후기 #한옥펜션 #한옥독채체험 #한옥체험 #손현주의간이역촬영장소 #백양사역 #전남장성명소 #장성한옥바베큐 #캠핑펜션 #반려동물동반펜션 #물놀이펜션 #냇가체험펜션 #백양사펜션 #시골여행 #여름휴가 #가족여행추천 #여름휴가추천 #한옥휴가...,2021. 8. 3.
[7년 전 오늘] 전남여행/장성군/백양사/사찰여행,9.8. 7년 전 오늘 전남여행/장성군/백양사/사찰여행 백양사는 1400여년 전 백제 무왕33년에 여환조사가 창건한 고찰로 호남불교의 요람이다 대한불교 조계종 제18교구 본사이며 5대 총림중 한곳인 백양사는 백두대간이 남으로 뻗어내려온 노령산맥의 백암산에 위치하고있다 행복한여행이야기,2020. 10. 1.
"전남 가을여행 꽃축제 장성군 황룡강 노란꽃잔치 핑크뮬리,백일홍, 코스모스...",다른 분들은 해바라기정원 놓치지 말고 꼭 보고오세요. #전남가을여행 #전남꽃축제 #장성군꽃축제 #황룡강노란꽃잔치 #장성군황룡강노란꽃잔치 #핑크뮬리 #백일홍 #코스모스 #국화 #해바라기 #테마캠프 #국내여행 #여행체험단 #장성여행 #버스여행 #추천여행지 #패키지여행,2021. 10. 10.
깔끔한 국물맛이 일품인 #송가네밥상의 버섯전골(전남 장성군),송가네 식당 주 소 : 전남 장성군 북하면 단풍로 1862 연 락 처 : 061-395-9001 영업시간 : 매일 09:00~21:00 일전 10월말에 코로나19가 지금처럼 전국적으로 확산되기 전 코로나19가 1단계로 잠시 내려왔을 때 결혼기념일도 있고 하여 얼른 다녀온 전라도 구경 지금 생각해 봐도 이 여행은 신의 한수라는...,2020. 12. 31.
호산식당 | 전남 장성군 메기찜/메기탕 맛집 추천 (Feat. 장성댐 인근 식당 추천),"오늘은 부모님과 장성 여행을 하면서 방문한 장성댐 인근 맛집을 소개해드릴게요 >< 이번에 소개해드릴 전남 장성군, 장성댐 맛집은 [호산식당] 입니다! 아버지가 직접 추천하시고 데려가신 식당인데요, 장성댐 바로 인근에 있습니다 :) 메기찜 혹시 드셔보셨나요?! ㅎㅎ 호산식당은 메기찜/메기탕이...",2021. 9. 23.
전남 장성군 장성읍 '장성 황룡강 주차장' - 차박 여행,전남 장성군 장성읍에 황룡강이 흐릅니다. 해마다 가을이면 꽃잔치가 열리는 곳입니다. 그 곳에 주차장이 있습니다. 또한 화장실도 잘 갗추어져있는 곳입니다. 도착하였습니다. 석양이 멋지게 지고 있습니다. 간간히 트레일러와 캠핑카가 보입니다. 하늘엔 경비행기가 날아갑니다. 밤이 깊었습니다....,2021. 9. 9.
