header,contents,date
2021년 전남 장흥군 단체관광객 유치 인센티브 지원사업 공고,사업개요 전남 장흥군의 지역경제 활성화와 경쟁력 제고를 도모하기 위해 장흥군에 단체관광객을 유치한 여행사에게 인센티브를 지원해 드리는 사업입니다. ☞ 여행업 등록을 필하고 내국인 15인 이상 또는 외국인 10인 이상 장흥군에 유치한 여행사 ☞ 숙박비 지원 지원분야 및 대상...,2021. 5. 26.
방구석 랜선여행-우리나라 100대 명산중 전남 장흥군에 있는 천관산으로 가볼까요,랜선여행 준비되셨나요 ㅎㅎ 산이름 : #천관산 위치 : 전남 장흥군 관산읍 천관산 높이 : 723m 한국민족문화대백과/두산백과 (본문의 문구와 이미지는 해당문헌을 참고했으며 무단도용시 법적인 책임이 있음을 양지바랍니다) 산 대부분이 바위로 이루어진 천관산은 봉우리 수십 개와 많은...,2021. 4. 2.
전남 장흥군 정남진토요시장과 정남진전망대 2020.11.12,시장을 구경하다보니 사고 싶은 해물과 생선이 많았는데 여행 시작이어서 살 수가 없었다. 그런데 물고기자리라는 가게에서 택배가 가능하다고... 찾아가는 길 정남진토요시장-전남 장흥군 장흥읍 토요시장1길 정남진전망대-전남 장흥군 관산읍정남진해안로 242-58 내가 찾은 맛과 가게...,2020. 11. 22.
"[장흥여행] 잔잔한 남해 장흥바다~ 풍성히 감상하고 왔네요.(21.8, 전남 장흥군...","전남 장흥에 와서... 아이들과 #장흥가볼만한곳 좀 돌아보려고 했지만... 대표적인 #우드랜드 부터 문을 닫았네요. 아차...차.. 코로나 여파로 문을 연... #장흥여행, #장흥볼거리, #장흥놀거리, #장흥수문해수욕장, #코로나아이놀거리, #코로나아이볼거리, #해수욕장추천, #해수욕추천, #여름피서장소...",2021. 8. 20.
"전남 장흥군, 천관산에 흐드러진 억새 장관",전남 장흥군 천관산에 흐드러진 억새가 가을을 반기며 낭창거린다. 가을마다 산을 뒤덮는 억새는 장흥군의 손꼽히는 절경으로 관광객들을 불러... 억새밭을 거닌 뒤 가을 대표 먹거리인 전어와 쭈꾸미로 여행의 묘미를 더할 수 있다. 한국사회복지상담소 / 박혜란 소장,2021. 10. 6.
전남 장흥군 바닷가마을 아침산책,전남지역을 다니면서 보니 주택 건물 지붕은 거의 이런 스타일이었다 지역마다 차이점 알아보는 재미도 여행의 묘미겠지 숙소로 돌아와 아까 걸었던 길을 한눈에 내려다본다 이제 오늘은 애들이 제일 기대하는 하루종일 수영이다! To be continued 읽어주셔서 감사합니다 여행이 끝나 제주도...,2021. 8. 19.
[ 전남 장흥군 - 여행지 / 자연관광 ] 장흥댐생태공원,"[ 전남 장흥군 - 여행지 / 자연관광 ] 장흥댐생태공원 ■ 답사 기준일 : 2020. 12. 03. (목) ■ 인근 관광지 추천 : 심천공원, 장흥댐, 보림사, 장흥댐휴게소, 정남진물과학관 등 00:02 01:03 1)기본정보 - 주 소 : 전남 장흥군 부산면 지천리 467 - 지 도 : https://place.map.kakao.com/10504914 - 개...",2020. 12. 15.
장흥군맛집 한정식 저렴한 식당 대복회관(전남 장흥 맛집 추천),* 표고굴비 선물세트도 판매중이에요 장흥군맛집 대복회관 위치 #장흥군맛집 #장흥읍맛집 #전라남도맛집 #장흥대복회관 #장흥한정식 #장흥한정식맛집 #장흥맛집 #장흥토요시장맛집 #장흥식당 #장흥가볼만한곳 #장흥여행 #전남장흥맛집 #장흥단체모임 #장흥모임장소 #장흥저렴한한정식 #라덕이...,2020. 9. 26.
전남 장흥군 가볼만 한 곳,장터 여행을 즐길 수 있다. 토요시장은 2017~2018 한국관광 100선에 선정되기도 한 단순한 시장이아닌 꼭 가봐야할 명소이다. ㅇ 보림사 위치 : 장흥군... 전라남도관광명소 #장흥가볼만한곳 #장흥관광명소 #장흥군가볼만한곳 #장흥군관광명소 #전남장흥가볼만한곳 #전남장흥관광명소,2021. 5. 15.
전남 장흥군 여행_소등섬 일출 #04,"여명과 일출시까지 시간대별로 포스팅해봅니다. 해가 올라오는 일출도 아름답지만, 일출시각 30분~1시간전(매직아워)에 도착하시면 일출여명이 보여주는 화려한 색 또한 너무 아름답습니다.. 2019. 01. 04 06:48 07:12 07:35 07:56 #장흥 #소등섬 #일출 #여명",2020. 1. 8.
애견동반 가능한 자연휴양림 3곳? 국립 천관산 자연휴양림(전남 장흥군) 시범운행 중,산음자연휴양림으로 여행을 다녀왔었네요. 2020년 현재도 강아지와 함께 갈 수 있는 국립 자연휴양림이 여전히 2곳 일까 하는 의문으로 찾아봤는데... 해보니 전남 장흥군 국립 천관산 자연휴양림이 작년 12월부터 다음 달 말까지 시범운행 중이라 하네요. ◇ 국립천관산자연휴양림(전남 장흥군)...,2020. 7. 10.
"전남 장흥군 ""안심군내버스""구축 -코로나19 NO ""안심버스""","""바람 따라 발길 닿는 대로 떠나고 싶을 때', 그럴때도 버스겠죠~~ 오늘은 전남 장흥군의 ""안심 군내버스""를 소개합니다. 누구나 한 번쯤은 바다여행을 꿈꾼다 이럴때 버스가 필요하지 않을까요? 코로나로부터 안심되는 버스는 없을까? 작은 꾸러미 하나 메고 바람이 머무는...",2021. 5. 7.
(전남 장흥군/숙소) 무무라,추석연휴에 전남쪽에서 힐링을 했답니다 장흥으로 가는 길이제는 해가 제법 짧아졌네요조용하고 감성있는 외관 제가 묵은 곳은 바람방입니다큰... 시간 넘 빠른거아닙니까ㅠㅠㅠ 오늘 포스팅은 여기서 마칠게요 #장흥여행 #장흥숙소 #에어비앤비 #감성숙소 #복층숙소,2021. 9. 25.
"대한민국, 전남, 장흥군, 장성군, 완도군","대한민국, 전남, 장흥군, 장성군, 완도군 [방구석 랜선여행] 장흥수문해수욕장 #랜선여행 ~ 휴가철 여행가고 싶은 마음은 잠시 STOP 지금은 떠나기보다 잠시 머물러야 할 때~! 몸으로가는 여행 대신 눈으로 보는 '랜선여행'은 어떠신지요~? #장흥 #전라남도 #수문해수욕장 장성 금곡계곡 편백나무와...",2020. 8. 22.
남파랑길 78코스 전남 장흥군 - 남파랑길 장흥&강진구간,"배차시간 유의 - 종점 : 용산면 덕암리 현동마을회관 앞(전남 장흥군 용산면 덕암리 239-8) 교통편) 원등 정류장에서 장흥-용산, 장흥-관산 버스 이용하여 장흥시외버스터미널 하차. 배차시간 유의 - 노선 내 위험구간이 포함되어 있어 걷기여행 시, 여행자의 주의가 필요 경로 및 편의시설...",2021. 3. 5.
