header,contents,date
[진도 여행 8] 전남 진도군 진도읍 산월리 쉬미항,"어촌정주어항과 쉬미항 여객터미널 여행을 다니다 보면 계획했던 대로 여행이 이루어지는 것은 아니다. 이름난 명소를 찾아갔다가 역시나... 또한 진도 군청이 있는 읍에서 가까운 위치에 있는 데다 아름다운 곳으로, 항구로서는 비할 데 없는 천혜의 지형을 갖춘 곳이다. <<어촌정주어항...",2021. 8. 25.
언택트여행 - 전남 진도군 접도 남망산 웰빙등산 겨울 눈꽃산행,전남 진도군 접도 남망산(164m) 웰빙등산로 전남 진도군 의신면에 있는 접도라는 웰빙 등산로 랍니다. 전라남도에서 웰빙 등산로 2곳을 지정했는데... 섬여행의 백미는 뭐니뭐니 해도 바닷내음 물씬 풍기는 해산물을 먹는 코스가 빠질 순 없으니까요. 작은여미 계곡 작은 여미계곡은 미니시리즈...,2020. 12. 16.
[양이유TV] 여행 브이로그 : 전남 진도군 조도면 도리산 전망대,드려요~~ #여행브이로그#휴가지추천#여름휴가#여름휴가지추천#휴가여행#여행지추천#코로나여행지추천#코로나휴가#섬여행추천#섬추천#섬여행지#섬여행지추천#전남진도여행#진도여행#진도군가볼만한곳#진도가볼만한곳#도리산전망대#상조도#하조도#조도면도리산전망대#진도군조도면#전남여행...,2021. 9. 14.
전남 진도군 조도면 섬여행 도다리 낚시,가족여행으로 조도섬으로 갔습니다 저희 집에서 350km 장거리입니다 작년 여름 휴가로 진도 쏠비치 다녀왔던 생각을 하며 가족들에게 가자고 하니... 화창한날에는 어디에서 사진을 찍어도 그림 같이 나오네요 ㅎㅎ 깡쓰패밀리 즐거운 낚시 여행입니다 #깡쓰 #깡쓰패밀리 #가족여행 #조도 #도다리낚시,2021. 7. 9.
전남 진도군 여행지 추천 급치산전망대,ㅜㅜ 아쉽지만 돌아가는길도 멀어서 마무리하고 돌아갔습니다. 전남 진도에 여행을 가시면 필수코스로 방문하셔서 멋진 진도바다 풍경으로 인생샷 남겨보시길 바랍니다. 주소 : 전남 진도군 지산면 가학리 산 105 #진도여행지 #전남진도여행 #급치산전망대 #진도전망대 전남 진도 여행지 추천,2021. 7. 23.
가계해수욕장 고군면 진도군 전남,엄청고~~~~~~~~요함 #전라남도 #전남 #진도군 #고군면 #해수욕장 #한적한 #조용한 #작은 #규모 #바다 #해수욕장 #인적이 #드문 #깨끗한 #가족들과 #아이들과 #함께하는 #카운티캠핑카 #캠핑버스 #노지 #여행 #일상 #이야기 #블로그 #정보 #공유 #소통 #환영 #구미맘 #육아맘 #아들맘 #셋맘 #젊줌마...,2021. 7. 26.
"대한민국 대표 섬 전남 진도군 ""가사도""","섬 입니다 지금까지 전남 진도군 가사도 섬에 대하여 간략하게 소개를 해드렸구요, 큰아들은 다음에 가사도 대표 먹거리와 여행지에 대한 소재로 다시 찾아 오도록 하겠습니다. 감사합니다. #국내섬여행 #전남진도 #가사도 #전라도여행 #전남가볼만한곳 #전남여행 #국내여행지추천 #대한민국대표섬",2021. 1. 2.
전남 #진도군 기행,"□ #진도10선 ○ 운림산방 ○ 신비의 바닷길 ○ 진도대교/진도타워 ○ 세방낙조 : 진도 서부 해안도로 ○ 토요민속여행 ○ 진도개테마파크... 자연경관 □ #다도해해상국립공원 * 전남 홍도(紅島)에서 신안군, 진도군, 완도군, 고흥군 등을 거쳐 여수시 돌산읍에 이르는 해안 일대와 도서를...",2021. 9. 8.
전남 <강진군 가우도/진도군 진도대교> 일하며 잠시 여행하기~,"안녕하세요~ 얼마 전 주말에 강진 가우도 모노레일 랩핑 작업을 하는김에 근처 여행도 같이 했었는데요, 그래서 짧게나마 여행기를 소개해 드리려고 합니다 ^^ 가우도 섬관광안내지도인데 저는 일때문에 간거라 아쉽기만 하네요,다 돌아보지 못했거든요,, 강진군 대구면 방향에서 주차를 했는데...",2021. 8. 13.
전남 진도군1 (울돌목~벽파항),"울돌목 또는 명량해협은 전남 해남군과 진도군 사이에 있는 해협이에요. 가장 좁은 곳을 목이라고 하는데 294m예요. 진도대교가 이 울돌목 위에... 운림산방에 기거했던 소치 허련 화가도 그렇고, 진도 출신의 예술가가 많다는 것도 이번 여행을 통해 새롭게 알게 됐어요. 뒷면 비석을 받치고 있는...",2021. 1. 7.
2020년 6월 10일 전남 진도군 군내면 진도타워,해남군이랑 진도군 잇는 진도대교원래 하나였는데 교통량 증가하면서 추가건설했다고함. 코로나때문에 체온측정하고 손소독까지했다. 전망대... 아무리 사진 찍어도 예쁘게 안 나왔을 듯.날씨 쾌청할 때 방문하길 천만다행! 다음에 야경보러 갈게~ 진도타워에서 챙긴 진도여행팜플렛들,2020. 7. 19.
"전남 진도군 조도면 관매도 명품마을(1경 관매도해변) - 차박여행, 캠핑",전남 진도 팽목항 앞바다에 섬들이 많이 있습니다. 그중 관매도라는 섬이 있는데 관매 8경으로 유명하다고 합니다. 잘하면 차박도... 이 번 여행은 여운이 많이 남겠습니다. 정말 '명품마을'입니다. https://m.blog.naver.com/PostView.nhn?blogId=leesparm&logNo=222085613476&navType=tl https://m....,2020. 9. 10.
전남 진도군 송가인 마을 천연목재 데크 / 사인물 벽화 설치 - 송원이엔지,"올해 첫 포스팅은 전남 진도군에 자리하고 있는 요즘 가장 핫한 송가인씨의 고향, 송가인 마을의 목재데크와 사인물 벽화를 제작 설치하고... 팬들의 마음이 더욱 더 녹을 것 같다는 생각이 듭니다. 진도 여행을 계획하시는 분들이라면 작은 시골의 송가인마을을 들러보시는 것도 아주 좋을 것 같습니다.",2020. 1. 8.
전남 진도군 조도면 관매도! 2021/08/07.08/1무1박 토일,2021/08/07/토요일 1무1박 섬산행 조도 관매도 대마도 산행겸 여행!! 2021/08/08/일요일 관매도 하늘다리 트레킹 ~~ 2일차! 새벽 일출 명소 갔다오고 아침... 고고~~~ #공기돌바위 #하늘다리 #매바위 #벼락맞은바위 #진도군 관매도 셋배 일출 명소!! 새벽 4시 30분부터 일어나 일출 보려고 동네 한바퀴을...,2021. 8. 15.
[전남 진도군] 진도 솔비치,신기할뿐 볼건없음 솔비치 또가고싶다 솔비치 모든면에서 내맘속1등 #진도솔비치 #진도쏠비치 #진도핫플 #전남핫플 #전남여행 #진도여행 #인피니트풀 #ofsw #일상 #일기 #소비일기 #소비일상 #소비치료 #데일리 #일상로그 #vlog #자취 #자취러 #내돈내산 #위시리스트 #서이추,2021. 8. 25.
5억 부동산 토지 투자 땅 매매 맛집 가볼만한곳 해변 전남 진도군 조도면 관매도리 802...,관매도 민박집 및 상가용주택 전남 진도군 조도면 관매도리에 있는 주택 천혜의 관광지 관매도리 관광객 많은 멋진곳 대지와 답 약 200평에 민박집... 바닷가 여행 관광 낚시 섬토지 섬임야 섬농가주택 섬펜션 섬낚시용 컨테이너 설치용 토지 섬 소규모 소액 토지 섬 여행 관광 낚시 전원주택...,2020. 10. 27.
<전남/진도군/조도면>2020.1225 소리통닭,지인의 추억이 깃든곳이니ㅎㅎ #전라남도 #진도군 #조도면 #창유리 #소리통닭 #여행 #크리스마스 #사회적거리두기 #코로나피신 #후라이드치킨 #양념치킨 #혜자스럽다 #양대박 #가성비 #주관적경험담 #내돈내산 #이웃신청 #좋아요 #맛집투어 #먹방투어 #좋반 #카페투어 #코로나19 #물러가라 #점심...,2020. 12. 27.
신비의바닷길체험관 고군면 진도군 전남,"그냥 끝장~~~~ 이상으로 #진도 #신비의바닷길체험관 #후기 였습니당 앗, 공짜였어요 ㅋㅋㅋㅋㅋ #전라남도 #전남 #진도군 #고군면 #신비의바닷길 #체험관 #카페 #오션뷰 #뷰맛집 #전설이야기 #뽕할머니 #호랑이 #볼거리 #카운티캠핑 #캠핑버스 #여행 #해안도로 #다녀와봐야할곳 #가볼만한곳...",2021. 7. 29.
"[13년 전 오늘] 만의총(전남 해남군 옥천면 성산리 일원), 진도군농업기술센터 농업대학...",당시에 블린이라서 포스팅한 것도 매우 어설프고 지금보니 그동안 공감 및 댓글이 하나도 없었다는~ㅋㅋ 아무튼 당시에 전국을 강의 다니며 여행하는 남자였다는 사실이다~ ㅎ 2008.9.6. 13년 전 오늘 만의총(전남 해남군 옥천면 성산리 일원) 9/2(화)진도군농업기술센타 강의가는 초행길에...,2021. 9. 6.
전남 진도 여행 진도군 최고당돈가스 죽림어촌마을 조개잡이 체험,오늘은 아침부터 쉬는날 입니다 그리고 날이 좋아서 아이들과 놀러 갑니다 전날부터 어딜갈까 고민중 진도에 있는 죽림어촌체험마을 가려고 하는데요 전날부터 카니발 동호회 카페에서 글이 올라오길래 저도 따라서 이동 합니다. 하지만 저는 눈팅족 이라는거~ 집에서 출발 해 도작한 진도 일단...,2021. 6. 17.
"[람뷰후기] 전남 진도군 시설좋고 깨끗한모텔 진도모텔, 진도숙박 골든비치모텔 추천.","진도모텔, 진도숙박 골든비치모텔 소개해드릴게요 ♡ 골든비치모텔 전남 진도군 군내면 진도대로 8459 061-542-2255 24시간 전 객실에 욕조도 완비가 되어 있어서~ 여행 후에 피로를 싹 날릴 수 있는 장점. 철저하게 청소를 하시기 때문에 침구류와 수건, 비품들도 정말 깔끔하게 정리정돈되어 있고...",2021. 2. 26.
전남 진도군3 (운림산방),이 글은 전남 진도군2에 이어지는 글입니다. 7. 운림산방 '운림산방'은 조선후기 서화가 소치 허련 선생이 말년에 진도로 내려와 기거하면서 그림을... 진도여행 이틀째 되는 날 비가 제법 많이 와서 답사를 더 이상 진행하지 못하고 예정보다 일찍 서울로 올라왔어요. 그 먼곳까지 가서 오랜 시간...,2021. 1. 22.
2021.04.28 전남 진도군 숙소 추천 진도 쏠비치 리조트 스위트룸,진도 쏠비치 리조트 가족여행으로 전남쪽으로 가기로 해서 쏠비치 진도로 숙소를 잡았다. 상당히 진도가 멀다는걸 운전하면서 깨달음... 체크인은 따로 로비 건물로 가서 해야한다. 주차하고 사람만 가면 된다. 드라이브 쓰루 아님... 가서 대기 표 뽑고 기다리면 된다. 체크인 시간은 2시부터...,2021. 4. 28.
