header,contents,date
전남 함평군 용천사 꽃무릇 (2021.9.19),"전남 함평군의 용천사 꽃무릇 ▶ 위 치 : 전남 함평군 해보면 용천사길 209 ▶개 요 : 대한불교조계종 제18교구 본사인 백양사의 말사이다. 600년... ※ 9월중순 꽃무릇 여행지 [행복한여행 블로그 전남영광군 불갑사 꽃무릇( 2021.9.19.), 전북 고창군 선운사 꽃무릇 (2021.9.19)]참조 용천사 가는길...",2021. 9. 30.
전남 함평군 돌머리해수욕장 나 홀로 여행,전남 함평군 돌머리해수욕장 나 홀로 여행 안녕하세요! 황금 같은 주말이 지나가고 다시 월요일이 찾아왔네요 어제 뭔가 혼자만의 힐링이 필요해서 혼자 살포시 여행을 다녀왔습니다 제가 간 곳은 광주 근교에 있는 바다! 전남 함평군 돌머리해수욕장 을 다녀왔는데요 위치는 ↓ 밑에 참고하시면...,2021. 3. 15.
전남 함평서 7번째 출산 화제‧‧‧함평군 “양육지원금 1천만원” 지원,(왼쪽부터 오호석 학교면장/김순자 코스모스회장/아버지 목 씨/정명희 함평군보건소장) 전남 함평군에 거주하고 있는 한 부부가 최근 일곱 번째... 광주 #전남 #광주근교 #홍보 #갬성샷 #주나N기프트 #판촉 #대량주문 #전남가볼만한곳 #전남여행 #함평여행 #함평인생샷 #함평수다방 #함평인싸,2020. 12. 21.
여행이야기 스물일곱. 전남 함평군 함평 자동차 극장,비가 이렇게 기다려지는 건 또 처음^^ 오늘 소개해드릴 여행이야기는 여행까지는 아니고요. 지난 주말에 #함평자동차극장에 다녀왔어요. #함평나비축제하는 곳에 주차장이 엄청 넓거든요. 코로나 때문에 모든 지자체 축제들을 취소하는 요즘 함평에서 아주 기발한 생각을 하셨더라고요. 그래서...,2021. 3. 30.
고장과 공사로 얼룩진 자동차로 전국일주 여행 7일차(끝) - 전남 함평군 산내리(무한도전...,"잠월미술관 목적지는 여행지도, 관광지도 아닌 전남 함평군 산내리 작은 시골마을. 모르는 사람은 이 녀석이 왜 여길 갔지? 하겠지만 무한도전좀 본 사람이라면 바로 ㅂ.. 아니 무릎을 탁 치며 알아볼 이곳.. 바로 무한도전 은혜 갚은 제비 특집의 배경이 된 산내리다. Aㅏ.. 사실 여길 온 이유는...",2020. 10. 15.
[전남 함평군] 가족&친구들과 함께 가기 좋은 불스글램핑장,안녕하세요 아요미입니다 친구 생일 겸 다녀온 글램핑장에 대한 후기를 적어볼까해요 #전남글램핑 #글램핑추천 #함평여행 #불스글램핑 내돈주고간 후기 스타또오 ~! 일단 넓은 부지가 맘에 들어요 각 방마다 주차할 수 있는 공간이 따로 있는것두 넘나 좋아요 (짐 옮기기 상당히 용이함)...,2021. 5. 16.
[사진으로 하는 여행] 운무가 춤추던 함평 뜰의 아침... '밀재 휴게소' (전남 여행 / 일출),이런 기상현상은 아침 태양과 만나면 나무 사이사이로 빛이 퍼지며 정말 감탄이 절로 나오는 장면이 나오게 되는데 그런 풍경으로 오래전부터 유명했던 곳이 전남 함평군 해보면에 있는 '밀재' 입니다. 밀재는 영광 불갑사와도 가까워서 꽃무릇을 보러 가기 전에 이곳을 들러서 일출을 촬영하고...,2021. 9. 17.
"전남 함평군 함평읍 한옥마을, 솔향기 한옥펜션 추천합니다 ㅎㅎ",이웃님들 코로나 때문에 요즘 여행 다니기 어려운데 전라도 가니까 사람이 너무 없어서 조용히 여행하기 좋았습니다. ㅎㅎ 전남 함평군 함평읍 가시면 한옥마을에 있는 한옥펜션 한번 이용해보시길 추천합니다 ㅎㅎ . . . #솔향기한옥펜션 #전남함평군함평읍숙박 #전남한옥펜션 #함평군한옥펜션...,2021. 8. 20.
"전남 함평군, 대동제생태공원 오토캠핑장 문 열어","접촉을 최소화한 여행으로 에너지를 충전해 가시길 바란다“고 밝혔다. 한편, 대동제오토캠핑장은 함평군에서 위탁받아 함평자연생태글램핑엔오토캠핑장이 운영하는 시설로 공공성과 전문성을 동시에 갖추었다는 평가를 받고 있다. <시사상조신문(www.sisasangjo.co.kr ) 무단전재 및 재배포금지>",2021. 4. 19.
전라남도 선정 '함평군 가정의 달 추천 관광지',"전라남도 다른 시군의 전라남도 가정의 달 추천 관광지도 궁금하시다면 하단의 링크를 참고해주세요. 전남 명소 포스팅 보러 가기 ▽ ▽ ▽ "" "" #함평 #함평군 #함평군청 #전남 #전남여행 #함평여행 #5월 #가정의달 #추천 #관광지 #함평가볼만한곳 #여름휴가 #자연생태공원 #자동차극장 #돌머리해수욕장",2021. 5. 17.
