header,contents,date
전남 해남군여행 해남군가볼만한곳 해남군관광명소 해남군 무선동 한옥민박마을...,전남 해남군여행 해남군가볼만한곳 해남군관광명소 해남군 무선동 한옥민빅마을 자연스토리 문화창고 고무신아트체험 전라남도 해남군의 삼산면 구림리에 자리한 해남군 무선동 한옥믹박마을 안에 위치한 자연스토리 문화창고에서 진행하는 고무신아트체험과 한옥숙박마을도 한바퀴...,2021. 8. 7.
(전남 해남군) 천일식당,이 정도 말씀드리면 어느 지역을 말하는지 아실 수 있겠죠?^^ 바로 전남 해남군입니다. 대한민국 전체 지자체 중에서 울산광역시를 제외하고 두... 화려한 남도밥상의 진수 가족들과 함께 해남을 여행하던 중 어떤 맛있는 것을 먹을까 고민하던 중 해남읍의 천일식당이라는 곳을 들르게 되었습니다....,2021. 5. 11.
전남 해남군 땅끝마을 반나절 여행하고 왔습니다. [땅끝전망대 / 남해안...,전라남도 해남군 땅끝마을에 있는 땅끝전망대에서 바라다 본 남해안 바다의 영상입니다. 2021년 8월 28일 후배 결혼식이 있어 전라남도 해남을... 갈 것을 기약하며 이번 해남 땅끝마을의 여행기록도 그만 끝마치도록 하겠습니다. #전남 #해남 #땅끝마을 #땅끝전망대 #여행 #남해안 #다도해해상국립공원,2021. 9. 1.
[1월 랜선여행] 전남 해남군 언택트여행지 '고산윤선도유적지',"[1월 랜선여행] 전남 해남군 언택트여행지 '고산윤선도유적지' 전라남도 해남군 해남읍 녹우당길 135번지 insta@film_ajae 고산윤선도유적지에는 해남 윤씨 고택인 녹우당을 비롯해 고산사당, 어초은 사당, 추원당, 유물전시관 등을 볼 수 있습니다. insta@film_ajae 충헌각 입구입니다. 충헌각...",2021. 1. 20.
남파랑길 90코스 전남 해남군 - 남파랑길 완도~해남구간,탑 여행자 정보 - 시점 : 송지면 서정리 미황사 천왕문(전남 해남군 송지면 미황시길 164) 교통편) 해남버스정류장에서 해남-산정 버스 이용하여 미황사 하차. 배차간격 유의 - 종점 : 송지면 송호리 땅끝탑(전남 해남군 송지면 송호리 산 43-3) 교통편) 땅끝마을 정류장에서 사구미-해남 버스...,2021. 3. 9.
전남 해남군 문내면 우수영- 카페울돌,음료도 마시고 관광도하고 좋다 #전라남도 #전남 #해남군 #문내면 #카페울돌 #문내면카페 #우수영관광지카페 #우수영국민관광지 #진도대교 #카페 #디저트 #울돌목카페 #야경 #해남관광명소 #야경명소 #데이트코스 #명량대첩 #이순신 #진도여행 #해남여행 #명량대첩해전사김념전시관...,2020. 4. 8.
"[13년 전 오늘] 만의총(전남 해남군 옥천면 성산리 일원), 진도군농업기술센터 농업대학...",당시에 블린이라서 포스팅한 것도 매우 어설프고 지금보니 그동안 공감 및 댓글이 하나도 없었다는~ㅋㅋ 아무튼 당시에 전국을 강의 다니며 여행하는 남자였다는 사실이다~ ㅎ 2008.9.6. 13년 전 오늘 만의총(전남 해남군 옥천면 성산리 일원) 9/2(화)진도군농업기술센타 강의가는 초행길에...,2021. 9. 6.
전남 해남군 행정구역 지도 입니다,지역을 말하게 되는데요 그냥 행정구역을 참고용으로 사용하실수 있습니다 그밖에 여행계획용으로 사용해도 좋구요 해남군 지도 첨부파일에는 위에 올려져있는 해남군 지도 두장이 들어있습니다 해남지도가 필요하신 분은 아래 첨부파일을 다운받아 사용하세요~ 첨부파일 해남군.zip 파일 다운로드,2021. 8. 21.
해남 두륜산 케이블카 해남 겨울 여행 두륜 미로파크 데이트 코스 해남군 으뜸전남,동화속에 나오는 듯한 장면 입니다 여기가 바로 해남 겨울여행지 추천 ~~ 두륜 미로파크 랍니다 #으뜸전남 #전라도청 #전라남도서포터즈 #전라남도SNS서포터즈 #케이블카 #두륜미로파크 #해남 #대흥사 #랜선여행 #해남군 #백종민TV #겨울여행 #해남겨울여행,2021. 1. 22.
"전남 해남군, 두륜미로파크 언택트 관광지로 각광받아","라이브 방송은 전라남도 공식 유튜브 채널 '으뜸 전남 튜브'와 '남도 여행 길잡이'를 통해 생중계된다. 생중계 시간 동안에는 안심 여행지인 해남 관광 안내와 함께 고구마빵과 감자빵 등 특산품 소개, 퀴즈와 온라인 참여 사연에 대한 경품 행사가 진행된다. 해남군은 코로나 이후 한적하고...",2020. 7. 28.
