header,contents,date
전남 화순군여행 무등산국립공원 수만리카페 편백나무숲,군인들이 고생을 많이 하는거같더라구요 전남 화순군여행을 계획할때는 특별히 화순군에 여행지가 없더라구요 하지만 무등산국립공원이라는 멋진곳이 있기에.. 힐링여행을 다녀올수 있었습니다. 수만리카페 그리고 무등산편백나무숲 이렇게 화순여행 갔습니다. 둘 다 무등산국립공원내에 있어서...,2020. 8. 17.
"[전남 여행] 전라남도 화순군 가볼 만한 곳 ""쌍봉사""","전남 여행 /전남 볼거리 / 전남 가 볼 만한 곳 국보와 보물이 있는 전통사찰 ""화순 쌍봉사"" 전라남도 화순군 이양면에 위치한 쌍봉사는 신라 경문왕 때 도윤이 창건하였다고 한다. 국보와 보물이 있는 전통사찰 ""화순 쌍봉사"" 주소 : 전남 화순군 이양면 쌍산의로 459 / 관람 문의...",2021. 4. 7.
2015년 9월 백아산(전남 화순군) 산행기,사실 백아산은 2년전 우리 가족이 전남 담양 화순일원을 여행할 때 지나치며 보았던 산으로 기억에 남아있던 산이었다. 가족 여행 때 백아산에서 그리 멀지않은 곳에 있는 '물염정'과 '물염적벽'을 구경했었다. ♣ ♠ 화순군 북면 이천리 덕고개의 백아산 등산로 들머리 ♠ 부드럽고 유순한 등로와...,2021. 3. 14.
무등산 양떼목장전남 화순군,"무등산 양떼목장 전남 화순군 전라남도 화순군 화순읍 수만리에 소재한 무등산양떼목장은 호남의 알프스라 불리으며 탁트인 전경에 감탄을... 유치원 어린이집 학교 여행사 등단체 관광객도 많이 찾고 있으며 가족단위, 연인들 데이트 코스, 친구들과 떠나는 우정여행지로도 손색이 없는...",2020. 12. 4.
[ 전남 화순군 – 여행지 ] 물염적벽,net/happyywing ⑭ 해시태그(메타데이터) #전남 #화순군 #여행지 #장애인여행 #장애인관광 #휠체어여행 #휠체어관광 #휠체어 #장애인 #무장애여행 #관광약자 #여행취약계층 #관광취약계층 #배리어프리 #복지관광 #교통약자 #유니버셜디자인 #UD관광 (저희 밴드에서는 사진도용...,2021. 9. 29.
[3년 전 오늘] <전남여행>화순군 만연사에 느낌을 담다,3년 전 오늘 <전남여행>화순군 만연사에 느낌을 담다 전라남도까지 장장 4시간을 달려 당도한 곳~^^전남 화순군에 위치한 만연사입니다.전라남도 화순군 화순읍 진각로 367번지라고 라여긴 주차료도 입장료도 없는 곳이더군요.전라도에 폭설이 내렸다는 소식은 알고 있었지만 토요일 왔어야...,2021. 1. 17.
방랑시인김삿갓종명지 전남화순군 행복도보여행1,방랑 시인으로 유명한 김삿갓종명지가 전남 화순군에 삿갓공원으로 휴일 행복 도보팀에 합류해서 다녀왔습니다 방랑시인김삿갓종명지 전남화순군 행복도보여행 입구부터 시상이 떠오르는 듯한 모형물이 군데군데 기다리고 있었습니다 방랑시인김삿갓종명지 전남화순군 행복도보여행 여행을...,2020. 9. 14.
(거래완료) 전원주택 휴양지 캠핑장 최적합 전남 화순군 백아면 서유리 답매매 372평...,"♥소재지 : 전남 화순군 백아면 서유리 ♥지역지구 : 농업보호구역 ♥면적 : 1,229㎡(372평) ♥ 특징: 도로접, 계곡접 ,남향 ,청정지역 ♥용도 : 전원주택 ,주말농장,캠핑장 ♥ 가족휴양지,농막,농지원부 등 현장 사진 입니다. 산자락 쪽에 붙어 있네요 현장사진 이고요 오른쪽이 계곡 입니다. 비가와서...",2020. 7. 23.
2021-04-10 고사리 따기(전남 화순군 북면),시갼여행을 마치고 돌아와 가로등에 달린 망을 덮고 나도낮에 점심을 먹었던 식당에서 얻어 온 반찬을 곁들여 곤한 잠을 덮고 잠듭니다. 어제 딴 고사리를 망에 넣어..... 농협 창고에 달아 말려 놓고 전남 곡성군 오산면 한영식당의 상차림. 차 안에도 가로등에도 고사리로 넘쳐납니다. 밤이 늦도로...,2021. 4. 25.
[전라남도 화순 여행] 화사한 화순군으로 떠나자!,"○주소 : 전남 화순군 이서면 적벽로 630-1 ○문의 : 061-379-3501∼7 제2경 화순운주사 운주사는 화순읍에서 서남쪽으로 약 26㎞ 지점에 위치하고 있으며 천태산을 중심으로 동쪽에는 개천사, 서쪽에는 운주사가 자리하고 있어요. 운주사의 창건과 천불천탑의 건립은 통일신라말 도선국사에 의한...",2020. 8. 31.
[네가족 일상] 전남 화순군 아델캐슬 풀빌라 후기,"코로나때문에 여행도 마음껏 못가고, 아이들은 주말마다 방콕에 너무 힘들어해서 오랜만에 풀빌라를 다녀왔습니다.^^ 예전에는 여수로 다녀와본적이 있어 이번은 더 가까운 화순으로 다녀왔습니다. 화순군에도 풀빌라가 많이 있는데 예약을 하기가 너무 힘드네요.ㅠㅠ 겨우겨우 아델캐슬풀빌라로...",2021. 4. 18.
화순 코로나 확진자 전남 화순군 이동경로 및 동선 안내 사이트,잇님 여러분 여행락커 낙지입니다. 이번 호에서는 화순 코로나 확진자 전남 화순군 동선 및 이동경로 안내 사이트 이야기를 해볼까 해요. 저와 함께 가보실까요.고고~ 화순 코로나 확진자 전남 화순군 이동경로 및 동선 안내 사이트 전북과 전남이 코로나19 확진자가 적은 지방중의 하나인데요. 전남...,2020. 3. 17.
[新국토기행] <89> ‘돌 문화의 보물창고’ 전남 화순군 - 서울신문,"[新국토기행] ‘방랑 시인’ 김삿갓도 이 너른 품에 안겼네 입력 : 2016-11-02(수) 17:48 <89> ‘돌 문화의 보물창고’ 전남 화순군 전남 화순군은 돌 문화의 보물창고다. 선사시대의 숨결이 깃든 세계문화유산 화순고인돌을 비롯해 ‘천하제일경’ 화순적벽, 천불천탑의 운주사, 북면 서유리...",2020. 8. 22.
