header,contents,date
부부여행 차박여행! 전북 고창군 동호 해수욕장,"차박여행! 시작~~ 7월 끝을 잡고 있던 마지막 주 전북 고창군 해리면 동호해수욕장 해수욕장 진입도로 길목마다 발열 검역소 설치 드라이브 스루 방식으로 발열검사 후 명부 작성은 필수 주차장에 차를 세우고 차에서 내려 보고 깜~짝 명사십리 동호해수욕장의 규모며 깔끔하게 조성된 모습에 ""와~~~우!...",2020. 8. 9.
[지역N문화 테마여행] 전북 고창군 여행코스 :: 천의 얼굴 고창,"전북 고창군 여행코스 천의 얼굴 고창 천의 얼굴 고창 전북 고창군 *출처 : 고창문화관광 지역N문화 테마여행! 우리나라 고인돌 최대 밀집지역으로 잘 알려진 고창으로 떠나봅니다. 고창의 역사는 청동기 시대인 2천 년 전부터 시작되는데요. 삼국시대, 조선, 근대 유물까지 모두 보유한...",2020. 10. 27.
"[전북 고창군|여행2일차-10] 상하농원, 추천 많이 하는 여행지~ 저도 가봤어요 : )",여행지가 된 상하농원에 도착했습니다. 주차장은 넓긴 한데 방문객이 많아서 살짝 부족해 보였습니다. 주차 후 상하농원 입구로 가는 길에 고창군... 그냥 그저 그런 저수지인 줄만 알았더니 아니었습니다~ 전북 설화 강선달 이야기는 전라북도 공식 블로그에도 소개하고 있네요! 저수지 옆을...,2021. 3. 25.
전북 고창군 선운사 꽃무릇 (2021.9.19),"전북 고창군 선운사의 꽃무릇 ▶ 위 치 : 전북 고창군 아산면 삼인리 500 ▶개 요 : 대웅보전은 보물 제290호로 지정되어 있으며 선운사 주변은... ※ 9월중순 꽃무릇 여행지 [행복한여행 블로그] 전남영광군 불갑사 꽃무릇( 2021.9.19.), 전남 함평군 용천사 꽃무릇 (2021.9.19)참조 ▶입장료 : 아래사진...",2021. 10. 1.
[고창군여행]전북천리길/볼거리가 즐거운 운곡습지생태길2코스 탐방,[고창군여행] 전북천리길 / 볼거리가 즐거운 운곡습지생태길2코스 탐방 5월22일(토) 주말에 고창군 전북천리길해설사님과 친구내와 함께 날씨는 화창하고 찔레꽃 향기에 흠뻑 젖어 신록 계절 5월에 운곡습지생태길2코스/전북천리길 즐거운 탐방하였네요. 전라도 정도 천년 기념으로 전라북도...,2021. 5. 24.
주말여행 전북 고창군 상하농원 으로 고고씽~,#전북 #고창군 #전북고창군 #상하농원 #젓소 #염소 #토끼 #주말데이트 #동물체험 #유기농카페 #사진맛집 #우유주기체험 #꿀잼 안녕하세요 여러분 네이버 인플루언서 로운 이에요~! 오늘은 저에 일상 여행을 소소하게 남겨볼까 합니다~^^ 항상 주 5일 열심히 일하고 주말이 되면 한번씩 여자친구와 함께...,2021. 3. 15.
선운사 꽃무릇/고창군/전북/국내여행/사진/연휴기간중/꽃나들이/방역수칙...,"지금은 감나무에 감이 주렁주렁 익어가고 대웅전 들어가 기도드리고 공양미도 올려보는 신랑~~ 선운사/불갑사/용천사의 꽃무릇이 울나라 최대군락지라 하니 낼은 영광군 ""불갑사""에 가보련다. #9월19일#선운사#꽃무릇#고창군#전북#여행#사진#국내여행#전라도",2021. 9. 26.
{{ 고창 구시포해수욕장 }} 전북 고창군 노을이 아름다운 드라이브 코스 장소 추천,마음으로 여행을 오는것도 좋은것 같다. 구시포를 오면 꼭 가는 코스가 있다. 아름다운 고창 명사십리 해변도로를 달려 동호해수욕장을 들렸다고 집으로 돌아간다. 다음 코스로 출발~~~ 오늘 하루 와이프가 행복해하니 나도 행복하다. ■ 구시포해수욕장 위치 : 고창군 구시포해수욕장 주소 : 전북...,2021. 10. 3.
고창군 도보여행 스탬프 투어 전북천리길 기념품,고창군 도보여행 스탬프 투어 전북천리길 기념품 고창군 전북천리길은 제1길 운곡습지생태길 1코스 제2길 운곡습지생태길 2코스 제3길 고창읍성길로 3개의 코스입니다. 운곡습지생태길은 1코스와 2코스가 중복되는 곳이 있습니다. 1코스 시작점인 운곡습지탐방안내소에서 출발하여...,2021. 5. 13.
"고창군 전북트래블마트 참가.. ""힐링·치유관광지 고창 적극 홍보""","이번 전북트래블마트에는 전북도를 비롯한 도내 14개 시·군과 관광 관련업계, 한국관광공사가 참여하였고, 글로벌청년 스마트관광 교류회와 인플루언서 SNS 활동 등 다양한 프로그램을 진행했다고 합니다. 고창군은 국내외 여행업계, 마이스업계, 관광벤처, 인플루언서 등 100여명의 참가자들에게...",2020. 11. 20.
"여행모먼트003. 전북 고창군 동호해수욕장 : 캠핑 ! >""<","앞으로의 여행, 캠핑을 위해 남자친구가 직접 만든 나무박스 흐흐흐흐흐흐흐흐 (깨알 목수남친 자랑ㅋㅋㅋㅋㅋ) 멋있다.....♥ 이거 외 않되? (1)... 소중히 기록해야지 ㅎ0ㅎ! 다음에 다시 가고 싶은 동호 해수욕장. 끝! 뿅! ▽주소▽ *고창 동호해수욕장 주차장 > 전북 고창군 해리면 명사십리로 910",2020. 9. 1.
전북 고창군 해리면 동호리 동호해수욕장 - 차박여행,"전북 고창군 해리면 동호리에 동호해수욕장이 있습니다. 갑작스럽게 차박여행을 하러 갑니다. 도착하였습니다. 비가 엄청 내립니다. 급하게 타프를 설치합니다. 등도 밝힙니다. 비에 젖은 관계로 몸을 녹이기 위하여, 주전자에 물을 끓여봅니다. 캠핑카도 있습니다. 흐르는 물의 방향을 바꾸고자...",2020. 9. 15.
[전라북도/고창군] 학원관광농원고창청보리밭 / 고창 청보리밭 / 전북여행 / 고창 여행...,"생각해봅니다. 한반도 첫 수도, 고창 참, 대한민국은 어디를 가도 수도, 수도 타령이네. 양산인지 우산인지 쓰고 걸어가는 중년의 두 남녀를 보며...날씨 참 좋은 고창 보리밭에서 사진, 추억 끝! 학원관광농원고창청보리밭 전라북도 고창군 공음면 예전리 469-1",2021. 6. 19.
"전북고창군 고창읍성, 3월 봄날을 걸었어요","여행을 다니면서 잘 몰랐던 것을 이렇게 알게 되고 우리 것을 돌아보는 일 참 좋습니다. 드디어 매표소에 도착했어요. 고창 읍성 관람료를 내고... 자리에 고창군 소나무를 심었다고 해요 (전북일보, 2021. 02.04) .과거를 청산하고 새 역사를 시작하는 지점에 고창의 소나무가 심겨진 것이지요. 그래서...",2021. 3. 15.
"[전북 고창군|여행2일차-11] 구시포해수욕장과 구시포항, 멋진 일몰을 만끽하다! (일몰...","구시포항, 구시포 해수욕장 주소 전북 고창군 상하면 자룡리 구시포해수욕장의 이름이 낯설지 않은 건, 바로 내가 좋아하는 유해진 배우가 나오는 삼시세끼 고창 편을 보았기 때문입니다. 혹시 기억나시나요? 차승원 배우가 구시포해수욕장에서 동죽을 양동이 한가득 캤던 장면 말입니다. 와~ 저렇게...",2021. 3. 29.
무장읍성 - 전북고창군 무장면 여행,"무장읍성 전라북도 고창군 무장면에 있는 조선전기 에 축조된 성곽.읍성. 사적.내용사적 제346호. 지정면적 182,596㎡. 고려시대까지 무송(茂松)과 장사(長沙)의 두 고을이었던 것을 효과적인 왜구의 방비를 위하여 1417년(태종 17) 합하여 두 고을 첫자를 떼어 무장이라 하고 성과 관아를 새로...",2020. 11. 4.
"5월 국내여행지 추천 전북 고창군, 청보리밭 풍천장어 복분자","5월 국내여행지 추천 전북 고창군, 청보리밭 풍천장어 복분자 어느덧 5월이 다가왔다. 웬만한 봄꽃들이 3~4월 절정을 이루다가 사라진, 봄이 완전 완연하게 찾아와 여름이 성큼 다가온다는 느낌이 드는 5월. 가정의 달이라고 하여 행사도 많고 근로자의 날, 어린이날, 석가탄신일 등 쉬는 날도 많은...",2021. 5. 1.
10th 전북 고창군 해리면 동호리 동호해수욕장|고창 차박명소|고창 일몰 명소|고창 평일...,오늘 소개할 차박장소는 전북 고창군 해리면 동호리 동호 해수욕장 입니다. 집에서 저녁6시 40분 출발해야 약2시간 걸려 늦은 저녁에 도착... 시설 #아이캠퍼스카이캠프#전북고창동호해수욕장차박명소#차박좋아하는아이들#전북고창일몰명소#아이들과함께떠나는차박캠핑여행#렉스턴W차박...,2020. 10. 15.
"[전북고창군] 고창 상하농원 : 자연과 함께 즐기는 곳, 아이의 체험거리가 많은 곳-1일차...","#전북고창군 #고창갈만한곳 #고창상하농원 #상하농원 #매일유업 #아이와함께갈만한곳 상하농원은 2009년에 프로젝트 착수하여, 2016년에 개관을 했고 2020년에 전체 완공을 앞두고 있습니다. 식당과 체험관, 공방은 이미 개관을 했고, 41객실의 호텔도 오픈했습니다. 현재 수영장과 스파를 건축중에...",2020. 4. 26.
전북 고창군 학원농장 청보리밭,연초록 봄의 흔들림 전북 고창군 학원농장 청보리밭 끝이 보이지 않는 광활한 구릉에 연초록 바람이 춤을 춘다. 보리밭 사이를 거니는 사람도... _글 일멋 / 사진 여행촌(테마여행 전문)2012 ◆찾아가는 길 ① 서해안고속도로 고창 IC- 무장면 방면 (고창 시가지 반대 방향) ② 호남고속도로 정읍 I.C...,2021. 2. 7.
생생정보 호야농장-성내장어셀프-라벤더가든-맹종죽 숲-트리클라이밍<전북 고창군>,[2TV 생생정보 1347회] 방송일 2021.07.01(목) 소행정 박광현의 아.재.여.행 (아주 재밌는 여행) <전라북도 고창> 미네랄이 풍부한 황토 서해안의 해풍 당도가 높고 향이 진한 '고창 복분자' #호야농장 고창군 아산면 녹두로 908-8 ☎ o10-9000-9926 https://smartstore.naver.com/hoya_farmer...,2021. 7. 1.
고창cc 코스 공략법 비치코스 블루코스/전북 고창군,고창cc는 풍천장어로 유명한 고장이며 살기좋은 고창군 바닷가 갯벌을 간척해 만든 27홀의 골프클럽으로 비치코스 블루코스 스카이코스로... 블루코스 6번홀. 블루코스 7번홀. 블루코스 8번홀. 블루코스 9번홀. #골프라운드 #골프 #골프장 #골프여행 #골프웨어 #골프코스 #골프라운딩 #골프클럽,2020. 5. 27.
"고창군, '대한민국 국제 관광박람회' 참가해 홍보관 운영.. 큰 호응 #복지TV 전북방송","큰 호응 (출처=전북 고창군) 전북 고창군이 지난 9월 9일부터 12일 나흘간 일산 킨텍스 제2전시장에서 ‘제6회 대한민국 국제 관광박람회’에... 특히, 고창군 홍보 동영상 상영, 관광 책자, 지도, 기념품을 배포하고, 문화관광해설사와 함께하는 고창군 역사문화 여행 상담을 진행하여...",2021. 9. 13.
"전북 웰니스 관광.고창군, ‘체험·힐링’체류형 관광도시로 뜬다","전북 웰니스 관광 고창군, ‘체험·힐링’체류형 관광도시로 뜬다 고창군이 변화하는 관광환경을 선도하는 다각적인 관광정책과 함께 관광객이... 상하농원은 개장 첫 해(2016년) 방문객은 약 1만 명이었으나 지난해 방문객은 20만명 이상을 기록, 코로나19 여파로 해외여행이 감소한 데 따른...",2021. 2. 27.
#여행정보❣ 전북 고창군 가을벗꽃,"#여행정보❣ 전북 고창군 ""학원농장""에 핀""가을벗꽃"" #좋은글 #국내가볼만한곳 #맛집 #먹방 #소확행 #백신 #항체 #힐링 #좋은생각 #고창#벗꽃#여행#정보#힐링",2020. 10. 16.
[전북 고창군][여행3일차-2] 선운사에서 가을 정취 느껴보세요./고창 가볼 만한 곳...,"있는 여행지라 여전히 사람들은 많습니다. 주차장으로 가는 길에, 이날 가장 색이 아름다웠던 단풍나무를 만났습니다. 사진으로도 느껴지듯이 맑고 붉은색을 띠고 있었어요. 색이 너무 예뻐서 사진을 찍으려 기다리는 사람들도 많더군요. 이곳에 비치된 고창군 관광안내도를 마지막으로 선운사...",2021. 4. 9.
전북 고창군 비디오폰 9대+로비폰1+CCTV 대 시공,전라북도 고창군에 신축 오피스텔에 비디오폰 9대+로비폰 1대+cctv 1대 시공 하였습니다. 입선작업이 끝난뒤에 투입되어 선들의 경로를 확인후... 소방폐쇄장치 #광주코콤 #광주코멕스 #광주게이트맨 #광주삼성도어락 #전남로비폰 #전남비디오폰 #광주홈넷트워크 #고창비디오폰 #고창여행,2020. 4. 9.
