header,contents,date
"근현대사를 느낄 수 있는, '전북 군산시' 당일 여행",예전부터 한번 가보고 싶었던 도시인 전북 군산. 2년 전에 한번 제대로 여행을 해봤다. 이곳은 8월의 크리스마스의 '초원사진관' 촬영장소로... 군산시간여행의 제일 유명한 장소는 신흥동일본식가옥 일제강점기 일본인 지주의 생활상과 이들의 농촌수탈의 역사를 알 수 있는 곳으로 영화 장군의 아들...,2021. 9. 5.
시간따라~ 길따라~ 조용하고 여유로운 [전북 군산시 군산여행],"힐링하기 좋은 ""전북 군산시""로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어 있습니다! 편하실 때, 언제든지 문의해 주세요. 그럼 오늘의 포스팅 마치겠습니다. 다들 좋은 하루 보내세요 ~ ♪ 전세버스대절 예약/문의 http...",2021. 7. 20.
"어청도 낚시여행, 전북 군산시 옥도면 어청도 구불길 트레킹","(본적지)가 군산시로 되어있는 출항민까지 증빙서류(초본이나 등본)을 제출하시면 할인이 됩니다. 전날 등본을 떼고 지갑에 잘 넣어 둔 덕에 반값 할인은 받고 12,650원 결재하고 배타고 어청도 낚시여행 gogo~~~ 배안에 풍경은 거의 어르신들의 눕방..ㅎㅎ 늦게 타서 그런지 좌석이 있는 뒷쪽에는...",2020. 7. 8.
전북 군산시 여행_무녀도의 아침,"전북 군산시 신시도 주변의 무녀도입니다. 서해의 일출명소로 유명한 곳으로, 요즘엔 섬사이로 떠오르는 일출을 볼수 있어 많이들 찾으십니다. 일출까지 약간의 시간동안 담아본 별궤적입니다. 시간이 많지않아 짧은 궤적으로 만족합니다. 간조때는 쥐똥섬으로 들어가는 길이 열립니다. 지금은...",2021. 1. 31.
"전북 군산시, 고군산군도 새로운 랜드마크가 될 '방축도 출렁다리' 개통","전북 군산시는 고군산군도 해양관광의 새로운 랜드마크가 될 '방축도 출렁다리'를 오는 15일 정식 개통한다고 1일 밝혔다. 방축도 출렁다리는... 고군산군도를 여행할 때는 마스크 착용과 손 소독 등 방역수칙을 준수하는 배려 있는 여행이 되길 당부한다""고 말했다. 한국사회복지상담소...",2021. 10. 5.
[군산여행]전북 군산시 고군산군도 선유도 대장도 대장봉 2020.03.18,그 모습을 떠올리며 몇 장의 사진을 추억으로 남겨놓는다. 돌아오는 길 새만금 방조제의 너른 길을 달리는 기분은 대장도에서의 눈부신 햇살과 같이 그런 좋은 느낌을 이어가게 한다. #전북여행 #군산여행 #새만금방조제 #고군산군도 #선유도 #대장도 #대장봉,2020. 3. 22.
2020.5.5(화) 청암산(전북 군산시) 2020-21(743회),"5(화) 어디를 : 전북 군산시 옥산면 옥산리 구불길 코 스 : 옥산면사무소 ~ 청암광장 ~ 구불길 ~ 용호마을갈림길 ~ 수변길 ~ 척동마을갈림길... 전라북도 군산시의 도보 여행 코스이다. 비단강 길, 햇빛 길, 큰들 길, 미소 길, 구슬뫼 길, 달밝음 길, 물빛 길, 탁류 길, 새만금 길, 고군산 길, 금강 하굿둑...",2020. 5. 14.
전북 군산시_여행,"전북 군산시 당일치기 여행 선유도 가는 길(해넘이휴게소),이성당,진성원(중국집) 새해 국내 여행 전북 군산을 놀러갔습니다. 선유도 해수욕장으로 네비를 치고 해넘이 휴게소로 갔습니다. 저녁 노을 타임에 맞춰서!!!! 노을이 참 이쁘네요. 눈이 아직 녹지 않아 위험했지만 위험한 만큼 이쁜 노을을...",2021. 1. 22.
전북 #군산시 기행,"[전북 군산(群山)시 기행] - 2021.09.19 수정. 1. 개요 □ 지지 * 고군산군도(古群山群島), 선유도(仙遊島), 비안도(飛雁島), 개야도(開也島), 어청도... ○ 군산시간여행축제 : 10월. 구 시청광장 및 시간여행마을 일원. ○ 진포예술제 2. 문화유적 □ 전통사찰/종교유적 ○ #발산리오층석탑(鉢山里)...",2021. 9. 20.
[아이들과 책 나들이] 군산산들도서관_전북 군산시,"군산산들도서관 전북 군산시 옥구읍 옥구로 27 산들도서관 휴관일 매주 일요일 군산여행 중에 들른 산들도서관을 소개해요. 여행 중 비가 오거나 미세먼지가 나빠 바깥 활동이 불가능할 때, 또는 여정의 중간에 잠깐 쉬어가는 시간으로 추천합니다. 지난 번에 왜 미세먼저 엄청 안좋았던 날있지요?...",2021. 4. 20.
