header,contents,date
김제시 도보여행 스태프 투어 전북천리길,김제시 도보여행 스탬프 투어 전북천리길 김제시 전북천리길은 제1길 새만금 바람길 제2길 금구 명품길 제3길 금산사길의 3개의 코스입니다. 제1길 새만금 바람길은 진봉면행정복지센터에서 출발하여 거전마을회관까지 12km를 걷는 코스입니다. 드넓은 김제평야를 바라보며 걷는 길은 마음이 탁...,2021. 5. 11.
[JJC전북뉴스]종교문화여행 치유 프로그램 사업 김제시 선정,"5월부터 종교문화해설사를 양성하고, 이들을 참여시켜 1박 2일과 1일 코스의 종교문화 치유순례 프로그램을 운영할 방침입니다. 전북 김제시 관계자는 ""코로나19로 우울감을 겪고 있는 사람들이 치유여행으로 재도약할 수 있는 계기가 되길 바란다""고 말했습니다. 지금까지 전북에서 황인화였습니다.",2021. 5. 7.
[新국토기행] <38> 전북 김제시 - 서울신문,"[新국토기행] <38> 전북 김제시 입력 : 2015-07-29(수) 17:48 초록 융단 걷어내면 코스모스 뒤에 숨은 황금 물결 춤을 추네 전북 김제시는 농경문화의... 벼수확, 메뚜기 잡기, 대동연날리기, 농악한마당, 쌀밥체험, 줄다리기, 소달구지 여행 등 타지역 축제와 차별화된 생생한 체험프로그램이 인기다....",2020. 5. 14.
"산좋고 물좋은 곳에서 신선놀음 하고픈, 전북 김제시 맛집 <청원골>",8 사실 접근성이 좋지 않아서 차가 없이는 가기 어려워요 ㅠ 그래도 전주나 근처에 오면 한번 방문하기 좋은 뷰맛집인간 맞는것 같네요 #청원골 #맛집 #한식맛집 #전라도맛집 #김제맛집 #전주맛집 #검은콩맛집 #두부전골 #두부보쌈 #전라도한정식 #국내여행맛집 #국내여행 #김제시 #부안군 #전주시...,2021. 6. 25.
"전북 김제시 지평선시네마, 2021 작은영화관 기획전 공모 선정 #복지TV 전북방송","전북 김제시 지평선시네마 전체 전경 (출처=전북 김제시) 전북 김제시 지평선시네마가 문화체육관광부와 영화진흥위원회가 주최하고 사단법인... 2021 작은 영화관 기획전은 ‘영화를 나누다, 힐링을 더하다’라는 슬로건 아래 가족, 고전문학, 여행, 교통안전 애니메이션 등 다양한 분야의...",2021. 6. 2.
캠핑분위기 전북 김제시 카페 - 아울 (OWL),#전북여행 #전북김제 #전북전주 #전북카페 #김제카페 #전주근교카페 #김제카페추천 #김제데이트 #김제아울 #OWL #김제맛집 #전북맛집 #크로와상 #베이커리 #전주근교데이트 #데이트장소추천 #주말나들이 #주말데이트 #전북여행 #전북여행추천,2021. 5. 19.
전라북도로 떠나는 여행 - 김제시편,"2023 전북 아시아 태평양 마스터 대회가 열리는 전라북도로 떠나는 여행 김제시 편이었습니다. 다음 주에는 천 년의 역사가 숨 쉬는 땅, 전주시로 떠나는 여행으로 찾아뵙겠습니다. 아태 마스터스 여러분, 좋은 일 가득한 즐거운 한주 보내세요. ^^",2021. 3. 26.
[전북 김제시 :금산사],언제 한번와서 고즈넉히 조용히 머물다 가도 좋을듯합니다. 템플스테이건물1 템플스테이 건물2 입구 공원도 아주 잘 조성되어 있습니다 절에만 돌고 왔지만 여유되면 공원 구석구석도 거닐면 좋을듯하네요. 주말 또 이렇게 힐링해봅니다^^ #금산사 #김제여행 #금산사템플스테이,2020. 6. 20.
"전북 김제시 금산면 모악산 조망좋은 2층 전원주택 매매/ 넓은 주차장과 텃밭, 다도방...",안녕하세요 백제공인중개사 전주점 양대표 입니다 오늘도 어제처럼 흐린날씨로 하루를 시작합니다 오늘은 전북 김제시 금산면에 위치한 모악산... 해외 여행중이시라고 합니다 아파트 24평 거실크기입니다 주방과 이어져 있습니다 안방입니다 안방 역시 정남향입니다 1층 화장실입니다...,2020. 2. 14.
[2021 김제시 블로그 콘텐츠 공모전]... 코로나19 시대에 가기좋은 가족여행 명소 5선,소림붕어의 블로그 공모전 ㅣ 2021 김제시 블로그 콘텐츠 공모전 口 口 口 반갑다 김제 !! 코로나19 시대에 가기좋은 가족여행 명소 口 口 口... 주소 : 전북 김제시 죽산면 화초로 180(홍산리 212) 02. 관람시간 : 오전 9시 ~ 오후 6시 동절기(11월 ~ 2월) : 오전 9시 ~ 오후 5시 03. 휴관인 : 매주 월요일...,2021. 6. 28.
김제시여행과 보리밭축제,장애화가인 아들과 김제로 여생의 여정에 올랐습니다 청년이 돌아오는 김제시에서 보리밭축제가 열렸습니다 축제는 우리가족의 발길을... 들어갔습니다 전북의 손맛을 담아내는 주인 할머니의 인사가 가슴에 들어왔습니다 백합국과 어울린 반찬들이 몸과 함께 마음을 살쩨게 했습니다 일상의...,2021. 6. 9.
불휘의 여행...김제시 금구면(2020.7.17),행정 구역은 김제시지만 전주시와 이웃해 있어 전주 생활권으로 봐야겠네요. 전북도청 - 전주대 - 온고개 - 혁신도시를 지나 국립농업과학원 농장을 돌아보았는데 여러 과일들을 재배(연구목적이겠죠?)하더군요. 길이 한가롭고 부지가 넓어서 조용히 자전거 타기 좋더군요. 삼우중학교를 지나...,2020. 7. 28.
[이야기가 있는 소읍(小邑) 기행] 전북 김제시 만경읍·금산면 - 주간조선,"[이야기가 있는 소읍(小邑) 기행] 전북 김제시 만경읍·금산면 [2490호] 2018.01.08(월)지평선 너머 새해 희망을 찾아 눌산 여행작가 ▲ 01 망해사 뒤편 전망대에서 바라본 만경평야. 매서운 칼바람을 맞으며 붉은 노을을 기다렸지만, 날씨가 흐려 결국 만나지 못했다. 02 70~80척의 배가 드나들었다는...",2020. 3. 15.
"전북 김제시 아리랑 문학마을, 테마 독서여행지로 최적화 큰 호응 #복지TV 전북방송","전북 김제시 아리랑 문학마을, 테마 독서여행지로 최적화 큰 호응 (출처=전북 김제시) 전북 김제시의 벽골제 아리랑사업소(소장 김영신)는 지난 6월 2일 아리랑 문학마을에서는 전북 점자도서관에서 주관하여 방문한 시각 장애인 테마 독서여행팀 90여 명과 “일제강점기, 시들지 않는 민족의 얼을...",2021. 6. 4.
"전북 차박여행 추천 명소 - 김제 능제저수지, 만경그린공원","전북 김제 산책, 차박하기 좋은 능제저수지, 만경그린공원 비대면 여행이 유행하면서 요즘 캠핑이나 차박을 하는 사람들이 정말 많아졌는데요.... 화려한 연꽃이 예쁜 능제저수지 천천히 둘러보기 좋은 산책로들이 양옆에 있어서 힐링하기 딱 좋은 능제저수지는 전북 김제시 만경읍 만경리에 위치한...",2021. 9. 7.
국내여행지추천 전북 특별한 관광지 1박2일 김제 여행 코스,"조용하면서도 아름다운 풍경이 펼쳐진 평화로운 국내여행지라서 추천드릴려고 합니다. 전북 특별한 관광지라는 테마로 전북의 특별한 여행지를... 전화 : ***-***-**** 전북 김제시 진봉면 심포10길 94 주차, 화장실 있음 망해사에 갔다가 김제시로 돌아가는 길에 만난 지평선쌀이 재배되는 김제평야가...",2021. 8. 19.
[여행 WITH 원광][공유]전북 역사여행하기 좋은 곳 - 김제군 관아(김제동헌)와 향교,김제향교 찾아가는 길 전북 김제시 향교길 89-3 ⬇아래 링크 주소 확인 https://m.blog.naver.com/jbgokr/222518178413 원광대학교와 함께 지역 발전의 희망을 꿈꿔 봅니다. #원광대학교 #전라북도 #김제여행 #김제관아 #김제동헌 #김제향교 #전북역사여행 #전북여행,2021. 10. 7.
"전라북도 전주 여행 코스, 국내여행 전북 특별한 관광지","향기로워 #전북여행 에서 전주 여행 코스를 계획하신다면 꼭 다녀오시기를 추천하고 싶어요! 3. 태평집 전라북도 전주시 덕진구 조경단로 3-6 찌는... 카페 물빛정원 전라북도 전주시 덕진구 백석길 7-11 북쪽으로는 전라북도 익산시와 완주군, 서쪽으로는 김제시, 남쪽으로는 임실군까지 내륙 중의...",2021. 7. 30.
