header,contents,date
[전북 남원시 어현동] 덕음산 솔향 산림욕장,[전북 남원시 어현동] 덕음산 솔향 산림욕장 춘향 테마파크 쪽으로 발걸음을 옮기던 중 나의 눈에 들어온 곳. [덕음산 솔향 산림욕장] 오... 원래 여행이란 그런 것이니까. 뜻하지 않게 고생하면 그에 상응하는 행복한 추억이 따라오는 거~ 아마 다시 그 순간으로 돌아간다 해도 나와 푸랑이는...,2021. 7. 26.
전북투어패스 춘향테마파크 남원시 전경이 내려다 보이는 전망좋은 곳,1박 2일간의 남원 여행 숙소였던 켄싱턴리조트에서 아주 가까운 춘향테마파크. 둘째 날 체크아웃하고 들렀습니다. 이곳도 남원의 대표적인... 춘향테마파크 전북 남원시 양림길 43 063-620-5799 매일 09:00 - 22:00 (하절기 4월~10월) 매일 09:00 - 21:00 (동절기 11월~3월) 전북투어패스가 있어서 여기...,2021. 6. 6.
[지역N문화 테마여행] 전북 남원시 여행코스 :: 설화 속으로 떠나는 남원여행,전북 남원시 여행코스 설화 속으로 떠나는 남원여행 설화 속으로 떠나는 남원여행 전북 남원시 *출처 : 한국관광공사 지역N문화 테마여행! 오늘은 설화 속 이야기가 담긴 곳으로 떠나봅니다. 깨끗한 자연을 자랑하는 남원인데요! 남원에는 우리가 흔히 알던 이야기가 담겨있다. 춘향이와...,2020. 11. 16.
258. 전북 남원시 달궁 자동차 야영장 - 2020 첫 캠핑 (2박 3일),이른 아침에도 비가 살짝 뿌렸지만 타프며 텐트 모두 말릴 수 있었다. 여느 캠핑 때처럼 온 가족이 다 함께 정리를 해주니 너~무 오랜만에 캠핑을 했지만 전혀 낯설지 않게 우리 가족 행복한 캠핑을 마무리한다. 258. 전북 남원시 달궁 자동차 야영장 - 2020 첫 캠핑 (2박 3일),2020. 7. 7.
전북 남원시 산동면 대기리 '고소 바위공원 캠핑장' - 차박 여행,전북 남원시 산동면 대기리에 '고소 바위 궁원 캠핑장'이 있습니다. 너무 좋아서 아는 사람만 간다는 소문이 있습니다. 갑니다. 하지만 차박하러 떠납니다. 저녁 늦게 도착하였습니다. 꼬리 텐트를 설치하고 가스등을 켭니다. 저번에 캠핑할 때 바람이 심하게 불어 가스랜턴의 유리관이 모두...,2021. 4. 27.
"전북 남원시 ""명문제과"",""권가네초유지"" & 남원데이트","#전북 #남원시 #남원데이트 #전북데이트코스 #명문제과 #광한루 #광한루원 #춘향관 #대왕잉어 #오작교 #성춘향과이몽룡 #춘향전 #겨울데이트 #전북여행 #다이어리 #치즈돈까스 #현지맛집 #낙지덮밥 #돌솥밥 #권가내초유지 #남원볼거리 #전북관광지 베이커리 맛집 ""명문제과"" ***-***-**** 주소 _ 전북...",2021. 1. 25.
[전북여행] 남원시 교룡산성내 선국사와 교룡산 다녀왔다.,"저기 능선은 전북 남원시 대강면 고리봉, 문덕봉, 삿갓봉 능선이다 교룡산 하산길은 원점회귀가 된다. 교룡산 오르는 계단길입니다. 이길로 오르는게 조금 편한 산행길이 되겠네요. 얼마전에 남원에 폭우로 많은 곳이 무너지고 심각한 상태였다. 한시간을 쏟아부은 상처가 곳곳에 눈에 띈다. 이...",2020. 10. 16.
전북 남원시 도통도 : 남원 맛집 서남만찬(솔직한 후기),"#남원맛집 #서남만찬 #남원여행 #돌솥오징어볶음 #돌솥오징어볶음밥 #웨이팅시간 #남원서남만찬 주소 : 전북 남원시 도통도 581-3 전화번호 : 063-634-1670 영업시간 : 매일 11:30 - 19:40 브레이크 타임 : 13:50 - 17:10 휴무일 : 첫, 셋 째 주 일요일 / 둘, 넷 째 주 화요일 주차가능여부 : 앞에 한 두대 가능...",2021. 7. 9.
"[전북/남원시] 바비큐가 맛있는 남원 신설호텔, 오헤브데이",최근 전 가족과 함께 남원여행을 다녀왔어요 새로 지어 깔끔하고 편안했던 #남원호텔 #오헤브데이 를 소개할게요 :) 오헤브데이 영업안내 체크인 : 15시 체크아웃 : 11시 호텔등급 : 3성급 전화번호 : ***-***-**** 주소 : 전북 남원시 운봉읍 바래봉길 193 전용 주차장 : 有 #남원여행 #남원오헤브데이...,2020. 8. 19.
전북 남원시 여행_정령치의 새벽(은하수),좀더 나은 은하수 촬영을위해 고리봉으로 올라가고 싶지만 피곤한 몸이라 포기하고 주차장 데크에서 촬영 후레쉬를 좋아하는 관광객으로 타임랩스는 아웃(!) 그래도 은하수에 비춰져서 다행입니다. 주차장 불빛 피해 이동한 뒷편 언덕에서..,2021. 4. 14.
[6년 전 오늘] 전북기도터-전라북도 남원시 지리산 구룡폭포기도터,6년 전 오늘 전북기도터-전라북도 남원시 지리산 구룡폭포기도터 전북 남원시 지리산 구룡폭포 기도터 이번 여행에서는 아내와 동행을 해서 제가 어린시절 남원 시내에서 춘향이 묘가있는 육모정을 들러서 구룡폭포까지 걸어서 소풍울 갔던 추억을 얘기하며 다시 들렸습니다. 마침 비가 많이...,2020. 8. 31.
KTX 당일치기 여행지 - 전북 남원시,차분하고 조용한 남원에서는 도시 이미지에 잘 맞는 '힐링 여행'을 할 수 있다. 코로나19 바이러스가 조금 잠잠해지면 사랑하는 사람과 함께 마스크를 꼭 착용하고 이곳으로 여행을 떠나보는 게 어떨까. 혼불문학관 남원시광한루원,2021. 8. 28.
"전북여행.남원시 광한루원.Attractions in Korea.Gwanghanruwon, Namwon City","지난 3월5일 전북 남원시에 위치한 ""광한루원""을 드론촬영 허가를 받고 다녀왔습니다. 보물 제281호 광한루를 무대로 고전소설 ""춘향전""으로 더 알려진 광한루원의 아름다운 풍경을 드론으로 촬영.편집한 영상을 블로그 한페이지에 올립니다. 짧은 시청시간 이지만 마음 한켠...",2020. 3. 15.
[전북 남원시 천거동] 원향,★ [전북 남원시 천거동] 원향 내부 모습 [전북 남원시 천거동] 원향 원향은 좌식이다. 한참을 걸었던 우리는 신발을 벗고 들어가는 것이 더... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고 도움을...,2021. 7. 27.
전북 남원시 광한루원 소문난 맛집 전통면옥 백년초 콩국수,안녕하세요 4flower 입니다 얼마전 전북 남원시 광한루원에 다녀왔습니다 남원 방면 지리산휴게소에 광한루원 트릭이 있더라구요 진짜처럼... 더욱 좋았어요~ 즐거운 광한루원 구경하고 왔네요 #광한루원 #남원맛집 #전통면옥 #남원콩국수 #남원소문난맛집 #백년초콩국수 #남원가볼만한곳 #남원여행,2020. 10. 11.
생생정보 매월당고려단차-미꾸리양식장-추어탕-원각사전망대<노.래.방>전북 남원시,[2TV 생생정보 1231회] 방송일 2021.1.18(월) 소행정 노.래.방 (노래 따라 방방곡곡 떠나는 여행) <전라북도 남원시> #매월당고려단차 전북 남원시 금지면 매촌길 47-34 http://boryeonamcha.com/shop/shop/ #남원시농업기술센터 (#미꾸리양식장) 전북 남원시 이백면 이백로 309...,2021. 1. 18.
전북 남원시 산내면 지리산 정령치휴게소(일출 운무) - 차박여행,"전북 남원시 산내면 지리산에 정령치라는 고개가 있습니다. 그곳에 휴게소가 있는데, 아침에 운무가 유명하다고 합니다. 그래서 갑니다. 운무 보러... 도착하였습니다. 운무가 심상치 않습니다. '정령치에서 바라본 지리산 봉우리들'입니다. 실제 본 봉우리 모습입니다. 화장실을 들러봅니다. 휴게실...",2020. 9. 4.
봉가면옥-전북 남원시 신촌동 냉면 맛집,봉가면옥-전북 남원시 신촌동 냉면 맛집 이렇습니다. 봉가면옥-전북 남원시 신촌동 냉면 맛집 봉가면옥-전북 남원시 신촌동 냉면 맛집 봉가면옥... 맛난 #봉가면옥 꼭한번 가보세요~ #남원맛집 #남원냉면맛집 #봉가면옥 #남원함흥냉면맛집 #남원가볼만한곳 #남원추천맛집 #남원여행,2020. 3. 30.
마운틴TV 주말여행산이좋다2 전북진안 마이산편 (남원시홍보대사 생활체육전문리포터...,대한민국 유일 산채널 마운틴TV 주말여행산이좋다 시즌2 오늘은 전북 진안 마이산 편인데요~ 한국체육대학교 석사 생활체육전문리포터 개그맨... 주말여행산이좋다 시즌2 명MC 개그맨 김범준 여기서 잠깐! 김범준은? SBS 웃찾사 데뷔 MBN 공채 1기 개그맨으로서 시사 예능 교양 전문리포터 남원시...,2020. 5. 22.
전북 남원시 [해용집],회사동료 덕분에 먹은 더덕장어구이 장어는 못먹지만 ㅋ 더덕은 먹지 위에 뿌린건 더덕가루 맛있는뎅 비싸네요 ㅎ 회사동기에게 받은 튤립 이쁘네 ㅋㅋ 꽃은 언제 받아도 좋은것 ㅋ #전북남원맛집 #더덕장어구이 #해용집 #남원여행,2020. 4. 7.
"[전북/남원시] 생생정보통 출연한 추어탕 맛집, 새집추어탕","전, 여행가서 먹었던 추어탕 집이 너무 생각나는 요즘이에요 #생생정보통추어탕 #vj특공대추어탕 편에 나온 #새집추어탕 을 소개할게요 ٩(๑˃̵ᴗ˂̵)و 새집추어탕 영업안내 영업시간 : 9시 - 21시 Break Time : 無 휴무 : 無 전화번호 : ***-***-**** 주소 : 전북 남원시 천거길 9 전용 주차장 : 有...",2020. 8. 25.
전북 남원시 리모컨 주차차단기 설치 - 전라북도 남원시 리모컨 방식 차량차단기 설치 작업,어디든지 여행 가고 싶어지는 그런 날이죠. 벚꽃이 만개한 모습을 보니 나들이라도 가고 싶은 그런 날인데 주말에 비가 오면 벚꽃도 다 떨어지는 거 아닌가 싶네요. 벚꽃 만개한 모습도 아이에게 보여주고픈데 주말 동안 비가 오면 만개한 벚꽃을 보여줄 수나 있게 될는지 흑흑... 전라북도 남원시에...,2021. 4. 2.
전라북도로 떠나는 여행 - 소리의 고장 '남원시'편,"'2023 전북 아태 마스터스대회가 열리는 전라북도로 떠나는 여행 14번째 소개할 도시는 '남원'입니다~! 2023 전북 아태 마스터스대회의 정식종목, '우슈', '유도' 경기가 열리는 남원시는 천혜의 자연경관을 자랑하며 지리산, 춘향제, 흥부제 등 다양한 문화 축제가 열리는 곳입니다. 지리산국립공원의...",2021. 6. 18.
