header,contents,date
전북 부안을 가볼까? (부안군 여행자료신청하기),"전북 부안! 딱 하면 떠오르는건 내소사,채석강? 별로 아는게 없다 태어나서 딱한번 부안 변산반도 국립공원에 간적이 있는데 이때만 해도... 이번에 태어나서 2번째 방문을 위해 어디든 갈때 그 해당지역 지자체에 여행자료 요청하기 부안군 홈페이지에서 문화관광메뉴에 들어가면 홍보물 신청하기...",2021. 4. 15.
여행 - 전북 부안군 변산면 대항리,주소: 전북 부안군 변산면 대항리 141번지 홍보관에 주차하고 로타리에서 왼쪽길이네요 걸어가면 200미터 정도 걸어가야 합니다 걸어가기... 부릅니다 #붉노랑상사화 #위도상사화 #마실길1코스 #마실길2코스 #변산 #부안 ■ 여행날짜: 2021. 8. 29 붉노랑 상사화를 접하고 즐거워 합니다 저는 꽃게...,2021. 8. 30.
전북 부안군 맛집 육자매수산횟집,이런 안주에 술이 빠지면 섭섭하다는 사실 ㅎㅎㅎ 제대로 즐겼던 전북 부안군 맛집 육자매수산횟집~~이였어요^^ 다음에는 가족들이랑도 와 보고 싶은 곳이였어요 오랜만에 여행하고 맛있는거 먹어서 기분좋은 하루를 보내고 왔네요 그래서 그런지 오늘 월요병도 싹~~달아나는거 같아요 ㅎㅎㅎㅎ,2020. 4. 27.
전북 부안군 곰송염전 카페 슬지네찐빵 슬지 제빵소 정말 솔직한 후기!!!,전북 부안군으로 여행와서 해산물도 먹고 바다 구경도 하고 꽃구경도 하고!~ 전북 부안군에 왔으면 카페가야 할곳이 있다고해서 저도 방문 했는데용 한 점심때쯤 좀 지나서 방문 했습니당 방문 했을때는 그래도 줄이 좀 있었어용 지금 시국에 코로나라서 가족인원이 5명 이상이면 가족 증명서가...,2021. 6. 7.
전북 부안군 가력도항 차박,근처 16km에 있는 부안군 변산반도 국립공원을 잠시 들렸는데요. 발길 닿는대로 어디든 들려도 대한민국 좋은 곳들이 이렇게 많았나 싶은 요즘이에요. 코로나 덕분(?ㅠ)에 국내여행기가 쌓여갑니다.ㅋㅋ #전북부안군 #가력도항,2020. 11. 15.
부안군여행 부안군관광명소 부안군가볼만한곳 전북 서해안 지질공원 부안 채석강,부안군여행 부안군관광명소 부안군가볼만한곳 전북 서해안 지질공원 부안 채석강 전라북도 부안군 변산면 격포리에 자리하고 있는 채석강은 부안군 변산반도에 서쪽끝쪽에 위치한 해식절벽과 바닷가로 12만 7372㎡의 면적입니다 인접한 격포항의 오른쪽으로 닭이봉 밑에 위치하고 있으며 이곳은 옛...,2021. 6. 2.
강추 섬여행~ 여름 휴가 도보여행 '고슴도치 섬' 전북 부안군 위도 (ft. 위도펜션추천...,"사진 : 부안군청, 출처 : 신아일보 전북 부안군의 유일한 섬나라 위도는 고슴도치를 닮았다고 하여 고슴도치 섬으로 불리고 있습니다. 위도의 총 26.3km 5개 코스는 산과 들, 바다와 섬, 노을과 함께하는 부안의 대표 명품길로 사계절 언제든 배낭하나 메고 떠나기 좋은 최고의 도보여행지로도 각광을...",2020. 8. 11.
[전북 부안군]변산반도(채석강)여행,네이버 두산백과 출처 전라북도 여행에서 빠질 수 없는 곳 변산반도 부안군에 위치한 변산반도 채석강 아침일찍 서울에서 출발하면 당일치기 여행으로 좋은 곳이랍니다. 출발하기 전 제일 먼저 확인해야 하는 것 바로 밀물과 썰물의 시간을 미리 알아두고 가시길 바랍니다. 저는 9월에...,2020. 11. 25.
[국내] 전북 부안군 변산반도 가족여행 2020.11.21 ~ 2020.11.22 (1박 2일),"11월 어느 주말에 서해안 전북 부안군 ""변산 반도""라는 곳을 가족들과 함께 다녀왔다. 나는 ""변산 반도""라는 곳을 처음 들어 봤는데 꽤 유명한 관광... 여기서 얘기를 오래 나누면서 이번 가족여행을 마무리 지었다. 슬지제빵소 메뉴판 사진 [사진=일기쓰는부부 네이버 블로그] Excellent! 한 달 전부터...",2020. 12. 3.
"[여행 일지2]전북 군산 선유도 해수욕장, 부안군 변산면 수성당",#전라북도 #전북 #군산 #선유도 #해수욕장 #바다 #짚라인 #변산 #수성당 #드라이브 #해변 #여행 #대학생 #당일치기 이번 가족 여행의 목적지는... 여기는 부안군 변산 바다!! 가다가 “수성당”이라는 곳을 우연히 발견한ㅎㅎ 사람 많이 없고 조용하니 좋았다 양쪽으로 풀이 있는 길을 따라 올라가면...,2021. 8. 1.
