header,contents,date
가을 단풍이 아름다운 붉은색으로 물드는 곳 [전북 순창군 힐링&감성여행],"출처: 한국관광공사 이국적이고, 여유로운 분위기에 힐링하기 정말 좋은 곳인 것 같아요 가을이 되면 붉게 불드는 자연 속에서 힐링하기 좋은, 전북 순창군 이번 가을은 [전라북도 순창군]으로 떠나 보시는 건 어떨까요~? 가을 여행하기 좋은 곳 ""순창""으로 단체 혹은 가족들과의 여행을 계획...",2021. 10. 7.
[순창군여행]전북천리길/장군목길 요강바위/순창군 제1길/섬진강 주변 걷기,[순창군여행]전북천리길/장군목길 요강바위/ 순창군 제1길 섬진강 주변 걷기 보슬비가 내리는 4월 첫주일 오후에 전북천리길/ 장군목길을 걷다 예전에 왔을때는 구미교 주변과 장군목유원지 근방이 비포장이었는데 말끔하게 힐링 청정지역으로 변했다 주말에 틈만나면 전북천리길 중에 오늘은...,2021. 4. 7.
전북 순창군 채계산 출렁다리 (2021.9.19),전북 순창군 채계산 출렁다리 ▶ 위 치 : 제 1주차장 : 전북 순창군 적성면 괴정리 1607번지 제 2주차장 : 전북 순창군 적성면 괴정리 1613번지... 주차는 제1주차장에 주차 (1번 출입구쪽) / 주차비 무료 ※ 순창여행후 숙박할수 있는곳으로 [행복한여행 블로그] 순창 회문산자연휴양림 (2021.9.19.)...,2021. 10. 5.
2021전북트래블마트 순창군국민체육센터,지난 6월 25일 ~26일 이틀 동안 2021년 전북트래블마트 행사가 순창군 국민체육센터에서 개최되어 전라북도 14개 시 군과 공동 주최로 진행되어... 관광재단이 주최하여 진행되어 행복한 전북여행으로 상품들도 마주할 수 있는 시간들이 전북의 좋은 소식을 앵무새가 대신해 전해주겠다며 말을 한다.,2021. 7. 5.
"[전라북도가볼만한곳] 순창군 당일치기 여행 첫 번째/전북 순창10경중 한 곳, 강천산가는...",번째 이야기 끝 휴일 & 시간 날 때마다 틈틈이 포스팅하는 가가멜 아재 제주도를 시작으로 대한민국 구석구석 정복하는 그날까지!!! 가가멜 아재의 보물창고... #순창가볼만한곳 #순창당일치기여행 #순창드라이브코스 #순창메타세쿼이아길 #전북순창군여행,2020. 11. 19.
전북 순창군에 위치한 팔덕다용도경기장... 있습니다. 더 베이스볼 팩토리 야구여행 출발!,전북 순창군 팔덕다용도경기장 x 더 베이스볼 팩토리 팔덕야구장! 깨끗한 덕아웃! 팔덕야구장 전경! 팔덕 실내야구장 공사중! 정식규격 마운드! 불펜피칭 가능! 팔덕다용도경기장! 팔덕야구장에서 야구하세요! 전북 순창군 팔덕면 신촌길 271 팔덕다용도경기장 야구장 야구가 아니라면 찾아올 일도...,2021. 7. 22.
전북여행 : 순창군 채계산 출렁다리 - 7세 아이와 함께 가볼만한 곳,"7살 아이와 아빠, 엄마가 함께 가족여행을 다녀왔습니다~ 산속에서도 방역관리는 철저하게~ 소화기도 준비되어 있네요. 출렁다리까지는 300m만 올라가면 되네요~ 높지 않은 등산이라서 겁없이 올라가 봅니다!! 주차장에서 보이는 출렁다리~ 꺄~~~~~~~ 벌써 가슴이 두근두근 하네요~ 처음 지도를 봤을 때...",2021. 5. 20.
"시대, 가족 당뇨 예방 위기를 기회로.."" 순창군, 온라인 당뇨 캠프 오픈 #복지TV 전북방송","순창군 2021 온라인 당뇨 교육 캠프 '당뇨야 놀자' 포스터 (출처=전북 순창군) 전북 순창군이 주최하고 사단법인 한국당뇨협회(회장 김광원)에서... 및 여행에 대한 아쉬움을 달래줄 랜선 여행을 담은‘힐링 타임’ 등으로 구성되며, 올해는 치과 질환, 당뇨발, 임신당뇨병 관련 콘텐츠도 새롭게...",2021. 9. 23.
[전북여행] 순창군 채계산 출렁다리는 도로 위에 놓여 있다.,전북 순창군 적성면 괴정리 채계산 출렁다리 안내도 출렁거린다. 도로 위에 있어 아래 쳐다보기가 아찔하다. 주차장 들판이 여유롭게만 보인다. 코로나19로 삭막하게 보내서 그런지 너무 좋다. 출렁다리 건너서 편백숲에서 잠시 땀을 식히고 다음 목적지로 ...,2020. 6. 30.
"[전북 순창군] 날이좋지않아도, 날이좋아도 모든게 좋았던 감성캠핑장 ""웅이네캠핑...","여행이라, 사실 글을 올리고 싶지않았던지라 사진을 별로 찍지 않았어서 올리지 않을까 했었던 글이예요, 꼬꼬의 일상을 적고, 꼬꼬만 알고있는 정보를 공유하는 블로그로서 사진이 별로 없으면 어떠냐! 이 또한 나의 추억이다 그리하여, 적게된 꼬꼬의 첫캠핑을 공유합니다 (짝짝짝) 전북 순창군...",2020. 6. 12.
전북 순창군 복분자 체험 처가댁에 놀러가서 제대로 힐링 하고 왔어요.,일정비용 지불하고 하는 복분자체험도 좋지만 처가댁에서 무료로 복분자 체험을 하였답니다.^^ 순창군은 해발이 높은 지대에 있어서 복분자가 더 잘... #전북순창여행 #순창여행 #복분자 #복분자체험 #개구리 #개구리소리 #민달팽이 #시골풍경 #순창복분자 #미세먼지 #힐링 #힐링여행 #무료복분자체험...,2021. 7. 3.
2021 전북트레블마트 순창군국민체육센터,2021 전북트래블마트가 전북 순창군국민체육센터 에서 6월25일 개최 되었습니다 전라북도는 관내 14개 시ㆍ군과 한국관광공사... 해줍니다 전북여행시 참고 될만한 공연정보를 들을수 있네요 행사를 진행하며 한쪽에서는 다과를 준비해 지루하지 않게 사전 준비가 잘되어 있네요 조금 아쉬운것은...,2021. 6. 28.
녹두장군 전봉준의 피체지.(전북 순창군 쌍치면 피노리),#전봉준#녹두장군#피체지#동학#동학운동#동학운동끝#순창여행#전북#전북여행#전북역사 가슴 아픈 역사의 마지막 장소이다. 일부러 이곳을 찾으러 온다면 볼 것이 없는 장소에 실망을 할 것이다. 하지만 동학농민운동을 하면서 우금치전투에서 이 곳 전라북도에서도 산골중의 산골인 순창군 쌍치면...,2020. 8. 4.
[순창여행]전북천리길/순창군3길/선비의 길 걷기/회문산 만일사/신선야채시장...,[순창여행]전북천리길/순창군3길/선비의 길 걷기/회문산 만일사/신선야채시장/베르조르당 카페 돌아보기 4월 둘째주 주말에 [순창여행] 전북천리길/선비의 길 트레킹 하며 유서 깊은 훈몽재를 둘러보고 추령천을 따라 걷는 길이었는데 주변에 피어난 야생화는 농촌 풍경을 물씬 느껴보며...,2021. 4. 12.
