header,contents,date
"<강추!>전북 완주군 여행 독채펜션 ""에버비앤비"" 예약!","<강추!>전북 완주군여행 독채펜션 ""에어비앤비""예약! 2021.10.2 ~10.3일( 1박2일) 가족여행을 다녀왔다. 햇빛이 따사로운 약간 더운 날씨이다. 10월인데 낮 기온이 30도까지 치솟았다. 여행하는 날이 덥지만 맑고 고운날이다. go go! 코로나19로 인해 여행이 자유롭지 못한때 결혼해서 따로 사는 자녀가정과...",2021. 10. 4.
"[등산여행_전라북도, 충청도] 전북 완주군(충남 논산시) 대둔산 국립공원 마천대...","[등산여행_전라북도, 충청도] 전북 완주군(충남 논산시) 대둔산 국립공원 마천대(878m) 제 1 코스 ""케이블카"" BAC 블랙야크 100대 명산 2021.07.30 85 번째 산행 등산여행_전라북도, 충청도 대둔산국립공원 - 케이블카 - 대둔산 구름다리 - 삼선교 - 마천대 - 램블러 대둔산 완주 뱃지 1 대둔산 마천대(878m)...",2021. 8. 6.
"전북 완주군, 1인 기준 최대 11만 원까지 할인받을 수 있는 파격적인 알뜰 여행 상품을...",전북 완주군(군수 박성일)이 1인 기준 최대 11만 원까지 할인받을 수 있는 파격적인 알뜰 여행 상품을 내놓아 관심이 쏠리고 있다. 31일 완주군에 따르면 코레일과 손잡고 렌트카 할인과 숙박비를 지원하는 여행상품을 새롭게 구성해 6월 1일부터 코레일 사이트를 통해 판매를 시작한다. 이번...,2021. 6. 2.
[전북 완주군 소양면]화심순두분 본점,★ [전북 완주군 소양면] 화심순두분 본점 외부 모습 [전북 완주군 소양면] 화심순두분 아주 넓은 주차장이 마련되어 있기 때문에 주차하는데 걱정은... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고...,2021. 7. 13.
[STADIUM!/전북 완주] 여행하다 들렸어요! 완주군 삼례읍 외각에 자리한 소박한 규모의...,"전주 바로 위에 있는 전라북도 완주군 삼례읍을 찾았습니다. 이름만큼이나 참 포근하고 소박한 동네였는데요. 이 소박한 동네의 외각 지역에 경기장이 하나 있길래, 오늘의 여행을 마무리할 때쯤 한번 찾아와 봤습니다. 너무 어두워져서 경기장을 사진에 담지 못하지 않을까? 살짝 걱정이 되었는데...",2021. 5. 20.
전북 완주군 대둔산 케이블카 단풍여행,2020.10.25 가족들과 전북 완주군에 있는 대둔산에 다녀왔다. 등산이 무척 힘든 나는 대둔산에 케이블카가 있다고해서 가겠다고 했다 대둔산에 주차장이 있어서 안 쪽까지 차타고 들어갔다. 입구에는 많은 식당들이 있었다. 동학사 갔을때랑 비슷한 분위기랄까 우리나라는 바닷가옆엔 횟집이 있고...,2020. 10. 30.
럭비공 형제의 추억여행 1탄. 전북 완주군 운주초등학교 모교방문 (전주한옥마을 포기),그 모습을 본 우리 형제는 동시에 '딴데갈까?' 1분동안 고민을 하다가 '우리 #운주 갈까?' '콜' 즉시 방향을 돌려 #전라북도 #완주군 운주 로 향했다... 아무 걱정 없이 친구들이랑 놀기 바빴는데 지금은 걱정만 많고 그냥 바쁜... 타임머신이 있다면 그때로 바~로 갑니다! 다음 추억여행 행선지는 어디???,2021. 8. 16.
전북 완주군(현지인 추천)맛집 - 경천횟집(feat.메기매운탕),"경천횟집 3대째가업 민물고기전문 (전북 완주군 맛집) 전주토박이 친구넘덕에.. 출장이 즐거워지고, 먹거리가 기다려지는.. 한창 일하고 있는데, 전화벨이 울린다.. ""야 민물고기 먹냐..?"" 먹는데.. ""어떻게 먹는데..??"" 뭔데, 이 쉐....XXX, 날 테스트 해? 뭘 어떻게 먹어 입으로 먹지 쉐....XXX ""서울...",2020. 6. 19.
[전북 완주군] 급 떠나기 좋은 한옥스테이 글램핑장 호연재,"지금은 가을이 무르렀지만, 가을이 막 시작 되었을즘 다녀온 꼬꼬가 사는 지역에서 40분남짓 거리에 있는 글램핑장을 다녀왔어요 전북 완주군... 매번 꼬꼬의 여행메이트 똥꼬녀석과 함께해서 둘다 추진력은 좋으나 경험과 정보가 부족하였는데, 와~ 세상 이번 여행을 통해 느낀건 여행도...",2020. 9. 28.
"북스테이여행 '충북 괴산군 숲속작은책방,인천 강화군 이루라책방,전북 완주군...",최병일 여행레저전문기자 ******@********.*** #북스테이여행 #충북괴산군숲속작은책방 #충북괴산숲속작은책방 #숲속작은책방 #괴산숲속작은책방 #인천강화군이루라책방 #인천강화이루라책방 #강화이루라책방 #이루라책방 #전북완주군삼례책마을 #전북완주삼례책마을 #완주삼례책마을 #삼례책마을,2021. 8. 27.
[전북 완주군] 더운 여름엔 계곡만큼 좋은곳이 없다!!!! '운주계곡' 당일치기 여행,"(대전 → 전북 완주군 운주면 운주계곡) Previous image Next image 도착해서 처음 본 계곡 물이였어요! 기나긴 장마여서 물이 많을것같았는데... (반전은 1박아니고 당일치기 여행 짐이라는 점.) Previous image Next image 그리고 이건 저희 엄마가 챙겨준 아기 1명의 간식인데, 귀여워서 한컷...",2020. 8. 24.
"[산 여행] 전북 완주군 모악산, 초등학생 아이들과 함께 산행","지난 주에는 전북 진안에 있는 마이산을 다녀왔었는데 이번엔 전북 완주 모악산을 올랐습니다. 초등학생 1학년, 4학년, 5학년, 6학년 이렇게 4명의 아이들과 올랐는데, 지난번 마이산보다 훨씬 버거워하네요. 어쨌든 잘 어르고 달래서 정상근처까지 찍고 왔습니다~! 산 높이는 793m라고 합니다....",2020. 4. 20.
[전북천리길]도보여행.스탬프북.완주군 기념품수령,전북천리길 완주군에는 *운문골 마실길 *고종시 마실길 *완주 편백숲길 이렇게 자연과역사의 만남이라는 마실길이 있다 이곳의 천리길 스탬프 인증을 끝냈고 기념품을 수령하기위해 찾아가본 완주군청 . . . . . 천리길 덕분에 완주군청도 처음방문해본다 처음이라 신선하기도하고 뻘쭘하기도하고...,2021. 7. 7.
전북 완주군 오성마을 고택체험 - 아원고택,"여름 휴가지로 전북 완주군 오성마을에 다녀왔다 :) 오성마을은 BTS가 다녀갔던 마을로 유명한데, 아름다운 한옥들이 많아 말그대로 힐링하기 너무나 좋았다. 이번 여행의 목표는 진짜 '힐링' 전통 한옥에서의 고택체험이 이번 휴가의 목표! 숙소로는 아원고택을 선택했다. 아원고택은 갤러리와 함께...",2020. 9. 12.
전북 완주군''토리푸하우스펜션'':애견캠핑장에 다녀왔어요 ~,좋겠다넌 ~~~ #전북#전주부근#애견캠핑장#완주군#토리푸하우스#토리푸하우스펜션#강아지펜션#전주강아지팬션#내돈내산#여행#추억#강아지일상#기록 #토리하우스 #Dogpension&sopoong 일단 !!주차장이 아주아주 넓어서 주차걱정은 없겠더라구요 ㅎㅎ 편한자리에 주차 후 저희는 들어갔는데요...,2021. 10. 9.
"[완주군] 전북 완주 소양고요_친구들과 추억 만들기:) /* 완주여행, 완주 숙소 추천","소양고요 전북 완주군 소양면 2021.2.27.~28. 친구들과 오랜만의 여행 몇달 전부터 달똥해놓았던 날 친구들과 완주 소양고요에 다녀오다! 사람 아~~무도 없는 청정지역으로 결정! 완주 소양고요라는 펜션을 예약했는데, 위치가...ㅎ 정말 뭐가 아무것도 없는 곳이다..ㅎ 그래서 더욱 열심히 장을...",2021. 3. 21.
"완주군, “집에서 완주여행 해보자” #복지TV 전북방송","완주여행 체험키트 (출처=전북 완주군) 전북 완주군은 오는 9월과 10월 총 2회차로 나눠 진행되는 이번 이벤트는 언택트로 진행되며, 5종의 완주 특색을 담은 체험키트를 이용해 스스로 관광상품을 만들고, 우수작품에 대해서는 푸짐한 상품도 제공한다고 8일 밝혔다. 코로나 확산세로 아쉽게...",2021. 9. 8.
전북 완주군 가볼만한곳 추천 대둔산 케이블카 ~,대둔산은 충남 금산과 논산 전북 완주군등에 접한 규모가 큰 산이다 논산 양촌을 지나서 가다보면 전북 완주군이 나온다 호남의 금강이라는데.. 완주에 있는 대둔산숲속웰빙휴게소.. 잠시 쉬러 들어가니 바이크동호회에서 대규모로 여행을 왔나보다 어린 아이들까지 태우고.. 휴게소에서 바라다본...,2021. 5. 29.
[전북 완주군 맛집] 소양면에 화심장어를 아시나요? 전 가봤어요 ^^,전북 완주군 소양면에 화심장어를 아시나요? 전북 완주군 소양면에는 #화심순두부 가 유명합니다. 화심 순두부만... 유명한지 알았습니다... 만.. 그 옆집에 #화심장어가 히든이였습니다 ^^ 예약을 하고 가니.. 이렇게 미리 한상 차려져서 우리를 기다리고 있더군요... 처음에는 이렇게 큼직하게...,2020. 6. 25.
"전북 완주군 BEST코스, 갤러리 카페 '아원' (아원고택)",그 중에서도 전라북도 로컬인들이라면 모를 수가 없는 '아원' 아원은 경신년에 지어진 경남 진주의 250년된 고택을 전북 완주군 소양면... 소양카페추천 #전북완주아원 #전북가볼만한곳 #전주가볼만한곳 #완주가볼만한곳 #완주여행 #전주여행 #완주여행코스 #완주카페 #전주카페 #완주갤러리...,2020. 9. 4.
"(전북 완주군 운주면) 대둔산 케이블카, 대둔산 둘레길 + 충남금산산림문화타운 임시휴관",2021.9.22(수) 전북 완주군 운주면 대둔산 주차장 들어가는 입구에 특산물인 듯한 흑곶감 조형물이 떡! 크게 있다. 주차장에서 바라본 대둔산... #전북완주운주대둔산케이블카#대둔산케이블카#대둔산식당가격#대둔산둘레길#대둔산케이블카요금#여름대둔산#전북완주여행...,2021. 9. 22.
전북 완주군의 종남산 송광사(松廣寺)와 추줄산 위봉사(圍鳳寺) 답사기,"16일 전북 완주군에 있는 송광사와 위봉사에 다녀왔습니다. 송광사는 종남산 아래에 자리한 사찰로, 신라 경문왕(景文王) 때 도의선사가 세웠다고... 이렇게 완주군 문화유산 답사를 마무리 하였습니다!! 코로나로 인해 취미생활 및 여행 등을 하지못하고 집안에서 보내는 시간이 길어지게 되었는데...",2021. 4. 17.
"11월 21,22일(토,일) 전북 익산 백제왕도 78km+ 완주군 대아,동상,경천저수지...","전북익산 백제 여행입니다. 양일 중 택일 가능합니다. 1일차 11월 21일 토요일 1. 일시 : 11월 21일 토요일 아침 7시40분 2. 장소 : 네비주소... 장소 : 네비주소 ==> 전북 완주군 경천면 사무소 3.인원: 적정인원(최대 15명) 4.기종: MTB 외 5. 난이도 : 황제중급(초급~중급사이)이상, 멜바...",2020. 11. 6.
[전북 완주군] 대둔산을 FPV 드론으로 여행하다(내가 만든 FPV드론),"산탄 영상도 남겨봅니다. 산은 드론으로 타는 것도 좋습니다. 드론으로 여행하다보면, 단순 여행하는 것보단 뭔가 새로운 경험을 하는 것 같아 더욱 즐겁습니다. 유튜브 : KuriOSS 큐리오스 인스타그램 : kurioss_fpv 밴드 : 드론으로 여행하다 네이버 까페 : 드론으로 여행하다",2021. 3. 19.
[완주군여행]대한민국 술테마박물관,충분하다' 전북 완주구 구이면에 시골길을 따라가다 보면 구이저수지 옆에 수없이 많은 항아리가 있는 넓은 잔디밭과 멋진 건물이 고성을 만날 수... 그런 소중한 추억들을 일깨워 주는 이런 멋진 테마박물관을 가지고 있는 완주군이 부럽다. (이 여행기는 완주군의 협찬으로 이루어졌습니다.),2021. 10. 10.
전북 완주군 갤러리카페 - 오스갤러리,"오스갤러리 전라북도 완주군 전북 완주는 이번에 처음 가봤습니다. 너무 고즈넉한 곳이 많더라구요~ 그 중에 오늘 사진은 갤러리 카페로 너무나... 카페 가격대가 꽤 높습니다~ 근데, 머 사랑하는 사람 & 가족과 분위기를 내려면 그만큼 내야죠~ ^^ #전북완주여행 #완주오스갤러리 #오스갤러리...",2020. 10. 15.
"[ 전라북도 가족여행 ] 전북 완주군 운주 수영장펜션 , 동굴체험 추천 ""운주동굴펜션""",전라북도 완주군 운주면 원장선로 42-193 063-261-7740 완주여행 / 완주페션 / 완주 수영장펜션 / 완주 가족여행 / 완주 가볼만한곳 / 완주 맛집 / 운주... 운주가볼만한곳 / 전북여행 / 전북 가족여행 / 여름휴가 추천 / 수영장펜션 이건 제 친구 가족들끼리 등갈비 구워먹은 사진인데 ㅋㅋ정말 맛있겠어요...,2020. 9. 2.
