header,contents,date
[익산시 내일로 홍보단] #01/고스락/익산여행/전북여행,"전북 익산시 내일로 홍보단에서 익산의 숨은 여행지를 알려드릴게요! 예전부터 계속 전라도에 가보고 싶었는데 좋은 기회가 되어 익산시를 홍보하고 여행할 수 있게 되었답니다! (๑˃̵ᴗ˂̵)و 이번 게시글에서는 제가 직접 익산에 방문해 보기 전, 설레는 마음으로 사전 답사를 해본...",2021. 6. 26.
#전북 익산시 여행 중 입니다. #보석박물관,전북 익산시 여행 중 입니다 그러나 볼것이 너무 없습니다 코로나19 때문인지는 모르겠지만 너무 싫망을 하고 있습니다 오늘 보석 박물관 괄람을 마지막으로 기대중 입니다. 숙박한 모텔도 최악 입니다 그냥 할말이 없습니다. 바보 여행자 소견 . https://www.instagram.com/p/CP...,2021. 6. 12.
전북 익산시 힐스테이트 임장기,"전북 익산시 힐스테이트 임장기 안녕하세요, 낭만쟁이입니다. 이번엔 전북의 3대장 중 한 도시인 '익산'을 다녀와 봤습니다. 저도 매번 전주-군산만 여행 가봤지 익산은 가까이 있는 곳인데도 한 번도 안 가본 곳이었는데요. 익산 미륵사지 석탑은 비록 가보지 못했지만 익산의 핫한 아파트와...",2021. 8. 23.
익산시 도보여행 스탬프 투어 전북천리길,익산시 도보여행 스탬프 투어 전북천리길 익산시 전북천리길은 제1길 함라산 둘레길 제2길 미륵산 둘레길 제3길 웅포 곰개나루길의 3개 코스입니다. 익산의 금강변포구길은 걷는 함라산코스와 자전거로 가는 금강코스로 나뉩니다. 함라산코스인 걷기는 웅포관광지에서 출발하여...,2021. 5. 9.
"익산시, 전북도·13개 시군과 해외 관광객 유치 속도",호응 - 익산시가 전북도를 비롯한 13개 시‧군 등과 함께 지역 관광자원을 활용한 해외 관광객 유치에 속도를 올리고 있다. 시는 25일부터... 무장애 여행 전문여행사 무빙트립 신현오 대표의 ‘열린 관광과 틈새시장 마케팅’에 대한 기조강연을 시작으로 상담회와 설명회를 진행해...,2021. 6. 26.
"전북 익산 공장매매, 전북 익산시 함라면 공장매매",전북 익산시 함라면에 소재한 익산공장매매 매물입니다. 정부가 백신 접종자를 대상으로 이르면 7월부터 해외단체여행을 허용하는 방안을 논의중인데요. 이르면 다음달부터 가능하도록 협정 체결에 속도를 낼 방침이라고 합니다. 이기운에 힘입어 이제 부동산 경제에대한 기대심리와 귀추가...,2021. 6. 10.
"전북 익산시, 맞춤형 시티투어 버스 운행",전북 익산시가 시민들에게 지역 내 관광명소에 대한 색다른 여행을 제공하기 위해 맞춤형 시티투어 버스를 운행한다. 시는 시민들의 여행 취향이나 여건에 맞게 선택해 여행할 수 있도록 순환·테마형 시티투어 버스를 오는 27일부터 12월까지 운영한다고 밝혔다. 우선 순환형 투어버스는 매주...,2021. 3. 25.
[익산 여행] 전북 익산시 소재 왕궁 탑 을 아시나요?,"익산 왕궁터입니다~~~** 전북 익산시 왕궁면에 위치한 백제의 왕궁터입니다. 백제 무왕 때 왕궁으로 쓰였던 걸로 보이며, 학계에서도 문화재 발굴과 함께 왕궁터이었음을 입증하고 있습니다. 왕궁 5층 석탑 주변 전경 왕궁 톱에서 본 멋진 풍경 용화산. 미륵산(미륵사지) 미륵사지석탑과 동탑",2021. 7. 7.
[익산시] 길명반점 - 전북지역에서만 맛볼 수 있는 물짜장의 특별한 맛,"이번 걷기여행의 최종 목적지는 익산이었다. 최근 재미있게 읽은 중식당 책에서 소개가 된 길명반점의 물짜장 맛이 궁금해서 저녁식사 장소로 찾아가봤다. 길명반점 매월 둘째주, 넷째주 화요일 휴무 전북 익산시 중앙로9길 29-1 063-855-3368 매일 11:00 - 20:30 조금 늦은 시간에 도착해서 혹시나 문을...",2021. 5. 13.
"[익산시 내일로 홍보단] 전북 익산 여행, 구룡마을 대나무숲","전북 익산 여행 가볼 만한 곳 추천해드리러 왔어요 (❁´◡`❁) 바로바로 '최종병기 활', '추노' 촬영지인 구룡마을 대나무숲!!! 구룡마을 대나무숲은 전체 면적 약 50,000m2 정도로 한강 이남의 최대 대나무 군락지라고 합니다. 대나무로 빼곡해 자연을 그대로 느낄 수 있는 구룡마을 대나무숲...",2021. 6. 22.
