header,contents,date
[전북천리길]천리길 스탬프북.도보여행.임실군 기념품,전북천리길 도보여행 천리길 스탬프북 인증 임실군 .임실군청 기념품 수령! 흔적 오늘 날씨가 너무좋다~ 해도없고~덥지도않고~ 비가주룩주룩 많이도 내린다 비가오니 계곡탐사를 갈수도없고 산을갈수도없고 그래서 ! 오늘은 임실 군청에 드라이브다녀왔다 . . . . . 전북천리길 . 천리길스탬프북 전북...,2021. 7. 6.
전북 #임실군 기행,* 진메마을에서 천담마을을 거쳐 구담마을로 이르는 길은 섬진강 걷기 여행의 백미로 꼽히는 구간임. * 특히 그 중에서도 천담마을의 물안개는... * 임실군 삼계면 죽계리 산 23.(임실로 489-12). ***-***-****. □ #전북119안전체험관 : 임실9경. * 어린이 안전마을 * 물놀이 안전체험장...,2021. 9. 19.
임실치즈테마파크 임실군여행 전북여행 국내여행,#전남여행 #국내여행 #일박이일여행 #경남여행 #임실치즈테마파크 #치즈 #임실치즈 #임실치즈피자 #임실군여행 #마이산 #관광지 #데이트 #마산 #창원 #비전인테리어 #인테리어잘하는곳 #리모델링잘하는곳 #부산인테리어 #창원인테리어 #석전동인테리어 #중리인테리어 #함안인테리어 #양덕동인테리어...,2021. 10. 7.
임실군 도보여행 스탬프 투어 전북천리길,코로나19가 끝나면 재개한다고 합니다. 스탬프 북을 잘 간직했다가 코로나19가 종식되는 날 다시 전화를 드려야 할듯합니다. #임실군 #도보여행 #전북천리길 #옥정호마실길 #옥정호물안개길 #섬진강길 #느림의미학 #진쌤의느림의미학,2021. 4. 28.
"전북캠핑여행 #03 - 전북 임실군 : 덕치면, 강진면에서 만난 섬진강 풍경! 절대 후회 안할...",#전북 #섬진강 #캠핑 섬진강이 고요하게 흐르는 이곳은 임실군 천담마을입니다. 예쁜 하늘과 노란 가을 들녁도 볼수 있어요. 도로 옆으로는 쌀나락을 말리고 있었어요. 이곳에 다리가 생길 예정인가 봅니다. 멋진 풍경을 세로로 감상하기 남동쪽 북서쪽 우리 꼬마 숙녀는 예쁘게 발을 담그고 놀았어요....,2020. 9. 30.
눙눙이의 그림일기: 전북 임실군 폐건전지 교환,<눙눙이의 그림일기> 2020년 2월 27일 목요일 날씨 맑음 ⠀ 전북 임실군이 가정에 방치돼 있는 폐건전지를 화장지로 교환해 준다. ⠀ 2월 27일... #눙눙이 #전북 #전북여행 #임실여행 #일러스트 #임실 #낙서장 #건전지 #aa건전지 #눙눙이의그림일기 #떡메모지판매 #휴지 #문구 #1일1그림 #일러스트레이션...,2020. 2. 29.
"전북 임실군 뷰 좋은 옥정호가 보이는펜션,숨펜션",체크인 15:00 체크아웃 11:00 안녕하세요 오늘은 임실군에 위치한 #숨펜션 다녀온 거 포스팅하려구요 예전부터 봐놓았던 곳인데 이제야 가보게... 오랜만의 여행이기에 고기와 술 한잔 기울이면서 도란도란 이야기 했어요 ㅎㅎㅎ 가성비도 좋고 큰 기대하지 않았는데 룸 컨디션도 좋아...,2021. 7. 13.
〈전북 임실군 - 오괴정〉,"≪명칭≫오괴정 ≪소재지≫전북 임실군 삼계면 삼은리 산 49번지. ≪문화재분류번호≫전북문화재자료 제167호 ≪답사일≫2021년 5월 5일(수) 임실 오괴정은 답사여행 입문기 초보 시절에 왔던 곳이다. 이번 방문은 삼계면 어은리 쌍백정과 육우당 답사를 마치고, 오괴정, 지금은 어떻게 변했을까?...",2021. 5. 10.
"[전북 임실군] 옥정호를 한눈에, 애뜨락","#임실군 에 위치한 #옥정호 는 #드라이브코스 로도 많이 알려져있다. 구불구불한 길을 천천히 달리다보면, 복잡했던 것들을 생각할 겨를이 없다. 주변으로는 #전주 #정읍 #임실 #순창 등이 있어 근처 여행을 왔다면 잠시 들려보면 좋을 옥정호! 그런 드라이브 코스에서도 종종 들리는 곳이 있다. 조금...",2020. 4. 21.
부부힐링여행 03. 전북 임실군을 돌아보다!,오늘은 아내가 다른 일정이 있어서 막내딸과 함께 하는 특별한 여행이 되었다. 아빠와 단둘이서 여행을 떠나는 딸이 스스로 착한 딸이라고 자화자찬한다. 100% 동감하면서 고맙고 감사했다. 사실 임실 여행을 계획하면서 금년에 수의예과에 입학한 막내딸에게 오수공원을 꼭 보여주고 싶었다. 나는...,2021. 3. 13.
"임실군, 문화누리카드 이용 활성화 위해 1,320부 홍보물 배부 #복지TV 전북방송","임실군, 문화누리카드 이용 홍보 (출처=전북 임실군) 전북 임실군이 문화누리카드 발급 및 이용 활성화를 위해 홍보물 1,320부를 읍‧면에 배부했다고 밝혔다. 문화누리카드는 소외계층 삶의 질 향상과 문화 격차 완화를 위해 6세 이상 기초생활수급자와 차상위계층을 대상으로 문화예술, 여행...",2021. 10. 1.
"전북 임실군 산막골 할매 5공주 봄 보양식 초록 다슬기 탕, 봄 향기 물씬","(사진=EBS 제공) ‘한국기행’이 전북 임실군 산막골의 할매 5공주를 소개한다. 5일 밤 9시 30분 방송되는 EBS 1TV 시사ㆍ교양 프로그램 ‘한국기행’... 한편 ‘한국기행’은 대한민국의 숨은 비경을 찾아 떠나는 공간 여행이다. 역사와 풍습, 건축, 문화의 향기를 느끼고 전달하는 아름다운 시간...",2020. 3. 5.
25억 분할가능 부동산 토지 투자 땅 매매 임실피자 주소 전북 임실군 임실읍...,임실피자로 유명한 전북 임실군 임실군청앞 전북 임실군 임실읍 이도리 83-2번지 도시계획 4거리 코너 땅 제1종일반주거지역 536평 평당210만원씩 총... 바닷가 여행 관광 낚시 섬토지 섬임야 섬농가주택 섬펜션 섬낚시용 컨테이너 설치용 토지 섬 소규모 소액 토지 섬 여행 관광 낚시 휴양지...,2021. 1. 13.
전북 임실군 붕어섬,#붕어섬 #국내여행 #전라북도여행지 #봄여행 #임실군 #전주정기세차 #전주주변 안녕하세요~ 전주푸른세차입니다! 5월5일에 다녀온 붕어섬 여행을 이제서야 올리네요~ 전주에 이사온 뒤 인상깊었던 여행장소 중 하나입니다~ 전라북도는 전라복도라고 하더군요~ 이런 숨은 여행지들도 정말 이곳이...,2020. 8. 3.
[전라북도 임실 여행] 신비로운 자연 임실군으로 풍경여행 가자!,"신비의 섬, 옥정호 옥정호는 섬진강 다목적댐을 만들면서 생긴 거대한 인공호수로 유역면적이 763㎢이며 저수면적이 26.3㎢로 총 저수량은 4억 3천 톤에 달하여 호수 가운데 떠 있는 섬이 마치 붕어를 닮아 오늘날 붕어섬으로 널리 알려지고 있어요~ ◯주소 : 전북 임실군 운암면 입석리 458...",2020. 7. 20.
전라북도로 떠나는 여행 - 임실치즈의 본고장 '임실군'편,"'2023 전북 아태 마스터스대회가 열리는 전라북도로 떠나는 여행 '열두번째 도시 '임실'을 소개합니다~! 2023 전북 아태 마스터스대회의 정식종목인 '사격' 경기가 열리는 임실군은 사선대, 옥정호, 필봉농악, 소충사 등 문화와 전통이 살아 숨 쉬고 있는 충효의 고장으로 청정지역에서 생산된...",2021. 6. 4.
전북캠핑 스토리 #05 전북 임실군 : 옥정호 구암 / 붕어섬 / 요산공원,"#여행 #전북 #옥정호 구암산장 옥정호는 섬진강이 만들어낸 아름다운 인공호수입니다. 조선 중기에 한 스님이 숲이 우거진 국사봉 근처를 지나면서 훗날 맑은 물이 찰것이라고 말했다고 합니다. 그 사연의 이름을 붙여 호수의 이름을 옥정호라고 지었다고 합니다. 1965년 임실군 강진면과 옥정리, 정읍...",2020. 10. 11.
고창 여행 전북 당일치기 읍성 데이트하기 좋은 곳,"용담, 임실군 등 19개 군현이 참여해 3년 만인 단종 원년 1453년에 완공했다고 해요. 축성 당시 각 고을에서 성 쌓기에 참여했던 사람들은 자기들이 쌓은 구간과 고을 이름을 성벽에 새겨두고 갔고 세월이 흘러 잘 보이지 않아 1997년 만들었다고 해요. 전북 당일치기 여행으로 좋은 고창읍성으로...",2021. 10. 9.
전북여행 임실 옥정호 붕어섬(국사봉 전망대)과 요산공원 드라이브코스,근교여행과 전북여행을 했는데 아직 가보지 않은 곳들이 많아서 다음번에 기회가 되면 가보지 않은 다른 곳들도 가봐야지. 아름다운 풍경만큼 가족들과 좋았던 시간들. 5월의 행복한 하루였다. *임실 옥정호 국사봉전망대의 지도입니다. 국사봉 등산로 휴게소(전라북도 임실군 운암면 입석리 산32-9)...,2021. 8. 23.
"전라북도 임실 여행 코스, 국내여행 전북 특별한 관광지","있어 #전북여행 을 계획하고 계신 분들께 임실 여행 코스로 추천하고 싶어요! ️ 2. 카페 사선 전라북도 임실군 관촌면 사선2길 46-25 임실 여행에서 사선대를 가야만 하는 이유, 바로 사선대 풍경만큼이나 멋진 카페 '사선'이 있기 때문인데요~ 사선대 관광지 내에 있는 #카페사선 은 올해 4월에...",2021. 7. 8.
전북 임실군 장진우·임미선 씨 부부의 귀농 4년차 좌충우돌 귀촌 일기,"'전북 임실군 장진우·임미선 씨 부부의 귀농 4년차 좌충우돌 귀촌 일기' 뉴스를 알아봅니다. [EBS 한국기행] 명랑 귀촌 ‘귀농 4년차 부부의... EBS 한국기행은 대한민국의 숨은 비경을 찾아 떠나는 공간 여행이자 역사와 풍습, 건축, 향기를 느끼고 전달하는 아름다운 시간 여행이다. 우리들이...",2021. 8. 25.
[국내가족여행지추천] 전라북도 임실군여행 임실치즈 빅뱅,전북 임실군 갈마리 임실치즈농협 치즈 공장. 이병길(43) 반장이 따끈따끈한 모차렐라 치즈를 잡아 늘이며 탄력도를 재고 있었다. 그는 “pH 농도... 내년에는 부디 치즈축제가 열어서 많은사람들이 참석할수 있기를 진심으로 빌어본다. #전라북도임실군여행 #전라북도임실군임실치즈,2021. 3. 12.
전라북도 임실군 당일치기 여행일지#2,하여튼 아빠~내가 아빠 딸이긴 한가봐 성격보면 ^_^ ❤️ 암튼지간에 낭만이와 눈물의 상봉을 하고 (난리났음) 맛있는 엄마표 떡볶이와 교촌치킨으로 잘 마무리를 하여따! 원래는 다녀와서 여행사진 보며 마무리 짓는데ㅋㅋ 다들 피곤했나보다. 아빠 덕분에 다녀온 전북여행! 넘 행복해따뤼,2021. 6. 22.
"전북- 전주 한옥마을, 전주수목원... 변산반도,순창- 섬진강,진안 봄꽃 여행.임실군 옥정호,",""" "" https://www.msn.com/ko-kr/news/other/%ED%8F%AC%ED%86%A0%EC%B9%9C%EA%B5%AC-%EB%82%B4%EC%9E%A5%EC%82%B0-%EA%B0%80%EC%9D%84/ar-BB1aKs5X?ocid=msedgdhp https://blog.naver.com/ultrabat/222107640968 https://blog.naver.com/nko0124/222132104437 https://www.msn.com/ko...",2020. 11. 5.
전라북도 여행.임실군 옥정호.Attractions in Korea.,지난 2월20일.전북 임실군 운암면에 위치한 국사봉을 올랐습니다. 섬진강 댐공사로 생겨난 옥정호를 조망하기에 최고의 장소입니다. 옥정호하면 연관되는게 붕어섬.그리고 운해입니다. 드론촬영 편집이 취미라 항상 새벽에 길을 나서 일출때의 빛감을 즐겨 촬영합니다. 이 날 역시 어두운...,2020. 2. 24.
강변사리 - 전북 임실군 덕치면 천담리,"□ 강변사리 - 전북 임실군 덕치면 천담리 89-3 싱그러운 자연의 아름다운 풍경을 고스란히 느끼면서 시처럼 고요하고 동화처럼 따사로운 서정적인 문학을 느낄 수 있는 마을이다. 특히 물 우리에 있는 월파정에서 시작하여 진메마을, 천담마을을 거쳐 구담마을로 이르는 섬진강길 코스는 걷기 여행의...",2020. 6. 19.
"전라북도 전주 여행 코스, 국내여행 전북 특별한 관광지","향기로워 #전북여행 에서 전주 여행 코스를 계획하신다면 꼭 다녀오시기를 추천하고 싶어요! 3. 태평집 전라북도 전주시 덕진구 조경단로 3-6 찌는... 카페 물빛정원 전라북도 전주시 덕진구 백석길 7-11 북쪽으로는 전라북도 익산시와 완주군, 서쪽으로는 김제시, 남쪽으로는 임실군까지 내륙 중의...",2021. 7. 30.
전북 여행 : 임실 옥정호 카페 오스하우스 여름 야외 데이트,"생각하고 전북 여행 마치고 돌아오는길에 와이프와 야외 데이트 삼아 다녀 왔습니다 옥정호 아름다운 호반 풍경 바라보며 오랜만에 와이프와 카페... 주소 : 전북 임실군 운암면 구이로 28 배 부른 오스하우스 들어가기도 전에 입간판 안내보고 놀랬는데 세상에 화,수요일 정기휴무 랍니다 내...",2021. 5. 10.
"[전북 임실 여행] 사선대 나들이 (사선루, 조각공원, 운서정 산책)",(1990년 6월 30일 전라북도 유형문화재 제135호로 지정) 섬진강 상류인 오원천(烏院川)변에 있는 사선대(四仙臺) 위에 세운 누각 주소 : 전북 임실군 관촌면 덕천리 산52번지 사선대공원 산책로에서 운서정으로 가는 길을 안내는 하고 있지만 - 저는 차를 가지고 이동했습니다 :) 사선대 가볼만한 카페...,2021. 5. 16.
전라북도태조이셩계역사탐방 이성계가 계시 받은 왕의 암자 전북 임실 상이암,이성계의 하늘이 전북에서 통하다 #태조이성계역사탐방 #전라북도태조이셩계역사탐방 #전북역사탐방 #전북여행 #임실상이암 #이성계전북테마여행 전라북도태조이셩계역사탐방 이성계가 계시 받은 왕의 암자 전북 임실 상이암 전라북도 임실군 성수면 성수산에 자리한 대한불교조계종 제24교구...,2021. 9. 20.
청정 전북에서 즐기는 슬기로운 드라이브 여행,청정전북 자동차 드라이브 여행 코스 5곳을 둘러보면 가슴이 탁 트이는 상쾌함을 느낄 수 있다. 새만금방조제 변산해안길 33.9km의 세계 최장... 드라이브 임실군의 상징인 옥정호를 한 바퀴 도는 드라이브 코스는 언제나 매력적이다. 침엽수만 푸르른 겨울 산을 배경으로 두고 피향정부터...,2021. 3. 1.
(전북투어패스)로 알뜰하게 여행하세요.,"어디론가 떠나고 싶은데, 어디로 가야할지 고민 되시는 분들 여기 제가 준비한 전북여행 어떠신지요? 저도 이 책자를 보고 여행계획 세워보려고... 남원여행코스추천 #김제여행코스추천 #완주군여행코스추천 #진안군여행코스추천 #무주군여행코스추천 #장수군여행코스추천 #임실군여행코스추천...",2021. 10. 10.
전라북도 임실군 당일치기 여행 일지 #1,간만에 가족 다같이 전북으로 여행을 가기로 했다. 동생도 이모도 다함께 여행을 가는건 정말 오랜만인데 낭만이까지 온 식구가 함께 여행을 한 건 아마 이번이 처음이 아닐까 싶다. (복덩이 제외 ㅠㅠ 사랑해 미안해) 목적지는 전라북도 임실! 토요일 새벽 5시에 출발해서 저녁에 돌아오는...,2021. 6. 14.
"7월 국내여행지 추천 : 임실 사선대, 옥정호 물안개길 (전북 특별한 관광지)","함께 다녀오기 좋은 곳, 카페 사선 전라북도 임실군 관촌면 사선2길 46-25 #전북특별한여행 에서 관광지만큼 중요한 카페 투어!! 임실 사선대 내에는 사선대만큼이나 멋진 카페가 하나 있었으니, 바로 #카페사선 (CAFE SASUN) 비스듬한 사선 지붕, 사선으로 이어진 벌집 형태의 거울, 여러 개의 사선으로...",2021. 7. 15.
[전북아이와 함께 여행하다]임실치즈테마파크::임실치즈축제 후끈한 현장분위기::,10월경 전북 여행객분들에겐 꼭 추천드리고싶어요^^ 임실치즈테마파크 축제기간 2021.10.07. (목) ~ 2021.10.10. (일) 입장료: 없음 주소: 전북 임실군 성수면 도인2길 50 오늘도 모동빠 블로그를 방문해주신 모든 분들에게 감사드립니다. 대부분 어렵고 힘드신 시기이시지만 건강하시고 행복한일...,2021. 10. 10.
전북 가볼만한곳 베스트5 학원농장 외,여러분들이 전북 가볼만한곳 부안으로 여행을 가신다고 하시면 변산의 월명암부터 시작해 수많은 관광지가 많은 곳이라 행복의 고민을 하셔야 하는 곳이기도 하답니다. 4. 국사봉 옥정호 붕어섬 안개 주소: 전북 임실군 운암면 입석리 458 전북 가볼만한곳 임실 국사봉 옥정호는 매년 봄과 가을이면...,2021. 3. 16.
전북 여행지 추천 괜찮은 전북 드라이브코스 임실 옥정호 붕어섬,지금은 임실군에서 지원해서 관광지로 만들고 있는 것 같네요 오랜만에 전북 여행지 추천 장소를 찾아간다면서 카메라까지 들고나갔는데 SD카드를 놓고 가서 결국은 스마트폰으로 사진 촬영을 하고 돌아오는 상황이 발생해버리다니 저도 참 바보 같은 행동을 했구나 싶었답니다 나름 만족스러운...,2021. 7. 9.
"전북/임실 가볼만한곳 , 국사봉전망대 옥정호 붕어섬","임실 국사봉전망대 국내 여행지 추천, 전라도/전북여행 임실군 운암면에 위치하고 있는 국사봉은 해발 475m의 작은 산이다. 하지만 주변에 높은 산이 없어 산을 오리다보면 하늘과 가까운 느낌을 받을 수 있다. 이 산이 유명한 이유는 바로 옥정호를 한 눈에 바라볼 수 있기 때문이다. 또한 일교차가...",2020. 5. 16.
전북 가볼만한곳 장수 여행코스 9곳,"역시 임시 휴관 중이라 테마파크 외부만 구경하고 내려왔는데 여기는 다시 전하기로 하고 전북 여행코스 장수편을 마무리 해야겠다. 지리적으로 전라북도 동부 중앙에 위치해 있다. 동쪽에는 경남 함양군과 거창군이 있으며 서쪽과 서북쪽으론 진안군과 임실군, 남으로는 남원, 북쪽엔 무주군과...",2020. 5. 16.
빨간 고추장 고을의 하얀 동화…섬진강 따라 이어지는 전북 순창 여행 로드,여행메모 장군목 매운탕·순창시장 순대골목 강천산·향가유원지도 둘러볼 만 하얀 생크림케이크 같은 순담투어스테이션공원 내 나선 언덕. 수도권에서 전북 순창 장군목유원지로 가려면 순천완주고속도로 임실나들목에서 빠지면 편하다. 30번 국도를 타고 임실군 강진면으로 가서 동계 방면으로...,2021. 2. 26.
이국적인 풍경의 전북 임실치즈테마파크 다채로운 여행,"전북 임실치즈테마파크 이국적인 풍경과 함께 사진 찍고 꽃, 동물, 체험, 놀이 등 다채로움이 있는 여행지! 주소 : 전북 임실군 성수면 도인2길 50 주차 : 주차장 있음 입장료 : 무료 전화번호 : 063-643-9540 축제 기간 : 21.10.07 - 21.10.10 전북 임실 하면 떠오르는 건 바로 치즈에요. 지난 주말 임실 가볼...",2021. 9. 29.
나름 쉽게 옥정호 붕어섬 전망하기 [전북 임실 가볼 만한 곳],2021년 4월 26일 (월) 새로운 여행을 시작하려 집을 나서 남원으로 가는 길에 옥정호 붕어섬을 보기로 했다. 그런데 이 붕어섬 찾아가기가 쉽지 않은... 그래서 여기저기 검색을 하면서 연구를 한 결과 붕어섬을 보기 위해서는 내비에 ‘국사봉 등산로 휴게소’ 혹은 ‘전북 임실군 국사봉로 639’를...,2021. 4. 27.
"[전북임실] 국사봉 전망대 ""옥정호"" 차박' 여행","물안개가 아름다운 옥정호, 전라북도 임실군과 정읍시에 걸쳐 있는 인공호수, 2021년 2월 21일, 날씨. 맑음, 미세먼지 나쁨. 섬진강 댐건설로... 대목이다, 전북 임실여행' 옥정호, 국사봉 여행 다시 와보고 싶은곳 중 한곳이었다 옥정호 물레길을 걸을 수 있는 시간을 만들어 보련다 물안개 자욱한...",2021. 2. 23.
전북 임실 가볼만한곳 옥정호 작약꽃밭은 내년에 다시!,임실 옥정호 작약꽃밭 위치 및 주차 - 입장료: 없음 - 주차장: 별도의 주차장 없고 도로변 주차 - 위치: 전북 임실군 운암면 운종리 474-6 임실 옥정호... 근처 임실 가볼만한곳으로는 붕어섬이 있고 일출로 유명한 국사봉도 있으니 여행코스로 함께 다녀 오셔도 좋을것 같네요.,2021. 5. 28.
전북 임실 맛집 옥정호산장 새우탕,이곳 옥정호산장은 부모님 모시고 오기에도 좋은 거 같구요. 친구 모임도 괜찮아요. 마음의 여유를 가지고 맛있는 식사도 하고 후식으로 멋진 카페에서 차 한 잔 마시는 거 추천드려요. 주소 전북 임실군 운암면 운정 길 7 전화번호 063-222-6170 영업시간 매일 오전 10:30~ 오후 09:00 주차 완전 가능,2021. 5. 6.
"국내여행추천 임실 여행 LIST3 (임실치즈테마파크,전북 119 안전체험관...","여행 인플루언서로 보다 안전한 여행을 위한 '특별한 전북 관광지' 임실군을 소개해봤는데요. 어떠셨나요? 오늘 제가 소개한 임실군 외에도 14개 시, 군이 특별한 전북 관광지로 선정되었는데, 그다음 이야기도 궁금하시지 않나요? 저는 임실에 이어 익산시의 이야기를 들고 올 예정이고요. 저를 이어...",2021. 7. 30.
[전북 임실여행] 대정저수지 대말방죽숲 가시연꽃 대정제 걷기,[전북 임실여행] 대정저수지 대말방죽숲 가시연꽃 대정제 걷기 친구내외와 방학이라고 부산에서 외할머니댁에 온 귀염동이 손녀딸 자연학습 체험코저 전북 임실군 대정저수지 대말방죽숲 가시연꽃과 데크길 둘레에 왕버들나무와 허리 굽은 노송이 임실을 지나 남원가는 길 좌측에 위치한 호젓한...,2021. 8. 23.
"온 가족이 함께 떠나는 임실여행... 임실 가볼만한곳, 아이와 가볼만한곳, 가족여행",국사봉 전망대 위치 : 전북 임실군 운암면 국사봉로 624 국사봉 휴게소 사선대 사선대는 섬진강 상류 오원천 기슭 사선대 주변에 조성되어 1985년 국민 관광지로 선정된 임실의 손꼽히는 가족여행 명소입니다. 임실 가볼만한곳 사선대에는 하늘에서 신선과 선녀들이 아름다운 경치에 반해 내려와...,2021. 5. 25.
전북임실여행] 임실 10월 여행지::임실치즈테마파크,"여행작가:여로(여행로망스) 아름다운 동화 속 나라. 치즈 관광산업의 미래. 임실치즈테마파크 임실하면 가장 먼저 떠오르는 두 글자! ""치즈"".. 치즈... ♠위치 및 관람 방법: ♠주소: 전북 임실군 성수면 도인 2길 50 ♠개장시간: 09:00~18:00 ♠입장료: 무료 임실치즈테마파크는 다양한 체험들 ..피자...",2021. 9. 19.
"전북 관광 할인혜택 알림- 전북 투어패스, 어촌관광 여행","이외에도 전북의 유명 관광명소인 전주 한옥마을 관광, 무주반디여행권, 임실군관광 등 14개 시군별 전라북도의 유명 관광지를 전북투어패스를 구매하시면 5900원의 가격으로 자유롭게 이유하실 수 있습니다! 14개의 시군 중 군산시간여행권의 경우에는 군산의 명소를 자유롭게 3000원에...",2020. 8. 7.
● 전북 임실여행 | 카페사선 ●,카카오지도를 켜서 그냥 딱 끌리는 곳으로 결정했는데 그게 임실이었다 ㅋㅋ 그냥 목적지만 정하고 다음날 일어나서 출발한 즉흥 여행~ 그냥... <카페사선> 주소 - 전북 임실군 관촌면 사선2길 46-25 #임실카페 #임실예쁜카페 #카페사선 #사선대카페 #사선대조각공원 #임실사선대 #임실카페추천,2021. 8. 19.
전북 가볼만한곳 : 임실 옥정호 국사봉 전망대,탄 전북 가볼만한곳 으로 인근에 있는 옥정호 요산공원과 함께 방문하면 나름 괜찮은 여행지 입니다 전망대까지 오르는 길 힘든것이 마이너스... 주소 : 전북 임실군 운암면 입석리 산 32-9 국사봉 전망대 주소 끝에 국사봉 휴게소 라고 되어있지요? 네이버에서 검색되는 주소는 잘못된 주소로...,2021. 4. 10.
"임실군 나래산 산행, 등산코스 : 섬진장 물문화관 원점회귀코스","여행중독입니다!! 이번에 다녀 온 산은 전북 임실군에 있는 ""나래산""입니다!! 정상에 오르면 옥정호의 조망이 아주 멋진 산입니다!! 지금부터 임실군 나래산 산행 후기를 시작합니다!! ㅎㅎ 고고씽~~ @ 산행 정보입니다. - 산행 거리 : 7.22km - 산행 시간 : 3시간 5분 @ 산행 난이도 : 中下 - 대체적으로...",2021. 6. 9.
