header,contents,date
"시골 마을 전북 장수군 여행, 에어비앤비 영이네 민박에서의 초여름날","시골 마을 장수군, 에어비앤비 영이네 민박에서의 초여름날의 기록. 짝꿍이와 나는 이른 여름휴가를 다녀오기로 했다. 최종 목적지는 남해였지만... 2시간 30분을 달려 '장수군'에 도착을 했다. 영이네민박이 위치한 '장수군'이라는 이동네는, 특히 이 골목은 시골느낌의 옛 향수를 불러 일으킨다. 특히...",2021. 7. 6.
전북 장수군 할머니댁으로 나들이 다녀왔어요,역시 시골은 농협이 잘나가요 장수군에서 가게 간판 갈아주는 사업을 했나봐요? 간판들이 전부 새것처럼 다 바뀌어져있구 왼쪽 아래에 장수의 명물... 집 앞 장수 풍경과 함께 추억을 담아냅니다 덕산제의 풍경을 마지막으로 전북 장수 여행을 마무리해요 음식 사진이 없는 여행 포스팅은 처음인 것...,2021. 10. 10.
전북 역사 여행 - 장수군으로 들어가는 입구의 호룡보루와 배움의 흥학당,"장수의 소박함을 살펴보는 여행지 장수의 역사를 엿보다 전라북도 동부 소백산맥 서쪽 사면의 산간 지대에 있으며 고대국가 시절 가야의 왕국이... 일상에서 접할 수 있는 역사 전라북도에는 장수 호룡보루(등록문화재 제190호, 장수군 산서면) ‘임실 회문 보루대(덕치면 회문리 100-1)’와 ‘임실...",2020. 9. 3.
[장수군여행]전북천리길 금강에 첫물 뜬봉샘 생태길/신무산 트레킹,[장수군여행] 전북천리길 금강에 첫물 뜬봉샘 생태길 / 신무산 트레킹 7월17일(토) 오전9시30분 부터 장수군 뜬봉샘 생태길인 전북천리길 걷기 행사에 다녀 왔습니다 장수군 전북천리길해설사님들과 장수군민 50여명이 참석하며 여름철 식생들과 금강에 발원지 뜬봉샘과 태조 이성계가 백일...,2021. 7. 19.
장수군 도보여행 스탬프투어 전북천리길 기념품,"장수군 도보여행 스탬프투어 전북천리길 기념품 장수군은 물이 길게 흐르는 지역으라 장수, 수장산고의 지역으로 무주, 진안과 함께 전라북도의 허파 역할을 하는 청정한 지역입니다. 금강 천리의 시작이자 생태문화의 중심지입니다. 높은 고도에 위치한 지역답게 일교차가 커 맛 조은 사고로...",2021. 6. 10.
[국내여행] 얼떨결에 전북 장수군 여행!,"[얼떨결에 장수군 여행!] 장수군에 논개의 역사가 있네요. 심혈관 검사후 마음 달래려고 휴가내서 간 전북 장수군에 있는, 장수골프리조트에 주방장(메인쉐프)로 있는 35년 인연의 오랜 전우 김성일님을 만나러 갔다가, 장수군에 있는 논개사당과 논개생가터도 가 보았습니다. 숙소는...",2020. 12. 22.
전북 장수군 _장수읍 신리길 소나무,"그런데 초로가 되어 아무것도 손에 쥔 것 없으며 또 더 내려 놓아야 할 무언가를 찾기 위하여 시작된 여행 중 고향을 찾았고, 내가 모르던 많은... -지정번호 / 9-9-29, - 지정일자 /2005.1.14, - 수종 / 소나무, -수고/ 8m, -수령 / 200년, - 나무둘레 / 2m, -소재지 / 전북 장수군 장수읍 신리길 41-13 일제시대때...",2021. 9. 29.
전북 #장수군 기행,"* 경남 거창군의 북상면 월성리, 함양군 서상면 상남리, 전북 장수군 계북면 원촌리 사이에 위치한 산. * 남덕유산은 덕유산의 최고봉인 향적봉 남쪽에 위치한 덕유산 제2봉임. * 금강, 남강, 황강이 이 산에서 발원함. * 산에는 신라 헌강왕 때 심광대사가 창건한 영각사가 있음. ○ 할미봉 : 1...",2021. 9. 19.
전북장수군 육십령터널과 육십령휴게소에서 잠시 휴식을 맛보다,전북장수군의 육십령터널과 육십령휴게소에서 잠시 휴식을 맛보다. 육십령고을 관광지도 처음와본 곳 처음 들어보는 이름들~ 백두대간 육십령에... 진짜여행 안으로 들어가니 화려하거나 인테리어의 멋 스러움은 없어도 편안한 모습을 그대로 가지고 있는 곳 같아요 아메리카노 주문 후 잠시...,2021. 9. 23.
전북 장수군 < 초등학교 교사 불륜 > 감사,청원인은 “전북 장수군 한 초등학교에 근무하는 유부남 A교사와 미혼녀 B교사가 수업시간 등에서 애정행각을 수차례 벌여 교육자로서의 자질을... 그리고 B교사는 두 교사의 부적절한 관계가 밝혀지는 날까지도 2년간 교제하고 있는 남자친구와 부산으로 1박 2일 여행을 다녀왔고 A교사 또한 이...,2020. 12. 28.
