header,contents,date
"[지역N문화 테마여행] 전북 전주시 여행코스 :: 전주, 역사의 숨결이 깃들다","전북 전주시 여행코스 전주, 역사의 숨결이 깃들다 전주, 역사의 숨결이 깃들다 전북 전주시 *출처 : 한국관광공사 전주의 역사는 500년 전 조선왕조 초기로 거슬러 올라갑니다. 오래된 건물부터 새롭게 변신하고 있는 장소들까지! 지역N문화와 함께 골목골목 한옥들 사이에 숨어있는...",2020. 11. 30.
"전주시, 총 4회에 걸쳐 '테마가 있는 전주 도서관 여행' 시범 운영 #복지TV 전북방송",전주시 - 책기둥도서관 (출처=전북 전주시) 전북 전주시는 오는 10월 8일과 9일 총 4회에 걸쳐 ‘테마가 있는 전주 도서관 여행’을 시범 운영한다. 시는 지난 7월부터 전주지역 5곳의 특화 도서관을 여행하는 프로그램을 운영하고 있는 가운데 사전예약이 조기 마감되는 등 시민과 여행자들에게...,2021. 10. 1.
[전북 전주시 산정동] 제이즈 모텔,푸랑이랑 결혼해서 초반에 여행 다닐 때에는 복도가 어두컴컴했었는데... 밝으니 얼마나 좋아! [전북 전주시 산정동] 제이즈 모텔 우리가 배정받은 객실은 302호. [전북 전주시 산정동] 제이즈 모텔 302호 모습 [전북 전주시 산정동] 제이즈 모텔 302호에 들어서자마자 보인 전체 모습. 음. 깔끔하구나....,2021. 7. 1.
"[여행] 전북 전주시 덕진구 우아동 ""전주시양묘장"" / 갬성 로져버리는 아중리 산책 코스","전주시가 정원문화 확산과 정원산업 발전을 도모하기 위한 천만그루 정원도시 조성의 제도적 기반을 마련했다. 전주시는 “전주시 천만그루... 전북도민일보(`21. 3. 19.) (전화) 063-281-2888(천만그루도시정원과) (운영) 매일 24시간, 입장료 그딴 거 없음 걍 가면 됨 (주차) 버스 전용 주차장 피해서...",2021. 5. 22.
"전북 전주시 ""고자루"" & 우동맛집","#전주맛집 #우동맛집 #우동 #전주여행 #전북여행 #비오는날 #통통한면 #전북맛집 #내돈내산 #데이트 #일상 #고사동우동집 면이 쫄깃한 우동집 ""고자루"" ***-****-**** 주소_ 전북 전주시 완산구 전주객사2길 46-12 (지번_ 전주시 완산구 고사동 473-9) 영업시간 _ 매일 11:00 - 21:00 / 브레이크타임 15:30 - 17:00...",2021. 3. 1.
전주시 도보여행 스탬프투어 전북천리길 기념품,전주시 도보여행 스탬프투어 전북천리길 기념품 전주시 전북천리길은 제1길 한옥마을 둘레길 8km 원점회귀형 제2길 천년 전주 마실길 12km 원점회귀형 제3길 건지산길 9km 원점회귀형이다. 전주시는 모두 원점회귀형이어서 좋은 장점이 있다. 또한 많은 사람들이 도보여행을 하는 곳이다....,2021. 6. 11.
전북 전주시 가볼만한 곳,"1910년 조성되기 시작한 우리나라 근대 주거문화 발달과정의 중요한 공간으로, 경기전, 오목대, 향교 등 중요 문화재와 20여개의 문화시설이 산재되어 있으며, 한옥, 한식, 한지, 한소리, 한복, 한방 등 韓스타일이 집약된 대한민국 대표 여행지이다. ㅇ 국립전주박물관 위치 : 전북 전주시 완산구...",2020. 10. 24.
전북 여행 전주 가볼만한 곳 / 전주 호동골 자연생태체험학습원 (전주시 양묘장)...,"전에 전주 내려갔던 날 전주 한옥마을 인근에 있는 전주 양묘장 자연생태체험학습원 갔다왔다 쓰레기 매립지에서 생태체험장으로 활용 중이 전주시 호동골 전에 여름에 한번 전주 호동골 생태제험학습원 갔었는데 그 때는 꽃이 많이 지긴 했지만, 그래도 너무 좋았던 기억으로 남아있다 여름에 갔을...",2021. 10. 10.
"전주고속버스터미널, 전주시외버스터미널 - 전북 전주시 버스터미널 두 군데","2014년 여행 땐 버스터미널이란 곳을 둘러보지 않았기에, 이번 전주여행에서 전주의 버스터미널을 처음 둘러보게 되었습니다.... 전북고속, 전북여객 전주시외버스터미널 주변 모습 고속버스터미널 방향 도로 전주시외버스공용터미널. 아까 둘러봤던 고속버스터미널과는 달리 건물이 낡은 오래된...",2021. 8. 21.
전주시 덕진구 송천동 추억 여행,"전주시 덕진구 송천동 추억 여행 호남각 호남각 주소는 전북 전주시 덕진구 송천동2가 560-3 송천뜨란채아파트 108동 전북 전주시 덕진구 붓내3길 29 살 때 호남각, 덕진공원도 많이 갔구요. 지금은 에코시티아파트 전북 전주시 덕진구 세병로 42 단지가 되었지만 그 부지가 과거에는군부대...",2021. 9. 24.
전북 전주시 특화 거리 리뷰 ③ - 웨딩거리,"웨딩드레스와 예복 맞추기, 예물, 예단, 웨딩촬영, 신혼여행, 청첩장 제작 등 웨딩거리의 특징은 결혼에 관한 모든 일을 해결할 수 있다는... 전국 특화거리 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/anakinj/221791477789 전북 전주시 특화 거리 리뷰 ③ - 웨딩거리",2020. 8. 19.
"[전북 전주시 가볼만한 곳] 체험박물관 ""전주난장""",그래서 지방에 여행을 갈때면 거진 꼭 둘러보는 편이랍니다~ 이번엔 전주를 방문하면서 한 개인이 25년간 자료를 수집하고 4년의 공사기간을 거쳐... 찬찬히 둘러보세요^^ ※ 전주난장 ☎. ***-***-**** 주소 : 전북 전주시 완산구 은행로 13 (풍남동2가 35-1) 영업시간 : 09:30~08:00 (입장마감은 1시간 전),2020. 4. 23.
[JJC전북뉴스]전주시 특화도서관 건립 책의 도시 전주 선포,전북 전주시가 특화도서관 5곳을 순차적으로 문을 열면서 '책의 도시 전주'를 알리는 선포식을 가졌습니다. 이날 시는 ▲학산 숲속 시집도서관 ▲완산도서관 자작자작 책 공작소 ▲첫마중길 여행자도서관 ▲팔복예술공장 이팝나무그림책도서관 등 특화도서관 5곳을 릴레이로 개관했습니다. 김승수...,2021. 4. 20.
"전주시, ‘2021 전주독서대전’ 온·오프라인 개최 #복지TV 전북방송",행사 일정과 프로그램 사전 예약 등은 전주독서대전 공식 홈페이지(jjbook.kr)를 통해 확인하거나 신청할 수 있다. 기타 자세한 사항은 전주시 책의도시여행과 책읽는도시팀(☎063-230-1856)으로 문의하면 된다. 이 기사는 복지TV 전북방송 홈페이지에서 확인하실 수 있습니다. http://www.wbcjbtv.com/,2021. 10. 5.
전북전주시덕진구모텔매매하네요 대지는 104평 객실27 보증금3억/월1700...,243%이네요 전북전주시덕진구모텔매매 건물은 2018년7월에 리모델링을 했네요 모텔의 월 매출액은 월 4500정도 라고 하네요 국내 여행을 하다보면 각 지방마다 특색이 있는데 전북 전주하면 떠오르는 첫번째는 특산물 전주한상 정식이네요 전주에서는 어느식당을 가든지 한정식당에 가면 밥상에...,2020. 1. 22.
전북 전주시 완산구 서부신시가지 임장,"전주 한옥마을로 가족여행을 갔습니다. 가족들 한옥마을에서 노는 사이 혼자 임장 돌고왔습니다. 전주 내 입지 좋은 구축(?)/준신축(?)이 몰려있는... 인근에 전북도청, 방송사 등 철밥통 근로자 들이 많이 있고 호반 앞에 대한방직 터에 130층 대의 건물을 짓는다는 얘기도 있네요. 어떤식으로...",2020. 8. 25.
