header,contents,date
[전북관광지/여름힐링여행추천] 정읍시 내장산국립공원에서 케이블카를 타고 전망대...,기회가 되면 올 가을에 다시 한 번 와서 단풍으로 울긋불긋 물든 경치를 한 번 더 보고 싶네요^^ < < <<< #전북관광지 #여름여행지 #내장산국립공원 #정읍시내장산 #내장산케이블카 #전라북도내장산 #정읍여행 #정읍 #내장산 #여름힐링여행지 #힐링여행지 #정읍가볼만한곳 #내장산국립공원...,2021. 8. 7.
카운티캠핑카 만들기!! - 전북 정읍시 가온누리캠핑카,전북 정읍시 북면 화평길 93-97번지 가온누리캠핑카 ***-****-**** 주행중을 많이 하다보면 떨림이 심하다 어디에? 핸들이 다다닥 떰 브레이크도 꼭 패드가 휜것처럼 떨길래 일단 공업사에 맏김! 정읍신성공업사에 바로 맡김 이거슨 봐도 모르것음 일단 디스크 교환요청드림 패드도 깨지고 떼고나니...,2020. 9. 7.
"정읍호텔 전북여행코스, 정읍시 최고의 호캉스맛집 로얄호텔",호텔로얄은 정읍시내 에 잇으며 주차장과 1층의24시간 카페도 운영되는 곳입니다. 사실 주변의 익숙하지만 투박한 풍경과 달리 가운데 우뚝 선 호텔로얄은 정읍호텔 을 대표하는 멋진 호캉스맛집이기도 합니다. 전북 여행하며 푸짐한 백반에 멋스러운 숙소까지 함께 한다면 부러울게 없을듯...,2020. 2. 25.
[전북여행] 전북 정읍시 호텔로얄 이용 후기,전북 정읍시에 위치한 '호텔로얄' 이용 후기 입니다. 정읍시에 하나뿐인 호텔입니다. 도시 자체가 작다보니 호텔 건물도 작은 편인데요... 그래도 깔끔한 시설과 접근성이 좋은 위치라 망설임 없이 예약하게 되었네요. 1층 프론트 입니다. 생각했던것 보다는 작네요. 그래도 호텔답게 내부는...,2021. 6. 20.
정읍시 도보여행 스탬프 투어 전북천리길,정읍시 도보여행 스탬프 투어 전북천리길 정읍시 전북천리길은 제1길 정읍사오솔길 1코스 제2길 정읍사오솔길 2코스 제3길 대장금 마실길로 3개의 코스이다. 제1길 정읍사오솔길 1코스는 정읍사공원에서 출발하여 내장산 문화광장까지 가는 8km의 비원점회귀형이다. 제2길 정읍사오솔길 2코스는...,2021. 5. 6.
정읍구절초테마공원 정읍시여행 가을여행 추천 (21.10.10),안녕하세요 플뢰르입니다 갈까말까 고민하다가 큰맘 먹고 다녀온 정읍 구절초공원 구절초테마파크 매일 9:00-18:00 전북 정읍시 산내면 매죽리 산186-5... 입니다~~ #구절초 #정읍구절초 #정읍구절초공원 #구절초공원 #구절초테마파크 #정읍갈만한곳 #가을여행 #가을가볼만한곳 #가을들꽃 #가을꽃여행,2021. 10. 10.
전북 정읍시 가볼만한 곳,"대한민국 10월의 대표축제 5선 선정(한국관광공사, 2012)´ ´국내 여행지 베스트 그곳 선정(한국관광공사, 2014)´, ´전국 지자체 상징꽃 선정(문화체육관광부, 2015)´ 등 관광명소로 인정 받고 있다. ㅇ 정읍 동학농민혁명 기념공원 위치 : 전북 정읍시 덕천면 동학로 742 1894년 반부패·반봉건...",2020. 10. 3.
"정읍시, ‘정읍시 스마트 관광 전자지도’ 구축 #복지TV 전북방송","정읍시, 이제 관광 지도도 스마트 시대 (출처=전북 정읍시) 전북 정읍시가 ‘정읍시 스마트 관광 전자지도’를 구축하고 본격적인 서비스를... 유진섭 시장은 “코로나 시대에 소규모 여행 패턴 변화에 발맞춰 스마트폰 하나로 더욱 편리하고 즐거운 정읍 여행이 될 수 있도록 관광 전자지도를...",2021. 7. 12.
"전북 정읍시, 대표적인 벚꽃 명소인 정읍천 일대와 내장산 저수지 주변에 벚꽃 절정","전북 정읍시의 대표적인 벚꽃 명소인 정읍천 일대와 내장산 저수지 주변에 벚꽃이 피어 절정을 향해가고 있다. 30일 정읍시에 따르면 예전보다... 시 공식 사회관계망서비스(SNS)와 유튜브를 통해 집에서 즐기는 벚꽃 여행을 떠나 보는 것을 추천한다""고 밝혔다. 한국사회복지상담소 / 박혜란 소장",2021. 3. 31.
"호남선 정읍역 - 전북 정읍시의 일반열차, KTX, SRT 정차역",후쿠오카 여행 이후 처음으로 장거리 여행이자 2019년 마지막 여행 이야기를 시작합니다. Last December 15th. It’s... 정읍시 관광안내도 Jeongeup City Tourist Information Map 정읍역 명칭 제정 유래 Jeongeup Station name establishment origin 정읍역...,2020. 1. 8.
전북 정읍시 옥정호 구절초 테마공원에 가서 2020년 10월 26일,구절초 테마공원에 가는 길목에도 구절초가 나를 반기고 #구절초다리 #전북정읍시가볼만한곳 #옥정호구절초테마공원 전북 정읍시 옥정호 구절초... 구절초는 가을에 뿌리째 캐어서 말려서 약으로 쓰이기도 하고 #도통바위 를 보고 신비한 전설도 읽어보고 #정읍 여행 #정읍구절초 #옥정호...,2020. 10. 29.
"아트퀼트워크샵 출장강의 - 전북 정읍시,둘쨋날",hyeonjoo #퀼트여행 #퀼트워크샵여행 #퀼트특강 #신현주의퀼트워크샵 #퀼트마리신현주 #퀼트워크샵 #퀼트교육 #Quilt #퀼트교육출강 #공예 #여성교육 #머신퀼트 #핸드퀼트 #아트퀼트 #artquilt #지자체 #지역사회 #생활교육지원사업 #전라북도 #정읍시 #생활장인교육지원센터 #메르시퀼트...,2020. 11. 9.
카운티 캠핑카 제작중! 전북 정읍시 가온누리캠핑카!,전북정읍시에 위치한 가온누리캠핑카입니다! 전북 정읍시 북면 화평길 93-97번지 가온누리캠핑카 ***-****-*** 영롱한 스텐의 바닥 추가적재함입니다 알곤으로 이쁘게 모든 테두리를 용접해주었지요! 다 만들었으면 바닥을 뚤어야죠!! 과감하게!! 알맞게 뚤어준후 강도테스트?ㅎㅎ 이렇게하면 적재함을...,2020. 9. 29.
전북 정읍시 꼭 먹어봐야하는 '조선별관' 본점 후기,재치있는 인테리어네요 :) 가족 여행이라 네명! 네명이서 대사이즈 주문했습니다. 기본반찬이에요! 되게 알차게 잘 나오는 것 같아요. 왜냐하면 다... 조금 가져와달라했더니 이만큼..! 잘먹었습니다 :) #정읍맛집 #고창맛집 #정읍조선별곡 #조선별곡 #조산별곡본점 #매운갈낙찜 #갈비찜 #전북맛집,2021. 8. 6.
어린이날!! 전북 정읍시 솔로투어 점심은 양자강에서~,요즘 이상하게 4년전 덕이를 타고 다녀온 제주도 여행이 많이 생각난다. 그래서 혼자 4년전 제주도 투어를 회상할겸 제주도 내려가는 길을 느끼고 싶어 전북까지만 가보기로 하고 예전부터 먹고싶었던 양자강 비빔짬뽕을 먹으로 출발해본다. 내가 좋아하는 상월휴게소 할리 라이더 분들이 반갑게...,2021. 5. 10.
KBS 아침이 좋다/ 투데이 전북] 정읍시 원도심 이야기 / 정읍시 맛집,정읍시 원도심 시기동의 골목이야기 정읍시 전경 아시겠지만 정읍은 전주와 광주의 중간에 위치해 있어서 호남 지방을 연결하는 교통의 요충지라고 해요. 배후에 있는 노령산맥 산지를 제외하고 서쪽 사면에 낮은 구릉지와 평야지대로 이루어져 있는 인구 10만 9500여 명(올해 6월 기준)의 고을...,2020. 7. 8.
"정읍시·전북도·(주)대일내장산컨트리클럽, 관광호텔 건립 MOU","정읍시·전북도·(주)대일내장산컨트리클럽, 관광호텔 건립 MOU 임장훈 승인 2020.02.06 16:16 6일 정읍시와 전북도, (주)대일내장산컨트리클럽이 내장산리조트 관광지내 연수원 시설 부지에 관광호텔 건립을 위한 투자협약을 체결했다. 정읍 내장산리조트 관광단지내 방치되어 있던 KT&G 연수원...",2020. 2. 7.
부산방송촬영차량렌트 레스타리무진미니버스대절 기사포함의전 / 전북 정읍시 차량대절,"각종여행, 모임행사 등에 고급차량으로 품위을 더해 여러분을 모시겠습니다. [부산영남권 행사의전 실적] 부산국제영화제의전상황실운영,부산국제광고제, 코미디페스티벌,국제모터쇼, 창원국제사격대회의전,대사관 행사의전 등 방송촬영차량대절 레스타리무진 미니버스 전북 정읍시 촬영...",2020. 5. 8.
전라북도로 떠나는 여행 - 단풍이 아름다운 '정읍시'편,'2023 전북 아태 마스터스대회가 열리는 전라북도로 떠나는 여행 '열한 번째 도시 '정읍'을 소개합니다~! 2023 전북 아태 마스터스대회의 정식종목인... 추천 명소 >> 내장산국립공원 (주소 : 전북 정읍시 내장산로 1207) 1971년 국립공원으로 지정된 내장산은 호남의 금강산이라는 별명으로도 불리는...,2021. 5. 28.
김제근처 전북 정읍시 감곡면 중평길 80 단독주택구경하기,"잠깐 1~2시간 다녀온 평야를 만난 나들이 김제여행 좋았어요. 정읍이야? 김제야? 전주는 확실히 아니지만, 전주근교 나들이 에요. https://blog.naver.com/the-gabin/222409596345 돌아오는 길에 ~ 성모암 조앙사 진묵조사전에 들러서 왔어요.",2021. 6. 26.
"전북 정읍시, 생태관광 활성화를 위해 월영습지와 솔티숲 일원 육성사업 추진",전북 정읍시가 지역의 생태 가치 제고와 생태관광 활성화를 위해 생태관광지 육성사업을 집중적으로 추진하고 있다. 그 대표 지점이 월영습지와 솔티숲 일원이다. 솔티숲은 1971년에 국립공원으로 지정된 내장산 자락의 솔티마을 숲이며 월영습지는 솔티숲과 연접하고 있는 습지로 2014년에...,2020. 4. 21.
"내장산(內藏山 763,2m 전북 정읍시내장동)비 오는 날 내장산에서 習靜",어떻게 늙어 가는지 모르고 정신없이 살다보면 갑자기 허망해질 때가 있지 혼자 여행을 하며 나의 몸과 마음을 뒤 돌아보는 시간이 정말 필요하당게 비오는 날 내장사 아침을 걷다보니 두 번이나 불이 난 내장사 대법당이 인재로 인한 것이 참 안타까우면서 욱 성질과 작은 욕심이 부끄럽네여 어느 날...,2021. 9. 24.
전북 정읍시 농가주택 경매 저렴한 농가주택 부동산 대법원경매,소개합니다 정읍 시내 와는 다소 거리가 있어 보입니다 이평면 용전마을에는 농경지. 전원주택 .농가주택. 등 으로 형성된것으로 보입니다... 회원 가입 부탁 드립니다 애견.맛진.여행.멋진사진한컷.정보.기타등등. 부동산매물 회원님들과 같이 공유해요 ^^ http://cafe.naver.com/mollayo321,2021. 2. 26.
이스타나 캠핑카 개조중! 전북 정읍시 가온누리캠핑카!,"전북 정읍시에 위치한 가온누리캠핑카입니다~! 가온누리캠핑카 ***-****-**** 이거말고 버스 2대 잇는데 그건 나중에 한번에 포스팅예정~!! 이거 사다리에 루프랙에 외관은 합격점 확실히 요즘차량중에 이만한 차량이 없어요 오토이기만 했어도,,,,ㅋ 여튼 차상태는 훌륭합니다 몰아보진 않았지만...",2020. 6. 19.
"동학농민혁명기념재단 정읍 시티투어여행, 전북 정읍시 덕천면", ,2021. 5. 1.
(29)[전북 정읍시] 내장산<內藏山: 763m> 내장산 터미널 ㅡ 케이블카 ㅡ 연자봉 ㅡ...,나를 찾아 떠나는 명산 <블랙야크 100대 명산 24> 대중교통으로 떠나는 여행 같은 산행 내장산 국립공원...<03202125> *출발지: 내장산 터미널 *일시... 내장산 정상 신선봉을 인증하고 정읍 시내에서 사가지고 왔던 김밥과 컵라면으로 점심을 해결하고 하산한다. <신선 삼거리> <복수초 군락지> 신선봉...,2021. 4. 5.
전북 정읍시 산내면 벗꽃 경치 드라이빙 Driving a cherry blossom view in...,https://youtu.be/90BYtDuRWCo #트럭커 #만트럭 #벗꽃 #윙바디 #MAN #Trucker #일상 #일과 #기록 #일상 #Daily #デイリー #여행 #travel #旅行 #힐링 #healing #ヒーリング #풍경 #scenery #風景 #추억 #memory #おもいで #로망아라시 #RomanArashi #ロマン嵐,2021. 5. 2.
"가득 게스트하우스, 카페 ,민박, 가든 적합 주택 /전북 정읍시 내장산자락 4,648㎡(1,406)","https://youtu.be/m1WSQ_-8FAc 이 주택은 아름다운 내장산 자락에 포옥 안겨있는 주택입니다. 주택 2동과 창고로 이루어진 건물은 게스트하우스나 민박 펜션 그리고 카페나 식당 등 다용도로 변신이 가능하지요. 1,406평이라는 넓은 토지는 주차장과 정원이 조성되어 있으며 특히 잘...",2021. 5. 25.
전북 정읍시 캠핑카 제작소 / 가온누리캠핑카,동영상!!ㅋㅋ 일단 사진보구 맨밑에 동영상 있어요~ 전북 정읍시 북면 화평길 93-98번지 가온누리캠핑카 대표전화 : ***-****-**** 이젠 정규 구조로 자리잡고 있습니다~!! 뒷부분도 확장 넉넉하게 되구요~! 등도 달리고~없는게 없어요~ 특이하게 몽땅 침상으로 변환이 가능하게 제작해달라셔서...,2020. 4. 19.
스타렉스5밴캠핑카 / 전북 정읍시 캠핑카제작소 가온누리캠핑카,전북 정읍시 북면 화평길 93-98번지 가온누리캠핑카 대표전화 : ***-****-**** 짜잔 뭔가 이상하죠?ㅎㅎ 차주분의 요청이 잔뜩 들어간 스타렉스 캠핑카입니다!! 이유가있어요 침상을 넓~~~게 쓰고 싶으신 생각으로다가! 5밴이니 뒷부분은 멋지게 천정을 나무로 마무리해주고 아 아직 티비를 안달았을...,2020. 3. 29.
정읍시맛집 송스테이는 들려야하는 이유?!,송스테이 주소 : 전북 정읍시 연지도 44-100 연락처 : 063-536-1515 이용시간 : 월~ 토 오후 17:00 ~ 23 : 00 일요일 휴무 추가정보 - 건물 앞에 공용 주차장이... 주변에 숙소가 많아서 혹시 여행으로 오신다면 근처에 숙소잡고 이곳 정읍시맛집 송스테이에서 고소한 삼겹살과 맥주를 품으면 하루 고단함이 쏵...,2021. 10. 4.
전북 여행지 추천 정읍 여행 쌍화차 거리,◉주소 : 전북 정읍시 중앙1길 93 정읍 세무서 정읍 여행 가서 들러본 전북 쌍화차 거리에는 10곳이 넘는 찻집이 운영 중으로 골목 곳곳에 있던 다방과 찻집들이 빈 사무실의 자리로 나오게 되면서 장명동 일대가 차(茶) 문화의 거리가 형성되었다. 옹기로 된 약탕기를 조형물이 반겨주는 정읍 쌍화차...,2021. 7. 26.
전북 생태여행 추천 명소 - 정읍 내장산 국립공원,"가을 생태여행지 정읍 내장산 국립공원 내장산 자연 생태 공간의 모든 것 내장산 국립공원 입구에 있는 정읍시 내장동 내장저수지 주변은 내장저수지에 비친 내장산의 아름다움과 생태공원, 자생식물원, 수목원이 한곳에서 볼 수 있는 생태관광 최적지로 찾는 분들도 많지 않아서 코로나19...",2021. 9. 24.
"전라북도 임실 여행 코스, 국내여행 전북 특별한 관광지",있어 #전북여행 을 계획하고 계신 분들께 임실 여행 코스로 추천하고 싶어요! ️ 2. 카페 사선 전라북도 임실군 관촌면 사선2길 46-25 임실 여행에서... 임실군에서 정읍시까지 이어지는 국도 30호와 지방도 749호 등 옥정호를 낀 순환도로는 국토해양부에서 선정한 한국의 아름다운 길 100선에서...,2021. 7. 8.
KTX로 다녀온 전북여행 정읍 허브원 라벤더 축제(라벤더 수확중),"여행일: 2021.06.26 KTX타고 다녀온 전북여행 정읍 허브원 라벤더 축제 지난주 토요일 집에 가만히 누워 있다 즉흥적으로 정읍으로 가는 KTX 열차표를... 정읍 허브원 입장시간 및 입장료 전북 정읍시 구량1길 188-29 - 입장시간: 매일 08:00~19:00(입장마감 18:30) - 입장료: 성인 및 14세이상 청소년 5,000원...",2021. 7. 1.
정읍 여행,오늘의 여행지 경찰수업 마지막회에 등장한 투깡이의 이별 과 재회 장소 정읍 #내장산조각공원 3일의 연휴동안 무얼하며 지낼까하다가... 중간에 휴게소 두번 들리긴 했지만 차가 막혀도 너무 막혀 내장산조각공원 전북 정읍시 쌍암동 산225-1 http://naver.me/F64fSLQl 차가 막혀서 고생한걸...,2021. 10. 9.
"[전북 정읍] 보랏빛 물결 넘실대는 곳, 정읍 허브원 라벤더 축제","(촬영일 : 2021.6.10.목) <정읍 허브원> 전화 : ***-***-**** 주소 : 전북 정읍시 구량1길 188-29 운영 시간 : 오전 9시 - 오후 7시 입장료 : 5,000원(14세 이상... 코로나19로 비대면 여행이 활성화되면서 가능하면 실내에서 사람들과 만나는 것을 피하기 위해 사람들이 넓은 관광지를 많이 찾는 것 같다. 정읍...",2021. 6. 18.
전북 역사여행 하기 좋은 곳 – 정읍 근대역사관 (2021. 7월 개관),"어둡고 우울한 역사의 현장을 찾아가 체험하며 교훈을 얻는 여행을 말합니다. 1899년 군산항의 개장과 더불어 호남의 쌀이 일본으로 수출되기... 건물 내부는 정읍시 생활문화센터로 이용되고 있고, 사택과 창고가 있던 부지에는 커피 스토리지라는 카페가 있습니다. 카페 안에 일제 식민지 역사를...",2021. 8. 18.
전북 정읍 가볼만한곳 송참봉조선동네,"거리두기가 한창인데, 여유롭게 여행하고 왔어요. 전북 정읍 가볼만한곳 총정리~ 1. 송참봉 조선마을 아닌 송참봉조선동네 2. 입장료 무료 3. 식당 및 숙박 이용객만 현재 개방중 4. 닭요리라 미리 예약 추천 5. 전북 정읍시 이평면 영원로 1290-118 063-532-0054",2020. 10. 7.
[전북/정읍] 라벤더 찍고 동화속느낌 가득한 정읍카페 제이포렛(광주근교),"제이포렛 J.FOREST 전북 정읍시 정읍사로 388 제이포렛 매일 10:30 - 19:00 (라스트 오더는 30분 전) 정읍 허브원에갔다 그냥오기 아쉬워 급 서치하다... 차마시면 너무 좋을꺼같아요. 동화속 요정들이 살꺼같은 느낌이 듬뿍듬뿍 정읍여행, 인생샷 찍고싶다면 #제이포렛 자신있게 추천드립니다.",2021. 6. 20.
"전라도 대표관광지 100선 소개/광주, 전북, 전남 대표 여행지(국내여행 가볼만한 곳)","광주, 전남·북이 선정한 전라도 대표관광지 100선 '전라도 어디까지 가봤니?'로 자료는 ‘남도여행길잡이’에서 참고하였다. 광주광역시... - 주소: 전북 정읍시 내장산로 1207 출처: 전라북도 토탈관광 ▶ 마이산도립공원 마이산은 암마이봉과 숫마이봉 두 개의 기이한 봉우리와 입구에 있는...",2020. 11. 26.
'맛이 샘솟는다! 전북 정읍 밥상' 식객 허영만의 백반기행 77회 식당 소개,"백반기행 전북 정읍 맛집탐방...지난 금요일 지방 출장을 다녀왔던지라 본방 사수는 하지 못했네요. 내장산 단풍이 절정인 지금, 전북 정읍 여행... 국화회관 (우렁이쌈밥정식) 주소> 전북 정읍시 서부로 22 연락처> 063-536-5432 식객 허영만의 백반기행 77회 전북 정읍 밥상편 첫번째로 나온 곳은...",2020. 11. 14.
전북여행 정읍가볼만한곳 쌍화차거리,백제가요 정읍시 문화공원 피향정 연꽃 정읍천 벚꽃길 전설의 쌍화차거리 백정기의사 기념관 제가 갔을 땐 찜통더위 날씨였는데 선선한 가을바람 불어오면 내장산 단풍구경도 가보고 싶네요~~~ㅎㅎ 전북여행 정읍가볼만한곳 쌍화차거리는 정읍 세무서와 정읍경찰서 사이에 있는 거리입니다....,2021. 8. 19.
"[전북/정읍]광주근교 라벤더 이제 강원도 고성 안부럽다 ""허브원""",강원도 고성 안부러울꺼같아요- 정읍 허브원 어마어마하더라구요~ 광주에서 1시간이면 충분히 갈수도있고 짱짱이예요 '-'♡ 허브원 전북 정읍시 구량1길 188-29 주차공간 넓직넓직 아주 좋아요- 아침일찍 오픈시간맞춰서 갔는데.. 주차된차가 10대 이상이라 조금 놀라긴했어요- 매표소에서 매표하고...,2021. 6. 18.
[정읍 여행] 아이와 함께한 구절초테마공원 가을맞이,"안녕하세요 도아별이에요❤ 오늘 소개해드릴 여행지는 가을하면 유명한 구절초로 이름이 알려진 정읍 옥정호 구절초테마공원 이에요. (위치) 전북 정읍시 산내면 매죽리 산186-5 (운영시간) 매일 09:00 ~ 18:00 (전화번호) 063-539-6171 구절초 테마공원 가는 길 지난번 전주 여행 이후, 다음날 처갓집...",2021. 10. 6.
국내 가볼만한 산사여행 - 전북 고창 미소사,"잠시 산책 삼아 다녀온 편안함이 느껴지는 여행지를 소개해볼까 합니다. 이름도 예쁜 미소사는 전라북도 고창군과 정읍시, 전라남도 장성군... 지난 3월에는 전북 고창관광발전네트워크가 '3월의 가볼 만한 고창'으로 미소사를 선정하기도 했었다고 하는데 작지만 그만큼 매력을 가지고 있기 때문인...",2021. 5. 20.
정읍시 가온누리캠핑카 스타렉스캠핑카 샘플 상시전시!,전북 정읍시에 위치한 가온누리캠핑카!! 전북 정읍시 북면 화평길 93-98번지 가온누리캠핑카 대표전화 : ***-****-**** 전라도 권역에서 캠핑카 제일 잘만듬!! 자리 확보먼저 해놓구요 내 책상 밀려남 ㅋㅋ 거래처 놀러가서 은은한 표정의 개냥이도 보곰 그사이 가온누리캠핑카 사장님은 후딱 샘플을...,2020. 2. 22.
