header,contents,date
전북 진안군 용담면 송풍리 차박 성지 '용담 섬바위'(천년송) - 차박 여행,전북 진안군 용담면 송풍리에 유명한 차박 성지가 있습니다. 몇 해 전 핑클 멤버들이 캠핑했던 곳입니다. 도착하였습니다. 입구엔 양옆으로... 그리하여 햇볕이 따갑습니다. 잠시 쉬고 짐을 정리합니다. 이불도 베개 커버에 넣어 정리합니다. 정말 멋진 여행이었습니다.,2021. 9. 14.
"가을여행,전북 진안군 마이산,탑사","#함께같이 #가족여행 #가을맞이 #전북_진안군_마이산_탑사 #좋쿠나 이른 아침 엄마를 만나고 달려 가 본 곳, https://terms.naver.com/entry.nhn?cid=40942&docId=1286442&categoryId=33081 남부주차장으로 갔슴. 주차후 체온을 체크하고 저런 팔찌를 줌 ㅎㅎㅎ 금당사,괘불탱화 보물1266호 가 있는 곳....",2020. 10. 19.
[진안군여행] 기암괴석의 운일암반일암 숲길/전북천리길 트레킹,숲속에 데크길과 오토캠핑장은 다시 걷고 머무르고 싶은 길입니다.종점 부근인 와룡암 정자는 주변 경치와 더블어 또 다른 아름다움이네요 진안군여행에 운일암반일일암 숲길은 전북천리길에 백미가 아닐까요??? 전라도 정도 천년을 맞아 전라북도 14개 시군에서 405km/44구간중 진안군에는...,2021. 5. 6.
전북 진안군 여행,"곳에서 촬영하면 풍경이 멋지게 나오질 않으니, 세동 보건 진료소를 지나 카페가 나오기 바로 전 길 옆에 있는 작은 주차장에 주차를 하고, 거기서부터 풍경을 감상하시면 멋진 장면을 찍을 수 있습니다. 이상으로 진안군 여행 소개를 마칩니다. 즐거운 여행을 통해 멋진 추억을 만드시길 바랍니다.",2021. 10. 4.
"전북 진안군 여행 : 운장산자연휴양림, 부귀편백숲산림욕장, 진안 카페 - 기배기카페","전라북도 진안군 여행지 추천 운장산자연휴양림, 부귀편백숲산림욕장, 진안 기배기카페 무진장의 무주, 진안, 장수! 지난번 무주산골영화제 탐방에... 운장산자연휴양림, 전북 진안 진안, 운장산자연휴양림 진안, 운장산자연휴양림 전북 진안은 숙소도 마땅하지 않았다. 그래서 검색하다 보니...",2021. 7. 18.
전북 진안군 해물짬뽕 - 산마루,부엉오빠랑 무주여행을하고 집에 돌아가는길에 이리저리 돌아당기다보니 시간은 벌써 점심시간쯔으으음. 뭘먹을지 고민하다가 이때 전북 진안군으로 들어갔어요. 전북 진안군에는 뭐가 유명하고 맛있나 블로그를 보다가 눈에 띄던 가리비 잔뜩올려진 짬뽕 짬뽕을 좋아하는 달비슬이기에 지나칠수...,2021. 1. 29.
전북 진안군 주말 가족여행! 마이산 돌탑과 계곡~,"전북 진안군 주말 가족여행! 마이산 돌탑과 계곡~ _________________________________ #코로나19 가 참으로 오래갑니다. 이래저래 한창 뛰어놀 아이들이 마스크 쓰고, 학교도 제대로 못 가니 그게 좀 안타깝네요. 주발에 오랜만?에 전북 #진안군 #마이산 #가족여행을 다녀왔습니다. 보통 1년에 한 번은 가는데...",2021. 8. 27.
[진안여행]전북 진안군 숨겨진 명소! 충혼탑으로~,"우리에겐 전북진안은 정말 먼 장거리여행이었지만, 경치가 끝내준다고 얘기를 많이 듣고 자연을 보고 힐링하고 싶은 마음에 큰맘 먹고 가보았다! 지금아니면 또 언제가나 바로 고고! 와 이게 댐물이다. 전라북도 진안군에 위치한 용담댐! 크기가 어마어마하다. 순간 바다인줄! 이렇게 큰댐은 처음본다...",2020. 9. 25.
[전북천리길]도보여행.스탬프북. 진안군 기념품수령,전북천리길 천리길 스탬프북 도보여행 인증 진안군 기념품 수령! 흔적 임실군에이어서 이번엔 전북천리길 진안군 스탬프북 인증 기념품의 흔적을 기록해본다. 전북천리길 진안군에는 운일암 반일암 숲길. 용담댐 감동벼룻길. 마이산길. 이렇게 한국유일의고원지대를품은 전북천리길이 있다...,2021. 7. 6.
"[전북천리길] 진안군 용담호 감동벼룻길... 조각공원 등 (진안트레킹, 용담호 주변여행)","전북 진안군에는 #용담호감동벼룻길 이 있습니다. 용담댐 주변 여행과 함께 진원고원길의 일부인 #용담호감동벼룻길 트레킹 코스를 소개합니다. 용담호를 따라 호수와 산을 제대로 즐기실 수 있습니다. 용담댐 주변은 나름의 관광지로서 펜션, 맛집도 있고,, 가족테마공원, 물문화관...",2021. 7. 21.
진안군 도보여행 스탬프 투어 전북천리길과 진안고원길 기념품,"진안군 도보여행 스탬프 투어 전북천리길과 진안고원길 기념품 진안군 전북천리길은 제1길 용담댐 감동벼룻길 12km 제2길 운일암반일암 숲길 10km 제3길 마이산길 12.9km 의 3개의 코스이다. 진안에는 하늘땅 진안고원길이 있다. 진안고원길은 하늘땅 고샅고샅에서 마을과 사람, 진안을 만나는...",2021. 5. 22.
"전북 진안 맛집, 마이산 돼지불고기 진안군 맛집 샘터가든 굿!","샘터가든 주소: 전북 진안군 진안읍 군상리 498 영업시간: 월~금 09:00~20:00 (아침식사 가능) 주차(주차장): 건물 앞 넓은 주차장 있어요. 흑돼지 불고기... 아이들도 잘먹었어요.^^ 진안 마이산 가시거나 장수,무주 여행 가신다면 들러서 식사하시면 좋을 거 같아요. 포스팅하면서 냉이 향 가득한...",2021. 3. 5.
힐링하는 전북진안군 운일암반일암 국민여가캠핑장 강추!,다시또 찾게될곳 아름다웠던 전북진안군의 힐링포인트 운일암 반일암 안녕하세요 수완정석공인중개사 대표 김정석입니다 오늘은 전북진안쪽에... 그중에서 여행도 많은 제재가 있다보니 캠핑족이 많이 늘었습니다 저도 세번쯤 하다보니 캠핑의 매력에 빠지게 되더라구요 조만간 예약하고...,2020. 11. 6.
전북 진안군 진안읍 가막리 '가막리들'(1박 2일 촬영지) - 차박여행,전북 진안군 진안읍 가막리에 '가막리들'이라는 곳이 있습니다. 1박 2일에도 방영되었던 곳입니다. 갑니다. 도착하였습니다. 와~ 감탄사가 절로 나옵니다. 하지만 너무 컴컴합니다. 간신히 차박텐트를 설치합니다. 아침이 되었습니다. 아침 풍경은 또 색다릅니다. 주위를 산책합니다. 어제 도착했을...,2020. 8. 21.
[진안군여행]전북천리길/진안고원길1구간/마이산길 탐방,"[진안군여행]전북천리길 / 진안고원길1구간 / 마이산길 탐방 2021,6월 3째주말에 친구2+4들이 진안군여행 전북천리길 진안군에는 마이산길,운일암반일암길,용담감동벼룻길 3개 코스가 있는데 그 중 진안고원길1구간 마이산길을 걸었네요 평화롭고 조용한 농촌풍경과 마이산 주변에 풍광을...",2021. 6. 21.
"[산 여행] 전북 진안군 마이산, 초등학생 자녀와 함께 봄 산행","가까우니 다음 기회에 꼭! 친구와 다음 주에도 아이들 데리고 산에 가기로 했다. 전주시 남서쪽에 위치한 모악산을 갈 것이다. 코로나 때문에 딱히 아이들과 어디 가기 힘든 요즘, 전혀 가지 않았던 산을 찾게 되었는데 아이들도 좋아하고 나도 즐겁다. 다음 주의 산 여행이 또 내 가슴을 설레게 한다.",2020. 4. 12.
"전북 진안군 여행 : 마이산 도립공원, 탑사&은수사, 마이산 맛집","아무튼 마이산에 들리시는 분들 속금산음식점에서 정갈한 한식 드시고 마이산 둘러보세요!~! 마이산 맛집, 속금산음식점 메뉴판 전북 진안군 여행 지난 포스팅 보러 가기! - 운장산자연휴양림, 부귀편백숲산림욕장, 진안 카페 - 기배기 카페, 진안부귀편백숲산림욕장, 원조 화심순두부",2021. 7. 21.
전북여행.진안군 마이산&용담호.Attractions in Korea.Mai-Mt & Yongdam Lake...,"지난 3월 둘째 주에는 전라북도 진안군을 두차례 방문했습니다. 주중에 용담호를 먼저 다녀온 후, 동호회 출사에 참석차 토요일엔 마이산.... 오늘은 지난 주 촬영되고 편집된 진안군의 명소 두군데를 소개합니다. 아래 두편의 영상은 일출부터 일몰까지 하루를 보내면 마이산의...",2020. 3. 18.
