header,contents,date
"제주도 태교여행 :: 서귀포시 위 호텔 후기 / 실내, 실외 수영장 쏘 굿!","몸은 무겁지만, 그래도 둘이서 돌아 다닐 수 있는 날이 점점 얼마 남지 않아서, 열심히 제주도 호텔 뿌시기 중 입니다ㅋㅋ 광고 아닌 개인적인 위 호텔 이용 후기이니, 제주도 서귀포시 여행이나 특별한 날을 준비 하시는 분들은 참고해 주세요! we 호텔 룸 컨디션 팔러 스위트 룸 팔러 스위트룸 구성...",2021. 6. 12.
제주도 여행 2일차 / 남부 서귀포시 여행 추천 코스,그 다음으로 방문한 곳은 베케 둘째날 숙소는 서귀포시 쪽이어서 베케로 왔다. 역시나 핫플레이스답게 사람이 많음... 베케 위치 참고 그래도... 허니문하우스의 장점은 주변 조경이 넘나 제주제주 푸릇푸릇하는 것 제주도에서 갔던 카페 중에 가장 인상깊었을만큼 만족스러운 스팟이었다. 맑은...,2020. 7. 26.
[제주도 여행] 대명샤인빌리조트_서귀포시 숙소 추천!!,"재작년 크리스마스 연휴 때 다녀온 제주도 여행!! 극성수기여서 항공권, 숙박비가 많이 들었지만 추억이 많이 남는 여행이다. 특히 3박 4일간 머물렀던 서귀포시 표선에 위치한 #대명샤인빌리조트 참 좋았다. 룸 시설도 만족스럽고, 테라스에서 바라본 바다 뷰도 멋졌다. 여유롭게 리조트 산책도 하면...",2020. 2. 18.
미니의 제주도여행 4박 5일 ː 5일차 ː 서귀포시,"너무 나옴ㅋㅋㅋ 그와중에 밥도 못먹고 제주도에서 출발해서,,ㅜㅜ 도착과 동시에 먹을 수 있게끔 열봉이 주문 완료! 미니의 제주도 4박 5일 중 5일차!!! 제주도 여행 이제 끝!!! #제주도여행 #제주여행 #제주도여행코스 #제주도4박5일 #제주시맛집 #제주도가볼만한곳 #서귀포시2박 #서귀포숙소 #우도여행",2021. 10. 8.
"제주도스쿠터대여(면허,가격,비용) & 서귀포시 여행",어디로 갈까 알아보다가 전에 제주도스쿠터대여하고 서귀포시 여행 다녀왔던 일이 생각나서 포스팅해보려고요. 친구들이랑 같이 다녀오게 됐는데 그때 날씨도 진짜 좋고 모든게 풔펙트 했던 기억이 남네요. 어려서 학교에서 수학여행지로 많이 다녔던 곳인데 커서 가보니까 감회도 남달랐던 것...,2020. 6. 18.
[국내여행] 독채가 있는 제주도 서귀포시 스카브로 호텔&리조트 스파룸 2박 리뷰,그럼 이정도에서 마칠게요. 다음 포스팅에서 또 만나요! (❁´◡`❁) #제주여행 #제주숙소 #제주호텔 #제주리조트 #제주도여행 #제주도숙소 #제주도호텔 #제주호텔추천 #제주도숙소추천 #제주도 #리조트형식의호텔 #야외수영장 #독채숙소 #독채 #개인풀 #서귀포시호텔 #서귀포호텔 #서귀포숙소,2021. 8. 23.
[제주도 서귀포시] 2박 3일 여행일기! 너무 알찼다!,안녕하세요 :) 오늘은 한달 전쯤 갔다온 제주도 서귀포시 여행일기를 써보려합니다!! 회사다니면서....여행다녀오기 친구들이랑 날짜 잡기 너무 힘들어서 갔다오니 진이 빠지긴 했어욥 물론 스케줄은 친구들이 다 짜줬답니다ㅠ_ㅠㅋㅋ 그래서 이번에 갔따오는 여행은 제가 짰답니다>_< 강원도하면 또...,2021. 6. 19.
[예이츠산장] 제주도 서귀포시 수영장 펜션 내돈내산 솔직한 후기,"드디어 이번 제주도 여행의 수영장이 있는 가성비 숙소 찾기 미션의 마지막 숙소입니다! 떨리는군요..ㅎㅎ 그전에 소개했던 그림리조트, 블루하와이 모두 좋았습니다만.. 마지막으로 소개할 숙소의 수영장은 최고였습니다 ㅋㅋ 서귀포시 예이츠산장 예이츠 산장은 다른 숙소들과 달리 서귀포시 산...",2021. 8. 2.
제주도여행 서귀포시 밥집 제주오성 메뉴추천 (정식비추 단품으로),"#제주도여행 #서귀포시 #밥집 #맛집 #제주오성 #메뉴추천 #세트비추 제주오성 건물 이전하고, 뭔가 많이 바뀐 곳 그러고보니 대학때 간 적 있었던 곳이였네.. #제주시모범음식점 으로 간판 걸어두고 손님 받는데, 넓은 홀에 직원은 적고... 서비스가 영 아니다. 포토존이 있어서 사진 좀 찍자하니...",2020. 12. 8.
"3, 4월 봄 여행에 딱인 서귀포시 가볼만한곳 모음(제주 엉덩물계곡, 더클리프, 제주도...",주변에 많은 유채꽃밭이 있지만 GS25시 편의점 바로 맞은편인 이곳의 구도가 가장 좋아요. 덕분에 봄 맞이 제주도 여행 기념 사진을 다수 획득 할 수 있었던 서귀포시 가볼만한곳이었답니다. 본 게시물은 업체로부터 소정의 원고료를 받고 작성된 후기입니다,2021. 3. 5.
제주도 여행 중에 가볼만한곳 서귀포시 맛집 제주 제일밀면,"제주도 여행 중에 가볼만한곳 서귀포시 맛집 제주 제일밀면 도민인 내 입장에서야, 특별한 제주도 맛집을 찾기보다는 가성비 좋은 곳, 어찌 보면 평범한 맛집을 찾는 것이 일상이기도 하다, 그래서 서귀포 거주하는 지인을 통해 추천받은 국수집을 방문하게 되는데, ~ 타이틀과는 달리 고기 국수도...",2021. 3. 11.
제주도서귀포시]간세다리족욕카페강추,제주도를 여행하면서 족욕카페를 간 거는 처음이였는데다 코로나여서 걱정은 했는데... 다행히 손님이 그 시간에 없어서 지인들과 속닥하게... 여행중 마사지는 늘 필수코스라 정보공유합니다. 위치는 서귀포시여서 저녁에 한잔하기전 피로회복으로 찾기 좋은 곳이기도 하죠!!! 25시편의점 건물...,2021. 10. 2.
