header,contents,date
[제주도/제주시] 제주여행 기념품은 동문재래시장에서 (ft. 고양이 부장님),제주 제주시 관덕로 14길 20 http://jejudongmun.modoo.at/ 여행 마지막 날을 하루 앞두고 제주여행 선물을 사기 위해 제주 동문재래시장을 다시 찾았어요. 제주도 여행을 준비하면서 인터넷에서 본 제주 동문재래시장에 고양이 영업부장님이 있다는 상점을 찾아가 보기로 했습니다. 귀여운 잠꾸러기 고양이...,2021. 9. 14.
1박 2일 제주도 제주시 여행 - 1 [ 별도봉 김만덕객주 동문시장 마음에온 - 시리우스...,"썸네일용 1박 2일 제주도 제주시 여행 - 1 미루고 미루다가 다녀온지 몇 달 뒤 쓰는 제주 여행 일기 금요일에 출근해서 이틀 뒤인 일요일 출발 비행기표 끊고 바로 제주 사는 친구에게 연락했다 ""시간 되니..?"" 혼자 다니는것도 좋지만 자주 만나서 술마시던 친구였는데 제주 내려간 뒤로 못 본지 꽤...",2021. 8. 13.
"제주 애월 1박 2일 여행 제주도 애월 고기국수, 제주시 돔베고기 존맛",있으니 여행을 간다면 알아보세요 배를 타고 난 다음 곧장 제주도 애월 고기국수 전문점으로 이동했는데 도보로 1분 걸려요 빨간 벽돌 건물 1층에... 탕과 제주시 돔베고기를 주문했어요 생각보다 푸짐한 구성으로 먹음직스러운 비주얼로 입에 군침이 고이더군요 기본으로 챙겨주는 밑반찬은 총 4가지...,2021. 8. 24.
[제주도 가을 여행] 가파도 자전거 투어와... 방법 #제주시 오름 추천 #제주도 청보리맥주,[가을 제주도 여행] 2021.09 주기적으로 여행 가줘야하는 제주도! 일년에 두 세번 가는데도 갈때마다 정말 좋은 곳이 바로 제주도다. 지난 번엔 4월... (ㅋㅋㅋㅋㅋ자전거 맛집☆) 가파도 안녕~ 제주도 제주시 한림읍 금오름 제주도에 왔으면 1일1오름이 국룰이지. 우리는 제주시 한림읍에 있는...,2021. 10. 3.
제주 민속오일장 & 제주시 오일시장 맛집 볼거리 (제주도여행 브이로그),제주시 오일시장인 만큼 수산물 코너도 활발했어요! 저는 가을동안 제주도여행 브이로그를 찍으면서 갈치조림에 푹~빠졌었는데 펜션에 머무는 분들이라면 직접 사서 요리해서 먹어도 좋을 것 같아요. 이렇게 제주 가볼맛한 곳으로 5일장을 소개해보았는데요 볼거리가 많은 만큼 추천해드리고...,2020. 11. 11.
"[제주도 여행] 제주시에서 서귀포 : 비자림, 비밀의숲-안돌오름, 보롬왓, 아로마제주",제주도 또 가고 싶다 제주도 숙소 리뷰 보기 2일차 일정보기 #제주여행 #국내여행 #제주동쪽 #서귀포 #제주시에서서귀포 #제주여행일정 #제주여행하루일정 #비자림 #비밀의숲 #안돌오름 #보롬왓 #아로마제주 #제주만들기 #제주공방 #제주인생샷명소 #제주도 #제주 #제주도여행 #제주도가볼만한곳...,2021. 4. 12.
"제주도 여행 2박3일 일정] 제주시 가볼만한곳.제주공항근처 맛집,가족여행지추천",짧은 국내여행을 계획하고 계신분들은 제주도 그중에서 이번엔 저희가족은 제주공항 근처 제주시에서만 2박 3일을 보내고 왔답니다. #제주시가볼만한곳 #제주시맛집 #제주공항근처맛집 #가족여행지 추천! 드릴께요 출발전 몇날며칠 폭풍검색 끝에 일정표를 작성하였답니다. [여행 1일차...,2021. 1. 29.
"제주도 제주시 가성비 숙소, 주차하기 좋은 씨앤호텔","제주도 제주시 숙소라는 점 왜냐면 제주시에 있는 여행지를 갈 예정이라, 2. 주차하기 편한 주차장이 있다는 점 왜냐면 나는 렌터카를 주차해야 하니까. 제주 공항 근처에서 렌터카를 편하게 주차할 수 있으며 가성비 좋은 숙소를 구하기가 은근 까다로운데요. 왜냐면 다른 지역과 달리 제주도...",2021. 10. 7.
제주도 일주일 살기 1일차 [제주시 여행코스],저희 레지던스 호텔도 제주시에 있었고 첫날 제주 공항에서 부터 시작하니까 제주시 둘러보는게 좋겠다 싶어서 제주시를 여행하는걸로! 너무 배고픈 상태였습니다 ㅋㅋㅋㅋ 저희가 제주도 오자마자 먹은 음식은 고기국수 입니다! 국수마당이라는 곳인데 굉장히 유명하더라구요. <위에 국수마당 에...,2021. 9. 23.
"엄마랑 제주도여행 - 제주시 고기맛집, 태원갈비 (우리동네에도 있었으면..)11","엄마랑 제주도여행 제주시 고기맛집, 태원갈비 (우리동네도 있었으면..) 언제 끝날지 모르는 제주도 여행 이야기.. 임시저장 목록에 있는 제목들 중 '제주시 고기맛집, 태원갈비' 가 눈에 훅 들어와서, 언제인지 까마득한 제주도여행의 이야기를 시작해버리고 말았다. ;_ ;;;; 혼자 가려다가, 동생과...",2020. 1. 16.
"제주도 제주시 & 서귀포 여행: 공룡랜드, 제주항공우주박물관, 추사관, 중문색달해변...",뒤늦게 올리는 봄 제주도 여행기. 요즘 이직이니 모니 하면서 너무 정신도 없고.. 뭔가 시간은 많았는데 마음에 여유가 1도 없었다. 2주 뒤에 퇴사니까.. 그 땐 뭔가 올만에 마음이 편해지려나 ㅎㅎ 하튼.. 지난 1월? 도야가 11월에 비행기 타고 제주도 간게 좋았는지 비행기 타고 싶다고 조르기 시작....,2021. 7. 7.
"제주도 여행 1일차 (동문시장, 오메기떡, 제주시새우리, 탑동)","제주도 여행 1일차 (동문시장, 오메기떡, 제주시새우리, 탑동) 안녕하세요 시즈카에요:) 지난주 수요일, 제가 다음주부터는 해야하는 공부 때문에 너무 바빠져서ㅠ 여행 갈 시간이 없어지기 때문에 학원 개강전, 제주도 여행을 꼭 가보고 싶었는데 제주도 날씨를 보니까 계~속 비가 오더라구요..ㅠ...",2020. 6. 26.
제주도 동쪽 여행 - 제주시 조천읍 가정식 아점 맛집 : 오늘의 미미,흠... 난... 한번 가봤으니 충분한거같다 비추천하는건 절~~~대 아니니 갈 계획 있는 사람들은 꼭 가봥~~!!~! 그럼 안뇽 #오늘의미미 #제주도맛집 #조천읍맛집 #제주시맛집 #제주도동쪽여행 #제주동쪽맛집 #제주맛집 #제주가정식 #제주가정식맛집 #제주백반맛집 #제주백반 #조천읍가정식,2021. 10. 6.
1박 2일 제주도 제주시 여행 - 2 [ 갱이네 보말칼국수 - 용두암 - 카페 다랑쉬 - 식당...,썸네일용 1박 2일 제주도 제주시 여행 - 2 엄청 일찍 일어나서 엄청 산책하고 엄청 밥먹고 엄청 수영하고 엄청 술마시고!! 기절하듯 잠들었던 다음 날 맑은 하늘 ^ ^ * 오늘은 오전에 회사 선배 만나기로 해서 조금 일찍 일어난 뒤 나갈 채비를 했다 선배가 문자로 어떤 거 먹고싶냐고 물어보셔서...,2021. 8. 13.
