header,contents,date
[충남 계룡시 당일치기 여행코스2] 동학사 근처 맛집 ‘샤브마름 샤브샤브’,2020.05.02(토) 충남 계룡시 당일치기 나들이 코스2 [샤브마름] 충남 계룡시 당일치기 나들이 코스1 [사계고택] URL 참고 바랍니당! 사계고택 산책을 하다보니 배가 고파졌어요~ (왜 먹으면 졸리고.. 조금만 걸으면 배가 고픈지 ㅠ_ㅠ) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아무튼 남편이 찾아놓았다는 맛집을...,2020. 5. 5.
세종시 계룡시 고물상 가정집폐기물 충북 옥천 영동 시골 집쓰레기처리 충남 금산...,세종시 계룡시 고물상 가정집폐기물 충북 옥천 영동 시골 집쓰레기처리충남 금산 유품정리 이혼집 신혼집 전원주택팬션 장농 폐가구... 때여행도 같이 가고 한번 더 찾아뵙고 식사라도한 번 더해보았다면 조금이라도 후회가 덜할 텐데어리석은 인간인지라 연세 들어 부모님 병들고다리 힘없어...,2021. 8. 18.
계룡 여행_계룡시 언택트 여행지로 추천하고 싶은 사계고택,그래서 충남 계룡시의 비대면 여행지를 생각해 봤습니다. 바로 계룡 사계고택인데요. 어떤 모습인지 한 걸음 들어가 볼까요? 충남 계룡시 두마면 사계로 122-4에 위치한 사계고택은 조선시대 중기의 문인 김장생 선생이 말년에 거주하며 후학을 양성하던 곳입니다. 김장생 선생과 관련된 장소는...,2020. 7. 4.
충남 계룡시 엄사면 엄사중앙로 안경여행 하드렌즈,Previous image Next image 충남 계룡시 엄사면 엄사중앙로 105-1 안경여행 042-841-5644 http://naver.me/GqBI0zBW,2021. 1. 17.
[국내여행] 계룡시 풍경이 예쁜 입암저수지,입암저수지 충남 계룡시 두마면 입암리 http://naver.me/FlWizCAu 하늘물빛정원처럼 예쁜 호수를 발견했네요^^ 아직 주변에 커피숍 하나긴한데 지금 많이... 유쓰카페 이용하실거면 유쓰카페주차장을 이용하세요~^^ #입암저수지 #유쓰카페 #유스펜션 #계룡가볼만한곳 #대전근교여행 #계룡입암저수지,2020. 4. 13.
충남 계룡시 신축년 하얀소띠해 하얀눈 속에서 [코코랜드 농장] 견학 나들이~기러기...,코코랜드 동물농장 기러기 판매 공작새 칠면조7색갈의얼굴 하얀눈 속에서 아름다워요 충남 계룡시 엄사면 번영11길 106 나나 코코랜드 동물농장... 타고 여행갑니다 나상후 회장님 놀러와줘서 고마워요 인생 이모작 펼쳐지는 농장에서 나는 행복합니다 ☞하이얀 소띠해 보고싶소 ☞사랑하소...,2021. 1. 19.
충청도폐차장 충청남도폐차 충남폐차 계룡시폐차 금암동 두마면 신도안면 엄사면...,"혼자 여행이라도 갔다와야겠어요 충청남도 계룡시에서 모닝 차량이 입고되었습니다 충청남도 계룡시는 금암동 두마면 신도안면 엄사면 계룡시 전 지역을 폐차진행합니다 충청남도 계룡시 코로나 현황 2021-06-29 기준 계 치료중 퇴원 26 0 26 폐차 및 중고차, 중고차수출, 차량부품 등 전화주시면...",2021. 6. 29.
계룡시안경점,"안경여행 충청남도 계룡시 엄사면 엄사중앙로 105-1 우리안경원 충청남도 계룡시 엄사면 번영로 26, 202호 (굿타임상가) 충남 계룡 안경점 충청남도 계룡시 안경점 #계룡시안경점 #충남계룡안경점 #충청남도계룡시안경점 #계룡안경점 #계룡안경원 #계룡시안경원 #계룡시안경 #안경점 #안경원...",2021. 2. 15.
[충남 계룡시 당일치기 여행코스1] 철쭉 인생샷 남기기 좋은 ‘사계고택’,#계룡가볼만한곳 #충남계룡 #사계고택 #철쭉 #충남꽃구경 #충남당일치기 #충남여행코스 #계룡시가볼만한곳 #충남철쭉 #어린이사생대회 #사계고택사생대회 #사계고택동요대회 #동학사근처 #충남여행지 #충남데이트 #계룡데이트,2020. 5. 4.
계룡시 김국광의 재실 모원재와 김국광 묘,계룡시 김국광의 재실 모원재 계룡시 여행을 하다 보면 광산 김씨와 관련된 문화재가 많다는 것을 알 수 있다. 이곳 모원재는 김국광(金國光)의... 모여 축제를 벌이는 왕대리 백중놀이(현 연산백중놀이)가 전해져 오고 있다. 모원재 주소 : 충남 계룡시 두마면 왕대2길 6-10 전화 : 042-840-2404,2021. 10. 6.
