header,contents,date
맛집 동천루 | 충남 공주시 상서리 중화요리 간짜장면 짬뽕 볶음밥 공주여행첫날(2021.6.5),동천루 충남 공주시 우성면 뜸밭길 61-7 (상서리 388-1) 041-881-1253 월~토 11:00 - 18:00 일요일 휴무 주차장있음 동천루에 도착했습니다. 주차장이 넓어요. 재성이가 타고 내리기에 넓은 장소에 주차를 하고 동천루로 걸어갑니다. 외관이 깔끔해요. 늦은점심시간이라 한산하네요. 동천루는 매주 일요일은...,2021. 9. 8.
충남 공주시 _여행 스폿 추천(1),"주말마다 가는 세종시 옆동네 공주시. 이번 봄에 여기저기 돌아다니면서 찍었던 사진들을 정리하면서 아직도 우리에게 미지의 여행지로 남아있는 낯설고도 촌스럽지만 가까운 그 곳, 충남 공주에 대해 기록해본다. 21세기 이 시대에도 공주를 떠올리면 왠지 모르게 장딴지까지 오는 장화를 신고 저...",2021. 4. 23.
[지역N문화 테마여행] 충남 공주시 여행코스 :: 1500년전 백제의 역사가 살아 숨쉬는 공주,충남 공주시 여행코스 1500년전 백제의 역사가 살아 숨쉬는 공주 1500년전 백제의 역사가 살아 숨쉬는 공주 충남 공주시 *출처 : 공주문화관광 지역N문화에서 이번에 준비한 테마여행은 공주에요! 공주는 백제의 두번째 수도이자 조선때는 인조가 피난처로 삼기도 했던 곳인데요. 공주가...,2020. 10. 16.
4월 등산여행 & 충남 공주시 계룡산 2021. 4. 23.,4월 등산여행은 충남 공주에 위치한 계룡산으로 다녀왔다 등산 파트너는 군대 동기 벤자민준섭과 함께했다 5시 36분 무궁화 열차를 타기 위해서 지하철 첫차를 타고 부산역으로 향했다 이른 새벽이다 5시 36분 무궁화를 타기 위해 플랫폼 1번으로 향했다 지하철로 부산역에 5시 26분 도착 예정이라...,2021. 4. 27.
공주 카페 [카페보니비] 충남 공주시 예쁜 정원 카페,ㅎㅎㅎㅎㅎ 제 사진은 들이밀기 부끄러워 보정하는데만 몇날 몇일 걸렸네요 ㅋㅋㅋ (여행끝나고 아프기도 아팟;;;) 밀린 포스팅도 많지만 보정하느라 애먹은 포스팅 먼저 올려드립니다 ㅎㅎ 공주 카페 [카페보니비] 충남 공주시 예쁜 정원 카페 ■ 주차 및 외관 카페 보니비 근처에 가볼만한곳은...,2020. 8. 13.
화려했던 충남 공주시 마곡사 대웅보전 계곡 여행(주차 팁),"요즘 일주일에 3번정도는 충남 공주시에 있어서, 시간날때 공주여행을 다니는데, 그중 추천할만한 충남 공주마곡사 마곡사대웅보전 마곡사계곡 포스팅을 해보겠습니다. 공주마곡사 1. 간단설명 세계유산으로 등재된 전통과 불교의 문화가 어우러진 사찰 '春마곡'이란 별칭에서 알 수 있듯이...",2021. 8. 13.
[산 여행] 충남 공주시 계룡산 산행,"일시: 12/4(금), 날씨 완전 맑음 코스: 신원사 주차장 - 신원사 - 관음봉 - 삼불봉 - 동학사 - 동학사 주차장 거리: 9.4km 시간: 4시간 30분 오래간만에 등산을 다녀왔습니다. 회사 친한 선배 형들이 계룡산으로 산행을 온다길래 저도 조인을 했죠^^ 계룡산은 국립공원입니다. 지리산이 우리나라 국립공원...",2020. 12. 6.
충남 공주시 카페:) 공주한옥카페 로컬커피,"공주시 교동 185 네비에 로컬커피 치니까 바로 나오더라 ㅎㅎㅎㅎ 네비 검색해서 가는데, 진짜 이런곳에 카페가 있다고?! 싶을 정도로 구석구석으로... 음식과 카페, 숙박을 한번에 해결할 수 있다라는 것!!!!! 코로나가 잠잠해지고 자유 여행이 허용된다면 친구들이랑 1박 2일 즐기러와도 좋을 것 같다!!!!!",2021. 1. 23.
[충남 공주시 -계롱산마루펜션] 계룡산 능선 산마루에 위치한 독채펜션 마운틴뷰,충남 공주시 계룡산에 위치해 있는 계통 산마루 펜션을 방문했습니다. 인체에 무해한 천연살균소독제로 청소 시 매일 소독하고 있다고 해서... #공주여행 #계룡산 펜션 #여름휴가 #독채펜션 #소고기 #로얄샬루트21년산 #충남여행 #가족여행 #우정여행 #여행 #마인틴뷰 #자연뷰,2021. 8. 10.
충남 공주시 금성동 전망좋은 공산성뷰 카페 공다방,"공산성 가는 김에 들러도 좋을 것 같아요 ! 뷰가 정말 멋지거든요 ^^ 충남 공주시 금성동 184-2 1층 평일 11:00-21:00(월 휴무) 주말 11:00-22:00 ***-****-**** #공주공산성카페, #공주카페, #공다방, #공주공다방, #공산성, #공산성뷰, #공주여행코스, #공주여행, #공주산성, #공주카페추천",2021. 5. 23.
