header,contents,date
[2년 전 오늘] 금산 인삼축제 2019 / 충남 금산군 /여행 추천 /국내여행,"2년 전 오늘 금산 인삼축제 2019 / 충남 금산군 /여행 추천 /국내여행 금산에 인삼산업이 발달하게 되자 1981년 삼장제를 시작으로 지역 주민 화합형 축제로 금산인삼제가 시작되었다. 이후로 발전을 거듭해오던 금산인삼축제가 1996년 문화관광축제로 선정되면서, 전국적인 축제로 발전하게...",2021. 10. 11.
[드론 영상] 충남 금산군 금산읍 인삼재배지의 풍경,매빅 에어2로 바라본 충남 금산군 금산읍의 인삼밭 풍경 입니다. https://youtu.be/OC6B5zEPg1s 작년 가을에도 금산읍 진악산에 올라 운해 덮힌... https://blog.naver.com/jukejoint/221733019920 멀지 않은 곳에 계신 분들에게는 금산으로 훌쩍 떠나는 여행도 좋을 것 같습니다.,2020. 7. 11.
"[랜선여행]충남 금산군 남이면 구석리로~~""십이폭포 등산로""","[랜선여행] 충남 금산군 남이면 구석리 ""십이폭포 등산로"" 충남 금산군 남이면 구석리 십이폭포 가는 길과 제5폭포 죽포동천 폭포 주변의 풍경입니다 비가 안와서 많이 메말랐어요. 가벼운 마음으로 함께 떠나보실까요~~~♥︎ ""제5폭포 죽포동천 폭포"" 충남 금산군 남이면 구석리 십이폭포 가는 길과...",2021. 8. 5.
충남 금산군 산세 좋은 전원주택토지매매 금산농가주택매매,"도심생활에 지쳐 귀농, 귀촌을 생각하시거나 마당 넓은 전원주택을 꿈꾸셔도 주말농장 겸 여행 기분 드는 농막 토지로 활용하셔도 모두 만족할 수 있는 저렴한 금액의 전원토지매매입니다. 자세한 사항은 연락 주세요~ ★ 금 액 : 거래완료된 매물입니다. 감사합니다. ★ 소재지 : 충남 금산군...",2021. 8. 12.
충남 금산군 제원면 천내리 '기러기공원'(차박여행)-원골유원지,충남 금산군 제원면 천내리에 '기러기공원'이 있습니다. 차박이 가능하다고 합니다. 갑니다. 도착하였습니다. '어죽의 고향 원골유원지입니다.' 금산군 관광안내도입니다. 와~ 절경입니다. '원골인공폭포' '공원내부차량출입금지' 비가 많이 내려 아래로 내려갈 수 없습니다. 나리꽃도 피었습니다....,2020. 8. 6.
"칠백의총(충남 금산군) / 순의비각, 중봉 조선생 일군순의비,취의문,종용사","충남 금산 칠백의총 안녕하세요. 「손성필 변호사의 여행 이야기」 입니다. 충청남도 금산군에 있는 '칠백의총(七百義塚)'에 방문하였습니다. 문화재청 칠백의총관리소가 내건 안내판을 보면, 칠백의총 주자창은 '개방형 무료주자장'이군요. 주차장 안내판에는 ""여기는 개방형 무료주차장이므로...",2020. 4. 1.
[금산군맛집] 충남 금산군 추부 맛집 찐한..곰탕 '가마솥한우진곰탕',"추위를 이겨내야 하잖아요..ㅎㅎ 가족들이 모두 좋아하는 충남 금산군 맛집 가마솥한우진곰탕 에 다녀왔어요. 금산군 맛집 입니다. 가마솥한우진곰탕 생생정보통, 생방송투데이, VJ특공대 등 다양한 TV 방송에 많이 나왔던 맛집이더라구요.. 전용주차장도 있어서.. 여행가는 길에 먹기도 정말 좋고.....",2020. 11. 23.
대전 노은동에서 충남 금산군 청정지역으로 포장이사하신 단골 손님 이사이야기...,오늘 충남 금산군 청정지역 마을로 포장이사를 하셨지요 단골 고객님 행복하신 이유1 2년전 포장이사를 하셨기때문에 견적 차트가 그대로 보관... 펜션에 여행온듯한 그림같은 집 앗♡^^ 파란 신발 아니 아니 새집에서는 일회용 천으로된 덧신을 신지요 고객님도 신기고 우리도 신고요 단골...,2021. 4. 10.
충남 금산군 '방우리',"포스팅을 위한 여행이 아니다보니 자료가 드물지만, 산을 내려가는 길은 대략 이런 산길이고 법 상 도로가 아니기때문에 포장을 한다거나 그 외... 장소도 장소이지만 그 영상에 감탄하지 않을 수 없는 금강 상류 적벽강이 휘감아도는 충남 금산군에 위치한 곳이지만 전북 무주를 통해 들어갈 수 있는...",2020. 6. 8.
[명산기행 219번째] 충남 금산군_진악산 산행,명산기행 219번째이며 블랙야크 명산100+로 선택한 금산군의 진악산! 충남의 산 중에 세 번째로 높은 진악산(732m)은 충남의 최고봉 서대산(904m)... #명산기행 #산행코스안내 #금산여행 #금산_진악산 #진악산_개삼터공원 #진악산등산코스 #금산_보석사 #진악산_도구통바위 #진악산_물굴봉 #진악산...,2020. 5. 10.
