header,contents,date
"[등산여행_전라북도, 충청도] 전북 완주군(충남 논산시) 대둔산 국립공원 마천대...","[등산여행_전라북도, 충청도] 전북 완주군(충남 논산시) 대둔산 국립공원 마천대(878m) 제 1 코스 ""케이블카"" BAC 블랙야크 100대 명산 2021.07.30 85 번째 산행 등산여행_전라북도, 충청도 대둔산국립공원 - 케이블카 - 대둔산 구름다리 - 삼선교 - 마천대 - 램블러 대둔산 완주 뱃지 1 대둔산 마천대(878m)...",2021. 8. 6.
충남 논산시 벌곡면 수락리 잘 지은 전원주택 매매,오늘은 충남 논산시 벌곡면 수락리에 위치한 집을 소개할게요. 수락리야 예부터 공기좋고 물 좋고 수려하기로 유명하죠. 게다가 마을 자체가 약간... 혹여 전원주택 산다고 친척이나 지인들 방문시 갈 곳이 많아 여행오는 기분이 들 것 같아요. 현재 올바른 전원주택 짓기 강사로 활동중이신 분이...,2020. 10. 9.
『연산순대마을』 - 충남 논산시 연산면의 명물음식 피순대,『연산순대마을』 - 충남 논산시 연산면의 명물음식 피순대 안녕하세요. 기록하는 흰둥이(기둥이) 입니다. 논산에서 수로권 붕어낚시를 마치고... 이 일대에 정말 많은 순대를 파는 가게가 있는데 낚시 겸 여행을 다니며 들를때마다 거의 모든 집을 가서 먹어봤었습니다. 희안하게도 조금씩은...,2021. 4. 9.
논산 중고 피아노 매입 팔기 충남 논산시 시민로,"팔기 충남 논산시 시민로 화려한 봄날은 하루하루 지나가기만 하는데, 여전히 추운 날 속에서 머뭇거리는 모습들을 엿볼 수 있습니다. 여러 가지 코로나가 그렇게 다 바꾸어 놓은 거 같은 요즘 일상이 되어버린 거 같습니다. 라이프스타일, 의료 교육, 국제관계까지 바꾸나 봅니다. 자유로운 해외여행...",2020. 3. 31.
[충남 논산시_조선옥] 논산 어머니의 정성이 느껴지는 돼지갈비 맛집!,오늘은 논산여행을 하면서 들렸던 식당을 소개해드릴려고 합니다! 위치는 연무중앙초등학교 인근인데... 주소를 찍고 가시는 것을 추천드리고 가게 앞에 가로주차공간이 있으니 참고하세요~^^ - 매장명 : 조선옥 - 영업시간 : 10:00~22:00 * 휴무일 : 매주 수요일 - 매장주소 : 충남 논산시 연무읍 연무로...,2020. 8. 8.
[충남 여행 ] 충남 논산시 연산면 천년의 백제 역사 숨결이 살아 숨쉬는 황산성 힐링...,코로나로 국민모두가 힘든 시간을 보내고 있지만 생활속 거리 두기 걱정 없이 산책하듯이 등산하기 좋은 여행지로는 논산시 연산면 표정리에 출발하는 황산성 둘레길을 강력히 추천 합니다. 무엇 보다도 아이들과 함께 하기에도 매우 좋은 코스로 여러분께 소개합니다.,2020. 5. 17.
"가을여행, 논산시 가볼만 한 곳, 강경여행, 근대문화유산, 사진촬영지, 산책코스",▲ 강경 상징 조형물(위치: 충남 논산시 강경읍 계백로 159 논산경찰서 앞) 강경은 전국 최고의 젓갈 산지로 유명한 곳입니다. 가을에 열리는 젓갈축제와 김장에 사용할 젓갈을 구입하기 위해 강경을 찾는 사람들의 발길이 끊이지 않습니다. 그러한 이유로 강경 근대문화 코스의 첫 발걸음은 새우를...,2021. 9. 23.
충남 논산시 벌곡면 대둔산 “수락계곡”,"20210811 수요일 밤 내가 살고있는 충남 #계룡시는 나들이, 여행가기 좋은 곳 어디든 그리 멀지 않은 곳은 이른 점심식사 후 다녀와도 집에 와서 식사할 수 있는 거리 그래서 계획 없어도 그냥 훌쩍 나들이를 나선다. 오늘도 점심식사 후 30분 거리에 있는 #대둔산 #수락계곡으로!!! 다음주에...",2021. 8. 11.
#3. 후지X100V 사진이야기(충남 논산시 연산),나는 약간 무계획 여행하는 것을 좋아한다 논산시 연산에 한적한 카페를 찾아가는 중 철길을 지나 가다보면 임시 휴업.. 망할 코로나.. 하지만 주변 자연경관이 좋기에 한바퀴 돌기로 했다 푸릉푸릉한 농촌뷰 시골이라 그런지 사진찍고 있는 데 허허허 하면서 지나가는 할아버지 정이 넘쳤다. 농촌용...,2020. 9. 23.
"논산 여행 코스! 계백의 충절을 기리는 충효의 고장, 논산시 부적면 한 바퀴!",'부적면사무소 - 덕평리 석조여래입상 - 봉계공윤유선생영당 - 논산 탑정리석탑 - 논산 탑정호출렁다리 - 충곡서원 - 탑정호수변생태공원 - 휴정서원 - 신풍리마애불 - 계백장군유적지 - 백제군사박물관'의 코스만 봐도 산책이 아니라 여행에 어울릴 듯합니다. ▲논산시 부적면사무소(위치: 충남...,2021. 8. 31.
